视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1RP411P7G5,304102849,1,影视杂谈,1,http://i0.hdslb.com/bfs/archive/2bec1279023df29aae48cc785649f7c3e86f1a78.jpg,未来还会失败很多次，但是成功只需要一次！,1665578874,1665578874,,608245,29141
BV1XR4y197q6,346382992,1,日常,1,http://i0.hdslb.com/bfs/archive/db50014be3da6e25f5d892ea698b6f833da0c72e.jpg,大学生的封校生活,1665502564,1665502564,-,1233580,122083
BV1f44y1f7BZ,986600285,1,野生技能协会,1,http://i2.hdslb.com/bfs/archive/483cd2d3aead7680bb6342eb4a1cd67c285a7298.jpg,中国象棋中的老头，真的有在思考吗？他在想什么？,1665590052,1665666000,"BGM:
烂兔子 - FC-中国象棋（烂兔子 Remix）
Kyle Xian - 星の奏でる歌（命运石之门0／Steins;Gate 0 动画ED）
画面引用：
6步棋秒杀《FC中国象棋》里面的老头！ - 1.fc中国象棋，只用了55秒秒杀老头（困难难度）！还有谁(Av770445972,P1)
命运石之门0游戏画面
FC中国象棋-当正版老头和盗版老头下棋时，结果谁赢了？ - 1.FC中国象棋-当正版老头和盗版老头下棋时，结果谁赢了？(Av940992021,P1)
PF游戏 中国象棋 局势很被动但大爷并没有慌乱 - 1.PF游戏 中国象棋 局势很被动能否反败为胜(Av330453796,P1)
PF游戏 中国象棋 这把牌不错，应该能赢困难老头 - 1.PF游戏 中国象棋 这次困难老头下的好快(Av287689165,P1)",446754,18087
BV1LW4y1J7kG,944014305,1,手机游戏,1,http://i0.hdslb.com/bfs/archive/819e375eb2a62f2254902f65d8da02203ee3251a.jpg,【原神】3.2前瞻直播时间！300原石兑换码别错过！3.2上线时间与角色卡池！,1665659320,1665659320,"让我们一起努力，创造美好未来！祝大家身体健康，万事如意！
视频部分素材来自网络，如有侵权请私信联系。",623131,32967
BV1114y1774k,774032350,1,日常,1,http://i2.hdslb.com/bfs/archive/eba153dd2ef8c4a540a9d1af9874a51a0a1ed3f2.jpg,中国人捐赠5吨面粉，惊动巴方政府5辆警车全程护送，翻译说像极总统的待遇,1665581655,1665581655,中国人捐赠5吨面粉，惊动巴方政府5辆警车全程护送，翻译说像极总统的待遇,632150,38511
BV1AW4y1J7aE,944006039,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/69e11cbd4bc6e449077e0097d5091429ac451c94.jpg,好洗脑的耐久,1665563114,1665563114,,380049,44351
BV1Sg411h75B,516549306,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/72897bcb2ee4dedd50211444b48da4c49e67d608.jpg,从概率论计算TES滔搏小组赛出线概率，准博士大贾老师亲笔计算小组赛第二轮所有可能情况，再输一把也能出线！TES滔搏加油！LPL加油！,1665576964,1665576964,直接看结果跳转10:30。以上概率，大前提为GAM 0-6，若GAM出现爆冷，up主会紧急加更。希望TES滔搏能抓住这次机会，加油！LPL加油！点赞三连关注，后续精彩视频敬请期待。,804034,20680
BV1P8411s7Ci,219031836,1,数码,1,http://i1.hdslb.com/bfs/archive/4598f8280d73f7c29b9b608ab15118843aa6fd18.jpg,「小泽」我用13 Pro换了一台iPhone 14 Pro，每天少吃一盒麦乐鸡块,1665674392,1665710889,,316213,15321
BV1im4y1A7E2,689043006,1,喵星人,1,http://i2.hdslb.com/bfs/archive/28d3d97d6ea06543d0d6247614dd29a831b2dba1.jpg,为20斤肥猫减肥，制做破釜沉舟跑步机  猫：放我出去！,1665718968,1665718968,"猎手要是再瘦不下来，我也没辙了！
萌宠区手工up主往期发明指路： 
猫力跑步发电机：BV1iy4y1a7Cb 
电动撸毛器：BV1H64y1v7gq 
戒烟头盔：BV1H64y1k7tz 
猫热能暖床器：BV1xF411i7tw 
全透明赏猫床：BV1Qb4y1C7sn 
写不完啦 还有很多，就要靠各位慢慢挖掘啦！",122380,16304
BV1P8411s7Fu,219025650,1,网络游戏,1,http://i0.hdslb.com/bfs/archive/8f15cc5182b081c66473c92f6448492e0fab08b7.jpg,这就是原神亲自藏的彩蛋吗？这直接去地下世界了啊！米忽悠你真会玩。,1665564680,1665564680,-,751711,35559
BV1sg411h7tY,516432181,1,影视杂谈,1,http://i0.hdslb.com/bfs/archive/2f9d08214eca03a3e33ccdfb1534513b69fc6ab6.jpg,上映时被叫“垃圾”！深度解析影史最伟大的科幻恐怖片之一《怪形》,1665560738,1665655200,如今距离《怪形》的上映已经过去了40年，如今我们再看这部电影，依然会叹服于它对外星怪物的想象和创造，还会沉浸在人类互相猜忌、彼此试探的紧张氛围当中。没有鬼哭狼嚎，没有降智操作，可以说恐怖片的常规套路，《怪形》里都找不到。天上《异形》，地上《怪形》！这才应该是这部科幻恐怖杰作的地位！,591136,39099
BV1jW4y1J7Au,944021348,1,预告 资讯,1,http://i0.hdslb.com/bfs/archive/9be8d8f70f4771a66724597273c1862d212d490e.jpg,又是一年盛夏，会偶尔想我吗丨刘志宏纪录片预告,1665651135,1665659700,"“那你呢，你会有遗憾吗？”
独家对话刘志宏——少年的《成长公式》纪录片预告",314809,30859
BV1pW4y1H7Ur,943942693,1,娱乐杂谈,1,http://i1.hdslb.com/bfs/archive/f936d0f0ccc3aabd43e05c60a1001cc8b2be33fe.jpg,真是害怕兄弟过得苦，又怕兄弟开路虎,1665480740,1665480740,真是害怕兄弟过得苦，又怕兄弟开路虎，相比自己的失败朋友的成功更让人心痛,544919,38337
BV1mB4y1j7tG,603891465,1,手工,1,http://i0.hdslb.com/bfs/archive/64bd7a6b369d3c5c199cf36f7ec3911c6c08ce5b.jpg,别眨眼，三十秒夺走你的硬币,1665487906,1665487906,30秒真的只能做一点细节。,1035087,203760
BV1oD4y1k7st,731488452,1,翻唱,1,http://i2.hdslb.com/bfs/archive/0e9e86ef2806c57b73f195caf7f327e578506c5c.jpg,唯一 清唱 | 我真的爱你.,1665246782,1665315044,"（非完全正经唱歌视频（？（好喜欢下雨天

我真的爱你 句句不轻易..",418231,21181
BV1fN4y1w7BM,901276341,1,影视剪辑,1,http://i1.hdslb.com/bfs/archive/abf504c4c950bd8aafa109c543fc6d9583f9ea9a.jpg,“每天一遍，防止抑郁率达99.999%！”,1665140708,1665140708,"影视素材：当幸福来敲门，白日梦想家，阿甘正传1994，楚门的世界，百元之恋，垫底辣妹，翻滚吧！阿信，中国合伙人，破风，激战，编辑部的故事，罗翔短片。
BGM：Dusk - Peter Jeremias和山田豊——《やわらかな光 (YAWARAKANA HIKARI)》",2746546,181451
