那时候的那些“小事” 对现在却是那么大的影响
世界未末日
居然已经十年了
古墓丽影
这十年太感慨了
哇，带诺亚方舟，带五月天一起玩，我谢谢up，感动哭
那年我初二
我考上了我们县最好的高中
这都十年了吗？
2012年，现在想想我居然才初二
没有疫情真好阿，疫情快退散
那年世界末日我和一个网友在一起
那个没用口罩的时候
怀念当初没有口罩的日子
邪王真眼是最强的！！！
大一
pop danthology2012吧
酷玩！
有马叔！你币有了！
刀剑!
这种画风谁发明的
！！！！！！pop danthology！！！
还有剥夺了阿壮的7个环法冠军
那年  我9岁
2012我的小宝宝出生了
韩寒和方舟子
泫雅！！
太对辣
杰伦！！！
诺基亚 我真的会哭
卧槽居然是这个串烧，回忆满满
阿汤哥！
真的会哭
那一年 我刚辍学
那一年我8岁
酷玩！！！！！！！！！！！！！！！！！！！！！！！！！
那时，还没疫情
12年混曲呜呜呜呜
锤子
泪目
时光时光慢些吧
寒战！
酱紫剪？
bgm好评
poplove
那年刚上高一
fix you
天哪，，，看到刀剑才发现已经十年了
心疼啊
老罗！！！！！up有心了！！
恍然间十年了
梅西年度91球
一闪而过的古墓丽影好像是9
当时的我才三年级
！
BGM：Lights- Ellie Goulding
滴滴刚创办时，我大学老师在给我讲这款打车软件很便宜
2012就这些歌最火的
我正式开启内卷生涯
林丹李宗伟！
Lumia920
那一年是我转学后的第一年
梅西！
在小壆里经历老师的霸凌lol
十年过去了 还是甄嬛传
link start
移动互联网时代的开端
那时候我还在上小学，和同学一起讨论世界末日后该这么生存
我的童年啊，复联一看了六七遍，当时觉得饥饿游戏里詹妮弗好美
我还有一台925！
现在死了
是12月21日应该
看见了银桑
920！！！神机！！！
梅西91球！！！
2012
pop2012真的 类目群
大船！
双头鹰！
酷玩yyds
12年刚上大学 一个新城市 转眼十年了
诺亚方舟！！！！！五迷狂喜
锤子
AC你币有了
锤子科技！苹果的母公司（bushi
给T1打call
泪目
十年了！
时间好快
我超好怀念
十冷！
今日的风儿甚是喧嚣
时代的眼泪 是初三的时候追星的我
弹幕突然消失。
刀剑神域！
姜戈！
上中学
画面是加了漫画网格风吗？
我还真的错过了好多很美很美的风景啊
这个串烧！爷青回！
再用锤子看视频
我的神蝙蝠侠！
奔三变成奔四，这时间，过得真XXX快啊！55
我c，礼祢！
csgo我哭死
Lumia ！！！
csgo我哭死
之前是动图gif 起家
刀剑排面！！！
今日的风儿甚是喧嚣
仿佛就在昨天
那天是我生日哈哈哈
他是英雄！！！！
刀剑啊啊
上初中啦
字节还是算了吧，呵呵
卧槽up你把我剪毛了！
小学快毕业了
不戴口罩看着都有点别扭了
熊猫人之迷
1221我生日
哎
这一年我高一
加速世界！
刘翔！！
罗永浩罕见一个！
Fix you
那年我才6年级
周杰伦
2012我最难忘的是我会在四年后遇见我最爱的哪个她，但是又在四年后她却离我而去。
St
当年我还在网站上特地搜了老罗的演讲
刀剑排面
12.21号，是我生日
一闪而过的超凡蜘蛛侠
人在成都 今天直接给孩子震傻了
12年我好像还在小学
哎，再也回不去的日子，2012年我高一，和初恋确认关系的一年，青涩啊
14年的b站号
新闻上好多驾车环游世界的都让我羡慕不已
大帝排面
那年高一
这一年高中毕业
敢死队3
s3！
这里有属于你的金色记忆吗
12年即将升初二，现在都工作了…
刀剑神域！
十年了吗？
鸟叔
2012对我来说是个特别的数字
每年都有美好的回忆
12年上初二，现在都是打工族一员了
刀剑
要是能回到2012我一定好好看看我外婆
不用戴口罩的年代
原来已经过了这么久了
我最怀念的是曾经那个快乐，有活力，阳光的自己……
话说那时候有B站吗
火炬之光！
号养好了
老罗啊，好久不见
充满希望的过去
好耶，古墓丽影
不看不看 会流泪的
散华礼弥
十年了
小马哥！！！
中杯
字节人:always day one
诺基亚时代的眼泪
仿佛还在昨天
那年我刚毕业
前面的，B站09就有了
OK
邪王真眼是最强的！
。
2012那年我毕业
朱军
这都2012年了？
泪目
目测要火
刀剑
淦10年了
敢死队一闪而过
麦当娜
阿汤哥
那时候还挺瘦
我看到火炬之光2了。好怀念
右图苹果5S的外形爱了
这一年高考…………
那是立棍吗？？？
开始抓地板了
AP剑圣
快跑世界末日
完了，好多词我现在还在说
这么多年了吗！！！
十二中！！！！
男高！！！
woc，我都不记得这茬了
恍如隔世，一瞬间换了天地，十年后，一切仿佛还在昨天
北京暴雨我印象可太深了
我升初中了
林丹这场直播看了呜呜呜
2012我高中入学，2022的现在我刚研究生毕业
都是名人
bgm对味了，网易云歌单收藏好久了
2012就有快手了？？？？卧槽？
啊啊啊 回忆杀啊
BGM是pop2012
刘翔！
99.9
散华礼弥，居然真的还有人看23333
我妹妹出生了！我有妹妹了！
十冷！！！
我那时候还用快手做过gif，转型后反而没用过了
散华礼弥
《那时候我还很瘦》
2012年，我毕业了，回到了老家工作，没有同龄人，很孤独
火炬之光2
老罗！
咖喱棒！
Jay!!!!!
杰伦排面
行业冥灯呀
瘟疫公司！
哭了，坚果手机居然十年了。
那时候我二年级
十冷
lumia出来真的哭了，爷的青春结束了
难道我穿越了
我20岁
EX！咖喱棒！！！
冰菓
pop混剪的巅峰作
移动互联网开始了
我开始了大学生活
百万粉丝助力
初一
你是我们的冠军
如果能回去，我一定要看伦敦奥运开幕闭幕式
都是回忆啊( 唏嘘
920的颜值真的好高
想哭
那时候大家都不用戴口罩…
我只记得那时候不用戴口罩
爷青回
第一次诺奖！！！！！莫言老师！！！！
酷玩！！
快手直接看不下去
就我一个人觉得妇联一之后都很无聊吗
12年。。上大一，好踏马怀念
丹神
北京十二中呀！
金色记忆，真的是金色记忆
100w粉丝达成
真是一个新时代的开始
才想起来那年我才初一
老罗！
天王盖地虎
哈哈哈这个死在英语课上蚌埠住了
五月天！！！！啊啊啊啊啊啊！！！！五月天！！！
lin……
那时候华语乐坛，还是华语的
2012，高中毕业，刚上大学，好想重来一边
我毕业工作了
 被解救的姜戈
三连
高二
没有老罗的发布会是没有灵魂的
逆战玩家路过
等待五月天重返鸟巢的那一天
高三高考，我高二放假，一天做了14张生物卷子
fan
仿佛就在昨天
看着2012，感觉有些陌生。原来那年我在高三，哈哈
无敌破坏王
卧槽BGM我超爱
高考失利，开启复读的一年
刀剑啊啊啊啊
这种场面就世界末日了？幼稚
冰菓，刀剑！
和我一起看了2000人好啊
T E N E T
那时候刚刚上高一，晚上一个人躺在床上等世界末日。
！
2012没什么很有印象的事，碰到了章幸星吧
fix you
锤子，泪目
啊啊啊啊啊啊!敢死队!我的青春
球王！！！
2012家人还在，还很幸福
锤子科技！
IG夺冠！！
恍如昨日
pop2012真的很好听！
我哭了
coldplay!!!
17年发现的宝藏歌曲，没想到一晃5年了。
现代社会黄金年代
我大学毕业了
我的920静静躺在抽屉
林！书！豪！
优酷+土豆＝youtubu？
老罗
当时我也上课
诺基亚yyds
大帝
世界末日哈啊哈哈哈哈当时快吓死了
坚果的好多设计真的很有心
啊啊啊啊啊啊啊冷笑话！
仿佛还是昨天，没想到已是十年
想不起最难忘的，但这些都记着
好家伙全都在那一年发展或创建
土豆可惜了
中考上了普高
看见散华，绷不住了
那一年，我还有头发
周杰伦！
末日那天我们月考
黑衣人！
呜呜呜呜呜林疯狂！！！！！！！！
那年高考结束
老罗！
原来他们都合并10年了
那一年，刚好入伍，这一晃都十年了啊
太极熊猫吗
那天下雪了
碟中谍4啊啊啊啊啊碟中谍的巅峰
BGM就是12年的p
甄嬛之后再无宫斗 十年了
世界未末日
bilibili
刀剑！！！！
我超，pop2012
那年十八意气风发
请收下我的硬币！！！！
我第一次看到我的白月光
进击的巨人
小米2s吗
贝蝙！
pop love
好快啊
拜托，真的很好看
大概是上大专和告别初恋吧
李姐
fix u 一响起来我就要哭了
带魔兽世界玩的都是好人
瘟疫公司是瘟疫公司
居然十年了天啊
劳拉
十二中学子前来报道
瘟疫公司！
黑篮！
啊啊啊啊啊复联
原来我真的是可以被燃哭的啊
散华礼弥！！
那时候我还没有负债，没想到抖负债十年了
2012年刚上大学啊，一眨眼十年了
我心中真正的元宇宙-刀剑神域！
12年，TF
那年我高二 浑浑噩噩
那时候还在上小学
刘翔没有对不起任何人
潘达利亚！！！！
就是9，接下来就是雷劈飞机了
我初二
EXOEXO的别走
cf百城联赛
 这个世界从来就不美好
玛雅人出来挨打！(doge)
2012我才14岁  还啥都不懂呢
瘟疫公司
我姥姥在这一年去世了，是我童年的末日
原来fate都这么久了啊
影响我前半生的人还有九个月到达战场
12年上高二
你币有了
高一文科重点班
甄嬛传YYDS
来到2022！
刀剑啊啊啊啊啊
中二病啊啊啊啊
遇见她
这是那个pop2012的，听了好多年了
bgm是Pop Danthology
瘟疫公司
一晃，一年过去了
好想再来一次
咖喱棒！
刀剑神域！
十年
瘟疫公司
哈哈哈那一年都在传世界末日
2012奥运会
解构是这个意思吗？？？？
这十年发展的是真快
我去年买了个表
fate！！！！！
saber！！！！1
吾王
康辉
ex-咖喱棒！
最难忘的是我这个贫困山区的孩子吃到了营养餐，喝到了露露杏仁露，那是我过年都不曾喝到的东西
都放弃优酷土豆了
好多回忆 优酷土豆
max！！！！
我现在正用着surface看这条视频（doge
字节成立，至暗时刻
劳资的青春啊
。
JAYJAYJAYJAYJAYJAYJAYJAYJAYJAYJAY
好想哭
世界末日
当时坐在教室里，看着天边诡谲的云彩，当时真的觉得自己要死了
我的天  我的梦中神机 Lumia920！！！！！
好想回去啊
我们欠刘翔一声谢谢
大帝是真的一点没老啊
那年12岁
五月天
刀剑！！！！
未上锁的房间！
bolt！！！
这是我的12岁 谢谢你带我回去
十冷！！！天哪
那时候我小学一年级
那年我10岁
十冷！！！！
那时候我和她还在一起
后来，老罗靠字节跳动还了债
超凡！！！
BGM是混剪的
末日好评
无名高地到鸟巢的十年
G
4G网络
她
那年我工作了
920
撸妹儿！！哭了
啊啊啊啊啊fate！fate！
我没有印象了
修理你
入宅作!!!!!!!!我爆哭
抖音快手真是社会毒瘤
开炮！！！！
我也在上英语课
听到bgm就投币了
BGM：popdanthology2012
高一很开心的一年
1.5？
初三，很快乐，当时就算暗恋别人也不觉得痛苦
然后字节收购锤子，锤子现在没了
就像在昨天
林丹！！！
920！！我有！！
已经过去那么久了吗
2012，我很怀念
绷不住了，一到动画片弹幕这么多
感觉2012离我很近，可细想我那时候才六年级很远了
刘翔！
fz
2012！！我唯一的收藏歌曲！曲对币有！
刀剑神域！！爷青回
魅族小圆点!
复仇者联盟原来已经是这么久的事情了吗……
生物考试
竟然已经10年了！
为什么我的眼里常含泪水，因为我对这土地爱的深沉
散华礼弥！
已经十年了吗？
这一转眼十年了?
pop2012
咖喱棒！!!
吾辈何以为战！
大帝出现我也跟着鼓掌
甄嬛传排面！！！！！！！！
12年入职公司 今年十年了 还在职
呜呜呜呜呜
超级丹！！！啊啊啊啊
那天凌晨4点我还出去转了一圈，大街上全是人
我看谁白嫖
4G真是太快啦
邪王真眼是最强的！
黑篮！！！
2020才是
Jay！！！！！！！
给12年的自己道个歉，对不起，让你失望了。十年后，我并没有变的有多好，还把生活搞砸了。
冰菓！！！
时间从来不语 却又诉说了一句
大帝!
超级破坏王！
这个歌哇初二听的现在大三了
T1都十年了？
刘翔不是08年？
字节死
初三升高三，也第一次喜欢一个人，好怀念
那是一个美好的年代
我也做了这个梦，不会真的是世界重置了吧
jay！！！！
真快啊  10年了
我找到了我的梦
想想但是侠盗5准备出时我激动得一整晚都没睡
上帝当时提到了那天的时候吃到了芥末
于是：是芥末，日！！
更残酷的是，突然被大多数人背刺
哭了，时间真的好快好快好快啊
saber！！！
这些游戏都是我小学玩过的 泪目了
那年冬天我初三
CSGO！！！
辽宁舰还有没有出现的末日
类
世界末日吧
我怀念的2018
pop2012很经典
老罗！
唉，土豆，唉
fun的somenights 泪目了冷门神曲啊
那个时候的蜘蛛侠也比现在的好（怒
门前大桥下
哈哈哈哈哈哈哈哈哈
随便
这个是我？
漫威的时代已经结束了
the room
芥末？
然后呢
2012？
现在是2022
还在上小学
刘翔！！！！
天哪10年了
你视频火了我将成为，一个见证者
那年我结束了我的童年
真的有诶
我们的深蓝
碟中谍4！！！！最爱！！！
那年，我才初中啊
一个视频剪了十年
废了
fix you！！！！！！
我的第一本新华字典
火钳刘明
不想死在英语课上哈哈哈哈哈哈哈哈哈
心理测量者！！
心理测量者！！
无敌破坏王！
优酷都凉了
锤子还在吗
刘翔
那是最轻松的时候
刀剑神域！！！！！！
Decade ago 
三年级
互联网正式拉开十年的黄金时代
好家伙    DNA动了
lights
12年我读初二
林李
这混剪在ST一天听十遍
TARA
以前真的好美好啊
第一次恋爱
原来已经过去十年了
这一别，就是十年
泫雅呜呜呜
已经十年了？
不要联想
白小飞站住～
我才10岁
报告老板～
EXO
中专刚毕业
我是真的会哭
2012音乐巅峰年
太二真人
饥饿游戏！！！
登山赛车！
十冷的太二真人的配音～
最难忘的是那个人。
泪目了
我那时候还是个傻子
聪哥，你看到了吗？
迷你英雄!
刀剑！
ID达成
2012我初一
卧槽
绵羊姐
真怀念那时候的日子，不用带口罩，可以在阳光下肆无忌惮的奔跑
我爸是诺基亚铁粉，现在还在用这个手机
老爷！！！
全民超人汉考克
还在上小学呢，世界末日那天放学那个时刻印象很深
原来12年之前就有快手了
神仙打架
我那年也是20岁
马圭尔
2012
我的2012
哎
哭了
泪目
泪目
她
12年刚加入工作，10年了刚好。
原来十年变化已经这么大了
日本还是一如既往的弯腰鞠躬
十冷！
啥时候能有更多的人创造更多的新东西啊
祝福2023
为了火影用优酷那时候
2012我刚入学
LUMIA 才是时代的眼泪
原来2012发生了那么多事情那年初一
刀剑排面！
互联网飞奔的十年
那个时候还是小学生
曲对币有
你说了jojo是吧
那时候还在小学呢，也听说了世界末日哈哈哈，不知道到底从哪传出来的
泪目了
上大学了
拍照超级棒的手机
火炬之光
甄嬛传排面！
是啊
卧槽 lumia出来的时候我泪目了！
刀剑呜呜呜
看着看着就哭了
Some Nights
复联！！！！！！！
我8岁那年
我们也实现了
Hunger Games！
带来远处的饥荒无情的战火依然存在的消 息
fate
土豆啊。好久没见到了
我才初一诶
前面的 是 sober
六花
瘟疫公司！！！
梅西年度91球神迹
够100了
HATV
fate zero太好了
瘟疫公司啊
莫名感动，那些回不去的青春
真的很爱复联，可惜漫威不做人了
火炬之光！！！！！
刀剑神域！！
四年级，现在大二
刀剑神域！
五月天啊啊啊啊啊啊
那年我考上了高中
登山赛车
那一年 我刚回国 泪目
是我生死狙击不配吗？！Doge
刘翔对不起
神庙逃亡
刀剑！
火炬之光
承包空屏
土豆 好久远的名字
那时的人们对未来真是充满了希望
高中毕业十年了
还滴滴呢
我天，时代的眼泪
一闪而过的瘟疫公司
时间真是快啊
sao!
全国人民都欠刘翔一次道歉！！！
啊！！！
熊貓人之迷
世界末日那天，我们学校下大雾，一睁眼天全白了吓我一跳
五月天啊啊啊啊啊！
BGM：pop love 2012
是康辉老师！
那一年考研成功，转眼十年了
大帝好霸气！！！
Coldplay！！
呜呜呜我的饥饿游戏！！！
1
EXO的我也是
泪目啊
邪王真眼是最强的！！！
那天我在学校往窗外看着太阳落下去
罗老师 别这样
大学毕业了
6000+
现在杭州都有13条地铁了
原来已经这么久了
那年我遇到了我一生的挚友
幸运的是，我还年轻。
刀剑入坑
鸡皮疙瘩真的炸了
酷玩！
黑子！
前两部电影都看过这个神庙逃亡也玩过，教程跳不过去呀，不到为啥
！！！！！
白嫖失败
JOJO！！！！（我去年才看）
2021
卧槽刀剑
MESSI
哈哈哈哈罗老师
莫言
破坏王不是很细节了，第二部近几年才出
啊啊啊啊啊这个串烧我一直听
大学毕业分手
哇哦~
那时候刚刚谈恋爱
康辉老师！
这个币我必须投，我的加菲！！！！！！
老罗！
为啥有点遗憾
黑子！！！
十年了，不知不觉十年了
淮安中央新亚商城
想象那些没有疫情的时代，人们的生活都是怎样的呢？
这可是十年啊
10年变化有多大 其实我没有觉得有多大吧，以前也是玩网络热词玩游戏现在也是一样，只不过人长大了
现在还是大帝!
感觉就在昨天
2012我刚上初一 2022我刚考上研究生
那个时候大家都不戴口罩
甄嬛传排面！！
泫雅！！！
还记得当时我跟我妈坐在桥头边的店里喝鸭汤
土豆，我第一個接觸的大陸視頻網站
五月天！！！天呐！！
卧槽，我一直都想看以前的电影都混剪的，感谢up
酱紫剪？
那年我20岁
我的青春结束在了2012。
酷玩
泪目啊都是时代的眼泪
你币有了！
2012那年，我失去最爱的她
这年我高考
龙哥
公路车！！！
我还是个小孩子呢
我祝大家平安
眉姐姐！！！
辽宁号都十年了?!
Coldplay！！！
黑子！！！
Lumia太棒了
刀剑神域！
杭州地铁十年了！？
高考
已经过去这么多年了？？
看到这些新闻确实感觉好久之前了
我的某一段10年竟然经历过这些，好神奇
咖喱棒！
Usain bolt
哈哈想起来了，传说是世界末日，还在上初二好像
12年告别大学生涯，我毕业了
这首歌我听过
五年级，和做了几近五年同桌的男同学最后一年同班
没想到已经10年了
那年我12
我的撸妹
刀剑
再见了我的青春
卧槽，散华礼弥，真的吗真的吗？
刀剑！！！！
那一年的TI我们是冠军
已经这么久了 但是感觉都还在呢
psy
Lumia
Rip
散华礼弥？
接地气竟然是12年才有的！！？
十年之前
前面的，玛雅人救了我们！
邪王真眼是最强的！
2012复读考上大学
刀剑
黑篮啊阿啊
邪王真眼是最强的
牛逼
这一年我结婚啦
那年我才12岁
居然还有人记得心理测量者！
Pop Danthology 2012
2012 初三
瘟疫公司！
那时候我才九岁
土豆网！！
那年，还没有疫情…
我最喜欢的游戏World of goo.
All I wanna do is love your body 我是如此迷恋你的完美曲线
还记得高一花了四千买了一部Lumia 920白色的 结果被同学偷走了
采访当天中午，我刚好来到这世界
中考
Don't wake me up 不要把我叫醒
What doesn't kill you makes you stronger 那些没有彻底击倒你的东西只会让你更加强大
神似敬汉卿
狠狠泪目了
Pop danthology 2012！
刚上初中
男高！
那一年我14岁
火麒麟问世
2012大雪 和家人堆雪人没记错的话 
遇见她
屑
我要买特斯拉股票和比特币
啊土豆
2012我高中毕业，进入大学
感觉我的记忆还停留在昨日
林丹！
哦刚上小学
周杰伦！
林疯狂，当时爱上了篮球
这年考研成功
那时候没有疫情
我现在依然很熟
都老了呀
邪王真眼是最强的！
您找到您的幸福了吗？
我不做人了!
我玩了一年的洛克王国
实至名归百万剪辑狮
110
当年跨年真的蜷缩在被窝不敢睡
这一年我刚毕业啊
饥饿游戏！
你是怎么读秒的？你刚刚读秒读慢了！是不是……
十年后，我们甚至只能相隔于口罩
.再有一年，我就离婚了！
那年16唉
法外狂徒落网
感觉就像在昨天
撸妹920！！！你币有了
林疯狂!
那个时候 还没有疫情
刀剑神域！！！
邪王真眼是最强的！
上高中啦那年
泪目
那不是梦，已经开始了
那会贝娜姐还在
万万没想到
康帅
哇
五虎唯一齐聚的一场比赛
我好激动，不知道为什么！！！
那年去我刚上大学
没戴耳机，社死
李亚丽
还有一个呢？
十冷！！
刀剑
那时候还有朱军呢 时间好快啊
那一年离开了
马浩楠别卷了
张伟！
不知道啊 我才8岁
额额
12年小升初
热火总冠军！
300亿拖回来的瓦良格
爷的青春！
周杰伦周杰伦周杰伦
忠诚
当时我就在鸟巢，看到刘翔倒下当场就哭了
天呐！！过了这么久了！
看到诺基亚真绷不住了，当年我梦想中的手机
刚考上高中
那年大一
那些对现在影响很大的事，在当时看来只是一个小瞬间
那个时候放学回家的路上，和妈妈聊起了世界末日
JOJO！！！n
JOJO！！！
2012女儿出生了
2012上高二！我的初恋
今年24岁，青春的尾巴，加油！！！！
那一年12岁，今天21岁
感觉从那一年开始，时间就过的好快好快
B站上线这么早嘛？
邪王真眼是最强的！
既生瑜 何生亮
这十年好像没啥进步
pop danthology
过年了？
老罗！
字节最后收购了锤子
复联！
好家伙，互联网时代的兴起
致敬经典
我生日。。。。嗯
露米娅（）
时间过的是真的快！
那年初二
周！杰！伦！
字节和心脏只能跳动一个
五月天！！！！！！！！！
周杰伦！！！！！！！！
心测！
那一年刚上初中
文艺复兴
北京十二中！母校！！！
距离大一已经十年了啊
解救的姜戈
初恋分手的那年
恭喜周杰伦
西班牙卫冕欧洲杯
我竟然读了快10年大学
心理测量者！！！
12年，我正好高考
刺客信条3！！
那时我刚上大学，现在我刚上研究生，加油
瘟疫公司！！！！
回忆满满啊
我不做人了 JoJo
五月天！！！
一晃十年
十冷！
2012那年我才17岁呜呜呜呜呜呜
剪的太好了
超凡虫！
谢谢你，刘翔
高端大气上档次，低调奢华有内涵
⊙∀⊙！
BGM也是时代的眼泪了啊
甄嬛传！
男高！赛高！
火钳刘明
中国人的浪漫
我还记得很清楚那天我在考试
妈耶土豆。。。好多土豆视频链接都失效了
12年就有抖音了么，感觉抖音是17年18年的事了
拉力赛n
甄嬛传！
刀剑！
怀念以前不用戴口罩的时光
我那天去做了！人生第一次坐地铁！
时间过得真快啊
突然很想念小学的朋友们
诺基亚！！！！！
我忘不了我那时候和家人一起吃团圆饭的快乐，不过因为疫情已经没有了
fix you！
那年她还没入狱
怎么名字还打码
那年我初二
男高啊
Coldplay！！！
但是大家都只不过是在开一场玩笑罢了
世界末日那天，跟好兄弟包宿Dota
这首歌太犯规了呜呜
没想到啊！曾经我最喜欢的土豆网不复存在了，当年最喜欢在土豆网看电视了
可惜被优酷合并了
哭了。龙哥，想你了
一二年流行音乐爆炸一年
安倍晋三成为日本首相
恭喜啦！这条视频是破百万见证视频
可惜了，老罗和锤子科技破产了
2012年是B站登陆手机的一年，那一年安卓手机上都可以下载B站了
快手转型向短视频发展
四川地震了，愿安好
2012年杭州地铁一号线开通，并且覆盖4G网络
2012年全球手机出货量达到7亿部
2012年的《甄嬛传》是我看过最好看的清宫剧
2012年的刀剑神域
2012世界末日
2012年中国第一艘航母辽宁号下水
正在大学
手持锤子手机观看
开炮！！！！！！！！！！！
开炮！！！！！！！！！！！
开炮！！！！！！！！！！！
转眼10了
刘翔你是中国的英雄！！！
辽宁号啊！！！！！！
对！！合并！
字节什么时候die啊
天呐这我阿姨
十冷！
a啊啊我在现场！北京鸟巢！
十冷排面
男高！
我好像是上了一年级！！
火钳刘明
nothing special
高一开始
快手之前是GIF图制作软件
时间过得真快！
梦回2012
Fix you
那年真是美好的回忆
12年还在读初中
放弃了职业电子竞技好好念书
我遇到了我这辈子最爱的那个女孩
当年学校都在传哈哈哈
那年还没有该死的口罩
那年我大二
看到刘翔，泪目了。超人
2012版最好听
FZ！
12年底入伍，我人生中最正确的选择
五月天！
时间过得真快啊  阿惠都出来了
五月天！！！
pop 
这个remix是真的让人怀念
永远回不去了，唉
那年我才20岁！
已经十年了啊
土豆！时代的眼泪了
那年9岁
居然有火炬之光2 泪目了
每年都一样
