“铁粉是黑色的”
救，居然有点好听
不装了，我摊牌了，我是他老公
谢邀，黑转黑了
笑死你们才不是ikun，到时候他老了你还记得他？我们届时会尊称一声鸡哥
好帅
文艺复兴
好gay啊这个人……又gay又油
真ikun
哎哟~~
有点好听啊
小黑子
大神我的三连给你了
一天一遍。
我是纯路人感觉很好听
真是够了你们这些黑子
你们口中的黑子：帅气的卡点，高端的特效         IKUN：尴尬的文案+啥也不是的视频 谁是真爱一目了然
纯路人来辣
1000加就离谱
1000+在观看。。。。
" 你粉上的是up,不是蔡徐坤"
太帅了，黑转黑
中分头加背带裤，我是ikun你记住！
好多ikun
kksk
我超 我直接黑转黑
居然被反向安利啦，他好帅啊
你干嘛
小黑子露出鸡脚了吧
好帅啊
好听啊
你再骂！！
是安利向吗？
好听，黑转黑了
哈哈哈哈
帅的
上头
你干嘛啊
其实挺好的，帅帅的
这是个人演唱会？
绝了
开头见！！！
太好听了呜呜呜
帅死
up真爱粉吧啊哈哈哈哈哈哈
kksk
你再骂？！！！
这唱的是啥啊？
坤坤好帅
kksk
好听哎！
他比真粉丝更爱他
这里好帅啊哈哈哈
rap不是坤坤唱的，能听出来
机你太美
oh～ye～
确实好听，投币了
好帅
好听，黑转黑了(✪▽✪)
确实好听欸
忘记原唱了
要素太多
黑子？？？
好听，黑粉转黑了
建议艾特你身边的ikun来看看（怪笑）
真的挺搞笑的
你干嘛～～
还挺摇的
《现在开始我只准你砍我》
好好听啊
这里帅的
第一次世界大战养的我~
太上头了救命
不太确定，再看一遍。
不太确定，在看一遍。
救命，但是他真的好帅！
好怪哦，再听一遍
好帅，路转路了
太好听了，黑转黑了呜呜呜
黑转粉了
颜值没话说
黑转黑了
NB
这段真的好听
帅
太上头啦
好帅的
。。。
上头
黑转粉了
咳嗦 居然有点帅是怎么回事！
露出鸡脚了
食不食油饼   是不是香精煎鱼
我滴妈，太上头了！
比原曲还好听
我的评价是：比原版好汀
没什么？
第一次鸦片战争养的我
第一次鸦片战争养的我
评论区打不下来，开始攻占弹幕
kksk
你食我的，我食你的shit（幻听
真的好听
我去，鸡哥挺帅的
这这这不对吧
黑黑二象性
鲲流才是顶流
还挺帅的
不管我怎么去烹饪！
有一说一，鸡哥挺帅的
鸡你鸡你鸡你是太美……
让我怎么去做人？
王德法
转粉了转粉了
kksk
永远的亚洲鸡王坤坤
小黑子漏出鸡脚了吧
逐渐忘记原唱
这才叫顶流
爱上了，有点帅
1000+住这里了是吧
尤里太美
ikun狂喜
见kun进
第一次鸦片战争养的我
你让我怎么去烹饪
我是真ikun
1000+
好听也是橘子的功劳
好听！
求bgm原曲
每天jjj，不得爆？
优雅！实在是太优雅了！
哈哈哈哈哈哈
第一次鸦片战争养的我
优雅天使
再来亿遍
我愿意把我的臀部给你
ikun 转粉
如果把鸡改成只因就是真IKUN了
好听呀
kksk
纯路人
很好听
文艺复兴了实属
封面这么帅，你好爱他
我张立晨彻底疯狂！！！
她太美了
啊哈哈哈哈哈
好听！！
帅！
好好好好好好好好
帅起来了!
纯路人
荤素搭配
笑死
虽然，但是真的好好笑啊 
啊啊啊啊啊啊
好听好听
你再骂
你让我怎么荔枝                                                                            我装得像吗？doge
《真ikun》
鸡艺复兴
要来力(喜)
小黑子
《变成鸡》
这怎么听着像前队友的声音
纯路人
铃声预定！！！
他真的， 我哭死
文艺复兴
练习两年半
你干嘛   你干嘛
这有点好听呀
哎呦  你干嘛
中分头背带裤，打一动物
太美了
我好爱阿
火钳刘明
不管我怎么去烹饪（确信
还挺好听
小脚子露出黑鸡了吧
现在确认了搞死我
美！！！！！！！！！
妹妹真棒！
好听
这不比周杰伦新歌好听一万倍
再来亿遍
救命
第一次鸦片战争造就的我噢~
感觉比原版好听。。。
kksk
真ikun
我家坤坤下的蛋你一个别想吃
好听
优雅，实在是太优雅了！
还挺帅的啊！
爱了爱了
优雅！
再来一遍
黑转绿了
ending有点帅
哈哈哈，就，很灵性~
好听死了啊啊啊
基
坤流才是最吊的
你让我怎么去做人！（悲
鸡哥真帅
帅什么呀？明明是美。
还挺好看的……
啊？我的币咋消失了
6
荔枝你让我怎么荔枝
太好听了吧，菜虚鲲好帅，我路转黑了（
每天一便
好好听
小黑子
姐姐真帅
好帅！
去做音乐吧，好好听
太帅了
不砍我怎么去烹饪？！！！
他唱跳rap确实是可以的
你太美
kksk
永远的亚洲鸡王
小黑子露出鸡脚了吧
哦～～哦～～
投币啊嫩着干嘛
我要笑死了
！！！
小鸡子  露出黑脚了吧
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
香翅捞饭食不食
亚洲鸡王坤坤
太好听了，黑转黑了
出不去了
有点摔
歌意外的好听
比ikun还会剪哈哈哈
你才是真粉
露出鸡脚
kksk
纯路人！
这是安利视频吧 太用心了 好帅
粉转黑
完了，好帅
我是ichicken
纯路人
救命！好好听
小黑子
漫长的两分钟
全是友军怎么玩？
他爸妈是怎么听得懂婴语的​
没想到吧，爷是黑粉
坏了弹幕有鲲癌
优雅
老婆好看
好帅好帅！好听哎！！！
kksk
上头了
好有才  整得挺好听的
第一次鸦片战争养的我
哈哈哈哈哈
见一遍坤坤再见
不搭理才是最好的处置
小黑鸡，露出饺子了吧
太好听了吧
kksk
kksk
出一张专辑吧 哥
太帅了
纯路人
好活
你干嘛～～～～哈哈～～～～哎呦～～～
黑转粉转黑转粉
真的好订
居然好听啊啊啊优雅的鬼畜
恐怖收藏量
kksk
太好听了
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～
吹爆！！！
第一次鸦片战争养的我
老婆
第一次鸦片战争里的我怎么去否认
居然有一点好听，是怎么回事
鲲流才是最吊的
额。。。
我已经循环了五遍了
好好唱 别放19年的哭包照
鸡哥真帅
真帅啊
循环至少20遍了
你干嘛~哎哟~
真的是黑粉才是真爱啊哈哈
荔枝，你让我拿什么荔枝
你让我怎么荔枝
b站最大的现代黑社会经济、全靠股市撑着
黑转黑了
是不是油饼（doge）
当小黑子每天都有个听听歌
哎呦~你干嘛～～
出道即巅峰
帅炸了
被洗脑了
上头
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
好好听哦
纯ikun
属于是黑出感情了
你干嘛哎呦(doge)
黑出感情了
不得不说是真的很帅
爱了爱了，我黑转黑了
《制作过于精良让我怀疑你是蔡徐坤的粉丝》
IKun
真变成ikun了
恭喜你发现宝藏
恭喜你发现宝藏
你看了多少场演唱会，你是真ikun
小黑子
很好看不确定再看一遍
蔡的团队真没格局。。。当年明显可以趁着节奏把黑转粉的。看看人家雷军
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
第一次鸦片战争变成这样的我
oh~~~
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
有点好听
好听!   太棒了!
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
这一幕太美了 好会剪
鸡王无敌
鸡王牛逼
他歌也好
kk真的好帅啊
注入灵魂
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
871个小黑子 出来吧！
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
好活
卧槽  居然真的好听
第一次鸦片战争养的我，教我怎么去做人
可太好听了哈哈哈哈
真正的ikun已经开始串
我愿意把我的臀部都给你
一眼真ikun
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
哈哈哈哈哈哈哈
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
真ikun
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
up牛逼
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
三个男魂一律鉴定为弱子
小黑子我劝你苏珊！
好听啊卧槽
纯黑子
亚洲鸡王坤坤
爱蔡徐坤，狂粉
kksk
卧槽
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
我愿意把我的臀部都给你
《你没**》
太牛了
好活
干嘛~~~~
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛
真ikun
第一次鸦片战争养的我
露出鸡脚
好开心啊  哈哈哈
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
小黑子，苏珊
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
忍不住听了两天了，好听
好帅嘶哈
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
坤坤我爱坤坤
坤坤唱的真好
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
笑死我了
NTMNTM
真ikun
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
我愿意把我的臀部给你
《现在开始我只准你砍我～》
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
kksk
好可爱，救命
爱住了，up真的有才，坤哥好帅
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
真ikun
走不出去了
好怪哦 ，再来一遍
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
好听好听
你太美
干啥呢这是
"巅峰产生虚伪的拥护,黄昏见证真正的信徒"
哦～♂
直接分不清楚是不是真ikun
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
鸡太强
真的上头   听了好几遍
成功让我，忘记原唱
脱敏系列了属于是
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
再来亿遍
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
第一次鸦片战争养的我（鸡）
你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
～你干嘛～～～哈哈～哎呦～～你干嘛～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
今天看的第五十三遍
kksk
