弹幕怎么重置了？
哪为什么不用40个小核心呢？
建议直接做40个小核
《老实》
ipc，不是性能
10nm+++
DDR4金手指好像也不直的
我就要中杯
16g2000块。。好了我选择等长鑫出DDR5
9700k直呼背刺
苹果太狂了，没办法
Intel 4了
M1 yes
有没有可能把大核全换成小核，追求极致的多核性能
40个小核可以看看志强上不上
当别人是傻子？
全做小核谁来写多线程代码？头发不够用了盆友们
给我来个核弹
评论区又有人问有苹果m1强的了
他至少明着说了，我觉得是在yygq其他代工厂
“从营销上很劣势”
不想要新电源接口，你直接线路集成到版好不好
那下一代怎么搞，一半变小核是吧
666
早晚英特尔 二 工艺?
从头再来(新牙膏)
？
一个西瓜多切几刀道理一样咯？
慢男
大众：？？
台积电都5nm了
降低成本，指涨价
妙啊
健达奇趣条
AMD：懂了，我做四十个小核下放桌面端
修复了AMD性能比inter强的bug
英特尔实诚时吃亏了，不得不圆滑一点
从头再买
造成圆的？
浪费沙子就太过分啦~ 哈 。。。
Ringbus
全小核的参考志强x79和x99还有d系列和融核phi的
当年ddr4首发16g一千块
我也装一下 说一句 秒啊
这比三星还牛逼
是光！！！
哈哈 直接改游戏规则 你吹咪
弹幕说全做小核的太搞了
777777
即将步入下一代＋＋＋
确实老实
我还在用DDR3
来来来
全换？真坑，DIY已死
其实这次小核基本就是跑分撑场面用的，玩游戏跑生产力都是靠Goldencove大核~所以然并卵
那为什么不都用小核呢 
那是不是，把其它8个留2个剩下6个全做簇，能效不是更高
那就叫8nm
一个小时！！！
那为什么不多来点小核呢
这波是欲扬先抑
那还不弄1-2个大核16个小核
i5这L2容量比R9都大了~牛逼
星巴克直呼内行
就是10核不如16核宣传猛
《传统的新插槽》
12年就做了全小核了。。。至强融核 60c
科技以换名字为主
你慢了
得加钱
塔笠班战核
澳大利亚
我以为我眼花了
自欺欺人
图吧垃圾佬新的挑战来了
七尺大儒
《连挤两管》
玩家要为厂商想，我不加钱谁研发
连浸入式duv都没搞定
pcie4.0真就是个过渡呗
orderlake
amd：你板子贵
字母的阴影我还以为我眼花了
高通的a55不换打死也不买安卓机
10核告诉你是16核
你拉了
牙膏挤烂了
残品才会做成I3
这次又可以挤5年牙膏
saint suema
自信点，直接说华硕！！！
都在老实看
全新的散熱器
春秋笔法
老实？把m7改名成i7你说它老实？
终于能买便宜的AMD了
云飞呢
价格也是全新的
苹果都5nm了，amd的5nm也快来了
全换小核，追求极致多核性能。。。你在说显卡吗？
打不过就摇人
制程命名比起台积电可太老实了
.
233
英特尔不是放言说不上pcie4.0吗，原来直接跳到5.0
大杯和超大杯
amd yes！
《老实》
前面说整40个小核心的，真这么做会被amd一手32核爆锤
可惜不能装苹果系统。
卷起来
所以M1 Max的硬核评测呢
amd直呼c语言
澳德雷克
ddr3再战10年
一年两代，真有你的嗷，英特尔
《侵占
什么时候是西湖架构
《侵 民》
感谢库克就离谱
怎么这么长
苹果：你继续说
看密度，intel 10nm比台积电7nm还强呀
gen3足够3090用了吧？gen4，5节省了pcie总线，可以插更多外设
全小核还打不打游戏了
全做小核那只吃单核性能的软件怎么办？
新的割钱
延续百年的10nm+++++工艺时代来了
我觉得差强人意
小核心频率没大核心高
哈哈哈哈哈哈哈哈哈
那留2大核，32个小核？skylake服务器U的性能了
那为什么不全部塞小核？
第十二代牙膏（）
老婆饼
40小核做服务器？
火龙888
神TM感谢库克，感谢AMD差不多
苹果yyds……
唉，桌面级的没啥意思，要比直接上8系
有用
电源都换，你机箱不一定留的下
浪费沙子哈哈哈哈哈
之前台积电搞这个时候你们啥都不说，反倒现在黑intel
2nm还有吗
终于不是14++++
没看到卧薪尝胆的样子，牙膏还是一套一套
耍小聪明有用？
别忘了n7工艺已经是多久以前的老工艺了
不要挤太多牙膏
pci-e4.0没用
安卓继续用A55就恶心
卧薪尝胆？多挤牙膏！
10C24T?
那能不能全用小核呢 多核直接无敌啊
妙啊
清库存？？？
弹幕总觉得自己比因特尔工程师更牛
这不叫营销 这叫诈骗
《亲   民》
45TFSI是吧
英特尔：友商先动的手。。。
英特尔还在跌
DDR5可以从老显卡下扣下来嘛
还在用DDR3的我……
金钱的味道
收了钱的就会说12很强 实际问题贼多
我决定再等等
就是配给win11的
模拟器赛车UP居然评测CPU
又是猪王
好家伙
1700。。。。
51m用不了12代了...
高情商亲民   低情商廉价
所以硅仙人发威了？而且英特尔不是说好多元老级技术大神都回来了
卧薪尝胆一年就弄出来这么个玩意儿？
等等党又赢了
大核和超大核
苏妈笑死了
云飞呢
杨笠女拳处理器
李老鼠不说车了？
666
牙膏挤出来了
？？？？？？
这个效果做的好看
不要脸
有用，但不是很有用
牙膏挤爆了？
不降低单核性能前提下，提升单位面积性能
方便挤牙膏
那为啥不做2个大核+32个小核（
。。。
英特尔实诚给我乐到了，tdp怎么不写实诚点
全新电源接口肯定是ITX主板先上。
全是小核40核心数框框岂不美哉
笑了
三年了，你知道牙膏厂这三年怎么过的吗
实际上也确实是比台积电5nm强
给钱就优化的意思
单核性能不要了？
可是显卡买不到为什么要买CPU呢
台积电和三星都是率先虚标的
自欺欺人方式
杨笠
鸡肋的I7
这二级缓存？
别急，后面还要换电源标准，主板机箱电源换代都跑不掉
花了3代 终于追上amd了
热啊
额，目前来说还是无奈之举
英特尔还是回家睡觉吧
就是把2个大核变成8个小核，美其名曰8+8
简直放屁
属实是藏不住了
AMD以前也用过这招 速龙K7
Ddr3路过
10nm+++++
不是吧，又得换系统才能用？
主板都得换
电源都得换，太狠了
东芝40T的pcie固态硬盘
感谢amd
我想看和m1的对比
胶水是什么时候的事了
都请杨笠了当然明白
那40小核呢
升的一口好级
没人发弹幕啊
感谢两家姓A的让我们用上更好的PC处理器
我电脑还是6核啊
那12代比10代不是提升了38
m1 max呢？
工艺不行ppt凑
还在用DDR3的路过！
那多核心还是会被正常的zen3旗舰吊打吧
Win10也是2015年发布 莫名同步
残废核心.......
苹果：你说啥？钱是什么？继续堆！
wintel 爷青回
莫非是那位从A跳槽到I的大佬的想法？
m1lail
4k 60还行
因为塞不下去..
AMD针对器
加价就行了，省钱干嘛
两千五还行
呵呵呵
买11代的血亏
来骗来偷袭
这点对懂行的挺恶心的，但是一般消费者就吃这一套
那我的Ubuntu怎么办
说白了还是玩数学 为了不落后对手核心数
传递出加钱的信号
我要问了，m1max的测评呢？狗头
就像毛子先进战机玩不过人家，四代机叫五代机，然后对面跟着升格为五代机。
我下一代带你这一代  我服了
已经满10个了，那之后呢？
我看他就是藏着掖着不拿出来
''
一个大核，剩下全部小核
牛B，就想看这个
浪费沙子哈哈哈哈哈哈哈哈哈
《简单》
其实还是稍微有那么一点在乎的
up主你变了
刀法精准
所以linux
科技 以改名为主
我特么直接77777777
老串并联了
微软改名部直呼内行
出11代i7
船新10纳米工艺暖气片
来波40个小核岂不美哉 doge
浪费沙子好评
贵的离谱
空降00:30
次世代真的来了
" An D, yes."
不是手机那种大小核，是性能核和功效核
因为发热压不住了啊
都叫7，碰瓷7
浪费沙子
罗老师别这样
牙膏挤爆
苹果牛逼
amdyes
专业
低情商:并联电路
直接改成1 纳米岂不更好
来测试一下群星大后期啊
不挤牙膏了
全做小核，40岂不是更强
罗老师直呼内行
小核对散热有帮助
ring bus
有点像ps3的cell处理器
cluster
提升好大啊 我去
科技以换槽为本
爷青结
懂了，13代16个小核加6个大核
不在乎？用上小核都奔着300w去啦。
喜个P，这牙膏挤得，挤大了，又没完全大挤
16核的跑分然后游戏上就当8核用
四十小核心单核性能太低
明白了，等降价
国家电网:YES!
虽然听不懂，但我大受震撼。
供电规格太高了。另外还能凑核心数。
14+++++++++
这不得热门
除了硬件都是全新的，连糸统都是全新的你敢信（狗头）
感谢amd
10代:我不要面子的？？？
谁喂的泻药？
我没问啊
挤牙膏
不在乎功耗???
玩明白了是指请拳师代言是吧？
AMD no
和win11狼狈为奸
说人话：全都要花钱
那为什么不全部做成小核心？我真是个天才
没睡醒？
太差了
我要这里面的中核
失望
rnm评论全是饭圈文
下一代有了，6大核16小核
。
一核工作八核围观
升级等于换平台
我也是ddr3
换了一管新牙膏？
MacBook Pro m1max评测吗
我一个台式机干嘛不给我全塞超大核呢我又不在乎功耗
没有AMD，牙膏厂还能挤5年
英特尔营销劣势？老本都够他啃三代的了！
小核碾压I5
还在用 2600K
车开的不错运气一般
250w了解一下
inter：友商不讲武德
大哥，现在还只是M1呢，等M2出来再看看？
换牙膏桶了这是
小白更好骗了
中杯大杯超大杯
玩明白了，指请杨笠女士代言吗
你接着吹
省钱并不是给消费者省钱  这并不是什么优点
来了
最大的出血吧 一张丐板都死贵
不是AMD，现在Intel还在挤14nm的牙膏
12900k，功耗200W
你接着推土；反正我买amd
刚换上DDR4
但是功耗也有点高
牙  膏  厂
6
这个功耗也不低
屁，还同性能？
但是你功耗高呀。
反正都是生意
承包空屏
假装听懂
zen3一代更比三代强
我就要这个中核
营销这一块，intel啥时候糊涂过？
浪费沙子，哈哈哈哈哈
那你就不能把功耗和核心做的适中然后全部一样的吗？
幸亏电源接口没换
666
牙膏挤多了不少
中国移动G3如果是3G的话，那么国美就是美国
全做小核 再把小核变得更小一些 直接变显卡（doge
这特效，笑死
这玩意叫集群
888
罗老师别这样
有没有想过这是变相的饥饿营销~你以为他没那个实力 其实他早就想好后路怎么走来
ddr4快
12代，功耗和发热强到你怀疑人生
拳师专用防侧漏
全换加钱得信号
怕你忍不住
《全新命名》
神tm有零有整
up主好像弹涂鱼
违背祖宗的决定
不然老实人一直被欺负啊
还是没能突破底线加上nm
重新再买
难道就不是  苹果m1逼出来的？我看要是没有新的竞争对手，一直都卖高价，慢研发，阉产品
《老实》
我已经想好了，英特尔的13代就是6+16核
低情商：14纳米究极优化版
全做小核单核性能上不去，对吃单核的应用来说不行啊
就是骗
苹果m1x的内存价格在ddr5面前显得甚至有点性价比
全小核冷饭就没得炒了（
7的意志
真损！哈哈哈哈哈哈哈哈哈
最多用两代就要全部换掉
你这一讲明白，瞬间明白了牙膏的意思。
妙啊~
牙膏厂就硬挤
有人还在用D2，我用D3，现在出到D5了。。。
I3默秒全
14nm++++++++++
对呀现在都在做多核优化，激进一点全整小核心
可能是因为ddr5比较强，嘿嘿
价钱蹭蹭的
ccx？
10nm++
大杯  超大杯
哇，牛！
太炫了吧
不是啊 它是单分出来的die嘛  不是分die就没有意义
全平台优化了
好刀法
堆料拉满啊
14nm+++Max
忘本了
打钱
这代开始有得挤牙膏了，多核堆不了，单核慢慢挤
这声音听得我有点难受  云飞去哪了
苏妈YYDS
哈哈哈
降低成本，价格也不便宜
牙膏挤爆
4
更新太快，本想着首代大小核兼容性不佳，结果11代入没几月背刺
飘哥左边这个模型哪能买到？？？！！！
为什么不做mesh总线?
英特尔:那就多挤点牙膏
《亲民》
你不买我不买，价格马上降下来
凑分
败家之眼
要不就留一个大核
后缀带7的没有好果子吃，不信问克烈儿辣舞7
国家电网合作伙伴
《卧薪尝胆》—指逼迫把技术交出来
"对不起先生,这个是中核。"
蚌埠住了呀
AMD把牙膏踩了一脚
小核面积小功耗低
233
全塞小核不就是核心增加的9代水平了吗。。。。。。。
降成本≠消费端降价 
神他妈卧薪尝胆
妙啊
工艺，小核肯定14nm++++++++
卧槽，12vo
除了机箱，都得换！
11代就是来搞笑的
异常先进
参考第一代ddr4
台积电先动的手，没办法
前面的，全做小核那单核怎么办
都怪那两个姓A的逼的
还在用DDR2
价格无所谓，性能是肯定差
他急了他急了
来辣！
挤牙膏
那7nm的时候是不是叫intel10工艺
、
挤牙膏
zen4默秒全
祖传挤牙膏
卧槽
5年后再入……
全新的价格 更贵了
lake 没完没了
笑死，这还老实?
这明明是 中核 大核 超大核
真卧薪尝胆，++++++
不是14nm了，我青结
除了装逼没用
又换端口，还是AMD yes
牙膏挤掉了再挤一次
直接从7到4太不严谨了
多挤了一点牙膏
总结：全要换
急了急了
小机灵鬼
牙膏挤了一大把
直说:臭打游戏的没用
牙膏挤不下去了
10nm.jpg
英特尔原地踏步是因为不想成为洛克菲勒的结局
反垄断法直接拆分了洛克菲勒，所以不能太占有市场
垃圾
现在轮到英特尔卧薪尝胆了
真的不行
有些人总以为自己比Intel的芯片设计师更厉害，更懂设计。
什么价格
m1 max?
全做小核那单核性能没法看了，游戏之类的市场要丢
什么大杯超大杯？
就喜欢极客湾
这样多核跑分就高起来了
你们该不会真认为台积电和三星的是真5nm吧？
就是让你换主板
秒啊
Wintel
哈哈哈哈
高情商：新的
大小核干的事不一样啊
全小核不就成gpu了 还要cpu干啥
换个CEO果然效果就不一样
妙哉
都怪友商不挤牙膏了。
我把“低负载用小核”看成了“低负载用小孩”我还有救吗
Make Intel Great Aging！
Make Intel Great Aging！
好挤法
Make Intel Great Aging！
TDP125w
劣币驱逐良币
小白问一下杨笠粉丝是不是该买这个
这样缺点以后不还是很明显
说白了就是小核差不多就是凑数的
罗老师.gif
英特尔 普信男专用
i5暴打i9就离谱
卫生巾~~~
lol fps就是cpu主频决定的
10nm没了？
新一代对标上一代，哈哈哈哈哈哈啊哈嗝
并没有，现在我听到英特尔心里就是14++++
10nm+++
40小核单核性能怎么保证，怎么打游戏
wintel
那么贵有毛用
太拉了。坑消费者
12代core的二缓也太大了
嘤特尔《卧薪尝胆》
到头了
怎么不叫6呢
重新定义纳米
M1 MAX，小I啊，让哥来告诉你什么叫奇耻大辱
塞不下
ring啊ring
贵到离谱
你这充值也太明显了
本来就是三星和台积电先搞概念营销的……
新（重新买）
下一个十年10nm+++++++++
LJ 10nm
哪来个鬼的7，欺骗老实人
amd直呼内行
10nm+++
amd 压力过大
可以的，可以的
兼容DDR4的
我在乎
苏妈yyds！
zen3不也是？
没用预定
为啥评测都没有5900x
开始听不懂
7000+的人你们好
差这点钱吗
amd yes!
不在乎功耗=500w cpu
你说得对
我靠这么贵
艾尔登法环是吧?
所以现在的时段，单单对比cpu的价钱 没多大意思
那不全用小核啊
劣币驱逐良币
高通真的拉
哈哈哈哈哈
新核弹
hhhhh'
AMD 7nm笑出了声
近似？
我的9700k已经沦为小核
命名天才
狼狈为奸了属于是
下等马对上等马
命名也开始卷了
还在用ddr3的路过
又换插槽
《卧薪尝胆》
numa技术
那为啥不做全小核呢
你贤惠我还贤惠呢（doge）
全新的啊~~了解了，那就等2年后买成熟的吧！！！
三星——始作俑者
多核调度难做
高通能用A55一万年不换
下一代就是把78变成小核
好家伙这设计可以的
我的青春啊，没了
Z690买不起
树
这个大小核是学的高通吗？
不改名不行了再不改都黄了
台式机的功耗多么恐怖你知道吗不能全堆大的多少节能一点也有呀
别急10nm再挤十代再说
那你6个大核，16个小核不是更牛逼？
苹果这个客户是赢不回来咯
M1系列芯片真是笑而不语了~ intel太拉胯
刀法好
AMD YES
除了多核性能还有单核性能呢
不挤牙膏了
初期价格贵延迟高频率也不算啥优势
罗老师别这样
6950X再战3年
泪目
浪费沙子可还行
牙膏挤爆了
全新平台，版子也要换
win11是吧
可惜我急需电脑，迫不得已要买11代的，难受
AMD：表示pcie5.0沒用，直接跳到pcie6.0
强行7笑死我了，不愧是英特尔
能不能向下兼容过度一下
见隔壁苹果的处理器 自己慌了。
主板还得重新买，哈哈
懂了是10nm+
全做小核，改成星型总线(doge)
狼狈为奸，相互勾结，欺负amd
amd yes
2333
三星恨不得直接叫1纳米
完了，7+++++要来了
怕你炸电源
云飞看起来有点憔悴啊~~看样子是测试折腾惨了
别买 ，没用，起码再等三年
6
挺好
飘哥你从车赛回来啦
能和苹果的新机比么？
太棒了
那amd真的战未来了
我就要这三个核里面的中核
也是个拉拉，坐等AMD出新的碾压
桌面上的那个是什么？
1024
那为什么11代还贵呢
聪明啥呢这是
再过10年我可能就会入手了
你                   为什么穿睡衣？？
AMD yes
amd的有用，intel的没用
真聪明的会找女拳代言？
那为什么不做成40核
牛蛙牛蛙
10nm+++++++++++++++++
英特尔：我怕着了
感谢AMD
发热强那个强是么
抢跑
飘哥好
懂了这就做40核
10代不是才拉胯?
清民
全是钱（确信）
出厂灰烬
感谢厨子，逼得急
然而价格却没有变低
高情商：Intel 架构不如AMD
14nm- - - - - - -
新牙膏
每年几百亿营销资金再玩不明白
得加钱
电源接口也要换?
7的意志
这特效笑飞了哈哈哈哈
10nm
10nm++++
硅脂散热？？？
高情商：从头再来  低情商：得价钱
你们都比intel会做处理器
笔记本啊
你用i9还在乎哪一点电费
感谢苹果提供的参考
浪费沙子
上一代工艺用了6年，这代intel7工艺是不是要用7年？
6年14nm
哈哈哈哈哈哈哈
还好没等，这要从7700k开始，4年都过去了
神经病
这个特效我笑的
考虑，。；、‘’‘’；、
早上有5000多弹幕的怎么到晚上变40多弹幕？？？？？？
Intel普通却自信
为了13做准备，挤挤牙膏
低调低调
电源得配多大才能不在乎功耗。。。
woc
抽一个？
全得换
麻袋装大象
没人问啊
40个小核心，可是太喜欢了
㖞轮增压
AMD YES
"""功耗"""
为了跑分
m1
哈哈哈哈哈哈哈哈
那岂不是假八核？？？ 不一样大，忽悠人
被按摩店逼得
都是吹牛逼
散热压不住
来了
全塞小核就是10900kpromax，单核照样被zen3按在地上摩擦
其实没卵用
INTEL7 是7NM了
关库克pi事 英特尔再摆烂就会被amd搞死
灰烬
那为什么不设计40个小核呢？这很核里
罗老师，别这样
听说你不在乎功耗？那我就把功耗做到你在乎。
慢男
有用我也不用
intel营销劣势，真敢讲啊
制程升级还是牛
发热肯定要考虑，不能强堆核心
那为什么不全放小何呢
终于加不动了
自欺欺人
200多瓦的功耗爆炸
哦，原来微软开后门了
big core和bigger core
ohhhhhhhhhhhhhhhhhh
全小核单核性能不够啊，动动脑子
没价格比较啊
硬核评测还得看极客湾
字母可以自己关
