好可爱的动画
我学校部门工作需要，自己一周硬核憋会了
太真实了
你就说和2019有什么区别
我枯了
记忆老好了
哈哈哈哈是我了
不愧是我
我现在就去下了
2018能行吗
我想问一下，我下载2019版本安装之后就一直可以用吗，需要再登录账号吗，因为我下载2020的之后没账号用不了
收藏夹里吃土去吧
刚学的时候是边玩边看教程
试了一下 并不好用 适合有兴趣想要把他当成高级美图秀秀的用 如果要从事相关专业还是得系统的学
但是。。说实话内容挺少的，都是些最最简单的东西
我还在用cc18……
我的专业
到我的收藏里吃灰吧
小㊫入门，现在大学还是个渣渣
正版每年几千吧
Chinese
真实
网课？ 网课一般叫你放弃（滑稽）
我以为你会说……
吃灰去吧
以后还能白嫖PS吗？
一看就会，一做就废、
我的photoshop2020是假的吗  没有看见学习一栏
我直接用边用边学
你偷窥我？？？
三连当学费嘿嘿嘿
awesome
妈妈再也不怕我学不会Photoshop了
应该说是目前吧？
pr咋没有呢
为什么我找不到
因为这是正版
你也是
2018也有
好可爱
2020又卡，启动又慢
就他吗是我
妥妥的
19版就有啊！！！
进我的收藏夹吃灰
下次一定
是我了！！！！！
稀有的收藏大于点赞
前面的朋友，pr也有教学
牛逼啊
真实
为什么我的2020没有哎
爱了爱了
虽然我有2020但我还真没注意到
什么都想学
哈哈哈哈哈
2019就有
会秒退呀 w10
10年，有一个好老师很重要，今晚创造Ai
cs6路过
像极了我学编程…我个计算机专业的快毕业还没入门编程
hhhhhhhh
有点贵...
留下了贫穷的泪水
哈哈哈  回家就下载
PR学习面板时英文的 PS真的好人性啊
我刚用的2019
我去，太秀了
真实
真实
发现已经沦入了茫茫人海
进我的收藏夹吃灰吧
然后就买盗版用 哈哈 pxj笑死我了
谢谢爸爸
太贵了，买不起
2019也有啊
收藏19.6W
我还得，什么时候ps免费
谢谢
所以我就完全没有真正学过
我放弃了100次吧
我学了
哈哈 爱了爱了
配置跟不上，告辞
哈哈哈哈哈哈哈
真实了！！！
嘿嘿嘿嘿嘿
主要ps2020好多插件和预设不能用啊，所以我卸载了2020又换上了2019
绝了
hhhhhhhhhh
进夹子吃灰吧
我的18版也有部分教学
真相了 
我用的是2017
hhhh
我610用2020版没压力啊
CC2019就有了
吃灰去吧
说的就是我
我2020没有
2020我的没有
买不起
太真实了
6
19cc也有
然后卡在门上
不要q
鸡肋
有免费
老子举报你在我家安摄像头
收藏了，下次再见咯
我的2019也有诶，我记得
学习交互界面在首选项打开启动页设置吧，应该是
ps2020加载速度和流畅度比cs6卡顿很多，对硬件要求有点高
去我的收藏夹吃灰去吧
对呀
我已经上完了83节课了。。。
我刚刚买了你的课。。。。。。。。。。。。。。。。。。
可爱哈哈哈哈哈哈哈！
yes
666
2020的老闪退
2020太卡了
2020老闪退
2019就有了好嘛
从入门到卸载
就是我
好的，大佬。
什么都有了，就是缺钱买电脑
2020还有这东西？？？
免费的没有这个啊
2020版没有+1
前面那个2019的，我和你一样
2019也有啊
你懂我
笑死我了
真实
真实
真实
真实 
你已经在我收藏夹了
好了 三连了
太真实了
但是试用期过了就没有了(* ￣ー￣)
19也有啊。。
2019版。。也有我之前就学了
真实
2018也有
官方教程也太秀了
日文的话应该是 歴史上最速のPS！哦~wwwww
不是我不支持正版。。adobe价格太贵了承受不起qaq，，，要是买断我都可以剁
2021
没有啊
这个目标已经立了十年还没学会～
2019就有了
真实
确实
直接开花
我的电脑带不动2020
买不起啊
吹灰警告
真实
哈哈哈哈哈哈哈哈哈哈哈
这是正版才配拥有的东西我们破解版不配
a逗逼
秒秒学
我想问一下 有去培训班学ps的同学吗
把装在我家的监控拆了
从安装到卸载
卧槽
我觉得学2019比较好
从下载到卸载
官方教程走了一边，完全没看懂
这个版本多少钱
我小学就用Ps……那时候电脑还没普及
为什么我的没有
还是没学会
延迟越来越高
2021Cc
所有教程半天就学完了
拆一下摄像头好不
这不就是我本人吗hhhhhh
确实如此
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
所以怎么下载ps
安装包在哪吖，这种版本的我没找到
把摄像头拆了
ps是除了lr以外  最简单的设计软件了  或者说图片处理软件
怎么白嫖？［来自白嫖党的疑问？］
慢慢入土
我这就去学认字
888/年？
推荐敬伟老师，可以去看看
2022
《越来越友好》
终于photoshop适合大众用了~~~~
你在监视我？？？
你在监视我？？？
2019还没捂热呢
2022路过
我就是一边p表情包一边学会的2333
2022又没
.
噗我看小说也是这样
这不是破解吧
是的
CS3 路过
我下载第一个版本就是2020的，我发现它有这个教程，然后我还去其他地方找。我**
我先接触的就是自带的学习资源，然后我还去其他地方报了课。
从入门到逐渐暴躁最后放弃只需短短的五分钟
我是萌新，谢谢宝贵资源
微机课哈哈哈哈
耳机....
谢谢up！
突然感觉2019的不香了
""
