视频有点长，前面可能有点无聊但看到最后一定会有收获的
凌晨三点半，143人
3：37 151
好多人呀
前面的这好笑吗？
不妙
迄今为止的遭遇，一模一样。
也可能是屏幕小了只能放左边
这……不就是现在的我吗……
百亿专场
百亿转场
BGM:秋日私语
05:31:38
90+的人
100+
高跟鞋种地还可以
句句不提人，句句不离人
爸爸妈妈给我们的不少不多足够我们在这年代奔波与生活
六点半129人
这修勾
 学校睡觉铃声好评
KDA阿狸，原皮虫子，原皮大嘴，原皮牛头，原皮炸弹人（从左到右）
下面只看到一个鳄鱼
火钳刘明
我超别
.原力巴掌
要出刀了
肌肉猛男说倒下就倒下
7：10    173人
全班也才七个人，那daosh
yee~
真实
乡巴佬~~~~
像极了我
被emo了
我建议滑着走
爸爸 危
mp3就很真实
不穿衣服的狗砸
第3000个收藏的
即使爸爸强壮如超人，他也会有老的一天，也会有受伤的一天
和我初中那会儿蛮像的
英语听力本来有一些就是机器模拟的，这个不过也是机器模拟的
你每日
就看到一个炸弹人
400个人啊
你看他都瘦了！
只有2名学生的屑教室
泪目
在祖国说英语的屑
网抑云草
细节后排
18款速腾
不换日期的屑
男人需要破碎
卧槽，就怕这种亲戚上课的时候来学校找你，唉
giu     boy
cheemes好可爱
顶级专场
泪目
我母亲今年过世了。。。我好想她
蒙太奇手法
完了……
男工女耕
还有电脑呢 我上学都没有
修正掌 
哎
之前有过
百亿转场
好转
611人
他是我们的希望。
蚌埠住了
硬核斜视
真的一定要看完相信我
不好！
呜呜呜爸你肌肉呢
民工的家有点好啊
同款挖土机（doge）
754
感觉事情不大对劲了
？哈哈什么鬼
超棒的，一定要看完啊！
781人
781人
草，不是吧
高级转场
恭喜你，这是个好视频
她居然跟杰哥狗在一起了
还以为同学来他家了
卡莎大虫子大嘴牛头炸弹人 下面纳尔恐龙皮
1000+就离谱
看
看完，为了无可替代的人们
应该thank god才对，谢谢医生浓度不够
1000+
节哀顺变
这是舒伯特得小夜曲啊 不是肖邦
是鲁迅哈哈哈
1000+
哈哈哈哈哈哈哈哈哈哈，焯，和老子打经历一模一样
感觉考好了回家他爸就挂了
焯太真实了，泪目
不哭不哭
危
完了
发刀了
1000+66
你得到的已经是你目前能得到的最好的了。
这样子看cheems有点可爱诶
真实
100人
前面的，俺也一样
倒计时一天一天在减少但是没变的日期是屑
狗伟又在打电动 休息一下
有种想给自己一巴掌的冲动
1000+人在观看……
1000个人深有感触
不要，别下刀子 
不！！！
一千多，好家伙
暂时？暂时！！！
地主家的傻儿子
1000+人正在观看
好小一只忽然变得
龙鸣
网抑云
我想起了lost life
英语听力
危
谢谢你，狗子
1000+
BGM：小夜曲--舒伯特
焯，监控在哪里!
哈哈哈哈哈哈哈哈
fish in the pool
工地活多猛的人都会累
完了 黑帽子黑眼镜
他的新书包呢
坚持不下去就算了吧
长大后又换书包了，细节好评
给我反向立flag
是门被反锁了还是真的会有家长进孩子房间会敲门
危
1000＋同志们好
一定要看完
1000+了
迅哥
火钳刘明
所以要多陪陪家人
呜哇
破防了
答应我，一定要看完！
放养策这片图吗
泪目
注意：cheems去了学校以后，父母也很贴心的来到了城市里生活工作，这个细节很到位
肯定是刀子
泪目
注：因成绩不好，导致cheems被有意的移到了后座，老师的眼神似乎也有不可明喻的感觉
1000+
修勾
dream
他是在美国，怎么用中国的人民币？
次世代游戏大作
哈哈哈哈哈哈哈哈
好
1000+
以后会更坎坷
1000＋
刀子！
我踏马      当场破防
病来如山倒啊。。。
壁挂是鲁迅先生的照片！！
1000+的人都在吗
我超，真实的想哭
啊……
刀傻了
用胳膊扇巴掌
监控加个美颜，谢谢
父母的爱不应该是道德绑架
长大上蓝翔
换位思考
完了
1000+人
！1000+
离离原上谱
真嗣你怎么了真嗣
2000+
什么神活
这就是我……
虚弱成这个样子了
哈哈哈哈哈
可是他了不起
泪目
吓人
他爸练健美的
2000+
BGM:花敷屋
不是吧
长大之后学土木工程
cheese，GO
2000＋人在观看
他变瘦了
2000+
2000+
泪目
好标准的英语
这手臂我还以为截肢了。。
在玩王者荣耀吗
他虚了
别
忙里忙外的多辛苦啊
啊不会吧
自古厄运总挑苦命人，tmd
老爸有父腹肌
哈哈哈哈
gay提亚
真实
和我一样啊……
我那会啥也没有
从小培养挖掘机
不不不
啊啊啊啊
1月24号11点36
2000+个人快出来一起哭
如果这是真的，那制作到这里时估计up会很难受吧。。。
修勾超市可还行
你得给他留点念想
我tm和我爷爷死前的情景一毛一样！
silence
像极了我自己
I just want to be happy
零钱越多越穷
真实
啊
别刀啊
泪目了
2000+出来
2000+牛逼
阳春一中?
大猛子
细节 cheems很馋 但是很懂事没有要求零食
同款单肩包！
我好难过
还可以更旧一点（
省实夜曲
bgm:fish in the pool
秋之私语
一定要看完
泪目
修勾
No!
tnnd
               太怪了
日渐消瘦，肌肉都没了
3000+？
他爸不会……
望子成龙？有几个逃出去的。大概率是鼠生鼠。想翻身太难
3000+你们好
《男工女耕》
3000
你太弱了
《男工女织》
这里细节!流口水了
23:59
进度条
妈妈好温柔啊
简介: 根据up亲身经历改编
3000+
新人整活最为致命
3000+
泪目了
危
别刀
糟了
泪目了
坐在地上也能走路的屑Cheems
3000+！！！
一定要看完！plz
秋日私语
修勾
好真实
3000+
高级
3000+
泪目
这狗长的真是个东西
说真的，世界上有多少人受打击，可以再从新站起来的
修勾超市好啊
3000＋的人都出来吧
有人就是真的经历过，痛心
寄
不应该是去批发市场吗哈哈..哈哈.....
呜呜呜呜呜呜呜想妈妈了
快跑
妙啊
12:21的人都出来吧
这不就是我吗
经典剧情
这场景似曾相识
3000人快出来
同款噼里啪啦键盘
加中文看不起谁呢
。。。。
哈哈
《关于我听着听着就睡着了这件事》
哈哈哈哈哈哈哈
操
说着英语用着rmb的屑
爸爸的花儿落了
狗狗gan' ke ai
穷是原罪
BGM：Fish in the pool 原曲很好听的
BGM：Fish in the pool 原曲很好听的
太真实了跟我一样，泪目了家人们
打开网易云
离谱
妈妈结账的时候不是很开心
张国伟老家
差点听成kill you
唉是我了
网抑郁
这半身不遂了属于是
细节：变暗 在预示着他的内心有一点爱
绿色字幕
八嘎新集同款随身听
土木牛马
3000人出来
肌肉都病没了
幽默曲永远不幽默
啧
搁着玩大富翁发钱呢
这工地太TM真实了
为什么是英文？
12:39分3000加人正在观看
3000＋
这是舒伯特的夜曲啦 不是肖邦
主题开始
什么人上人
英语听力的声音
啊哈
别啊
糟糕
那一大只的父亲，不见了。。。。。
bgm好评
大哥。。。。别。。。。。
前面的未经他人苦莫劝他人善
不！！！
生日快乐
来这里学英语
刀傻了
真实
修勾没有手机吗
确实英语好标准快慢适中
百万级转场
这里叔叔戴着墨镜
…不是自己不努力吗
在中国医院还说英语的屑狗子
打电动
恭喜你发现宝藏！
请大家玩梗适度，关心一下视频简介、up空间的个人简介你就会明白
泪目
在中国的医院说外语，应该是外国狗
同款课桌
早知道还是原道
生日快乐
2000＋的人出来‘’
这就是我们英语听力啊（doge）
泪目
我超！ipod
no！
你所拥有的，是父母的全部
可怜天下父母心
修勾夜店
泪目‘
黑帽子加墨镜，感觉不妙
理查德克莱德曼
外国学校用中文doge 
好可爱啊
加油！！
心疼cheems
！北京青年湖小学
这孩子的经历跟我一模一样。
4000多人都在吗
绿帽子了
再看一遍
我弟正在经历…还好我搬出去自己工作了…
我甚至都没有自己的房间
危
WC，4000
和我的经历和心态太相似了
你这视频搬运的吧？我在阴间看到过
前面的那一位 这房子应该是租的 
好大的父肌
第一排到最后一排
花与爱丽丝
唉
除了没谈过恋爱，其他都一样
真实
人被刀，就会死
不要在下面发弹幕挡住字幕啊
bgm 秋日私语
肌肉呢
BGM： 理查德克莱德曼的秋日私语
竟然有了听英语听力的感觉
今天已经一月二十四了，生日快乐
生日快乐!(^O^)y
不用担心：指在医院躺着
BGM fish in the pool
请看下去
4000多的我在
我们听力考试就是这个男的讲的 根本听不清
量子耕地
这环境叫苦？别侮辱苦了，看看这电脑和iPod
呜呜
没有感触，而且脱离了实际让人难以感触
大猛子
这都能刀我！！！
4000人
唉，太真实了
亲戚上课来找一般...
他绝对值得你看完
六块腹肌没保住 (/^▽^)/ 
呜呜呜呜呜呜呜呜呜
破防
加油
长江七号是吧
谢谢你，狗狗
以为要火化了
真好，走过了那段时光
像极了我，可是我没有母亲
hillbilly
诶…开始难受了……
自己当自己的人生导师
人模狗样
太细节了从零食前面呆了一会
虽然但是，我爸进我房间真的会敲门
口水细节好评
注意！说的是“阴文”
呀咩喽！
最后一排太真实了
好心疼
妈妈不要哭泣
衰仔唔争气
一个滑铲差点铲到老父亲
山丘比利（X
细节
唉！
穿高跟鞋耕地的屑
生日快乐，加油
躺在担架上还嬉皮笑脸的屑爸爸
答应我，看下去，你会发现惊喜的
人模狗样
这个故事发生在说英文的国家，绝对不是红色国
3000+，好家伙。
是那一天考试吧
危
吓死了。
我们英语考试之前放这个
好久没见到20元纸钱了
泪目了
2333333
4000多人
请问，狗子现在在《》
这个背景怎么这么熟悉
网抑云你坏事做尽
答应我，看完这个视频
为什么日期没有变？
听着听着就感觉自己在听英语听力
四千多人正在看我靠
泪目了
看下去！！！
3000+就离谱
父母不是我们永远的依靠，所以有一天我们也需要自己去支撑好未来
卧槽，这进度条。。。。
搬砖
因为第一排角落都是差生专属
人民币好评
…
长江七号是吧
出现了第一个我不认识的单词
太真实了
网抑狗
细节黑，应该是爸爸出事了
刀子狗
像极了我外婆去世的时候
好真实
3000+
心疼
努力吧！cheems！
《治愈向》
不好的预感
不要刀啊啊啊
家人该不会瞒着他。。。
( •︠ˍ•︡ )
肌肉掉光了
3000＋
字幕颜色就很好
n块腹肌（doge）
上大学
答应我，看完回到最初开始的地方
刀
如今一个人听歌总是会觉得失落，幻听你在我的耳边轻轻诉说
泪目
爷青回
答应我，一定要看完
刀
很真实啊
那你就给我好好的去改变啊铁咩！
这声音不是我刚刚听过的英语听力吗
班级倒数，最后选座位。不考前，永远坐不到前面位置
狐狸，大虫子，大嘴，牛头，炸弹人，还有下面一个鳄鱼
钝角
look into my ass
土木后备役
你不变强，怎么保护你所珍视的人?
不对啊，这住的环境比我强多了
他爸咋断臂了
红色包差评
我超 农
3000？
开卷
嘎嘎
3000+ 流弊
世界就是一场不断循环的悲剧
请坚持看到最后
可怜的“Cheems”
《很快就会好的》
曾经那么壮硕的父亲，如今只剩下一副佝偻的躯壳
no！
哇塞，3000多人，牛逼
陌生人请看完这个视频，意义挺大的
3000+人
感觉很像一中
不对劲，有刀子，大家快跑，我来替你们挡着这刀子
《果然》
完了，爸没了
真·纸片狗
盲猜要GG
细节不应是 孩子掏出了五个钢镚
可能他考到好成绩那天他给他爸爸看，然后爸爸含笑九泉
这口罩带了个寂寞
哈哈哈，硬核美修狗
A ha～精髓
A ha～精髓
感觉这个包会被人毁掉
关于狗子几天才能走出班级这件事
                                     家庭中心☞
3000多个小面包
真是悲伤的故事
这不是我么
Crush出现
泪目
3000+
没儿子你们就不工作糊口了吗 很多父母都这么绑架孩子
说完王者的怕不是**，睁大眼睛好好看行吗？
这时候就感觉自己很渺小很弱感觉有什么东西，但抓不住。
火钳刘明
穿高跟鞋走路的儿子是屑
请不要划走，一定要看完啊。
一定要看完啊。
你干嘛了，你生活就rough了
太真实
一定要看完，答应我
鬼故事：进度条
我还以为我闹钟响了
cheems emo了
蓝翔毕业
3000+？
真嗣的笑死我了草草草
我的父亲也在2020年劳累过度去世了
为什么不绊猛犸？
3000加的人
没有中文的么
惊现阳春人
害怕
穷人家的孩子一直都在想如何不惹麻烦……
英语听力
总有些√8想引人耳目，你不会觉得自己很幽默吧？
泪目了
最后一排诶
花有百样红，人狗不相同
唉……
注：根据up真实经历改编  玩梗适度
坏了
然后它拿着100分回家，狗爸却走了
等不到了
1.24的跟我说句话
你也在看吗
3000＋l
so sad
"cao,和我一样"
在城里读书租的呗
从此家庭负担重了很多
3点多的人出来吧
狗 超 市
挖掘机yyds
开始难受
狗同学……？？？？
3000+就离谱
衬衫的价格是九磅十五便士
QAQ画质感人
lll
我想起我哥也说过同样的话.然后.然后就
根，正 苗 红
凌晨三点多3000+
周淑怡是你吗
我兜里就这么多钱............
土木工程的够了！
3000
羊驼
WC3000+
住大别墅
单身久了，看个狗子都能...
长大要开挖掘机
即使爸爸强壮如超人，他也会有老的一天，也会有受伤的一天
300
"原谅我笑了一下,就一下"
bgm是花与爱丽丝杀人事件的主题曲吧
好温馨啊
3000多个人
no！！！
是啊，自己甚至没有自己的房间
鲁迅在暗示着救救孩子（doge）
3000？
bgm是花与爱丽丝杀人事件的主题曲唉
别别别...
这挖土机玩具我也有
半夜12点，该上号了。都给老子哭
3000人，你们好
3000+
完犊子了
咋跟七刀社一样发刀子？
土木·狗
15：40
这段的bgm是fish in the pool
我哭了
可能那个时间应该是考试日期，而不是当时日期
我不理解
秋日私语！
加油奥力给
活着干，死了算，没毛病
下面鳄鱼的左边是螳螂
火钳刘明
真，单身狗……
烤鸡要没喽!
后排靠窗，神的故乡
鉴定费很诡异日
同款桌子和黑板。
别啊别别
3000+
火钳刘明是啥意思
哈哈哈哈
英语听力测试
快跑，是刀子
3000＋人陪我一起看
哦利谢
拿来主义
？
fish in the pool好听的
泪目，看的不敢结婚了，给不了孩子好的生活
我竟然听得懂
QAQQQ
食堂的音乐，听到好想吐
完了爹无了
这里到底是哪国为什么用人民币说英语？
进度条
上课铃
真单身狗 
不准你骂我的cheems！！！
3000+
bgm，舒伯特小夜曲
上学谈恋爱，举报给老师（dog）
点开之前知道这是刀，但是没有想到会这么刀
阳春一中？
火钳刘明
长江七号
大先生
焯
3000+人
修狗脖子好长
大虫子大嘴牛头吉格斯鳄鱼其他不知道
看到吃的就流口水的cheems是屑
爸爸的花儿落了
一定要看完！
233333
yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
谢谢你，cheems
yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
答应我，一定要看到最后！！！
答应我，一定要看到最后！！！
其实吧，我感觉吧，如果没钱呀，还是不要生孩子的好，孩子和你一起遭罪
tnnd！
父亲的病
趸交
烤鸡要没咯 （doge)
这是我早晨闹钟铃声声音。
1
3000+
3000+
钝角
别吧
细节超市名字
《青少年》
火钳刘明
危
垂死病中惊坐起，小丑竟是我自己
4点半3000多人
突然就懂金木的通了
3000+都出来吧
3000+快一起哭
入站必刷
怎能如此真实
狗子的幸福一家
《很快就会好的》
早知道，还是原道
细节满分
火钳刘明
（叔叔来找你，不行我得提前泪目
 m￼
大...大哥哥？？？？？？
努力？不努力？
3000+出来
房子变好了
完了
卧槽破防了，真一摸一样
对！花与爱丽丝杀人事件！还搁这听力听力呢
...
我莫名想笑
哈哈哈哈
工作过度吗
3000+人
您好，抱歉未能识别到您的问题，请用一句话详细描述下您的问题，让小蜜更好的为您解决问题哦~您好，抱歉未能识别到您的问题，请用一句话详细描述下您的问题，让小蜜更好的为您解决问题哦~您好，抱歉未能识别到您的
您好，抱歉未能识别到您的问题，请用一句话详细描述下您的问题，让小蜜更好的为您解决问题哦~您好，抱歉未能识别到您的问题，请用一句话详细描述下您的问题，让小蜜更好的为您解决问题哦~您好，抱歉未能识别到您的
经典治愈片
为什么你明明是人却要用狗来代替？
小红书
他这样走路不磨屁股吗
有些人就是喜欢开不恰当的玩笑，我讲的就是你。
磨屁股的小狗
草 英雄联盟
3000
病    情   恶   化
长按屏幕为up主加速
pro转场
不是刀，这就是现实
这肌肉白长的？这小门锤不爆？
啊哈
没刹住车
网抑云 启动！
碇真嗣
怎么又是宝藏？
衬衫的价格为
这个歌给我整笑了
镇站之宝预定
破防了，我爸曾经得过高血脂，住过院
我个人觉得还是不要用武力较好啦先聊聊看吧
乐景衬托哀景
来学英语了
请一定要坚持看完啊
所以你选择c项 
一个滑铲
破防了
屑儿子
3000多人
纸片狗
就我一个发现时间一直是1月12日吗
川井郁子！
英语听力即视感
滑铲
瘦普
还得是原道
卧槽，3000+
我是来看视频的，却成照镜子
我的天，不会吧
英语听力？
Cheems是要学挖掘机吗
cheems！
这次一定！！！
烤鸡那个还我眼泪！！
起码狗狗不近视
爷笑着笑着就哭了
迅哥儿
笑死
不敢看了
没觉得有什么坎坷，小时候有房有电视还有自己的卧室
好像少给了一块，但是店员还是卖给Cheems了
3000人
海底捞的背景音乐
蚌埠住了
咋看的，周淑怡
挖玻璃方块*1
危
   狗  同  靴
3000多个人，牛逼
我这边是24日有谁是
孤寡的修勾
no！！！
k/da  大虫子  大嘴   ？   炸弹人
？：牛头
请收下我的膝盖
你知道一个大壁兜对cheems的伤害吗
心肺停止
为什么不戴口罩
秀儿
绿色健康
这是你的狗同学
校园狗霸
小夜曲是 穆特和朋友们 那个版本么？
视频很好，下次别做了
早知道，还是原道
这不就是我吗？
《青少年》
妈妈真好(|||▽||| )
网易云 打开
火钳流民
可以，可以。太有趣了。
成绩倒数只能坐在后面
高中就像狗一样
祝up生日快乐！
蜘蛛侠
火钳刘明
noooo
3000+
别啊
3000+？！
没发现吗？母亲的工作换了。肯定为了读书全家才来的城里
一定要看完
工农结合根正苗红
口水细节
他家房子好大。。城里这么大的房子。。。会穷吗。。。
一场病夺走一个家庭的幸福
佛山无影手
又一个不幸的生命不幸的降临此世
3000
BGM是小提琴的小夜曲？？
bgm我的dna动了
3000+
这里要是来句我们离婚了 就跟我一模一样了 哈哈
帽子都带歪的屑
不能
真嗣的随身听！？
不能这样
乡巴佬(x)香巴佬(√)
怎么不担心
穷到没裤子穿
九镑十五便士dog
太相似了
不能样说它
hhh
天龙狗
无缝转场，我惊了
现实可比动画刀太多了
爸爸永远这么健气吗？
打工人
调整了视角，很精致。
真实
完 有不好的预感
狗仔（doge）
up主的故事
但是他了不起
悲伤的剧情，悲伤的音乐加上这搞笑的演员。。。。。
BGM：秋日私语
Doge
Doge:hual
Doge:坏了 爷成儿子了
细节
怕不是有刀
太真实了
fish in
fish in the pool
bgm：fish in the pool
心疼cheems
3000人出来吧
?????
腹肌都少一块了
前两年我妈住院，双手双脚四个吊瓶......
十块儿腹肌也会生病？
全村的希望
哈哈哈哈
勇力上进
坐后排很细节了
太真实了，小时候也希望父母能给我买新书包和其它的东西，一直不知道他们的辛苦
真实
。。
233333
日期不变但是倒计时不断减少的屑
草
建议屏蔽细节
虾仁猪心
好真实
刚刚回去翻了一下，好像是多给了一块
绑架
我爸一般是直接用脚踢门
这儿子怕不是个哑巴吧
no！
我已经对自己有了清醒的认知
这里的嘴角没有上扬
我们全班第一也是最后一排
不穿裤子的屑
单身狗
用英语讲这些话好违和啊
爸爸你为什么不穿衣服
英语听力（确信）
我学校!
进来的求求你看到最后，相信我
我怎么看到我的影子
50块
…
《hope》
小姑凉很俊嘛
3000
3000+
一身清贫怎敢误佳人
感谢科普君 o(*≧▽≦)ツ ~ ┴┴
四级考试开始
细节
农村生活实况
《肌 肉 萎 缩》
喜欢的女生和别人....哇好伤感
！
太细节了大部分都是零钱
一定要看完！！！
这就是现实吗
不要啊QAQ
泪目了
他笑着哭来着，你猜他怎么笑着哭来着↑
直视我，崽种
《特效请自行脑补》
前面不应该出现车子
看完它！一定要看完呀！
还没开始工作、父母也没老，狗子怎么就tough了
真——四眼狗
你顶不了，顶得了
英语听力
我也以为
真的太现实了
按剧情来说，他爸要领盒饭了
考上911
事实证明内容远比什么特效 化妆 明星更吸引人
No！曾经的肌肉猛男到哪去了！！！！！！
鲁迅的照片意味着？
看下去 你一定会有所收获
网，，，网易云？
别
''
来学英语
WDNMD
英语听力？
漏！
笑死 我的房间门锁都被拆了还
泪目
我一路向北
不同的是我自己房间没有锁，他们能直接进来emm
贵族学校是吧
来迟的生日快乐
是谁在监视我的人生
一定要看到最后！！！
生日快乐
哈哈，好巧合，我第一次也是选了个红色的书包
上面的哥，这是LOL
说英语用人民币
这视频我爱了
这不是它想要的
别啊
为什么要说对不起
这就是生活
这样狗子压力更大了
这个转场好棒!
上号了
说实话 我在英语听力
300+
No
No
很真实
发情期......
长江七号……
我迷茫了
3000+你们好
泪目
危
真实得令人心疼
为什么去质疑字幕颜色？不应该关注视频内容吗？
现在我知道弹幕屏蔽功能的重要性了
危
6666
" Are you winning ,sun？"
Yes！
从小我的学习就不好，我爸从小学一直到初二都动手，看到这真的
华尔兹
生日快乐
说英文却用人民币的屑up
口语100。。
这就是现实
土木狗表示自己很有反应
知道后面了…
周树人客串
真实
这不就是我吗
长江七号
emo了
母慈子孝
不会吧
哎
它要觉醒
撸狗
觉醒了a
太真实了。。熟悉的无力感
你看人家单身狗都追到女神了
不要在意别人说的话，你是你自己的那道光
前面房门被拆的那个，我也是，喜欢的数位板还被摔了
怎么有钱买电脑了
危
生日快乐♡
NO！
好家伙16分钟
泪目
太现实了
花与爱丽丝
this is real life
植物人
国外也有网易云吗
雷姆
哈哈哈哈
建议两倍速
这内饰像正常的城市家庭…
雷姆
no
这房子真实啊
火钳刘明什么意思啊
BGM:秋日私语
爸爸的花儿落了，我也不是小孩子了
三千人正在看
泪目
bgm 秋日私语
草，学校下课铃
跟周星驰的长江七号好像啊
阳春一中？
快逃！是刀！！！
不要对不起啊。。。
恭喜你发现宝藏，请看完
他就是后来成为骨王的男人
别啊
我那时候十多岁，你知道一个大壁兜对我有多大的伤害吗
破防拉
或许每个人心中自己的父亲都那样吧
哭死我了
真实hhhh学霸才受欢迎
细节：跑着去上学了
《男有作 女有耕》
真实，太真实了，我好想哭T﹏T
qaq
cheems——
这全是儿子的错，他有责任伤心和流泪
听力考试
我爸也是背的这种
一样
哈哈哈
本人现状
"不行了,感觉看下去得掉眼泪"
你知道对于孩子来说一个大B兜有多大的心理伤害嘛QAQ
你这眼睛角度转移清奇
小狗变成败狗
雪花飘飘 北风潇潇
等等……这个场景……我见过……我奶奶去世的那天……
生日快乐
网抑云时间
3000+人你好
cheems
假如全班有100人，所以就算你是，你也是倒数啊，是倒数100
有刀啊
本人体验，乡村的小学学生比城里的听话更懂礼貌，城校乡下人被嘲笑是常有的
BGM：fish in the pool
破防呜呜呜
离谱
真实小伙
网易了开始
往那一坐，让人念叨了一辈子
无声胜有声
墨镜一带就是代派
他的肌肉都是搬砖练出来的啊
同款鲁迅头像 
DNA动了
一模一样的家长
上面的，这是LOL
配乐我弹过，乐曲风格看气氛
内心的独白
卧槽 居然有16分钟 才发现
＋1
一定要看到最后
不呀啊
妈妈好爱你啊 家庭条件不好的都应该拒绝这个要求吧
谢谢你，up主
就像此时的我
听力考试正式开始
这不就是我的人生……
别
挺住啊，留得青山在 不怕没柴烧……
打的是lol 阿狸 大虫子 大嘴 牛头 炸弹人 下面太模糊看不清
暗示工地老哥被绿
看门狗
看门狗
我不想看刀….
太真实了
卡莎大虫子大嘴牛头炸弹人
我父亲过世的时候我在外省读大学…因为觉得精神疾病丢人，他们不许他去医院直到他自杀……家里也一直瞒着我直到我放假回家
上排第二个大虫子第五个炸弹人
天，，
上排第二个大虫子第五个炸弹人
贫穷是一切根源，至少是99%痛苦的根源
这么多年没换房，说明不是租的
简介有点东西
牛马，阳春一中？
我们好像啊⋯⋯
啥呀就农，魔怔了？
卧槽这个叔叔的声音我ptsd了
生日快乐
大伙一定要看到最后！
网抑云开始
如果這個社會真是看人努力而忽略各種客關條件就簡單了
谢谢你狗子
海边的曼彻斯特
漏！
《唉》
……
这是教我们如何用肩膀打人吗？？
当看英语阅读
oh
啊……
应该打。嗯。
至少家长还愿意敲门。。
他像我，是我的故事，是我们的故事。
简介：根据自己亲身经历改编
从死神手里回到现实的脚下
不至于不至于
为什么字幕是绿色的
陌生人，请一定看完，相信我
怎么说呢
干嘛给我安监控
我是挺不争气的 所以想着早点赚钱养家
想到我高考那年，我姐带着我爸去省城开刀，家里只说我爸出差了，高考完才告诉我
太真实了吧
答应我看完它
666
？？？
为什么倒数呢
咋换书包了
荷兰弟
道德绑架您马？
dogtor
我书包才40元……
咋的这狗子是残疾狗哇
这口音和英语听力一样一样的
未看
未看想笑
肱二头肌敲门
刀子
不要啊
经历过这一幕
。。
这和我好像
哎
有galgame那味了
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
我也以为是歌
好瘦弱我k
对不起我笑一下狗医生
我也想一了百了，但是我了不起
砸瓦鲁多
好家伙全班同学都像他爸妈，就他不像
我就是最后的希望！
加油！cheems！
本人
规则长方体有限空间移动工程师
只是喜欢那女的又没表白，发绿色弹幕是干嘛啊…
MD别刀我啊啊！
