no1
太棒了！这期讲他！非常喜欢他！演技爆表！
来了来了热乎的
汉尼拔！
达叔是赌博
可爱
起立
好好看 好好学
狮心王？0+7？
旱泥鲃
希望单独
再出两期聊聊阿尔帕西诺和罗伯特德尼罗
邹平故事
西部世界
小乔真是火了，奥斯卡都能看见他
神似憨豆咋回事
最近在看西部世界第一季呢，刚看到他变成狠角色
是Fencing哒
三岁看老
秃鬓角都是天生的 跟秃头是两码事儿
你是我爷
你会记得吃了多少片面包吗
我定义的
嗯对，普通家庭，悔创阿里，不知妻美，现在多个儒雅随和
打小长相就没啥变化哟
这张想兄弟连里的温斯特。。233
来了来了
什么叫 扎实的基本
小时候书虫背过～～
喜欢他的声音和语调啊，就很变态，好喜欢2333
老爷子 眼镜真漂亮、、
传说中的 16分钟影帝
从眼神中能感受到他看到了什么
等奥斯卡结束就会安排国内上映
这不是喜欢吃人的叔叔吗
我有预感，看到这条评论的人，痘痘会慢慢消下去，皮肤会变白变瘦，会越来越好，喜欢你的人会向你表白，世人如满天星斗，而你皆如万人捧花[老鼠]​
零点中还有八千多人一起看
《邹平故事》
closer～
看了电影上千部，这部电影是我最喜欢的
啊，霍老爷可能忘记要去月球
看的起鸡皮疙瘩。真的好演技
是他呀，这部电影绝了～
that why ｉ悲愤
话说斯蒂庞克吴站长眼神也很棒
一个眼神，我一身鸡皮疙瘩起来了
妨碍渣的渣渣
你好早
DNA动了
这个面包师是不是叫dio
达利欧·布兰度
前面的，人家女神是拉拉，人家就欣赏和爱怎么了，用你顶着那张破嘴说啊，人家不了解吗！
可爱
英倫地區真的影帝影后誕生地
天才症……
汉尼拔 奥丁
不是，這張照片好恐怖，我覺得他想吃了我！！！！
話劇真的超兇
这不是书虫里的那个吗
holy 雪特！獅心王
我看完漢尼拔就去看了這部……
佛儿~
哈哈哈哈哈哈哈哈
=-=！聲線好像！
童年陰影
啊~~~我的朱迪姐姐~~
杨天宝震怒
我賭你不敢放後面一句
卧槽，原来是他。
我擦  是他   一直没看出来
来了来了啊啊啊啊啊啊啊啊啊啊啊啊
河北省
我从河北省来
不是有阅读障碍吗
天才病
吃人很害怕吗 现在好多男同志也吃人
弗er~
谜语人
真就三岁定八十啊
经典
水俣病？
嗨呀好可爱
贝尔是打高尔夫的？
历史上和法王菲利普确实gaygay的
永远的汉尼拔
good morning lady
功夫致敬了这一段
整容般的演技
这是hamlet？
消消气消消气！
奥利fer
Anthony Hopkins和 JHU创始人Johns Hopkins都同姓而已
气死偶咧！
史密斯 精灵王 V 红骷髅的雨果维文也是话剧出身的
一个活在命运节奏上的人
去法国当军火商。。
看着有点像痴汉
雷神他爸？
兔子朱迪。。
老
眼神能洞穿人心
霍普金斯还在乎得奖嘛~
拔叔！
我的天是他！
这是个英文故事啊，上初一时读过这本书。。。
這是人想得出來的嘛， 和大象野合
好励志
长得帅还要什么特长！
他要吃人啦！
我好像看过。。。
卧槽卧槽卧槽
我就知道得来
这很英国
汉尼拔
沉默的羔羊
哈哈哈哈
可惜说的英语
渣渣
雷神老爸
话剧出来的都厉害
老规矩，走起，点赞加投币！这样看的才舒心
这种开局没被同学老师“特殊照顾”就不错了
挺有狮心王内味儿的
天花板达尼尔代刘易斯
朱迪美啊
万能的英语哈哈哈哈哈
我擦，原来是他。。。
、
James may
弹幕好多都理解错了。名场面是另一个，这个只是相似。。。。
从小就吃面包人
龟龟原来出道就给劳伦斯奥利佛做替补
霍普金斯和米克尔森两种风格的汉尼拔都演绎的太好了
这是他演的？？？完全看不出来。。
汉尼拔···和奥丁是一个人！
Lionheart？
我擦 已臻化境
天花板
想起兔子
太吓人了
渣渣呐
DNA动了
这是积累了半辈子的巅峰  真正的巅峰
牛
巴尼 是你吗！
汉尼拔那个拿的是配角
威尔士出帅哥
话剧曝光度不高，但是能磨练演员的业务能力，日本那边的演员多多少少都有参演过话剧的
啊?
你还记得自己吃过多少面包吗
海王  哈哈哈
老外酗酒是真的忒普遍了。。
杀象
雍正王朝？
高贵而优雅
开什么国际玩笑 人类受得了？
拔爷。。。
+---------------------------
我血钻呢？
啊啊啊 拔叔
随和？
我到河北省来
英国人均酗酒
大阿哥是于谦
古板？
想听这个人和费雯丽
火云邪神
名场面不是他
为啥这眼神看着好像僵尸肖恩。。。
fade to black
告别有情天
《儒雅随和》
还是最喜欢告别有情天
我到河北省来
一模一样
封面我以为是裘德考
属于孤独症，和自闭症不同。
.
留着胡子好像A
英国梁朝伟啊
全体起立
害怕
斯文败类
不是一个版本，名场面是另一个电影
奥利弗是费雯丽老公
紧跟时事
.
东木大爷不是活化石吗
唯一偶像：安东尼霍普金斯
不，气死偶嘞不是他，那位老先生好像已经去世了
实至名归
这张好像发条橙里面的男主啊。。。
卧槽，太励志了
绝了
啊霍普金斯真的很棒
这不是变形金刚5里的爵士吗
从面包到面包
呜呜沉默的羔羊太好看了
版权警告
十七八岁都是小鲜肉啊
老鸡丝了
卧槽，原来是他 他  他      他
你这个重音 真音 有点别扭
你的电视剧呢？
这个站姿想起谢尔顿
他来了
汉尼拔：智力武力双max
腐国不是白叫的，老腐传统了
儒雅随和
老张和车er是老乡吧（滑稽
搞比利
来了来了
佛儿~
是水牛比尔吧
汉尼拔老了！
好帅
爱了
我从河北省来
原来是他
先点个赞
天使大宝贝牛逼
哈哈哈 从吃面包到吃人
m
竟是他！
老玻璃
31岁才首秀
太牛了
吃人
吃人没被挖掘
象人结局很可怜。。
雨夜天魔借鉴过
大阿哥可还行
这才是原版
热乎？
有点像憨豆先生
看过小说
这不是一个表情吗
居然是他
笑死
啊？名场面啊
勇敢的心
奥利弗超级大佬阿
全体起立？
+
吹一下《曼克》
我觉得这个狗监狱长也演的很好！
这眼神，会让人深陷在碧绿的湖水里～～～
英语有点出戏啊
我  定义了三连
最高不是少年的你吗
吉个斯
福岛人
百年老店 二代而亡
汉尼拔
肉食爱好者
汉尼拔本拔
不是变态就是GAY...
三岁之后就没变过样
我去，原来是他
国内的演技流，很多也都是话剧咖，张国立、冯远征、段奕宏、郝蕾、袁泉、徐峥等
时长感人
6691个人在摸鱼
全体起立
热乎的
汉尼拔
我读过小说，不长，建议看看
苍天绕过谁
牛逼，
他要吃人啦
自闭症也能当演员吗
奥丁
短短16分那种
就16分钟就搞定款
就16分钟就搞定了小金人
他和叶慈有亲戚关系
生理性的厌恶
好漂亮啊
朱迪福斯特真的好看
别骂了别骂了
火云邪神
此处膜拜
渣渣
热乎乎
气死偶咧
帅啊
内陆帝国 +1
++
好像星球大战里的卢克天行者！！！
先投币再看
好爱
好棒
梁朝伟
？？？
今天才看出来
从小就很拔叔
天哪，看不出来是他啊
我以为他是美国人 
sodomy
吉格斯、贝尔
这不侮辱大象的尺寸吗
忽略总比忽悠好
哇哦这个眼神
福岛
超爱
卧槽  这是拔叔啊！！！！！！！！！！
老鬼畜了
雞皮疙瘩起來了
朱迪是个拉拉
还差99年
那TM是真的牛鼻
】雨花区黑人“
心率不快说明味道一般，特别好吃的话肯定加速
+
长沙象人ddj
朊病毒了解一下
和现在一模一样
汉尼拔超赞了
日本人。。。
来了来了，等老张好久了
（霍：我不懂，但我大受震撼）
111
然后发现其实是火云邪神
你想想一场话剧下来就相当于全场一镜到底，最能考验演员基本功
这眼睛
阿斯伯格综合征主要表现为没有明显的语言发育障碍和智能障碍，其他临床表现与孤独症类似
右边这个是？瓦尔兹？无耻混蛋？
西部世界博士
汉尼拔
儒雅随和？
最爱！！！
王子复仇记
不应该是汉尼拔医生吗
拔叔啊。。
原版不是他演的啊，你们是不是误会了什么
绝了
小鲜肉学一辈子
哈哈哈er
好美
罪恶之源
这个角色 我觉得比小丑还要高级
伯顿算当年的巨星！
....
111
吃了他
搞比利
、
原来是英国人，一直以为是美国人
封面三连给了
《儒雅随和》
演的真好，真好
巨星标配
老婆漂亮
热乎乎
我还说牛比尔是个谁
优雅永不过时
推到窗户外摔死！
盲猜有丑爷
奥丁
这张照片好可爱
哈哈哈哈
剧抛脸
狮心王亚瑟
帅啊
九子夺嫡
太帅了吧
勇敢的心？
fgnb
念稿子一点感情没有
生殖隔离，不会有后代，但凡学过生物都说不出来这种话
妖夜慌踪
女主好漂亮
吃人！fgnb
威尔士美猴王：贝尔
我们仨
原来是他
看起来味道不错
最喜欢的欧美明星就是他和皮特
原来双厨如此之多
这个女演员是……凯瑟琳赫本吗？
6666
保罗麦卡特尼
哈哈哈全体起立！！！
希望大家好好理解自闭症，这些孩子很可怜的
