我出生年
08年家里刚有电脑，单曲循环三国恋，当时我八岁，听不懂歌词的含义，但旋律足以打动我
这年曹格拿了
全是神仙。
短视频还是算了吧
给我你的爱
没想到是单亲家庭
天才就是天才。。
你一直都在啊。mp3年代一直到iPhone都有你的歌。
头号喆粉
我都听过
啊啊啊啊啊
华语音乐却一直在停滞
这个角度好像李秉宪
我喜欢专属天使
全没听过。。。
152
肯定有啊，和杰伦一个时期的，年龄都多大了
神仙打架
一直听着你的歌
到现在都会听你的歌
啊啊啊啊啊啊
我的天都看过！！！
都是我的青春
哎，生错了年代，如果是现在，两年的钱一辈子都够用了
真神仙打架
！！！！！原来是你！！
飞儿也不见了
妈呀！！！
omg  单亲
在现在，业务能力好一点就很出圈了
江珊阿姨突然客串
专属天使
哈哈哈哈哈哈歌是好歌，唱的人不太会唱哈哈哈哈哈哈
短暂。但是厉害！！
专属天使！
千年之恋，啊啊啊
天哪，这样对心脏负荷好大
啊啊啊啊啊啊啊啊
你的歌比短视频的好到不知道哪里去了
有有有
我刚听这个车祸版回来哈哈哈哈太巧了
一整天= =
千年泪！！！
抱抱
如果我变成回忆~
给我火起来！！！
一直记着
千年泪我超喜欢
不可能忘了你！！！！！
好温柔的爸爸哈哈哈哈
哈哈哈哈哈。好可爱
天了噜
天才创作人
偶像两个币！
因为很多人都想你～也想你的歌～
千年泪
岚，非你莫属，Jessica
是的是的！
短暂但每一首都好听  希望以后能出更多的好歌曲
啊，好惨
呜呜呜 我的青春
铁人也扛不住呀
千年泪
结果下一个周杰伦依然没有出现 而周杰伦自己都不出歌了
我的青春啊
千年泪
我不知道我有几个mp3 但是每个里都会你的歌
呜呜呜呜～ 你现在可以慢慢来，不着急。宣传期我们线上就好
飞儿哪有不见啊，詹雯婷和飞儿都还有出歌好吗
孩子妈不上班吗
确实真的难忘
真厉害呀
哈哈哈哈好可爱的烦恼～
孩子妈不给抚养费吗
千年泪！！！
喜欢听你的歌很久了，也关注你很久了，希望能再火起来
哈哈哈哈哈哈
加油啊，乐坛就靠你拯救了
有有有
乐坛就靠你拯救了
确实当初我也在奇怪
喜欢这首
哇！
啊啊啊啊我的青春
身体提醒你该休息一下了
全世界都停电
哈哈哈哈哈，相信奶茶论逼疯了很多音乐人
那些歌放到今天也不过时
真好
所以现在这样以网络为主应该压力小得多，相信你对于内地的网络音乐水平来讲基本就是重磅大炸弹级别的了
长大了就知道了
其他几位产量过低
周杰伦也是喜欢打三国无双
老陶铁粉
。。。
男神级别好吧
都是很好听的歌曲加油
终极一班我的童年最爱
我有我的样  处刑曲
我现在唱K还会点三国恋
加油啊
知道的不得了
加油
太好了 回来了啊
歌单常有你的歌哦  ！   超好听的  人生歌单了
你的出现完整了我的世界？
飞儿，唉。
全部循环过
我知道
我去。。。随便一位都是神仙歌手啊
感动
一直都在  等你回来
三国恋吗？
花样少年少女TT
你也是其中之一
想起唱滑板鞋那家伙，真的是觉得现在乐坛能倒退20年就好了
如果我变成回忆
天天在跳
？？？嫁人了就不能听歌了吗，应该是不方便近距离追星？
健健康康比一切都重要
是你吗老菊
哈哈哈哈哈哈哈哈哈哈哈
喜欢你的歌
太知道了！！
神仙打架
哪里会忘记10几年前就认识你了
都会
如果我变成回忆
天！终极一班。青春阿
有有有
一定要身体健康，等你的新歌。
哈哈哈哈
爷清回
原来是你
太尴尬了 放的这三首都没听过
短视频那玩意能听？
感动
唱功棒棒的
不会  现在依然流星
飞儿！！！
终于复出了。
厉害厉害
有
复活啦
哈哈哈
你是我的专属天使
《一整天》
幕后黑手
如果我变成回忆
天外飞仙！！
哈哈哈哈哈哈哈哈哈
艺人好累
会一直关注你的！！！！
《如果我变成回忆》
音乐不在于比较
啊啊啊啊啊啊专属天使？
为啥退圈啦
唱功很棒，转幕后可惜了
哈哈哈哈哈哈哈哈哈
真的很烧钱
感恩再次相遇，加油
原来是你小子还飞轮海出丑的呀
知道
飞儿也回来了 
真实
岚！！！
《蟑螂小强》就是神中神！
头号粉丝
怎么会不知道，小小的手掌大大的力量，专属天使，我那时候单曲循环好久的，现在也喜欢
你也是神仙
卧槽，排面
终极一班呜呜呜我的童年
我知道
很早就离婚了
张宇的女儿也是这样的，安啦
这种作息确实对心脏很不健康
飞儿…已经不是以前的飞儿了
告诉他换件衣服吧
不能浪费小朋友的天赋！！
会长大的幸福 最喜欢的一首
卧槽卧槽 如果我变成回忆
哈哈哈哈，处刑曲
每首都是经典！！！
经典
尴尬了喔也没听过
第一张专辑我有买！
啊！
知道呀
以前觉得周杰伦强，现在觉得他强过头了
没听过
啊啊啊啊啊，刚刚散步还在听他的歌
三国恋
给she写的一眼万年
我特别喜欢你！！！
一天？？？
嫁人人间真实
短视频的音乐还是算了
抱抱
感人了
都要翻红
写给王心凌的歌也很好听
好险好险！
哭了 都是青春回忆
就一天。。。
我以为是绝症，你告诉我要嫁人了
好巧，我这两天正好又回去单曲循环如果我变成回忆
没有忘！
每一首
神仙打架的年代
原来是你啊
这首歌居然！
我一直是你粉丝呀
陶喆人品哪里不好了，少数娱乐圈主动即使主动承认错误的，多少人做了不知道做了不承认的呢
伦是巅峰也是巅峰
哭阿
三国恋！
應該說三個人回不到當初了
千年泪！我现在也听
心脏负荷太大了
培养女儿唱歌
《随 手》
飞儿主唱也在B站
我好喜欢斗牛要不要
詹雯婷有b站官方帳號
终极一班！！！！！！
单亲爸爸啊，不容易啊
哈哈哈哈
哈哈哈哈
如果我变成回忆呜呜呜我的单曲循环
F.I.R
三国恋
握草握草握草！！！
天外飞仙一直记得
三国恋！
好现实啊
这次这个画风
哇哇哇哇哇哇哇哇
05年刚出生
青春啊啊啊啊啊是
马超出操
我几乎每天都5个小时左右 好多年了
真就是感受性选手
最喜欢的就是三国恋了
我都听过你怕是不信了
我也很爱周杰伦，但乐坛不能只有一个周杰伦。所有有才华的人都很重要！所有才有当年的盛世！
这也是啊！
天妒啊
现在的飞儿乐团能重新出发同样很好 新主唱也很棒
飞儿乐团是飞儿乐团 詹雯婷只能代表她自己 她又不是团长
出吧，出了我买
这歌让飞轮海唱的 哈哈
没忘！
FIR!!詹雯婷！！
有有有！！！
斗牛要不要！
我也想问
青春啊
哈哈哈哈
不可能没人不认识你
唱k
会长大的幸福
原来你都关注这些新闻的
有啊 每部都是我很喜欢的
我去 时代的眼泪？
咦，我竟然听过
哇！
我给初恋女友唱的  会长大的幸福
有吗？
三国恋啊啊啊啊
hhhhhhhhhhhhh
没忘记！一直记得歌好听的你
流沙
没有忘啊哥，歌坛需要你
你的歌比短视频强多了！
记得
天呐好卷
专属天使
陈建宁、詹雯婷、黄汉青
有点像潘玮柏
因为酗酒和妻子离婚了
但我最爱的依然是《杰西卡》
很真实
将军北方苍狼占据
我的飞儿！！！！！！！！！！！
啊啊啊啊，喜欢你
哇 dt
哈哈哈有代沟没想到
虽然没听过，但是好好听啊
他想做下一个陶喆吧
一整天
听我说谢谢你，因为有你....
天才！
现在也有
帅
如果我变成回忆
二话不说直接点赞投币！！！
哈哈
dna动了
瘦了很多
哇哈哈哈今天看了一天锁定你的目光黑历史
我超
那就不要唱歌，好好写歌吧
还以为要说你们两个在一起了
哇哇哇
如果我变成回忆
呜呜呜
做UP主吧
我的天！！！！！！
可好听了！
你不说我以为是胡彦斌
咋会不知道呀
青春
加油！！！
爷青回，币有了！
如果我变成回忆……
中学最喜欢的歌手！谢谢你回来啊！带着我的青春一起
知道
？？？？？？？？？？？？？
我知道！！！！
弹幕呢
当网络歌手也可以啊
没事，新专辑我会买的
太厉害了
我知道！
我天，欢迎回来
他在同期歌手里嗓音真的无敌！！
感谢互联网时代，可以让你继续发光发热
哈哈哈哈可爱
当然啦！专属天使，一生推！
华研真的可以
好难啊
抱抱
真的是非常会写
超喜欢，千年泪
好温柔的声音，谢谢写出了那么多温柔的歌，陪伴了我的青春
很喜欢你的歌
周杰伦是独一无二的例外，除了艺术特色他不能替代别人外，音乐是千姿百态的
哈哈哈哈哈哈哈哈名曲
天啊，能复出就很了不起了
应该身体原因离婚的吧
天妒英才
记得记得！！！
移动互联网时代一定不会埋没你的才华的
啊，写歌收入这么少吗
哇 好感动
三国恋真的牛逼
三国恋。
我知道你！
天外飞仙！！
原来是你！！
FIR！
一首首都是回憶啊！
怎麼可能忘了你！！
四十几的人了
卧槽
是
卧槽，全世界都停了电
我没忘！
真的只是有些嘛……
亚雷麻
超级喜欢他
你和S.H.E我怎么可能忘记 
三国恋真的好听，到现在还经常听
上学时听的，现在两个娃了
一整天……
加油！一直很喜欢你的歌
看台偶的怎么会不认识
哈哈哈哈哈哈哈车祸曲
都有听过！！
没有忘！！！三国恋那些歌我一直有听
陶喆铁粉头子
我都听过
《千年泪》！！！
我很喜欢你的三国恋
给我你的爱 千年泪
期待新作品
这才是我的童年 不是某人
哇哦，我的青春
DT YYDS
头号陶喆粉丝
是！
好可惜
从来都没忘了！
原来是这样写出来的嘛！！！厉害真的
三国恋啊啊啊啊啊啊
一直都是我最爱的歌手
啊啊啊啊啊啊
有！！！
天外飞仙的剧情加上千年泪。我当时不懂事的我都哭了
18年等你下课还很火的时候，用你的经历混着你几首歌的歌词填过词呢，虽然写的很烂就是了
终极一班必须排面
爷的青春
这么多高传唱歌还缺钱
这么严重
有！！！！
少年泪
说实话，我更喜欢原来的歌……站在dy……嗯……
那天都才听你的歌
终于等到你
我最爱听洁西卡
华语乐坛没你不行
青春
哈哈哈
woc
555555我最喜欢《千年泪》
你回来阿！！！！我们养你！
还真是三国无双
我知道
我都以为你是里面某个角色
粉过你~......
哥，无数个夜晚，我都听《全世界都停电》入睡，感谢这歌陪我走过了最难过的日子，感谢你唱了这首歌。
加油，等你
好真实
啊这
啊？？这是他的歌？？！！
两张磁带 一张签名砖 还想要更多
千年泪，会长大的幸福，三国恋
没有忘记哦！加油！！！
没有忘没有忘！！
飞轮海live处刑曲
有没有给你放孤勇
有没有给你放孤勇
我反正现在也一直听呢
一整天。。
听说生病了
其实你就是你自己啦
哈哈哈
我吹爆三国恋
这故事好像哪里不太对
这首！
原来如果我变成回忆那首歌是真的555
《斗牛要不要》我也很喜欢
记得!
现在的歌其实很差啦
我也有专辑
不要活在周董的影子里，你有你的特色
三国恋，如果我变成回忆
谢谢
等着去看你的演唱会呢
这入围名单也太豪华了吧
hebe说的那个人，不会是你吧？
太难了
别啊，现在的短视频都是一些抄袭歌
哈哈哈
我好喜欢你的！
刷的全是周董的，哈哈哈
天外飞仙是童年永远的be心结
《如果我变成回忆》
我giao，这么牛
死去的青春开始攻击我
如果我变成回忆
天外飞仙！千年泪！
好事多磨
三国恋！！！！
谁会不知道你啊拜托！！！
可是三国恋真的超绝好听啊！！！！！！！！！
我知道你！
《如果我变成回忆》
作品比人出名才是真艺人
专属天使三国恋千年泪
爷青回
单亲？？
没听过
卧槽
mp3
MP3里有你
千年泪一直在我的手机里
我知道呀
车祸曲
妈呀！
三国恋
终极一班呜呜
我手机里还有三国恋
有的！
我没忘！！！
没发现现在歌手都不靠歌赚钱而是搞综艺或者直播
大佬的想法付诸行动得到很好的成绩，我，想想而已啦哈哈哈哈
我还现场听过！
喆服
对啊，老粉了
一天
一整天写首歌不正常？
还好没出车祸
给我出歌，立刻马上。呜呜呜，你终于回来了
加油加油
FIR 名存实亡了
三国恋
没有《如果我变成回忆》我不是很认可
绷带俱乐部
好生活好真实啊～
歌那么火，收入都不多么？
专属天使啊啊啊啊啊
千年泪！
不看电视剧，但你以前的歌我都喜欢
不不不不谁都无可替代
千年泪！
如果我变成回忆我初中时在被窝里边听边哭
这是滨崎步在香港拍的MV片段
呜呜呜陶喆yyds
终极系列
我还会唱
啊啊啊啊，姐姐，faye
金世佳钱最少的时候都有300个w啊 不同时期的艺人收入差距这么大么
记得！！！
陶喆真的太强了
终极一班啊，儿时回忆了算是
哈哈哈
歌曲很好听
那年代媒体都喜欢说谁是下个谁，周也被说是下个谁
你的歌好多了…现在也很火呀
倔强的球  非你莫属特别好听
瘦了这么多！
应该叫“憔悴这么多”
目前唱功好的不缺，能写好歌的非常缺！
必须有影响！
我之前一直在street voice听你出demo，加油！
火错了时代
有的
我有我的Young居然也是他写的！我上周刚听过
哎，太吓人了
原来都是你写的，爱了
太经典了
千年恋
才没有忘记你 你写的歌很好听 btw 可以写歌给尤长靖吗
听的第一首歌是会长大的幸福
睡眠少对心脏影响特别大
听我说谢谢你？
老陶喆粉了
记得你，也记得这些歌！90后
喜欢!
如果我变成回忆！！大东和任家萱演的mv
噗，听到这首歌就忍不住笑出声来
同一时代的 
听着并不过时啊
千年泪很好听
三国恋yyds
每个人都是特别的 周杰伦也成不了你
又是华研，淦哈哈哈哈哈
车禍版哈哈哈哈
陈奕迅和方大同产量低？前面那位你怕是有什么误解……
很多古装武打剪辑用你的三国恋！！我最爱的古风歌曲
PPT战神陶吉吉
如果我变成回忆
妈呀，我怎么以前听说他出意外去世了
千年泪
神仙打架，看看现在。。
千年泪
好家伙，难得采访到一个还算我喜欢的明星了…
我在呢
没有任何事情比生命更重要
直到现在每次去ktv都必唱你的《三国恋》
啊啊啊我超爱你的
小麻雀超级无敌可爱
专属天使
大家去给三国恋刷点数据让她听到
给我你的爱入坑
出数字专辑 我们支持你
没有忘
当时第一次在电视上听到给我你的爱就入坑了
你太厉害了吧
如果我变成回忆
啊啊啊啊啊啊啊我心中的白月光
全部看过呢
《会长大的幸福》真的就是我所要的恋爱的样子，可惜我没那个运气遇到。
我的中学时代
谢谢飞儿
以前发的歌版权是签约公司的吧
三国恋啊啊啊啊！
一直记得
都是回忆
三国恋！！
很多金典歌啊。。。。会不知道嘛
啊好心疼你。你快出专辑我给你支持
喜欢 城里的月光
我超级喜欢你的歌，加油
好严重啊伤心
这也太强了
大神打架的年代啊
哇好感人
看哭了
记得
给我你的爱
是
千年泪
卧槽！
我超 如果我变成回忆
你快回来呀，我们支持你
我知道！！！！
注意身体！
啊啊啊啊啊啊啊啊啊
心疼 好严重啊
r&B教父名不虚传
太强了
太厉害了
哈哈哈哈哈哈哈哈哈
厉害啊
好辛苦，注意身体啊
哇哦。。这个 ……感人
三国无双
创作歌手。
谁不知道你！
唉
超喜欢你的歌！！！
以后可以在b站直播什么的，不用出门
专属天使入的坑！。
哈哈哈哈哈哈这个年纪的小朋友正常
有孩子很正常啊  人年纪也到了
加油哦
哈哈哈哈哈是代沟
好多！
有！！
可是三国恋真的很好听啊
因为终极一班记得你
加油！作品是歌手不朽丰碑
好多都听过！
你的歌才是经典
冷笑话
那时的华研艺人都是我的爱。
没有忘
如果我变成回忆
天啦噜！太厉害啦！
真的好喜欢
我有我的young
有
BGM：until 我最喜欢的歌 
fir当年已经红遍亚洲！但那是有詹雯婷的飞儿。
我没忘 歌都太好听了
给我你的爱
俺也一样
原来那首翻车歌是你写的（*ﾟ∀ﾟ）
专属天使！全世界都停电！非你莫属！现在都还经常听！。
如果我变成回忆
我也不听现在的口水歌。
一直记得你呜呜呜一直记得
哈哈哈 实诚的拮据
我以为汽车
怎么没提及老婆？
SHE小师弟
专属天使！
一直想帮你换 努力加班你心疼的泪打转
好心酸
啊 我以为这些公司会提供
没有
听过听过，好听好听
飞儿乐团，也是眼泪和叹息吧
明星像明星呵呵
消失的歌手
嫁人了再见？？？
终极一班
喆服
谢谢你让我的青春无比精彩
《延长比赛》
三国恋
潘玮柏吕建忠周传雄都是在巅峰伤病
实事求是别尬吹行不行，还没到周杰伦的层次
皮都展开了
哇啊啊~~~回忆杀啊
真不容易啊
"飞轮海！我有我要我可以！ Go, go, go"
陶喆真的是很多歌手的偶像
呜呜呜我的青春吧
呀呀呀。，
生还者有人听过吗哈哈
都是都是！
热搜果然是自设的吧
嫁人了不能继续听歌吗……
首首经典
哇，人脉啊
三连了！
《一整天》
初中时期好喜欢
哇，飞儿乐队
会长大的幸福
神仙打架，没错
三国恋，带神
确实这时候身体最重要
彭不住了
你谁？
好可惜
太有才华了
我年轻时的QQ空间音乐背景就是《会长大的幸福》
我一直都记得，一直都喜欢你的千年泪
保重身体
不，三国恋是永远的神
给我你的爱
终极一班我的童年
终极一家
飞轮海！
呜呜呜我死去的青春突然攻击我
《岚》
我靠，根本忘不了
谢谢你 我曾经喜欢的剧都有你的歌 
他不是身体原因吗
没有
啊啊啊啊！！！
忘？不存在，我的青春
牛
前妻也有抚养义务吧，应该要给抚养费吧
如果x变成回忆
短视频大部分是口水歌。
我懂，我懂，那种感觉
我们一直都喜欢你
我最爱的歌手
我们没有忘了你
真心喜欢这首
流行中国风 哈哈哈
绷带俱乐部
可是 太阳 只有一个
大家都没忘
其实也很有才华
三国恋！
好温柔啊
记得！！！
周杰伦 音乐性和流行性 爆表
加油
没听过。。。
不容易，加油
飞儿？！
！！！
现在都在听你的歌
天妒英才啊
快回来拯救华语乐坛
可以试试让女儿唱你写的歌～(￣▽￣～)~
如果我变成回忆
我的电脑里现在都还存有你的歌
是我们要谢谢你带来的歌声
全部没忘记！！
三国恋
是你离我远去那一天
给我你的爱
天才啊！
飞儿 出道就巅峰，就没然后了。
我可能也老了，对短视频非常不感冒，千篇一律的模仿
三国恋
竟然是谢和弦的词
太棒了
飞轮海真的车祸浪费歌哈哈哈
如果我变成回忆…就是这样写出来的吗
《我参战了》
嫁人了是不再疯狂追星了的意思吧
没觉得像周杰伦，我觉得是陶喆 哈哈哈哈
巅峰周杰伦 一年一转，连续八年中华地区销量冠军，亚洲流行天王
三国恋
超喜欢天外飞仙
身体原因真的很可惜，以前点歌台的时候就很喜欢他的歌
泪目
支撑起华语的除了最巅峰的杰伦，还需要中流砥柱的各位歌手啊
一整天？
tql
是你！
希望你还是要注意身体！
我理解歌手不发作品会被人忘记，一直听你作品的人不会
以前很喜欢
他的歌都是我的青春
记得
夏之风
还有 给我你的爱
天……
喜欢你的音乐，从给我你的爱开始
啊啊啊啊啊啊
终极一班！！给我你的爱
要哭了  
炎亚纶还是那么帅
没听过
周杰伦都快忘了自己是周杰伦了，不过他今年六七月份好像有新专
太可惜啦
我靠真实了大兄弟
又不知道什么时候可以恢复正常。我有钱就不会再说了，但是又不兑现
我该做的都做了，有钱之后就不会再说，但是没人来扶贫啊
陶喆铁粉哈哈哈
我有钱就保障不会再说了，你们也可以恢复正常
我的币全是你的了
能想到的我都想了，但是就是没人这样做
我能怎么办呢，我只是要一点钱，但是中国一直不兑现承诺
自己不来让别人来也不肯
已经很急了，但是一天又一天，一年又一年，一直不肯来
你们来佛山扶贫也不来
没忘！
好家伙！原来是你
陶喆!!!
爱了你们都回来了
妈耶
不会，这些歌我们也不爱听
呜呜呜呜我最喜欢的专属天使
一段记忆..
《一整天》
现在短视频的歌能听嘛？都是抄袭没有一点创意就像口水一样
陶喆是人品是不行，但音乐上没得说
加油！
单亲？
T哥加油，我挺你！
前面说金世佳的，内地演员稍微有点名气，片酬都不少
没听过。。。。
其实艺术跟上时代未必是好事
爷青回
你不这么起标题也没听人这么说过，标题太败好感了，好好说复出就行了
都是神仙
哈哈哈飞轮海名场面原作曲家
全是神仙
噢，这是个伤心的故事
哈哈哈哈哈？？？
全部都会唱
你陪伴了我整个初中时代
哈哈哈
我还在听你求婚的歌，一下子时间就到现在这样了
哈哈哈
专属天使
说歌记得 名字真的没印象
好强
幕后也挺好的
哈哈哈哈好可爱
重新投胎哈哈哈哈哈哈
那年代的媒体真的很爱说下一个xx，每一个人都是独一无二的啊
爷青回
三国恋
千年泪
泪目
加油
别说 还真没听过
三国恋真的太必了！太爱了好听
天外飞仙！
这首真的很好听
吕建忠
++
如果我变成回忆呢
终极一班！
真的每一首都好好听
三国恋
真神
多接点广告
这不比giegie割破手指皮辛苦的多？
请收下我的膝盖
啥时候复出，从小就爱听你的歌！！！！！！
保重好身体
三连
《试试看》
我记得名字....但我不记得歌
一个建议就是生活的条件不要长期超出平均收入
不知道
这是你的歌吗？！
加油！
原来是你
我爱岚
上面的不会觉得周杰伦是靠嘴吹的吧？
周杰伦是bug。。不用跟他比
陶喆的音色太好听了
怎么可能忘记你？
可是三国恋真的么办法超越了
单亲爸爸？
啊，听到前奏，一直以为是周杰伦的歌
是他是他！！我好喜欢他！？
欢迎回来
三国恋
陶喆的r&b调调好喜欢
《千年泪》yyds
三国恋确实好听，还有如果我变成回忆。
少看平板和手机
没听过
youbike
呜呜专属天使！！！三国恋！！！！
单亲爸爸不容易啊
专属天使真的很爱了
这位更是重量级
如果我变成回忆
三国恋，，，，，三国恋，，，，，
哈哈哈哈哈哈
良人会多一个
我知道！独唱情歌！
有印象了！
神仙阵容
版权都在公司手里，你以为打工人能得到多少钱？
起搏器
穿越千年的眼泪
一首没听过
没关系，等你回来，大佬终于复出了
是的
毕竟赚钱嘛
好可惜，没能在一起
杰伦不出新歌了，这就是机会啊
天妒英才，养好身体
原来是你写的
记得!!!
超越极限!!
woc 
撞伤老人后还逃逸的劣质歌手？还出来蹭周杰伦的热度？你拿什么比？
好听啊
三国恋
哈哈哈
好耶
虚拟偶像是个路，不过还要进一步的技术
哈哈哈哈哈哈哈哈哈
手机里还留着你的专辑
先关注她是否有心脏问题吧
哈哈哈哈哈哈哈哈哈
就怕是快餐歌，尽量经典吧
当时的知名度确实。。非常高
自打周杰伦横空出世后，每年都有好几个“下一个周杰伦”
现在已经没有能感动到人的电视剧了
三国恋的确是经典中的经典。。听大一辈天天哼
超级喜欢这些歌！
知道啊！
卧槽三国恋！！！！
复出吧
女儿很好啊
写歌无数，版权零星，唉，经纪公司真的zbj
she的师弟
三国恋！！手机里面还存着
他是飞轮海的师兄
皮都皱了
原来是你！！！竟然是你！！！！
很喜欢你的声音
赤壁烽火连天战役，只挂掉我们几万个兄弟。
加油呀加油呀 期待
好聽
專屬天使真得好聽，百聽不厭
快上架，那些年欠你的专辑钱都补上
哈哈哈哈哈哈
好可爱
你爸爸很厉害的
一 整 天
把我炸出來了！
草，神仙打架
忘不了，听了好多年
所以孩子妈呢？
三国恋
大学一直听他的歌，满满回忆
如果我变成回忆
《非你莫属》
老公！！！！
在，一切就都好，实在不能唱，写歌也行啊，还是很有才华的
Hhhhhhhhhh
3+2？
！！！！！！！
妈呀，这个歌迷对你是真爱
我也喜欢会长大的幸福！
谢和弦去哪了
太难了，飞儿也是满满回忆
哇
突然接地气了起来
曾经的偶像尽然如此的接地气
小学那会儿我就听三国恋
有igang吗
三国念
最爱 岚！！！
哈哈
欢迎回来 永远欢迎认真做音乐的创作人
知道呀，怎么可能不知道
以前没觉得周杰伦强，现在觉得他强到离谱
岚！！！
不会古董！90后去唱歌还是会点你的歌！
梦想没有生命重要，好好活着才能去实现梦想
真三国无双
天外飞仙啊，现在想想就想哭
都是青春
我到现在都很喜欢老师的好几首歌！！！
绝对人才
飞儿啊
你可以做幕后创作，少接一些商演。
爷青回
这两天还在听你的歌！
三国恋ＹＹＤＳ
周杰伦那时是天才
乱舞春秋哈哈
终极一班！！！！！超爱那首！！！！！
最爱拖延
单亲？
大同！
陶喆真是华语R&B开路人
天才啊
确实好好听
哈哈哈哈
泪目了
非你莫属
天才
终极一班
直播呀，这么有才 唱自己的歌，还能坚持梦想
现在可以用自媒体赚钱真的太好了
我也是老古董
周渝民
是～
终极一班中二典范不错不错
一整天……
飞儿乐队换主唱了
哈哈哈哈哈
N
N
N
我焯听过
好喜欢会长大的幸福
哈哈哈哈
我可没忘
我靠
啊啊啊
好有才
专属天使
蟑螂小强
都是大神
哈哈哈哈哈哈哈
太有了
好可惜，真有才华
为什么之前艺人的钱就花光了
詹姐
千年泪
三国恋！
断断续续
全都知道全都听过，全都爱唱
爷青回
写专属天使的时候居然还没正式出道？
有啊！！！！！
给我你的爱
专属天使
保重好身体啊
《一整天》
直接封神这首歌
别让她刷那么多
谢和弦？
好听
梦想比生命重要，但是实现梦想的方式多种多样
人生低谷还有天赋和希望有再起之时很不错，更多人只能混吃等死
我知道！三国恋
划重点，曾经！
哈哈
哇奥，陶喆老前辈了啊
怪不得嘴唇一直那么紫
认识很久了
老婆跑了吗？
我当时真以为他去世了
原来这首是你的
三国恋非常非常好听！！
哈哈哈哈
zc
卧槽
哈哈
我的青春之一。
没这么惨吧
穿越千年的眼泪，直在梦里看得见
秀什么孩子！我要看到专辑！有本事！你把孩子印专辑封面上秀！
我知道
哎。
我真都没听过欸wc
转幕后都没钱赚吗？
声音很好听啊
终极一班
终极三国
飞儿yyds
爷青回
没忘，我前两天还在唱《专属天使》
全听过
飞儿！
真的超好听的你的歌
你写的旋律真的很动人啊
救命
《试试看》
《随便写》
你们以为那年代版税值多少啊，都是靠商演赚。
斗牛要不要！！？？
开始笑了
专属天使
原来是你
宝贝，你爸爸真的是一个很优秀，很有才的人，他是你的骄傲
卧槽
嘎嘎嘎嘎
千年泪泪目
太可惜了
他因为酗酒 跟老婆离婚了
原来是你！？
强啊
这时代还是别跟了…
这孩子不能要了
作为歌手和音乐人，最幸福的是，自己的作品永远经得住时间考验
很喜欢的歌手！
都没听过耶
真的真的好喜欢你
有印象！！！
我没忘啊 
天呢，这几首歌，我都好熟悉
刷唐山的脑壳有问题吧
三国恋
哇！！！！！
公司还算良心
这种旋律这种有力量的声音，只要听过一次就忘不了
我靠！！！千年泪
这个我没有听过
这个也听过
谁TM说方大同不行
都是实力唱将
我记得
三国恋呜呜呜
千年泪
生命才是梦想的重要支柱
如果我变成回忆
支持
BGM-until
这真是从小听到大
飞儿满满的回忆
哇哦。这些歌简直了。期待你的新作品
几乎每首都会唱
华语乐坛期待你的付出
泪目
没有忘记!从小时候就一直听你的三国恋，现在都大学毕业了，跟喜欢很喜欢
哈哈哈哈
