眼珠子好好看！！！！！
？？
扎头皮
发箍店铺我收藏过没有买
头发太长卷起来架不住怎么办救命
基本在这就废了
你高看我了
侧颜杀太美啦
你高看我了哈哈
好细节！爱了！
扁头不配了
《普通的三股辫》
那过长要怎么卷成这样啊
有点道理好像
太喜欢了
首先我要有个发箍
笑死，up好活泼
我超，同款发箍同款短发
所以我把里面头发剃了 外面披着看不出来 又很凉快 扎起来也酷酷的
太漂亮啦
救命，我自己扎不了背后的麻花
剧烈运动＝ kill people
突然发现阿婆有句话说错了：头发太长了真的弄不了
长头发扎高一点可以卷起来
有没有人跟我一样颈椎快断了⋯⋯
太酷了
有什么区别吗？
我就厉害了，我没有那么多头发（doge）
实不相瞒，up主的一扎头发就是我的所有头发量了……
居然还要编 我就看看哈哈
喔这可怕的收藏量
诶！真的不一样诶
这后脑三股辫对我来说太难了呜
关键是…长头发的辫子也长啊，要怎么塞到另一边？乱团吗？
什么都看不到
鱼骨辫还不太会QwQ
“妈！哪个是上下！”
“妈！帮我扎头发！”
up头发好多
男孩子留着以后给你女朋友扎
啊！！！喜剧！！！
可是后面的发缝有点明显怎么办
没有刘海怎么办
nnd我好喜欢姐姐的口音(反正就是说话的样子)
可是……我没有刘海
OK，高马尾
好看
其实感觉这个发型不是很好看，主要是up长得美和发色美
干粘
哈哈哈，画中画没有磨皮，能看清背上的豆豆
没刘海行吗
头皮会痒的
又没手又没头发的我哈哈哈
过肩长应该不太行
长头发其实真的可以看官方的那个教程，外网有人做过是真的可以编出来的
正面看还行，但是背后在现实看感觉好像有点傻
？
长发基本塞不进去（请允悲）
其实是开玩笑的，后期访谈说就是前面垂下后面盘起来
长发的话可以参考姿世的发型，也是很简单
光头不可以HHHHHHH
up发量感人
头发比较长到背部一半的扎起来能塞不进去吧？
我弄成了！！！！
真的好好看！
约尔！！！！
约尔两边的头发好像垂耳兔哈哈哈
终于明白鼓包的原因了
头发太多咋办啊
我的短发并不能辫
手开始酸了
好棒！！！！！
可是我是及耳短发
不会编辫子哭了
但是头发太长会固定不住
太可爱啦小荔枝
xcxcxcxcxcxc
bgm是精灵旅社那个耶
我一个男的为什么看完了
。。。。有这么多头发吗
手酸了
狼尾那位朋友等等我
长发就可以直接按照官方那个扎啊
不会编就查教程学
耳环好好看
梅福的那位，俺也一样
完了，是梅芙，对不起发错字了
长发塞不进去啊
好耶bgm好耶！
真的不是我说，直接搞一个鲨鱼夹不香吗
这里开始就不会了
没刘海肿么办，美女……
你刚编完就散了
我的扁头更扁了
很不错哎。
反正我已经试成功了。
长头发塞不下去怎么办耶
手残党痛哭流涕
前面没手没头发的等我哈哈哈哈哈哈
美女的背少管
可是我水母头诶
梅芙？(ky歉)
我头发没这么多呜呜呜呜
up主跟阿尼亚一个发色欸！
不适合秃头人士
超级扎！
双机位爱了爱了
啊啊啊啊啊手残党成功了好看死了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈姐姐太可爱啦
啊啊啊为什么姐姐的头发这么听话有好看TT
塞不进去。对自己无语了
我再留两年吧
bgm好评
鲻鱼头做不到啊
长发怎么办呜呜呜
救命夹子是怎么固定的
我一男的看了这么久
不会三股辫怎么办？
两分钟？
这长度。。我一个男的也有。不过不会去弄就是了233333
学会了，明天给我的怨种同桌弄一个
哇，我头是歪的，待发裤直接裂开
去我收藏夹吃灰
光头
目前自己只会第一种，因为不会边鱼骨辫
这就是我的扎法哈哈哈哈哈
会编辫子但是不会在自己后面编辫子
这个好好看
长头发以下塞不进去吧
没刘海剪了会怎样
mqm
长发和发量多的放弃吧，这样不稳
半小时也弄不好那个三股辫
有没有人跟我一样把标题的棘刺公主想成明日方舟的棘刺了
看完了，不会反手编辫子
光头不是人？（g=doge
我是狼尾啊喂！
塞不进去怎么办
长头发不太行
skm？？？雪人？？
钢夹是哪种夹子啊看不清
你这一股顶我一整头的发量
间谍过家家！！！！！
对对我一直好奇这发型
omg
up可以想个办法让后脑再蓬松一点，会更好看的
姐姐！！
哇酷哇酷！
到这儿我应该已经散了哈哈哈哈吧
过于剧烈了
真的学不会
鲻鱼头+1
大家都不睡觉的吗哈哈哈
你这发卡，你可能是真去剧烈运动的
不行会扎头皮很不舒服
真的很好学
前面两个，你们是用脚趾头发的弹幕吧
三秒速成，“妈”
我头发短怎么只能编到一小截
不是，怎么塞？？？
天哪长头发编到尾部手臂好累
鞭辫子确实很紧，不过我长头发完全塞不进去啊
你好漂亮
鱼骨辫自己好难
看到鱼骨辫我告辞了
发色好像蜜离
可我是狼尾哎~
哈哈哈哈哈哈哈哈哈哈好可爱
她在认真教我们绑头发，可是你们注意力都在她的妆面
短到脖子的头发可以吗？
这个时候的bgm是什么
头发长的藏不住，累了累了
分两分怎么编发
打脸盘瞬间变小
不简单！！我手残！
男生的那个。。我也是哈哈哈
好评好美
狼尾真的啊阿啊
我过腰的头发也不够长，是我头大了吗QAQ
啊，看也觉得难SOS
我的龙须好碍事啊啊啊啊啊
秃顶怎么办
扁头的可以在后脑勺头发下面加一个假发片！
好，要会反手编辫子的，我已经寄了
超级痒
你好可爱！~
家人们ed是《喜剧》 巨好听！
饰品可爱
好美（有点梅芙的感jio
好美阿
不行，会痒死
哈哈哈哈哈哈好可爱
我自然卷已经彻彻底底绝望了
容易散架吧
想试一下，然后发现自己是水母头…一时不知是长发还是短发…
超短发只有路过
总有你们一瞬像淑芬
你背上好多痘痘啊
！bgm 星野源
到这步放弃
头发已经不够用了
扁头先哭了哈
梦幻联动！！！！
哇酷哇酷
有没有一种可能，人家本身脸就小（bushi
←竟然在这里看到小粉！！
扁头会显得头更扁……
我的头发不可能这么听话，到处散
可是我自然卷哎
那长头发呢！？？
好好看！！！
没有刘海怎么办
有一股梅芙味儿。突然
为什么短寸不行？
好的，学废了
nb
长发固定不住太重了
梅芙
如何用阿尼亚的头发编出约尔的发型（误
那我这个炸毛还卷的岂不是更难搞
卡在这里半小时了呜呜呜
好漂亮的脸蛋
其实也可以小马尾压上去
我就是这样弄的
水母头黯然离场
哈哈哈哈笑死
这个长发扎不了吧呜呜呜呜
你不齐刘海好好看啊
好看，但特别难受，忍不住抠出来那种
yee1yee
《正式场合》（指暗杀）
我发量不少 但是就是有点多夹不住..
up美瞳红色诶，好评
光头可以戴假发
唔这步没看懂
有图！！看懂了！
不行啊姐姐头厚编不起来
9敏我的头发短到扎不起来
好好看
会很痒吧
就怕我不是地球人……
扁头人士痛哭
刚剪了男头的哭了…
头发比较多的，比较简单一点。
抱歉，我不能给你三联因为我是是长头发。
背部咋啦
扁头哭了
狼尾哭了
我也是扁头，巧了
心动了，但我是齐耳发QAQ
just two our us！！（指BGM。
才在小红书看见
咱就是说编完鱼骨辫发现好好看 然后就这么出门了…
我也不知道我一个狼尾为什么要看
救命呀，鱼骨辫那一步学不会呀！看不清脆，求更详细教程呀！
一米多长可以吗puq
蝴蝶忍那种夜会卷吗？
拿啦不分听着好难受啊
好了，头发过短，放弃
摸头杀终结发箍
剧烈运动：指打扫（人类）
这个发型需要发量 小兔人不配拥有555
我是狼尾呜呜呜，编发要炸毛
优雅，实在是优雅
幸亏有个公主切
这个时候我的手臂就已经酸的抬不起来了
谢谢，长发根本塞不进
是梅芙
姬发没有选择
哈哈哈哈
狼尾可以么
哇塞
天呐
好看
辣味
来 你告诉我 长发怎么编
这个女人居然试图教会我
雀食！
哈哈哈哈不至于不至于
我这快到腰的头发怎么塞呢
扁头会很难看耶
有没有一种可能是发箍gu
头皮被发梢扎到会痒
跑起来就散了
我连三股辫也不会
哇酷哇酷
好好看！！
前面那个光头的，有没有一种可能就是光头没有头发呢？（doge）
我没有一字夹……
打错了 难度系数5（雾）
重合度相当高啊
不要龙须可以吗？（个人不太喜欢龙须）
自然卷可以扎吗？
你是。。。我的神！！！！！
第二个不会！
夏天我不可能做户外剧烈运动
看到入迷忘了自己是长发
我头发扫到腰了爱吗
好吧，我编发不会
区别在头饰
《很简单》
保姆的感觉，没贬义
？不是分两层吗 怎么变成三股辫了
又不讲清楚还这么快，是生怕我学会吗
细致个鬼
？这就是鱼骨哇
我缺的是手艺吗？我缺的是头发
有啥不合适的，正面好看就行啦，谁会盯着你的后脑勺看呀
这是短发教程长发看官方的
""
