真的好美
太喜欢她了！
对
一段婚姻，三个人的悲剧
她好飒，我好爱
好漂亮
确实
我的ma
我以前不觉得她美，觉得媒体都是拍马屁或者是自带滤镜，我是这两年才get到她的美的，真的美，美的优雅大气
棒耶!
为什么公主的衣着一定要这么累赘
好温柔的人啊
我天 好美啊
戴安娜yyds
王子本来也没想取戴安娜
太漂亮了
她好敢，我好爱
查尔斯是真爱卡米拉啊，黛安娜就是个工具人
？？？？？卧槽
或许她是在安葬那段充斥着欺骗的婚姻
好美
好漂亮。。
确实，因为王子没有那么帅
绒布妈妈实验
复仇小黑裙
好美啊救命
太美啦
言情套路永不过时
戴妃啊
女王也不喜欢她儿子
前面的别把你不正的三观拿出来展示了，后来的插足的才是第三者
这王子好丑
真的很美
我好喜欢她
那为什么不直接娶卡米拉呢
好漂亮的漂亮姐姐
天呐，好心疼
好美
天呐
唐顿庄园！
，查米拉是真的丑
是你吗戴安娜
天呐这一幕她像个洋娃娃一样
葬礼黑
戴安娜没法接受查尔斯那套情妇是情妇王妃是王妃的理论
卡米拉已经结婚了，而且当时也不想为了查尔斯离婚，重要的是王室也不想要个年龄大黑丑有孩子的女人做门面
她真的好高
太漂亮了
漂亮
太美了
查尔斯丑死了
悲剧只有黛安娜，那两个到现在还一往情深……
政治婚姻能有几个是心甘情愿
但是她穿什么都很优雅又不做作
好棒啊呜呜呜呜呜呜
太棒了吧
好美啊
不，是适合窄肩
飒
没有都想娶，有本事别娶。
因为先穿 后面的人就要被称为 模仿嘛
美女嫁给一只猴，只是因为王子身份
女王老忍者神龟了，为了王位和体面什么都能忍
复仇小黑裙
夹克也好好看
太美了！！！衣服后面的那个裙摆！
大一岁见一次
查尔斯死了
但她领口再低也只会让人觉得她是魅力女王而不轻浮
这个bgm总让我想吃饺子
卡拉米
别人的20岁
取决于你怎样定义相爱绝了
 想多了 和先不先穿无关 后面的的确确就是在模仿
皮的三个人得悲剧 从头到尾就是黛安娜一个人的悲剧
戴安娜：已丧夫 勿扰
太棒了吧
美！
不要说什么真爱，真爱还娶别人?
莫名知道斯图尔特被选中的原因之一是反叛
但是婚前查尔斯就和她说明了卡米拉的存在，她还是选择结婚做王妃
好美啊
这样放小说里女主就是卡米拉啊
好可爱啊这两张图片
查尔斯活像戴安娜的保镖
死渣男配不上戴安娜
女王也是头顶一片草鱼
惨
心酸
这组图超绝，衣服超漂亮
牛啊
亲手埋葬了天真的自己
卡米拉结婚了……查尔斯喜欢有夫之妇
好美
她老公好丑
好惨
好恶心
太棒了
太美啦
好美！
身材好好，好爱，好飒
长得也好好看啊我的天
永远的英伦玫瑰
戴安娜那时候才二十左右，年轻，好骗
可是还是被逼死了
卡米拉自己先结了婚
“若有国丧天下皆知”
爱上她了
家人们爱上她了他太美了
梅根确实是在模仿她
说得对
欧洲皇室确实够乱
悲剧个鬼啊，查尔斯喜欢的是一个已经结婚的人，整个故事悲剧的只有戴安娜
她的高级感在于她天生就是优雅的人，是天生的，不用教。天生就知道有时尚敏感度
靠，渣男中的渣男
戴安娜女王看错他这个渣男了！
哈哈哈哈哈哈钮钴禄
wysd
BE
然后查尔斯还觉得戴安娜比他做得好而不开心
帅
是不是那首：卡米拉，卡米拉诶诶，哇卡哇卡贝贝，卡米拉卡米拉嗷嗷
正道的光，照在了大地上
唐顿！
她好漂亮！！！
太美了！！
戴安娜好好
太帅了
好温柔
好棒！就该这样回击，凭什么她就要沮丧
好帅!
好酷飒呀我很爱
好帅！！！！
别人的20岁，我的20岁！淦
卧槽这条裙子好好看……
她离婚前也不是小白兔啊…
戴安娜可不是啥小白花啊
三白眼，狠人
那他妈就别娶啊。
哇塞
蓝眼睛好好看
绝绝子
懂了 暗戳戳骂人啊
婚纱真的好好看啊
后面花童的裙裙也好好看w
卵钴禄，野猪能无戴安娜比？
公主裙
逐渐意识到减少碳排放的重要性
！
那他咋不娶卡米拉
好美，好飒，好爱
太优雅了
对的女王没办法，所以女王为了所谓的皇家尊严做了什么好事
这个王子不好看
卡米拉离婚还有孩子好像，不符合皇室的要求
好美的裙子！！
哈哈哈哈
若有国丧天下皆知
相爱和在一起是有很大区别的，不是用取决自己能概括的
她长得太好看了
她穿什么都好看
若有国丧天下皆知
哇，这什么小说情节
查尔斯卡米拉锁死，生生世世永不分离，不要再祸害好女孩了！查尔斯配不上戴安娜！​
好喜欢这组照片超美的啊
逆袭成功
婚纱也好美
无可超越
公主的嫁衣美呆
为啥要嫁给他呢
我的天，这是什么剧情
查尔斯一看就很原始的长相
笑的超美的
民众的王妃
好善良
这么漂亮的妻子你不珍惜
007
钮祜禄！
好温柔
BGM好评
这个歪头好可爱
哇
天呐。
哇。真美
她真的不算幸福
结婚前虽然知道卡米拉的存在，但婚礼已经在筹备了，戴安娜没办法叫停婚礼，连她娘家人都不帮戴安娜的，没办法
上面黄字，戴安娜知道了这件事以后曾经想取消婚礼，但她的家人不允许，觉得这段皇室婚姻是她的福气，也能让斯宾塞家族沾光
卡米拉可没有悲剧
卡米拉还不是被嫌弃了，现在
复仇小黑裙
腿腿腿
高情商：童话之裙；低情商：窗帘
爱上她了
言情小说来源于生活
好美！！！！
绝了
？
她好美
离婚了人家想怎么过怎么过嘛，怎么就是复仇了，不过是放飞自我
唉……那全世界都抄了四大古国呀
她太美了
王妃是一个职位，而王室也不是一个家庭
你完
芜湖！
女的没必要要这没用男的
酷
旁白文案真。。。不咋地
格局大了
皇冠超美
但看起来一点都不低俗，反而很美，像黑色的大丽花
好漂亮
所谓王室，不过污秽
啊这
评论说他俩是真爱的，真爱查尔斯就不会让他心爱的女人背负骂名二十年，不给她证名，不让她接受任何采访
你要我哭泣卑微等待  我就要张扬自信大胆！！！小说女主实锤！
天啊，真的好美
我不是林品如，我是高珊珊
戴安娜真的是一个悲剧
真美！复仇女神最帅了！
好美啊
好美个字也很高178？
好好看的裙子呜呜呜
帅
爱情是伤害别人？
戴安娜长的确实不算美女，不过她是真的人格魅力让英国人最爱她
哈哈哈哈哈
后面的薄纱真的好看唉！
视频和文案都是抄的……
因为戴安娜的家族是很古老而且很有话语权的家族
喜欢戴安娜
感觉这个领子好看
我去这bgm是我们下课铃
太帅了
太酷了
葬送对那个充满欺骗的婚姻
那卡米拉也是三啊，都不是什么好鸟
三是我生日
太美了
好美
钮祜禄一出，真笑出了声
别人穿的都是她玩剩的
正道的光！
钮钴禄好啊
戴安娜美得像是童话里的真公主，这查尔斯的颜值嘛真不像个王子
声音好好听
真美，嫁给王室是她的人生悲剧，要是没嫁人生也会很精彩
人家自己都承认是模仿，跟先后有屁关系
女王肯定还是帮自己儿子阿，她没办法吗？不想帮她而已
高跟鞋！就要穿
为什么不娶卡米拉，因为她是有夫之妇
女王能怎么办
美女
一米七八，真的高挑
她真美
哈哈哈
卡米拉好丑啊。。。
这裙裙是真滴好康
卧槽我小学同学就有一个卡米拉我扫
钮祜禄啊
太美了呜呜呜呜
女性是可以成为她想成为的人!
深蓝色
真好啊
哬，好酷的做法
这眼神太A了！
草，忘打了个world
戴安娜好漂亮
BGM应景
Downton abby
好美啊
会吗？
太有魅力了！
卡蜜拉
bgm好评
戴安娜，好美
穿衣服女王
太帅了
天使
好美呀
她真的好高啊
在葬礼才穿的黑裙笑死我了哈哈哈
不然呢，女王对皇室男人的德行门儿清
主要是她长得天真浪漫
哈哈哈太酷了
女王也管不住啊
yue
哈尔斯王子怎么丑的跟，峨眉山的猴子似的
哈哈哈哈钮钴禄戴安娜可还行啊哈哈哈哈
查尔斯太丑了
大背头好帅
超美的啊
婚礼的时候又美又可爱
就是这个，好美
童话里的公主可不就是这样的了嘛
原来当时就流行泡泡袖了
？？？
哦莫，有被冒犯到
好美喔～
好绝望的样子
好绝望的样子
好美啊
笑的好好看
真的打击很大吧
好美
就是要这样
超美的，
车祸呢
唐顿！！
钮钴禄哈哈哈哈哈
好传奇
好家伙
好美的裙子
哈哈哈哈哈哈哈
好美
好美！！！！
查尔斯离大普
她真的好美
干得漂亮
穿婚纱就是模仿吗
可怜的戴安娜
请不要用“钮钴禄”这种满清糟粕来侮辱戴安娜，我不赞，点踩了
好美
尿毒症
尿毒症
这tm
哇塞
卧槽
复仇小黑裙
《政治联姻》
三个人的婚宴太拥挤
黛安娜的声音太好听了！
钮枯禄哈哈哈哈
bgm是唐顿庄园！
王子也惨，迫于地位吧
666
女王头上的绿帽她自己都管不了 更何况而且头上!
儿子随爹 女王就被亲王戴了无数顶绿帽 
她说话好好听呀
原来戴安娜是这样才让人民群众都喜爱的呀
支持
难道不是女王和查尔斯合谋的结果
好美
黛安娜长得不算美？你瞅瞅身边女人甚至国内女明星什么样貌再来评价吧
我的丈夫死了
帅
省流：戴安娜吹
姐姐好飒!
并不是，因为戴安娜王妃内外兼修，表里如一，所以说从未被超越
好美
天使
好自信啊
然后给弄死了
卡米拉已经结婚了
唐顿庄园开头曲
476弹幕
《我的好朋友》
声音好好听
草 太美了
最可惜的是她没有复仇成功啊，渣男还活的好好的呢
但她还是被害死了
好漂亮
婚礼上好美啊好美！
太好看了，有一种灵气
地利不如人和
好像她花费大 都查尔斯套的 她知道查尔斯和朋友卡米拉谈 还主动…查尔斯走后门读剑桥 黛安娜高中辍学 后来婚后也和其他男的 感觉所有人没有那么好也没那么坏
怎么看都是克林顿
国女没法比
升官发财死老公，可不得穿黑色
恶臭王室
这才是天生高贵
好美！！！！！
戴安娜？47？（不是）
好好看啊
救命王妃的声音好甜
太帅了
因为骑虎难下，整个英国都知道她要当王妃了，水壶上都已经印上了她的照片
英国皇室也不过是个吉祥物而已，尴尬得要死
怎么滴了，变得坚强怎么就是埋葬天真的自己了？
呜呜呜呜呜呜她太好了
好美
没了丈夫也可以爱人民 这才是王妃！！！！
歪头好好看喔
睡美人公主
哇塞
这套婚纱真的太好看了吧
别人的审美vs我的审美
潮流巅峰啊
？？？
真的是骗人的
太离谱了吧
声音好好听喔
没救了真的是
果然是民众的王妃
好有爱啊
好美
好喜欢
正道的光
美死了，家人们我先爱了
后来者模仿的大多是技巧，而不是她通过穿搭表达自己情感与态度的精神
呸！老渣男
戴安娜王妃本身就是美女啊
查尔斯只不过是出身好罢了其他的啥也不是
好优雅啊
真漂亮
戴安娜：已丧夫勿扰
家人们爱上她了
我先爱了爱死她了
帅！
妈妈她好美啊
戴安娜真的好温柔
好漂亮哦
“钮祜禄·安娜”
“钮祜禄·安娜”
天呀爱死了
王冠电视剧里面有
他好漂亮我好爱
好漂亮奥
我妃最美
大     马       猴
优雅，实在太优雅了！
若有国丧，天下皆知
王子惨个屁，狗男人
人美心善
臣妾是钮祜禄·戴安娜！
太美啦
王妃好会穿
人民的王妃
评论还有查卡粉？
""
