仪表盘细节
提示：请将画质调成360p以增强代入感
细节好评
卧槽！逮捕令
老番背景可能还会更简单一点哦…
today！
味太冲了
眼睛画的还是保守了
太有内味了
太棒了！
我都要！
有内味了
草，dna动了。
怎么是逮捕令的主题曲？？？
逮捕令
太牛了吧
全损音质
都喜欢呀
73162360原逮捕令吧群欢迎加入
480P代入感拉满
BGM是逮捕令ova的
大爱九二版
我是看画风来判断里番的新旧
换成360P体验最佳
这个字体 更有意境
立刻手动调低画质
柯南的味道
太有那味了，真的好怀念
有内味了
有感觉了
逮捕令出续集了？
又新又老的艺术
牛逼牛逼
对胃，你币有了
味儿太冲了
这个炸毛很有那个年代风格哈哈哈
老风格亲和力更高
老式仪表盘好评
对味对味
这个4:3的屏真是绝了
我去太强了
车子对应上了
对味了
星空卫视
一百迈的勇气
还是原版吧
最喜欢的一集
为什么看复古版那么有感觉呢
老画风居然感觉挺好看的
我还以为以前真的有，这也太像了
2001年就诞生的bilibili是鉴
太有内味了！
沙俄地铁（幻视）
左边神作画风
啊啊，这熟悉的味道
内味太冲
童年回来了
XeSS                                        DLSS3.0
有点像女警快车逮捕你的画风啊
战术掉帧
有那味了
太强了！
美幸的本田today！
扑面而来的年代感
最喜欢的一集
卧槽这个太有感觉了
感觉左边更好看怎么办。。。。
草，开幕就蚌埠住了
在加上四比三↑
擦，连抖动都还原了
减帧数非常有老动画的那味
我记得《逮捕令》动漫是95年的
我靠，可以可以
承包空瓶
全损音质
新世纪福音彼岸花
《为什么可乐神是神》
舒服
这个车居然还原了
这是啥歌？
泪目
这个赛璐璐真的绝了
←老版   翻拍新版→
1992年这画风太也太超前了啊？？？好
逮捕令？
真的很有感觉
这自绘帧数也太高了
表现力不如92版
他甚至还原了画面抖动
高技术力
这画风很不1992啊
哇，超爱的
最喜欢的一集
太对了，太对了
。
因为真正的美是不过时 现在的也很好 比如旗袍汉服放到现在也是好看的
啊！这是我的童年
有内味了
这是人能掌握的力量吗？？？
那年代的歌好有活力的感觉
怀恋念的感觉
对上了！2000年缓行线刚刚开始运营E231系！
噢！是逮捕令的BGM
这几帧一下子就让我精神了
360p强烈建议
6666
有内味了
还是得360p才有
什么EVA
最喜欢的一集
赛璐璐感太舒服了
《新世纪千束战士》
！！！！
woc
太对味了
等等这就是逮捕令的画风吧
最喜欢的一集
逮捕令，80后啊
最喜欢的一集
《东京少女特工先锋队》
和逮捕令一样的本田today！
下巴不够尖 脸不够扁 差评
爱尔奎特草
画面是加分项，不是核心项
建议人物御一些
很牛了
给你币
92年的话E231-500番台还没有生产出来……
卧槽，对味！
本田city
藤岛康介直呼内行
EVA的味
仪表板细节
wc逮捕令
可惜烟雾感觉不像
你有8秒钟时间调至360P
新世纪莉可莉丝（
哇！逮捕令！
3D建模出戏
逮捕令
生草
脸更长一点就有那味了
牛
标题蚌埠住了
右上角星空卫视对胃
太对味了
介不是逮捕令呢
小孩子才做选择，我全都要
我超逮捕令
太强了大佬
《读或死》
2001年的时候中央总武缓行还没有E231-500番台
我超，逮捕令！
卧槽牛哇
改了但是为什么0码0转啊！！
星际莉可丽丝
byd什么都最喜欢的一集
小时候看哭了
最喜欢的一集
真嗣：姐妹来开EVA呀
有那味了
卧槽味太冲了
喜欢老画风
上世纪女同战士
都喜欢怎么办？
最喜欢的一集
青春回来了
都喜欢
古帧记画(doge
平行宇宙的bili少儿频道
有那味
画质都出奇的像就离谱
有感觉了哈哈哈哈
这种感觉就像是在看勇者系列一样
居然没有脚刹（大哭）
最喜欢的一集
感觉手绘的有味道
味太冲了
92年动画01年引进，很真实
天呐还是4:3
最喜欢的一集
夏池，是你吗
新活旧整
对味了
全损音质
guoji
对味了
这……
高中时在本地教育台看的国语逮捕令
画风还是过于超前了
一个镜头四帧的样子
味太冲了
手绘版更有感觉
发型太正常了
666
牛逼
我还以为1992年真有
这怎么选？我全都要
最喜欢的一集
183
187
我还以为是真的！牛
这个可以做，把光影挑弱点的，分辨率再低点，对比度拉下，锐度再拉下
哔哩哔哩少儿频道
高技术厨
eva
一股子eva味
太牛了吧！
有那味了
？
头发翘了
逮…逮捕令？！狂喜！
nb
Honda Today
没记错是逮捕令的op吧，太入脑了
我的女神，天地无用，逮捕令，同级生
逮！
最喜欢的一集
眼镜还可以大点hhhh
神特么逮捕令hhhhh
有内味儿了
卧槽，有内味
经典街上没人
ahahahah
味太冲了！
有内味了
高清重置
味太冲了
味儿太浓了
左边炸毛了！！
逮捕令
好家伙，猫眼三姐妹是吧
最
最byd一集
最喜欢的一集
逮捕令
味对了
yysy比原版好多了
EVA：啊对对对就是这个感觉
掉帧有那味儿了
原版
离谱
专门调了低画质，味道好冲
      原版↓                                           重制版↓
离谱
最喜欢的一集
听过这个歌的至少三十二了
手动4:3
经典眉毛和头发不是一个色，但头发面积小了
真的假的？
确实想看这种画风的动漫，好像回到小时候下午5点一样
这旧画风放在当时的T∨动漫算超前，但如果和经费充足大师齐聚的O∨A动漫的画风比就不算超前了。
强啊
不够92
这神仙年代
city pop 风格
有内味了
最喜欢的一集
版
字母好评
这全损音质，有那味儿了
《莉可丽丝》92版 vs 4k高清重置版
最喜欢的一集
少儿频道，绷
画风还是差点
人家说的超前是指UP画的这个看着不像是1992年的
有一股电影少女的感觉
好复古啊！
内味太足了
双字幕好评
我全都要
差点就信了
黑色眉毛说明是染发，太性感了
32
太有感觉了
牛
多了双眼皮，眉毛颜色也一致了
感觉对了，魔女猎人
最喜欢的一集
卧槽牛逼。。。
草
逮捕令是吧
86
92版才是童年
我还以为是真的
30年前音轨已经可以了，不至于这样，有点太夸张了吧
逮捕令啊
追捕令的op，真棒
我莫得选择
味太对了
一种很新的东西
星空卫视
小时候最喜欢的一集
我的童年真的无忧无虑
用不着音质也还原吧。。
味太冲了
改成360p瞬间就对味乐
爷青回
还是以前的画质看起来舒服
柯南前期既视感
握草
有那味了
逆天
我趣！我靠！
不像假的
这音质味太浓了
勇敢的少女啊快去创造奇迹
腰上的欲望驱动器瞬间变成了进化圆环
理智讲，92年不会是这个人物比例
这个我知道
这个我知道！RTX ON！
好喜欢老动画
味太冲了
360p
太厉害了，怎么做到的？
逮捕令好评
真的很厉害
味太冲了
昭和味 太燶
还不错~
什么黄金小子哈哈哈哈
6
逮捕令
有第一部龙珠的感觉了
线条感太差了
喜欢莉可丽丝的百分之90是千束的声优太棒了
这种不就是风格迁移么，还AI无法实现。。
擦，说不出的感觉，好怀念
6
太强了
怎么做到的。。。
好家伙
我都喜欢
鉴定完毕，可以蒸
对味
< Intel GMA 3150      Nvidia RTX 4090>
全损音质
逮捕令
好看！！！！！！！！！！！！
6
以前画质没今天的好，但剧情质量完爆今天的番
有内味儿了
怎么古老版的千束还炸毛了（doge.）
太强了
不，80，90年代初OVA的画风有很多都不输这个甚至某些方面还要强，在OVA里面确实不算超前，（勿喷）
爱了爱了
有内味了
笑死，都喜欢
？？？？
这覆盖的字幕对味了
都喜欢
？
低清重置
对，逮捕令
有内味了
音质对味了
眼睛画保守了
逮捕令是吧···？
逮捕令是吧
真是童年回忆啊！
这原来还有老动画片的吗？
逮捕令
就很对
√
480p完美
360p完爆480p
画面太拉了
算了。。。
味太重了
老片子画面更柔和一点。
惊喜啊
这画风太喜欢了……
有那味了
我差点信了
逮捕令我靠
鸡皮疙瘩起来了 我焯 这不七龙珠嘛哈哈哈哈
草帧数都有内味了
左边原版，右边高仿（doge）
请自行360P（
逮捕令的op
逮捕令
做旧
6666
太有内味儿了
明明都很喜欢你非得让我选。
AI:“继续画，我在看”( )
爷童回（bushi）
好像作者有自己的日本字幕
赛璐璐YYDS
说实话，逮捕令ova车和场景画质比现在片子强的不是一点
昭和锦木千束
城市猎人 之 莉可莉丝
无敌
有看七龙珠的感觉
逮捕令！！！！！！
哈哈，也太多人厚古薄今了吧
没看过的我甚至以为这就是原版
总武线太怀念了
一下就变成普通动画了
这个帧率太真了
女警逮捕令的op哦
味儿太对了哈哈哈哈哈哈哈
新世纪女桐战士
太有内味了！！
我喜欢左边，可为什么呢？因为熟悉感？
少儿频道就更对味儿
欢迎大家围观《点错了》系列
哈哈哈标底应该180因为君子协定
摩多摩多!
有内味了哈哈哈
这个车极致还原
确实很有感觉啊，牛人
没有战术花屏，没有灵魂
逮捕令
以前的那种感觉真的太喜欢了
小岛秀夫：6
我的初恋一个是晴子，另一个就是美幸
逮捕令OP 100mphの勇気
笑死，后面有个弹幕说小时候看哭了
MD绝了，有内味了
推荐一下《橙路》
SAOBI
更舒服了
360P味道更浓
""
