coin,favor,forward,list,name,thumb,view
61000.0,77530000.0,24580000.0,"婚礼,情侣,摄影,生活,搞笑,日常,恋爱,情感,写真,婚纱,搞笑研究所8.0,Vlog",玩大了，明天就结婚了，婚纱拍成这样能用吗,57000.0,1002000.0
84000.0,30000.0,23180000.0,"牛排,牛肉,烧烤,4K,厨艺,家常菜,美食,美食,美食制作,生活,美食制作,和牛",和牛战斧天花板,172000.0,1966000.0
28030000.0,14000.0,24000.0,"萌宠,动物圈,动物综合,仓鼠",考研，但书被吃了……,88000.0,991000.0
63490000.0,25000.0,46790000.0,"鬼畜,鬼畜剧场,朕宰了你,雍正王朝,父慈子孝",父慈子笑,116000.0,699000.0
72240000.0,25000.0,32930000.0,"生活,出行",趁着国庆终于有机会到南昌好好旅游了，除了好好放松，当然也要狠狠记录啊！,286000.0,2588000.0
16750000.0,96000000.0,12000.0,"喵星人,萌宠,动物圈,喵星人,小猫咪,铲屎官,萌萌哒,云吸猫,金渐层,动物观察局·心动的信号",别被网络上的猫骗了，这才是真实的猫叫🤣,95000.0,1906000.0
57000.0,84560000.0,11260000.0,"影视,影视杂谈,冰与火之歌,权力的游戏,经典,影评杂谈,美剧神作,权力的游第三季,高分美剧,美剧解说,龙之家族",【阿斗】血色婚礼名场面来袭，堪称美剧反转之最！美剧史诗巨作《权力的游戏》第12期,75000.0,683000.0
55160000.0,22000.0,53050000.0,"原神,生活,日常,枫原万叶,Cosplay",进来看万叶教你丝滑转刀,114000.0,510000.0
8660000.0,11000.0,15900000.0,"延时摄影,生活,日常,校园,男生宿舍,太阳花",男生宿舍，当你有一个喜欢种花的室友,128000.0,762000.0
15000.0,47000.0,50460000.0,"家常菜,美食,美食,美食制作,美食教程,美食制作,简单美味,美味,香菜,简单,牛肉的做法,香菜拌牛肉",除了追着牛啃，还有比《香菜牛肉》更简单的牛肉的做法了吗？,150000.0,1144000.0
26000.0,13000.0,29000.0,"暴雪,守望先锋,游戏,网络游戏,电子竞技,雾子,守望CG,守望动画",《守望先锋》“归来”动画短片：雾子,69000.0,1498000.0
121000.0,24000.0,43810000.0,"古风,人文,知识,人文历史,颜值,传统文化,曹植,朗诵,洛神赋,古诗词",中文系小伙走火入魔，在洛河里背诵《洛神赋》,118000.0,759000.0
97000.0,56000.0,26000.0,"国风音乐,中国风,原创歌曲,LPL,英雄联盟,音乐,原创音乐,电子竞技,游戏赛事,原创曲,LOL,赛事,S12全球总决赛,2022全球总决赛,S12",【非官方S12主题曲】-《天选》中国风燃曲为LPL加油！,108000.0,2437000.0
169000.0,152000.0,68000.0,"鬼畜,搞笑,鬼畜,鬼畜调教,高能,鬼畜素材,洗脑循环,熊孩子,逗比,每天一遍,蜜汁带感,小学生,家长",⚡每天一遍，家长升天⚡,899000.0,5736000.0
68580000.0,22000.0,11000.0,"科学科普,诺奖",万万没想到啊！今年物理诺奖是量子纠缠啊，这太炸裂了啊！,217000.0,2406000.0
18000.0,19000.0,29220000.0,"跑车,机械,汽车,搞笑,汽车,汽车生活,宝马,生活,奇葩,搞笑研究所8.0,小潮院长",800W粉丝UP主开什么车？小潮院长新车首秀！,89000.0,1271000.0
33000.0,54000.0,23000.0,"小剧场,自制,原创",红墙下的南风,347000.0,2648000.0
36000.0,14000.0,25000.0,"原神,游戏,手机游戏,手机游戏,氪金,抽奖,抽卡,国服,欧皇,赛诺,棉花大哥哥",国服也有十连五金啦！！,80000.0,1078000.0
20000.0,85000000.0,10920000.0,"王者荣耀,游戏,电子竞技,电子竞技,阿三,忘川,MOBA,的的,铁根,清酒,nono,养猪流",真假养猪流,150000.0,1268000.0
33000.0,77000.0,8940000.0,"动漫杂谈,动画,动漫杂谈,童年回忆杀,童年回忆,经典,综漫,炫富,汤姆,杰瑞,逆水寒OL",汤姆家到底多有钱？贫穷限制了我的想象！,91000.0,2788000.0
30000.0,36000.0,13000.0,"动画,短片·手书·配音,西巴老码,c8,shakeit",[菊草TOON]被兽人奴隶抓住的贵族,78000.0,865000.0
11000.0,16000.0,21920000.0,"宁静,电影解说,历史,影视,影视杂谈,国产电影,经典电影,电影,国产,冯小宁,红河谷,电影奇遇记之秋季大赏",25年了，我们再也拍不出这么轰轰烈烈的故事了，一部国产史诗电影！《红河谷》,83000.0,1728000.0
15550000.0,20000.0,23000.0,"生活,搞笑,恐怖,恶作剧",胆小者勿入,114000.0,1342000.0
18000.0,44000.0,19660000.0,"是在下输了,小游戏,独立游戏,搞笑,单机游戏,游戏,单机游戏,独行侠,虚假广告,沙雕",当你尝试将虚假广告做成游戏...,188000.0,1942000.0
22000.0,85150000.0,1530000.0,"喵星人,萌宠,动物圈,喵星人,铲屎官,猫咪的疑惑行为,故事,战友,职业,宠物,分享,动物观察局·心动的信号",出差回家发现三只猫都中毒了！连夜送去抢救才活下来到底谁干的？,118000.0,817000.0
46210000.0,44370000.0,11010000.0,"生活,搞笑,娱乐,原创,生活记录,逗比,日常,恶作剧,沙雕,打脸,真香",现在好了！就连最后的灯也熄灭了！,158000.0,1184000.0
49720000.0,21000.0,39630000.0,"鬼畜剧场,鬼畜,搞笑,鬼畜,鬼畜剧场,搞笑视频,朕宰了你,雍正王朝,沙雕,难说",全员奸臣,121000.0,1290000.0
28000.0,10000.0,18430000.0,"脱口秀,知识,社科·法律·心理,趣闻,心理,解说,搭讪,奇葩,慧小媛,朕宰了你,1818黄金眼",物业大哥搭讪富二代女大学生业主？难说！【慧小媛】,129000.0,1208000.0
63880000.0,38000.0,13990000.0,"日常,情感,感情",我点高香敬神明抵我心中意难平,130000.0,398000.0
49000.0,64190000.0,28030000.0,"日常,正能量,医疗,医生,医院",截瘫消防员急需救命治疗，全网寻找这几位医生教授！！！,132000.0,889000.0
38000.0,52690000.0,16260000.0,"搞笑,生活,日常,古惑仔,漠叔,去你家吃饭好吗第二季,海南,香港",本地帮会太有礼貌！香港古惑仔带老婆来海南做客，漠叔买车票送站。,116000.0,1070000.0
34000.0,28000.0,35360000.0,"时代少年团,娱乐,明星综合,TNT时代少年团",【时代少年团】《浅炸一下吧！》01：重新相聚的时刻,125000.0,1680000.0
