我等着方天画戟
这手指头不要了啊，右手食指夹着箭矢
姐妹们打拳真的有用
鸡腿？加整只鸡。
三连ing
老师太酷了
一下打不死我，就算我命大
春秋大刀美死了
太帅了！！！！
太帅了
姐姐我想跟你学武功
闰土
这不是闰土吗？
摄像师-3
三级头
看起来就是太极
你币有了
威胁我？不点好像我怕你
节目效果拉满
帅
摄影师-1
脑瓜子嗡嗡的
三级头三级甲，手机有阿卡
我丢，这个姿势，牛批
帅气啊
闰土
胳膊减1
现在古装武侠剧都是冷着脸五毛特效加持，有几个真的来拳脚功夫，没有小时候港剧味道！
胳膊减1
我感觉如果我和她结婚以后我打不过她
大家好，我是70号
摆拍不错 
摄影师-2
不是武英级别都对不起你这身五一
爷才不看什么武术，爷之是看小姐姐的
苗刀和戚家军的刀有点像
哑铃打人牛
就这
还行
喝酒是要开醉饮江河吗
拂尘打人很疼的
闪电五连鞭
衣服破了
帅是帅，就是有点费摄像师doge
摄像师3危
等会儿这个扇子咋回来的
都给你振了！
怎么用日本刀啊
我的圣剑
短剑这个帅到我了
帅啊
振他刀
爱了爱了
老婆
这女人不能娶  不然每天换一种兵器都能挨揍一个月
这个女人怎么卖
峨嵋刺太漂亮了
平底锅也想看
老师内功上乘
摆拍哇
69卒
特效不错
羡慕发量
你让我请勿模仿？
振刀振刀振刀
三连了
古偶都tm过来看别转半天看不到一个正脸了
还收徒弟吗？
多高啊
猹！快跑！！
暂停学。。。算了，这还学个球。。。
我要这个摄影师
好飒啊
这刀是怎么贴着手转的？！！！
贡献一条弹幕
残影
我想跟你切磋一下
锏
建议武器鉴赏阶段用0.5倍速看！！！
他在哭哈哈哈
七匹狼皮带是你爸的武器吗
下一个，70号、
考虑到大学开班吗姐姐
6666
虚竹
怕是有点费摄影师
你币有了
好听就是好头
一建三连就是你
发外网
乾坤刀
一箭射到心里了
好帅
三连三连
三连三连
既然你们都不敢娶，那我来吧
房子好大
这次一定系列
运镜真的牛
如果不关注，请看师姐的动作
好看
继“佛媛”后，不提出现“武媛”吧？！
武媛笑死
那个说实话的大哥怎么样了?
太酷了吧
我就要模仿
up主被揍了
太极，这一手叫 懒扎衣
好听
卧槽这也太绝了
牛啊
不得了！
这也太酷了吧！！！
苗刀
这个棍好帅
首页录取通知书
短剑好帅
甄姬吧可爱
《以 理 服 人》
6666
给你给你，硬币给你
你币有了
也太酷了
吓死我了
好有气质
我眨眼了，怎么办，在线等
小姐姐真漂亮
落笔成兵
看什么，我使枪的
这个也帅
实战作用怎么样
还是板砖好使
有点点帅哦
三连三连
慢速惊喜啊，太帅了
太帅了呜呜呜
强啊
动作剪辑
闰土！终于找到你了
必须振他一下
快振刀啊
太帅了！
老张的家的人，牛
这和刚刚的是一个人吗
猹
哈哈哈哈哈哈哈哈哈哈哈哈
币留不住了。。。
这小姐姐  厉害   路转粉
怎么没有剑气
大家点个关注吧~(拔刀)
我想和你过过招
大刀姿势太帅了
这个师姐好帅，忘记师姐叫啥了
说拂尘挠痒不至于，陈师行用拂尘碎瓶子的视频有
关注好说，你能先把剑放下么...
剪辑效果好
啊……妹子，你插到我眼了
有杀气！
血滴子何在？
周翡本翡了
好强！
啊，我中箭了，要小姐姐亲亲才能起来
很炫很酷
好帅
剪辑师牛逼，加鸡腿
灭绝师太不就用的拂尘嘛
把他们晾在晾杆上
下次一定
乱开黄腔 棺材反光
闰土
闰土
视频剪辑的全是重点，就没有重点了
有没有人觉得BGM太吵了。。。
这个有点废摄影师
偃月
帅
我来 70号吧
我来不是看武术的，主要是看练武术的人
我泱泱大国，会点武功怎么了
三级盔哈哈
折凳在哪里
继续！
啊啊啊啊啊啊！我的女侠！！！
那一锤子该赔地了吧
鱼叉，帅
好好说话，别拔刀
武器能不能给个特写呀
太帅了，姐姐飒爽英姿
头铁
有事说事
看到鞭:年轻人不讲武德
哇！好帅，信不信一根手指将她征服
点了点了，有话好说别动家伙
三连都给你！！！
延研小师姐不见了啊！
这次一定 这次一定
苗刀！
三连了
为什么不做动作捕捉 放到游戏里面 多好的动物
流星蝴蝶剑 兵器都是真的啊
触地得分!
强强强强
涉嫌暴力和武斗器械，同时穿着过于暴露影响成年人和未成年人。
开黄腔一律得meidu
太极云手
小姐姐牛壁
这次一定
真白。。
吃我长剑六连
有延妍小师姐的感觉
点赞就点赞 你拔刀干嘛…
刀剑仔细看可以看出来是道具，锤子一眼就知道不是空心就是塑料（特效诡异），持弓问题有人说过了（非个人专业不评论），刀刃过手那段明显是太刀的玩法（你说日本是中华文化一部分我也没法反驳）
这特么我上我也行啊，没错，我说的是投币
三级头爆了
姐姐杀我
给我震
匕首狗都不玩
哇哇哇哇呜呜，这太酷了吧这都啊啊啊
啊啊啊啊这帅飞了
这音效
爱了爱了
龙王破！
你们这个老婆能打十个你们
润土：这个我熟
妍妍小师姐2代
啊啊啊啊啊好帅！
摄像师-3
春晚给我安排上！！！！！全国人都给我看！！！
握草
女侠，请收下我的膝盖
！！！
唐刀好帅
人家一下给你电脑振碎了，还振刀
帅的
皮鞭都有了 蜡烛呢？
给你振麻
哈哈哈哈哈....好惨...
流星锤
好漂亮
晃得看不清楚
请问你们先看的是什么。1武术、2美女、3宝刀。弹幕走起
太帅了躺床上想跟着动！
酷
背景音太吵
倭刀术
好帅
帅
太帅了
短剑那段太帅了 帅炸了！！！
能酷也能优雅
不仅不过分，我还加两硬币
别让外国人看到，不然解释不清楚了
真气
开始的时候就交出去了
这能组上队肯定嘎嘎乱杀
都给了
哈哈哈哈
你币有了
70号上来吧！
十八班武器样样会，反而不精通。只能花架子
好酷(✪▽✪)
抬出去
师姐上线了
还有这个专业 
大师姐。我饿，我要吃猫猫
抽我
天水师范学院
罚款，毁坏地板，扣1000
眼睛瞎了
脑震荡
这个镜头太那啥了~
石上真男人
闰土
我来康康有木有中国枪法，追云断月风火燎原，哈哈哈哈哈哈哈哈哈
花里胡哨，一个都没看清
lili
对猹特攻
禁止在麻瓜面前使用魔法！
必须给
葫芦娃出戏了
为啥有一瞬间感觉像诺澜
真是又飒又美艳呀
软兵器貌似比硬兵器更难练
剪辑也挺厉害！
对的呢哈哈
难怪在后面还有一段了呀
我觉得现在更适合铁锤出场
闰土！
镜头+1相机-1
英姿飒爽的
流星蝴蝶剑
摄影师卒
后期音效配的好
鹅滴圣剑
铁砂掌
三连
我想了擂鼓瓮金锤
模仿的延妍小师姐的风格
唐刀很颯。。。
厉害
国庆节可以看看探探猫人鱼公主电影，放松放松哈哈
闰土扎猹
窒息了
这次一定
三刷 太帅了！！！！
说练兵器估计要一年的，我学校学的太极拳我也是练了九年才熟的，一年短点了吧？
好帅姐姐
糖刀竟然会出现…
专业老师！！！喜欢了！！
哇塞厉害
把他妈永杰物件官方叫来学学
色狼看到这个姑娘赶紧逃吧
飒！
我咋感觉这钢管都他娘弯了
手
好像有个小师姐
好帅！
嘴硬呀
介不是延妍小师姐嘛
飒！
武器大师：开打开打
自古穷文富武啊
我实在没忍住……多按了一会，大家不会怪我吧
让我想起了妍妍小师姐
@永劫无间官方
揍摄影都揍的这么专业，是专业老师没错了
这刚管砸地弯了说明力道很足，是真练
折凳呢
永劫无间 快出 我要玩
女侠姓张一点侠气都没有了
还是狼牙棒好使，菊花开的很灿烂
她的大招是什么？
苗刀帅
倒放吧
有有有！！！
这小皮鞭抽的……
闰土
短剑好帅
有话好说，拿剑干嘛（doge）
帅啊
不是冒犯…那个，让小师姐删了账号视频是防止被拿着对比吗
咚咚咚 真好听
卧槽  
这个音乐应该换一下不太高级
投币了，用刀砍他
哇，吊威亚的吧
。。。。
牛皮
很帅
当年我有这样的老师也不至于挂科
小皮鞭可以的
大悲赋
大丈夫有此女还怕什么牛马！冲！！
添加个王者英雄
不是在胸口拔刀吗？
哈哈哈哈啊哈哈哈啊哈哈啊哈
得加钱
双枪将
想办法振她一下
拂尘头那是个大锤子来的，一下砸碎脑袋
闰土找茬
帅啊
这不是古墓派的姑姑？
68号摄影师
69号摄影师
这个我有印象！神探狄仁杰里的无头将军用的就是这把武器，童年阴影
请笑纳
龙王破
致敬
小姐姐前面好看
闰土
导演：下一个摄像师！
帅帅帅
各位老板，你是不是也和我一样，忘记点赞了？
飒～
太帅了
短剑太帅了
爱死了
高尔夫
猹：你不要过来啊！
武器排行榜第一名：哑铃
宇文成都啊啊啊
好有气质
想起ciaosjie
收徒弟吗
润土找茬
三连三连，姐姐砍我
我的圣剑
闰土
一定一定，刀先放下
给你俩铜板
握草好帅
来自三级头的哭声
没有那些多余的樱穗手帕，就更好看了，难道我们祖先喜欢累赘物
本少侠已经要去闯荡江湖了
闰土
把老夫的噬魂斩给她
达摩
有有有
吴素
好帅，有男票没。
帅
摄影师戏太深了哈哈哈哈
闰土姐姐
闰土姐姐
牛逼啊
刀筋
帅气逼人
绝了
弓yyds
谁要是她老公，肯定老实
给你三连
好帅！
拿反了拿反了，这是刃啊卧槽
都是特效
摄影老师说的对doge
很有节奏
6666666
凤翅鎏金镗，帅
换脸
接头吆喝的
花拳绣腿，这样的人我能讹死她
闰土！！！！
帅呆了
有板砖吗
是的！觉得
这次一定
需要摄影师么
闰土
我要这币何用
妍妍小师姐呢
表演的真好，真帅
苦无
这摄影NB
很有观赏性
三连三连
生活不易，家妻卖艺
铁头功是吧
没了
拍摄和剪辑都好棒
今晚插猹
我去，这个动作，这个剪辑，爽到我了
10倍慢动作就对了
说一句，别的不懂，弓箭你的用法错了
谁人打的太极拳
关妹
姐姐好帅啊
顺滑
鸡皮疙瘩起来了啊啊啊啊啊，壮哉！我大中华！
已三连
摄影师！快打120！
啊啊啊啊啊啊啊
我人没了
吼？
太酷了！！
头贴铁头娃
这刀好白
我要留着这币有何用！
厉害
哦梅气
焊帽
好想跟她打一架！然后在医院让小姐姐照顾我三个月！要是直接火葬场，就建议大家不要尝试了
好听么？好听就是好头~
太帅了！！！！！！
不是这样打的？
姐姐杀我！
给了给了
哇偶，简直像特效，太厉害了吧
看你背后哈哈哈哈
没币了
云樱CG里的一招，把枪踢起来，飒
建议2倍速观看，体验不一样的视觉效果！！
就喜欢这个锤
宁是云缨嘛
为什么开倍速
要加钱
太飒了，我感觉我要爆了
啊！
太狠了我要是有这样的老婆估计打我一顿你们就可以吃我的席了小孩那桌就给我
飒！
姐姐杀我
帅的我打开了奕剑行
妍妍小师姐的师妹吗？
那个对空踢，请教我
老公，你可以保护我吗
流星蝴蝶剑
上鹤嘴锄！
卧槽啊
直接我有枪，别动
怕钝击不。头盔。狼牙。大锤。
刀刃擦血啊
换吕布的武器了
18般兵器，样样稀松
好帅
蓝色的天空中挂着一轮金黄色的明月，西瓜地里，一位少年拿着叉，向着瓜地的猹叉了下去
伏虎拜观音
深蓝的天空中挂着一轮金黄的圆月，下面是海边的沙地，都种着一望无际的碧绿的西瓜。其间有一个十一二岁的少年，项带银圈，手捏一柄钢叉，向一匹猹尽力地刺去。
我超爱刀，剑这种的啊！！！！
有哪个男生能拒绝这些武器
这位英雄的职业一定不一般
WOC  NB
女侠客
鞭子也爱
第二遍
太飒了
好飒
瑟瑟发抖：不过分不过分
楼上的，我也觉得视频风格有点像延妍小师姐
和【延妍小师姐】up主一样的拍摄手法一样的风格，这算不算山寨
好白
Up主是延妍小师姐的徒弟吗
太极差了一点意思
凶器逼人
飒
快跑
铁头功是吧
酷
师父师父，我是你徒儿
帅
就z
就这就就救命
很好看，
苇茗七本枪？！？！
皮实
三级头
帅！
下一位，70号预备役可以上场了
小姐姐这么帅的吗？
振刀啊
来，打我助助兴！
空心的吧，砸坏要赔钱的
好帅啊
再来一遍！！！太帅了！！！
这也太帅了吧
教练：我也想会
十八般武艺就是不会炒菜
地板好结实啊
卧槽我要这币何用！
闰土
姐姐好美
我这刀可是粹过毒的，不信我舔一下给你看
中国功夫片的未来
完了，外国人看了这下又解释不清中国人都会武术了
帅得
好看
戚家刀
摄像师危！
这头保熟吗
对杰洛特宝具
确实挺好看的不知道实用不 在个这衣服穿的不搭配
技术活，赏
给了
我靠，钢管吗？都弯了。。。。
酷
姐姐打我
这次一定
好听
永劫无间前来找灵感
奈何本人没文化，一句卧槽走天下
教练我想学武术！
鱼叉
闰土！
天水古城
她拿刀了
！
不开宗立派可惜了！
请告诉我，这是两个人，同胞的那种
这扛打能力，可以去跟隔壁姚姚媲美
前面说吊威亚的真没见过世面
有这样的女友何愁周末没乐趣
这要穿越了得是个将军之女
点了点了，有话好好说别拔剑啊
她的孩子应该没有叛逆期吧
袁华
赔我手机，屏碎了
壮士断腕
闰土
少年闰土
少年闰土
酷毙了
闰土和猹
花里胡哨
宇文成都点赞
金钟罩～铁布衫儿～
闰土！
闰土扎猹
唐刀帅到不行
飒
哈哈哈
危
面对疾风吧
铁头功是吧
好漂亮呀！
你为什么会这么多兵器呀
现代百晓生
长剑左键蓄力啊！
好帥啊啊啊
ohhhhhhhhhhhh
小姐姐我要嫁给你
摄影大哥可以稍微远一点。。武器有一些都没看全
不要笑，画风不对
巫 月 神 刀
婚后生活很欢乐
哇！！！！！
火舞？
不过分不过分，三连了
一1
闰土
脑瓜子嗡嗡的吧
《润刀》
酷水之魔法。
好帅好帅
迅哥
当代闰土
脑壳子嗡嗡的
ohhhhh
必须三连
文化瑰宝啊
这次一定
拂尘是武器。。。
双截棍帅爆了
太炫了
不眨眼，眼睛不会酸吗
我感觉是他的摄影师和特效师厉害
巾帼不让须眉
老师您缺不缺宠物，本人比较专业
一句卧槽行天下
根本来不及发弹幕
眼花缭乱
你太像我们班的那个人了简直一模一样
nnnnn
闰土的神器！！
姐姐好帅，传承中华民族武术文化是我们的责任与担当
太帅了吧
女侠 收徒么
三连赶紧补上
终于看到一个用方天戟的
NDA动了
69号摄像吗
龙王破！
电影界缺少这种人才
胡汗深白嫖失败
真帅啊
这要是娶回家，我可打不过呀
双手剑？
最强绝技，喝开水
双手剑好漂亮
这么可爱的女孩子，捶我一拳应该会躺很久吧
飒
赏！
梅花十三！
张老师收徒弟吗
喜欢唐刀
握草，帅
好听就是好头
短剑真帅
汗毛啊
好凶
看到八极拳了
帅啊！
无穷小亮的卖艺生活dog
3级头
动画素材有了
中国古代我记得有链棍
传统艺伎
全职高手
全职高手
火钳刘明
有点帅的
6666
让我试试刀吧，只此一刀
投币投币投币
这个弓没有散射爆裂箭，而且没皮肤
骗我感情可以，骗我振刀不行
姐姐好a.
二刷
6666666
我要打十个
给了
前面68个都挂了，你也快了！
哈哈哈哈哈
绝了
我想看一下手上有多厚的茧
闰土
剪辑牛批
吃桃桃，好凉凉～
还是唐刀好看
都会耍，好厉害
中华民族自古就有习武传统，我们才是真正的战斗民族
太帅了姐姐！！！！！！
天呐！帅哭我了！！！！
有没有暴雨梨花针
姐姐你有老婆吗？你没有现在开始我就是你的老婆了！
有！！！
好帅啊
这女侠谁能降服。
摄影师卒
招式都很不错，要想办法震一下她才行
第三个摄影师废
还是三级头好使
弹幕
这才是江湖女侠的气势，不是电视剧里的大小姐
这次一定
峨眉大师姐！
蚌埠住了
猹哥儿！
好可爱啊哈哈哈
绝啦绝啦绝啦
帅
冷兵器之王、哑铃
长剑
润土专武
方天画戟
这个我知道，是手
U1S1，我喜欢唐刀
飒爽英姿
哪个大学马上报！
我看到了熟悉的地名了。哇咔咔咔。
记得有个叫小师姐的开的先河，不过站在没了
还是板砖最厉害！兵器看多了晕眼！
闰土啊，猹在瓜地呢
于承惠
靠，血脉喷张
这这反差太厉害了
这个表演挺好的
帅爆了！！！！！！啊啊啊啊！好爱！！！！！！！！
三连三连
厉害
懂了  园艺也是老师练功时候顺手修的
隔山打牛
好帅！
摄影师没交闪，卒
这个我认识，第七种武器
摄影师加唱歌跳舞，有没有搞头
点个关注为什么要拔刀相向
牛的 牛的
猹
练这一身本领，头上得磕出多少个包？太帅了！
吃灰去
电焊面罩
废摄影师啊
对猎魔人宝具
哈哈哈哈
猹猹猹猹猹猹猹猹猹猹猹猹猹
笑死，摄影师在嘤嘤嘤
我点我点 别拔刀
摄影师，卒
我刀呢？
你币有了
这倒放 呵呵呵呵呵呵 可以虎虎人
巽风震雷刀！
朴刀刀柄要更短吧？
一丈八为蛇矛，跟矛头的形状无关
晃得眼云
礼貌投币
你这样出刀很容易被震的
哪个大学我要去报名
古今习武者，多以做戏之辈
古今习武者，多以做戏之辈
地板买保险了么
叫张什么亮的都是yyds
帅
马超（doge）
刀枪剑戟，斧钺钩叉
这不比打戏中的片段好看
刀枪剑戟斧钺钩叉，镗棍槊棒鞭锏锤爪，拐子流星。十八般武器
我直接蓄转振
凭本事刷到
好听
酷
好飒，小姐姐
龙王破
三连，三连
Mbg 请求出战！
太帅啦
帅
润土，润他
超帅
闰土
好凶啊
永劫部门的快来看看 出新武器了
不当武打女星可惜了
太帅了
天天挨揍都愿意
帅是帅   不敢娶
绝了
太飒了
三连了
0.5倍我都跟不上
拿锅拍他
海王快乐叉
同一个人吗？头发是结印关键？？
好说好说，别拔剑
我觉得我被威胁了！
拂尘也太武侠了吧，没内力怎么用？
我要入学
独孤九剑把这些全破了
中华苗刀！！！！
帅气
胸前自带护甲的女武神
教教我教教我
牛蛙
姐姐好飒
所以是张含亮吗
棍天下第一
后期牛逼
以理服人加长版
帅
身体一定棒
暗示街头卖艺
70号准备一下
说是太刀的那个是什么牛马
超爱这个挑的动作，飒气十足
这扇子牛博
死鸭子嘴硬
扇子！！
这可不是太刀，是唐刀！
我的妈啊 太帅了
 练的就是身体的协调能力。
和峨眉派凌云有的一拼
武侠大女主有了脸
双截棍不是中国来的
闰土
姐姐给个姬会
镜头太晃动了
三级头三级甲哈哈
可可爱爱
保温杯
给给给
定点成功
是闰土吗
这剪辑特效师百万水平是吧
武器大师
啊啊啊啊啊啊说宇文成都的姐妹！！！！
激动了激动了
好帅！！！！
关注啦！！！！
我这 竟然全程都在看兵器
双截棍不是传统兵器吧
脑震荡了
最爱刀枪
摄像师助攻
果然慢速好看
一阳指呢
苗刀？得加钱
闰土，是你
短剑也太帅了吧我的天
如果是古装来一波就更好了
你不知道有锤这种武器吗
模仿？你太看得起我了
耍个十来分钟看看~
请武侠剧按照这个水准来拍，不过分吧O。O 
我要这三连何用？走着
闰土
单刀、朴刀、鬼头刀、长柄短刃刀、鱼鳞紫金刀、青龙偃月刀、崩童户撒刀、腰刀、掉刀、驴耳刀、屈刀、戟刀、眉尖刀、御林大刀、行刑刀、黑旗大刀、山头刀、牙柄腰刀、鳝鱼头刀、吉良环柄刀、狮子环长刀、龙环柄刀、龙
这个女生好酷啊
她竟然觉得我们能模仿
太她妈帅了也
好帅
帅
嚯搞得都是来看武器的一样
手！！！！！
这是套路武术，不是杀人武术
收徒弟吗，让我儿子跟你学学
三连三连！
我我  窝草卧槽
实不相瞒我是来看奈子的
头给你打歪
还好是三级头
我给两个硬币！！！
太帅了啊
你们走开让我过了衣服跟她打
起鸡皮了
想念艳艳小师姐
峨眉小师妹
超纲了
还不敢娶，宁配吗搞笑，普信男真的醉了
？？？怎么回事？？？
姐姐杀我
一点寒芒先到，随后枪出如龙
这种射箭的方法，会不会掉指头
我想看热兵器，比如东风啊 095啊
太强了
内啥，跟各位说一下，谁把张老师娶回家，谁惹她生气，嘿嘿，每天换着法收拾你
投币投币了
人间凶器
哇咔咔
少女闰土
猹，危
苗刀带劲
六尺之内，我是无敌的！
三连三连！这次一定！
镀锌管
英姿飒爽
老婆
对猹宝具
哈哈哈哈哈哈嗝
三连了
李连杰是器械大师
无情铁手
这不比现在的国产剧好看多了
老师辛苦了！好厉害！我也认识了好多模样相似的兵器，真想拜师
加鸡腿
运镜明明一般在那尬吹
给你三个
武器太轻了没感觉
看了好几遍
可以出道了，武侠女的原来只有杨紫琼。。。
有！
太棒；
啤酒瓶
这下又说不清了中国人都会武术
哇
这个拉扇
先把刀放下，有事好商量
无缝钢管
飒
老师哪个大学，我要报考
太酷了
十八般厨艺
皮鞭我使的可好了
武器少了
中国武术应该是没有双截棍，只有三节棍，双截棍是菲律宾参照三节棍改编的
牛逼姐妹！！！
金钟罩铁头功太真实了
习武之人讲究心平气和，但是看了之后就不和了
陈可心
好漂亮
好漂亮的UP
乱七八糟
帅啊
摄影师：差点给我干没了
唐刀是真的帅
卧槽
期待武器：锨
帅啊
这次一定
没有人觉得是剪辑很强后期很强吗！
摄像哭了
漏了。。
这得消耗多少个摄影啊！
真的好帅啊
点燃了我心中的女侠梦
这一脚帅
唯一一次投币
關注了
給了
厉害呀
特效太花，不想看
以理服人
等等，你刀刃擦反了，胳膊要没了
-648
一袋米扛几楼
何止，仨全给了
作死的节奏
女侠好身手
太刀个锤子，太刀就是弟弟
小师妹，真好看
小说七种武器
第五遍
唐刀帅气
老师你看你这话说的不就几个破币么，你先把刀收起来
蕾丝蕾丝蕾丝
女侠威武
帅气
玩九节鞭差点自杀了
看完了，直接跟我说怎么娶走吧！
这不是太刀，应该是唐刀中的横刀，是日本太刀的爸爸
唐刀
0.5太牛了
还是喜欢从头到尾一个武器连贯的动作，
这才是中国各种兵器，厉害了
不就不明白了什么都要扯上你们农药？
哇，这样的女人，真是致命诱惑
我就想问她的大招效果怎么样
姐姐我好爱，捂住嘴我不哭
帅
十八般武艺
这个我知道，十八般兵器中的美人计
太强了姐姐
好帅
危
别在这太刀了，只认识一种刀是吧
不行，得想办法真振她刀
肾宝儿，味道好极了！
确实没有
摄影后期NB
帅呀 
很棒，辛苦啦，丰富多彩！就是感觉长指甲会不会不方便展示呀，容易弄伤
兄弟：危
飒飒飒飒飒飒飒飒飒飒
夷陵
拜师拜师 有山门没啊
卧槽
帅！
理想的武侠小说女主变具体了：
闰土月下插獾！！！
这叉子…葫芦娃？
摄影师卒……
蕾丝爱了
众所周知，锤是克制重甲的最好兵器
目瞪口呆
(⊙o⊙ )
哈哈哈哈哈突然刷到自己老师
说 你和妍妍小师姐什么关系！
帅啊
危
燎原百斩
建议发给永劫无间官方
美人才是真正的武器
有没有铡刀╰(⇀‸↼)╯
我要这币有何用
哈哈哈哈哈哈
双截棍是菲律宾的好吧，不是我们中华的
这拍摄和剪辑也是人才啊
这次一定
媳妇！听话！别耍了~咱回家！
什么玩意一抽一抽的
好活，当赏
你币有了
很美
手
没有折凳吗
有点凶
强者！
疯狂明示了属于是
你是真头铁
情敌们  拔刀吧
额滴圣剑！
蕾丝胸罩
之前也有个女UP展示 的，没多久就没了
反了
P5总攻击
蕾丝边
妥妥的
安全感满满
准备 那叉子叉猹
这个媳妇取了好有安全感
这是武替吗？
wocwoc
摄影师：猝
那要是给了，拿不真成了卖艺的？下次下次。
猹呢
哈哈哈哈哈哈哈哈哈哈哈
小姐姐杀我
姐姐娶我！
振她刀啊，让他嚣张
这武器给我  那我乡下的十里油菜花都全不保了
雷鸣八卦
哈哈哈哈哈哈哈哈
振刀
不就点赞嘛 不就币嘛   都给你
周翡本翡
像若兰
摄像师 已挂
哇塞
地板烂了
太帅了
姑姑，我是过儿
我怎么突然想玩流星蝴蝶剑了
张老师在哪个大学
帅
苗刀！
现在想上山还来得及吗
上号，天人城！
救命救命，姐姐杀我！
姐姐，你的丘比特之箭射中我了
我直接这次一定
太帅了吧
直接三连
头盔哪买的
鹅滴圣剑!鹅圣剑！
教练 我想学~
比博燃
圆滑？
御剑飞行来一个
帅
