重瞳
霸气
@团宠酸奶妹
石矶娘娘
朝zhao歌
太像了！
今夕是何年
啊卷卷宝宝咪
好牛
石矶娘娘
完了 恐怖谷效应了
zhaoge朝歌城，UP读错了
臭卷宝！嘻嘻嘻哈哈哈哈！
为啥她的口红不沾牙！！！！
呜呜呜，我害怕
你能演示一下吗？我向你学习[给心心]​
娟宝快跑
阴间，难绷
石矶娘娘！
还差一个臭卷宝
很像安吉丽娜朱莉演的教母
开始害怕了
已经开始害怕了
卧槽，你比石矶娘娘更恐怖啊
朝歌城
哈哈哈
一模一样
真人版你不演我不看
她的牙齿好健康
童年
朝歌
zhao哥
一模一样
恐怖
臭卷宝快跑
(⍥(⍥(⍥(⍥(⍥;;) 惊呆惹
救命
石矶娘娘
zhao朝哥
cjb
妲己实际是好的
zhao歌！！
石矶娘娘是条蛇
卷宝我已经帮你报警了!
朝歌
up演啥像啥
zhao歌
封面那英你在....（不是）
炸鸡[幻听]
角色是童年噩梦，但是仿的很好看
真像!
石矶娘娘 ! 
石矶娘娘 !
臭卷宝嘻嘻嘻嘻嘻嘻嘻
甚至唤醒了我的记忆
这也太像了吧！
哦！这不比方妈妈
这个厉害
太像了太像了太有内味了
好厉害！！！
石姬娘娘
这是石矶娘娘？？？
朝歌
装倒是挺好的就是衣服
好厉害
好强啊 姐姐杀我
《神仙up和她的冤种流量》
好强哈哈哈
好厉害
石矶娘娘
我去 童年阴影
牛蛙！
卧槽好像！
真的好像！
忘不了
流啤
石矶娘娘
为什么不火！
变相怪杰ˊ_>ˋ
真的好像
啊，石矶娘娘！！！
我超！
我与哪吒不共戴天！
妲鸡？
啊啊啊啊啊啊啊
要做噩梦了
卷宝？！定叫他有来无回！
朝（zhao）歌
好厉害！！！
石姬挺可怜的，死了都要被鞭尸。
zhao
好搞笑
朝（zhao）歌
眼白怎么能变化的？
要的就是石叽娘娘!
光子没能量了？（dog）
《别来沾边》（幻视）
丝滑
好可怕
遇朝阳而歌
妲己（达鸡）
朝zhao歌吧
好厉害
脸都绿了（bushi
牛逼
卧槽
卧槽好牛
太牛了啊啊啊啊
哇哦
zhao歌
大爱这部动画里的妲己
好像变相怪杰
zhao朝歌
好还原(✪▽✪)
卧槽
石矶娘娘
不是zhao第一声？
我擦，一模一样
哇哦
zhao吧
伏地魔
变相怪杰
乌云
强
我要吃人！
牛逼
厉害厉害
我趣好像啊
不适
为什么说起妲己我就想起了非人哉！
好吓人
突然不害怕了
当时小哪吒里面念的是chao
牛掰
石矶
cjb快跑
我去
我去！
半夜刷到这个，我好害怕
鸡皮疙瘩都起来了
卷宝开始害怕
雾草
cjb快跑
石矶娘娘多帅呀，尤其是最后这个部分
哇
不是zhao歌吗？
臭卷宝快跑！！！
woc一模一样
臭卷宝不见了，石姬娘娘黑化了
卧槽，爱了爱了
好怕～～～
太像了
太厉害了
妈妈！
《大鸡》
这个小骷髅头有点子可爱
zhao
哇好好看
我真的见证了初九的一点一滴，她现在好棒！
朝歌
太像了！！！
zhao歌啊姐姐
石矶娘娘
牛逼
哇，这肌肉线条好绝
这个真的好像啊
吓死我了
哇，好像啊
好厉害
童年阴影变成成年阴影了
我好害怕
娘娘踩我
《让我们把朝歌城烧成灰》
石矶娘娘！
半夜刷到的，开心
镜头切得也很牛啊，还要对上前面表情和动作
哪吒传奇里面，石矶娘娘是被黑的最惨的一次
变相怪杰
朝（zhao）歌
害怕
赖皮蛇
唉？不是zhao吗？
zhaoge
这是石矶娘娘
害怕
好强
哇塞
可怕可怕
投币了，太喜欢了
怕了怕了
不是zhao ge吗
石矶娘娘
石矶娘娘
好强啊
石矶娘娘
好像 还被吓到了
你这是石矶娘娘啊，
有点害怕了
太厉害了叭
石姬娘娘
up仿的好好，有被吓到QAQ
太卷了
你吓到我了，我能不能举报你
zhao歌
石矶娘娘表情没这么可怕呀
牛牛牛牛牛
zhaoge
不是朝(zhao)吗
朝歌遗迹（老CF了）
生生生生生生生生生生生生生生牙生牙牙牙牙牙牙牙牙生形形形生籤正身形籤正物正我正牙牙牙牙牙籤正籤籤物要牙生正物牙牙牙牙正牙牙我牙生身牙牙生我牙生籤形籤籤身正正籤正正正要三形形生要三要形生身要三我要三要我
我2岁女儿没哭，我哭了
正在看哪吒传奇
晚上看，给我吓一激灵
封神少有的倒霉蛋
不是朝（zhao)歌吗？
给力
真的吓到了。
zhao
石矶娘娘
zhao歌
我小时候最怕的就是这个人。
这里有点像乌苏拉
石矶娘娘没这么大！！！
妈妈我害怕
吓人
这个嘴唇太对了
其实是zhao歌
有妖气
已经开始怕了
哀家长头发了
啊啊啊啊啊啊妈妈！！！！
DNA里的恐惧被勾起来了！！！
卷宝快跑！
这是石矶啊～
焕发出来！
卷宝说我妈怎么在这
可冲
是招哥遗迹（doge）
chao歌？
吓死宝宝了
dna动了
演的很好，下次不要演了。
已经害怕了。
炸鸡
东皇太一？
太牛
妈妈我害怕了
害怕
不是  zhao歌吗
已经开始害怕了
兄弟们把害怕打在公屏上
变相怪杰
这不是石矶吗？
好牛！！！！
可以演示一下吗
好可怕
她是臭卷宝的噩梦
好喜欢这个样子捏，有点帅
救，你有点像那个喜燕
朝歌(zhao)
妲己？？
一模一样啊厉害
卧槽
卧槽
哦吼吼
今天我们就来吃一个小猫咪
应该是zhao歌？
臭卷宝
给娘娘请安！！！
看着害怕
带了两个美瞳？
哇，一模一样
牛
zhao
姐姐姐姐好好好绝！！！！！！！！！！！
哇，头皮发麻
wb刷过一遍了，你又来害我
哇
厉害
吓到我了
妈妈我怕
石矶娘娘
 卷宝
醒醒吧，妲己！我们把朝歌，烧成灰（无端联想）
代入感太强，我已经开始害怕了
姐姐我好爱
.......这念朝歌（zhao'ge）
石鸡本鸡了
石机娘娘!
朝歌城（zhao）
挖槽，绝了绝了
《不要以为你就没逝了》
妈妈！
我还以为up把眉毛剃了
额，这俩都不是一个阵容，石矶是截教的，和闻仲一个阵容，你应该cos女娲
牛啊啊啊
石矶娘娘！！！
石矶娘娘！！！
爱了
哇塞
别过来
厉害 厉害
zhao
石矶娘娘
这…
吓到我了，拉黑
逐渐暴露本性
小猫咪就是要被妈妈吃掉的啊！
莫甘娜
保护我
保护我，我害拍
妈妈我怕
小猫咪，哈哈哈哈～
不cos非人学园的石矶吗这
卷宝，看来你日子过的不错呀
姐姐贴贴！！！！
快去请卷宝！！！
莉莉（幻视）
我害怕了
这个好棒
石姬？？哪吒打她！
《 小 月 》
看重点不要看脸
大晚上刷到这个有点发怵啊。特别说还是在大街上。夜里2:00。就俺一个。
不是朝（zhao1）歌吗
石矶娘娘
石矶娘娘
你这更恐怖
朝zhao歌
我的童年阴影
zhao歌城
压迫感太强
《本人上号》
孩子哭了
卧槽
感觉有了
卷宝眼中的石矶娘娘
zhao歌
《嗒鸡》
吓死我了呜呜呜呜哇
好吓人
zhao
像你这样的小猫咪生来就是要被妈妈吃掉的～
太像了太像了。
我去厉害太像了
《搭     鸡》
好怕怕！
大只因
好帅！！！
卧槽卧槽
这个配音真的牛
妲只因
好吓人
《达鸡》
吓到了
童年阴影
zhao歌
转场就变脸，变脸就转场
每周必看
臭卷宝呢？？？
12翼（喜
卧槽 可以演真人版了
 《 小 日 子 过 的 不 错 》 
这里我真的吓到了
这个眼睛
啊？
女娲，哪吒：听说你很勇哦
小猫咪
这个石矶不吃猫吧
（zhao）朝歌
吓死了
一模一样
实际是不是你演的
巅峰之作
童年噩梦
臭卷宝快跑
害怕
cjb:直接来吧
《卷宝快乐娘》
吓我一跳
太牛逼了
""
