第第一
我爱你十年却用整个四月编造了一个不爱你的谎言
 埼玉
冰菓！！！！！
四谎yyds
熏女神
被中二吸引后来被刀哭。。
巨人牛逼
冰菓！！！
这才刚开
别刀了别刀了，孩子都被刀傻了
献出心昂脏
物语最初是2009年了，估计没得
一路小心，艾伦
个人最爱
永远的神
淦。我的国家队又尼玛背说了，
全体起立！
小圆永远滴神
结尾淡淡的哀伤，却最终走向光明
就冲冰菓给币了
卧槽，别刀了。。。真的，我太难受了
巨人就是21世纪第二个十年的第一日漫
四谎真的绝了
三连了
第一季nb
冰菓！
冰菓！！！！强烈推荐！！！
吹爆
已经是了
高达永垂不朽
冰菓永远的神！！
疯房子np
魔圆！
献出心脏！
我就知道你肯定说冰菓
冰果！！
缝合怪
然后，它就破产了
然后拉来了一堆大佬，成为了一些无法超越的一个神作！
然后拉来了一堆大佬，成为了动画圈，一个无法超越的神作。
冰菓！京阿尼的神
折磨千反田：我很在意！
确实，这个伏笔确实弄的太强了
这是推理作品？？？我一直当恋爱日常番看的？？
巨人
个人认为上低音号太“小家子”了，虽然很精美但，但也只能被称为“小而美”（勿喷）
老虚n b
魔法小女？
爱的战士虚渊玄
那个改变了魔法少女题材的男人
刷一句 阿部望nb
2011年只给仨名额少了
已经入春了
冰菓，永远滴神作！！！！！！！！！
在魔圆前魔法少女在里界就是高危了吧（）
全体起立
我少数几部没事就会重新看看的动画
摇椅侦探赛高！！！
终于更新了。
起立
假面骑士龙骑
我闲着没事的时候喜欢反复看十九集
献出心脏
冰菓！！
琦玉
监督人缘太好了
学姐已经去世10年了
冰菓真的质量巨高
重新定义魔法少女2333
吹爆
这句太赞同了，小圆是一部完美的作品
原来这么久在搞大事情。
yyds
一直以为冰菓也是11年的。。。过去太久记不清了。。。
泪目
四谎天下第一!
我真的一辈子喜欢宫园薰
真的画得太好看了，动漫战斗教科书
这个嘴唇有点怪
龙骑外传，铠武前传（）
此生无悔入四月，来世愿作友人A
这点也是物语系列的优点
爱的战士。
献出心脏
个人认为很好看
冰菓！
好耶！
开幕雷击！
遗憾的米泽老贼写的太慢了
小金木表示你理解我的痛吗？
我记得以前还没被中国封禁的时候，甚至在炫动卡通看过，而且甚至有广告
冰菓是我最喜欢的日常
别刀了别刀了
愿做友人a
弹幕
全体起立！
从这里开始追番
瓶皇看起来很有经验
到了4月就不得不提到这个了2333
米泽穗信因为冰菓小说卖不好不写了我人傻了
好！
瓶子也推荐四月，芜湖
能把一个纯聊的小说做出有趣 京都也是第一人
确实
(熟悉感)这里让我想起来02对广说 这是座死气沉沉的城市 那一个场景
然后开启魔法少女高危职业的年代
第一季成功了，第二季不算差，就是一般
吼姆拉是我的
冰菓我可太爱了
吹爆冰菓！！！
四谎！
20
好了先退出去三连
冰菓牛逼！
准备去补这部了
短
泪目
你币有了！
冰菓
日常？
h
nb
不得不说老虚还是很强的
空我？
14年不是白箱吗
四谎！
居然热度就没下来过
心中最佳
不敢看
别说了别说了 nmd我又哭出来了
我贼喜欢冰菓
向团长献出心脏
四谎！！
正义执行
四谎呜呜呜呜呜
好看好看呜呜呜
冰菓！！
艾伦！！！！
这个是真的逆天
这个开头曲听了两百多遍然而一直没看动画
原作版也很精彩的其实
友人A
4月真的是一部十分优秀的作品
村田牛逼
对，小圆最棒的就是完整，完成度非常高
巨人太有深度了
来自未来的动画
很难不支持
黑深残
敌我同意
我当初是看推理去的……
都听见了吧，这是童话故事
小圆呜呜呜
学不会的，那不可就是教科书吗
冰菓真的艺术品
冰菓就是神
巨人
天国的京阿尼
永远滴神
re0也是这样
伪恋不考虑党争算是比较优秀的了
魔圆天下第一
吹爆
bgm
来啦来啦
小圆小圆小圆！！！！
madhouse是真的nb
我看了几集实在看不下去
所以你看你的名字了吗
冰菓真的太喜欢了
至今仍不减当年
我呐喊！
同人奇迹四月谎
小圆nb！！！
好耶
骨头社：你瞧不起谁呢？
冰菓冲！！！
为冰菓打电话！！！！！
没有你的四月
冰果原作就是个校园推理小说
有人a
冰菓！我心中永远的白月光和top1呜呜呜呜
第一季绝了
全体起立，某人坐下
热乎
但是他做到了
以后一定要和最爱的人一起看
全体起立，莱纳坐下
大的来了
魔法少女（
此生无悔入四月，来世在做友人A
此生无悔入四月，来世在做友人A
此生无悔入四月，来世在做友人A
别开启魔法少女高危的是奈叶
仅指第一季
我为数不多的三刷作品
我心中的第一神作
献出心脏
《最好的礼物》
献出心脏！！
献出心脏
可惜小说还停留在第六卷……
入坑作
冰菓永远滴神
别刀了别刀了
冰菓！！！！！
泪目
京阿尼yyds
哭了
别刀了别刀了
我的二次元回坑作～
起立
你币有了
巨人整部的世界观和埋下的伏笔就很nb了
四谎！！！
全体起立
吹爆
i scream
我也想到物语了hhh
四谎牛逼
小缘确实好看啊
冰菓可以n刷 真的细节爆炸！
看着就想哭
龙虎啊
超喜欢里面的音乐
好耶
我觉得很好看啊一定要静下心看
第二季制作组还想拿很少的钱白嫖大师，结果人家不干了
永远滴神
第一季真的强
永远滴神
最后我哭了
爱的战士虚渊玄
四谎yyds
来个大的（指引战
真的
为冰菓献上弹幕
bishi（
很有经验可太干了
日在校园在播出时间和制作水平方面都不配
龙女仆
字面意义上“杀”出一条血路
真 血路
冰菓啊啊啊啊！
懂了，后面必有京紫
牌面
火钳刘明
国家队你~
老虚永远的神
献出心脏
我看哭了这部
太他妈爱了
魔园啊啊啊啊啊啊
这个也很好看啊
哈，我也最喜欢这集
啊啊啊啊啊啊啊啊啊啊啊啊啊冰菓啊
艺术品！！！！
开幕雷击
一群业界大佬放飞自我的成果
这是12年的你敢信
这番费手纸，别看
啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊啊
冰菓真的棒
琦玉老师！
无头学姐异闻录
冰菓！
巨人第一集的标题就很有深度，当时就没看懂
虽然但是，20年代是20~29
热乎的
为绮玉老师献上弹幕
致两千年后的你
真的有内涵
现在已经封神了
马上京阿尼就要携妹抖龙回归啦 加油
最喜爱之一
全体起立，莱纳坐下
冰菓一生推，反复刷过好几次，NB就完事了
补！！
我总觉得小圆唯一的缺点就是不叫小方
作画领先10年！！！
冰菓 ！
我怀疑你在暗示成神之日（dog）
疯房子近年制作的作品变少了
入宅番，大爱谎言
这部番对我最大的意义：让我认识了Goose House这一支如此优秀的乐队
此生无悔入四月，来世在做友人A
安息
45分钟，热乎
疯人院 永远的神
好耶！
这就是神，不可超越！
muv luv
魔圆yyds！
1/1
每年的四月都属于她！
魔圆yyds
四谎yyds
没有石头门，取关了（doge）
就是集大成的巅峰之作
again
时泪的九放
一句话牛逼就完事了
2/2
三爷!
琦玉！！！
不要停下来啊！
冰菓永远滴神
小圆不是黑深残
我到现在还不敢看这部
冰菓！！！
全体起立！！！
起立
老师！
14竟然不是食尸鬼
巨人
5/5
懂了这就补番
悲剧，不悲伤
标题打错了hx
圆神！
巨人
一刀接一刀
ohhhhhhhhhhh
巨人nb
冰菓牛逼！！
夏目真悟老熟人了
献出心脏！
京阿尼我好像除了幸运星都看完了
好奇
四慌是本命！
还有东京食尸鬼和羁绊者也有同样相似画面
四谎'yyds！
我觉得太空丹迪更是（
极尽所能的极限就已经是最复杂的事情了。
别刀了呜呜呜呜
用神一样的演出把日常故事演绎的多彩多姿
不敢二刷，怕再次落泪
只看剪辑就不敢看这部作品，怕哭到昏厥。。。
別刀了
好耶
隔得太长现在连不起来了感觉
无敌的光头制作也是无敌
初三时看的，真的是入坑作
确实虽然我get不到但我个人也认为这部番喜欢上是需要get到他的点
动画区唯一神！
冰菓！
确实，慢热，但是真有意思
巨人牛逼
确实
特别的治愈
魔法少女小方
冰菓！
巨人nb！
爷很好奇
小圆yyds
老虚牛啊
冰菓！！！
冰菓已经6刷了，闲了就看
四慌必须有排面！
老娘很好奇！！
冰菓
冰菓！！！
见封进
野蛮公主
我们经历的平凡日常或许正是一个个接连不断的奇迹
永远滴神
这番里的音乐曝炸的强，各种古典钢琴曲
冰菓！
12年好作品太多了，只排前三太主观
疯房子永远的神
吹爆！
1111
米泽老贼小说什么时候更新啊啊啊啊啊
看见巨人 我啪一下就进来了 很快啊
马猴烧酒，yyds
给你不布放的理由：看完很难释怀
米泽老贼快更新
漫画更得好慢
别说了，已经开始哭了
瑕疵──没有第二季
差了一口气：指第二季没希望了
所以第二季祭天了
好耶
我的最爱
入坑作！！
冰菓本命
一听就泪目
冰菓把我炸出来了！
bgm呜呜呜
随便截张图都能当壁纸
小圆！！！
梶浦由记yyds
艺术品注定小众
冰菓赛高！！！
冰果永远的神
调出来的鸡尾酒
看了好多遍了
全体起立
我很好奇
one老师的灵能也不错
一次性？
还是种田适合老夫
就是这动画的演出给日常系动画立了个标杆
冰菓真的是艺术
我的入宅之作
yyds
别刀了别刀了
只记得头梗的人还真是肤浅
全体起立！
小圆yyds
排面！
好久没见人推荐四谎了，爱了，三连
典型的反武侠作品
我擦！！！！！！！
参见圆神
冰果！我心中永远的第一名！！！！！！！！
京蜜全体起立！！！！
那毕竟是村田老师……
原作却是恐怖小说，还是第二名
我爱新房！
你们两位快去结婚啊
3集一死阴影拉满
新人怪物高桥丰（笑
哈哈哈哈哈赞同
我爱了你十年却用整个四月编制了一个不爱你的谎言
我很好奇!
恭喜百大！！！！！！！！
魔圆永远的神
在我心目中是和钢炼FA一个级别的。
极品
左上不应该是魔法少女小圆吗
《影之诗》
好几刷了！，！
从这之后马猴烧酒就变味了
10年开始的话会不会有AB
op太好听了
入坑作
对，这集贼厉害
冰菓！！！！
此生无悔入四谎，来世愿做友人A
这就很离谱一句话就推理了一整集
致两千年后的你！！
没错！战力崩坏不存在，明明男主是个龙傲天却照样热血！
此生无悔入四月，来世还做友人A
久仰大名
四月
到现在也不敢去补这部番。。。
冰菓！
好奇宝宝千反田
去年不就做了一半了吗？
怎么没有喰种
副作用是从此再没有正常向的魔法少女？
全体起立
只能说清碳老师nb
冰菓 可以！
武本康弘！
直接三联
献出心脏！
圆神圆神
不要停下来啊！
但巨人的人气从第一季到第四季一直在掉，可惜了
我很好奇
冰菓无敌
如梦落樱满熏香，梦醒犹记四月谎
入宅番啊啊啊
啊这是11年的天哪，都过了这么久了吗
献出心脏！
入梦落樱满薰香，梦醒犹记四月谎，此生不悔入四月，来世愿做友人A
最意难平的动漫了
入梦落樱满薰香，梦醒犹记四月谎，此生不悔入四月，来世愿做友人A
有马公主
什么空
真的很有趣
太喜欢了！
来了来了！
我不敢看
我永远喜欢四谎
这部在我心中真的是完美
小圆真的nb
为艾伦丶耶格尔献出心脏！
one的分镜+村田的作画直接起飞
冰菓赛高！！！！！！
为艾伦丶耶格尔献出心脏
三集定律的起源
京阿尼的改编才是神之一手啊
冰果真的是校园巅峰
强推
啊啊啊啊啊这集是我最喜欢的一集，闲下来就会看一遍的那种
四谎啊啊啊啊啊啊
冰果yyds
bgm！bgm！来啊
好耶！
冰菓!
献出心脏
冰菓真的爱
我很喜欢
琦玉老师
冰菓！！！
哈哈哈哈哈哈牛逼
冰菓！折木在雨里的第四年了！
超强动画
四慌
它，改变了魔法少女，使之成为当下高危职业
不是一年三个吗？
我们高中班服就是自由之翼配绿帽
四谎!
！！！！？
瓦塔西，很好奇
！！！！！
对对对这集印象深刻
这是12年的？
泪目
冰菓一生推！！！
冰菓
为了四谎发个弹幕，没看的一定要去看！哭爆
治愈番
啊那我觉得还是石之门，因为巨人没完结
假面骑士龙骑续作
巨人第一集卡尔拉人性展露的时候就已经超过大部分作品了，这还不高？
十年只选30部 有点勇气啊你
上面的你看动画片看傻了吧？私就非得是日语
仅仅第一季
制作牛逼
yyds
异侵牛逼！
Boy meets girl的动漫作品中绕不开的经典之作
就等第二季
琦玉老师！！！
年年都属于进击的巨人
四谎！！！
我京吹才是世界第一
没有丹迪吗？
爷青回
疯房子作品都还行的，虽然最近两年没什么出彩的
第一季超神
冰菓神作！！！
第二季也不错
第二季单拿出来看也算及格，但是跟第一季没法比
第三季有生之年？
还有顶级的编剧：虚渊玄
2021的王者
。老虚成名作。
淦 又想哭了
四月！我好起来了！
韩剧是缺点？？？
先出心脏
圆神
最后一集的告白很文艺
致两千年后的你
四谎！！！！！
见巨进
别刀了
太对了！！！！！！！！！！
热乎的
笑死我了
武本监督！！！
入坑作
永远的神！！！！！！！！！！！！！！！1
《礼物》
主要是恋爱桥段前期几乎没有
我喜欢了你十年，却用整个四月编造了一个不爱你的谎言
毕竟老虚自己认为的大逃杀类巅峰是假面骑士龙骑
为兵长献出心脏！！
冰果好
真正的国家队
全都看过，不愧是我！
冰菓牌面！！
冰菓
巨人nb!
推 理 作 品
ONE PUCH!!!!!!!!
四谎
人生五十年，如梦亦如幻
巨人NB
这是12年的？
排面
真“血路”
魔圆
第一部简直是作豚的狂欢
《致两千年后的你》
那不是应该夸米泽吗？
冰菓赛高
日常之谜
献出心脏
入宅番！
谏山创nb
冰菓真的巨好看
第三季才是神
冰菓！
冰菓！！！！！！！！
三月的狮子也是这个作者
冰菓看了有20遍以上了
还不错，但只是不错
真的很好看
折棒！！！！
[爷]直接献出心脏！
冰菓！！！！
限定（一）
四谎！！！！！！！
魔法少女小圆
巨人
献出心脏
..
京阿尼天下第一
瓶子说的也tm不是日语
全体起立！！！
冰菓
冰菓！我的超人！
冰菓就是艺术品
为什么没有XX，因为MHXX不是番（doge）
冰菓冰菓！！！！
这个我不敢看第二遍
献出心脏！
老虚+新房真的NB
我永远喜欢冰菓
我很好奇
10年后仍然没有一部原创动画能比得上魔圆
拿了一堆奖
京阿尼
I scream
魔法少女龙骑(Doge)
可惜武本康弘在19年死于火灾，米泽又不写了，冰菓2是真的天堂
剧场版更厉害，那结局震撼人心
 我很好奇
啊
利威尔
圆神排面
全体起立
冰菓冰菓
你币有了
啊
吹爆
老虚nb
大型器官捐献现场
哦斯！！冰菓！！！
5/5
魔圆！！
成神之日！（
第一季真的好看
魔法小女儿……
疯房子，我的超人
疯房子牛逼
没敢看，和秒速五厘米一样，受不了这最后分开的结局
热乎
终极作画
千反田天下一地
冰菓一生推！大爱千反田
我永远爱冰果呜呜呜呜
yyds
神
四谎！！！
村田永远的神
全体起立！！！
最爱男主
已经入春了
神
圆神
特么才子佳人的故事给我个he啊倒是。。。。。
业界的奇迹不为过
孩子都被刀傻了
冰菓冰菓！
冰菓
当年看冰菓就被演出震撼了
疯房子yyds!!!
献出心脏！！！！！！
冰菓
真的泪目
全体起立
献出心脏
献出心脏献出心脏
冰菓一生推！！！
老贼快出7吧
献上心脏！！！！！
但疯房子18年的小南极也是乱杀
冰菓！！！
为利威尔兵长献出心脏！
爱了四谎
千反田评价褒贬不一？没千反田冰菓就动不起来
p5天下第一2
啊啊啊啊啊啊这部巨好看
友人A
全体起立！莱纳坐下！
巨人nb
巨人NB
啊啊啊啊啊献出心脏
确实，这集能记一辈子
我给看跪了
这集能记一辈子
进巨冲啊啊啊啊啊啊啊啊
冰菓！
此生无悔入四月  来世还做友人A
见封进
冰果！
种田
巨人yyds
我很好奇！
献出心脏
说女主褒贬不一简直就是无稽之谈
2/2
太感动了
圆神！！！
小说折棒已经在门外站了好几年了
来啦来啦！
冰菓
前方高能！全体起立！（某人坐下）
剧场版真的太绝望了
非常喜欢，但不想再看第二遍
致两千年后的你
圆神赛高
致两千年后的你
我就因为矫情看不下去的
就分镜来说one老师就做的很好了 村田则是把分镜推到了新的高峰
冰菓！
冰菓nb
献出心脏！！
所以第二季崩的一塌糊涂吗
他真的太好看了
P5R 音乐好评
冰菓的sp都很有意思，强烈推崇。
5/5
全体起立
我是如何做到一部都没有看过的…
冰菓yyds
巨人nb
四慌！！！！！让我喜欢上小提琴的番剧！
菓
巨人冲啊
老娘很好奇！
四月啊啊啊啊啊！！
小声bb：瓶宝你标题打错了
年代代表作非巨人莫属
全体起立
巨人牛逼
所以啊，不要停下来啊
冰菓！！！
突然看到右边，我懂了，哈哈（滑稽）
献出心脏
杀我
上面的，原作是青春推理和恐怖部门的奖，归青春推理呀⬆️
爷最爱的
龙与虎？
排面
最爱
冰菓冲
四谎！
第二季啊
春物？大雪白学前难道不行？
4刷
小说看了无数遍
我爱圆神
龙骑表示很赞
冰菓
冰giao！
全体起立
龙骑？？？
四谎！！！！？
@龙骑
龙骑精神续作
能让琦玉老师热血沸腾的只有梦里
还有龙骑的影子，老
巨人nb
一般是僕和俺吧
冰菓吹爆！！！！
真的泪目
正好没番看
真正的国家队来了
已经开始哭了
琦玉老师！
冰菓！！
琦玉老师啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
来了来了
全体起立
四月啊！樱落宫园满薰香，梦醒犹记四月谎，此生无悔入四月，来世愿做友人a
我薰o(╥﹏╥)o
献出心脏！
入宅番
四谎！！！！！！！！
卡密
nb
四月！！！！
呜呜呜呜
给我看抑郁的一部
冰菓
参见圆神！
好奇宝宝
冰菓！！！！！
见巨进
献出心脏
巨人牛逼
期待第三季
冰菓！！！！！！！！！
四月是你的谎言呜呜呜呜
看四谎前期这啥？后期直接哭死封神
当年看自闭的动画
我心中永远的第一
不能一味的拿以前的东西，需要创新 人才能进步
来世再做友人a
yyds
魔法小女
hhhhhhhh
入宅番
我永远喜欢千反田！！！！
全体起立！
全体起立！！！！
已经没什么好害怕的了
我就因为这部爱上钢琴
全体起立啊啊啊啊啊
向利威尔兵长献出心脏
o
某些憨憨看都没看过就用折木奉太郎当头像
小圆！
致两千年后的你
万人血书第二季！！！
我铠他超你门我破你跟我走屁事没有
冰菓赛高！
天国的第二季
献出心脏
米泽穗信流弊
巨人钢炼一生吹！
剧场版也很神
冰菓
全体起立
琦玉老师！！！！！
全体起立
此生无悔入四月，来世愿做友人A
呜呜呜呜呜呜呜呜
小圆nb
我很好奇
盲猜钢炼
圆神
俩小时，还是热乎的
老虚牛逼
学姐啊
我的最爱
龙骑精神续作
我很好奇
冰菓强
巨人nb！！
献出心脏
冰菓！！！！！
恭喜百大
电焊工我滴神
Iscream
眼泪不自觉流了
圆神排面
古典部！古典部！
清炭牛逼
我心目中所有制作都无法超越的一部番
四慌…我真的太爱了
我超喜欢千反田！！
献出心脏
我喜欢了你十年，却用整个四月编造了一个不爱你的谎言
看来10遍
无头学姐异闻录
可能只有未来的冰辉夜篇了
四谎排面!
妹抖龙？
说句不太成熟的话，韩剧配和《四谎》比？
楼上小圆不叫小方的可太秀了↑
武本康弘yyds呜呜呜
献出心脏
冰菓永远的神
冰菓yyds
冰菓！
千反田
呜呜呜呜，艾伦
冰菓！！！！
恭喜百大！！！！！
1W人一起看，果然，好家伙
献出心脏
完全不无聊啊，我可以任意从某处看下去
强推！！！
众所周知，龙骑完结后每年总会有精神续作
无头学姐爱上我
此生无悔入四月，来世愿作友人A
冰菓的制作组在那次火灾，幸存的不多
巨 人 世 界 第 一 ！
见巨人进
全体起立！
一说21世纪就伤心，因为我去不了22世纪呀呀呀a
瓶子解说得太好了
本命
无头学姐异闻录
虚渊玄
所以要做后续太难了，想钢炼一样
ohhhhhhhhh
薰！
好难过
入坑番
日常系推理，有一说一，很少见
没我三直接举踩（doge）
开幕雷击
小圆永远滴神
当初看完失魂落魄了好几天，不敢再看了
巨人竟是我自己
虚渊玄
献出心脏！！！
龙虎
给兵长献出心脏
不是三十年代吗？
致两千年后的你
食尸鬼 杀老师 没有一席之地吗？？
进击的巨人！！！
我的启蒙冰菓！！！
开幕雷击
致两千年后的你！
叛逆的物语也好看
魔禁
冰菓永远的神
小说很优秀
确实
爱的战士
越看越有味道
这一部也是当年的国家队阵容了
地球防卫少年
其实录音水平一般，不过也显得真实
入坑番
冰菓赛高！
献出心脏
氷菓
献出心脏
冰菓是当之无愧的神作！
嗷呜，东京喰种
三连了
其实是有的，比如月色真美
佬娘很好奇
龙骑精神续作过多
四谎很令人感动
最后会发现这是一部充满温度人文关怀的作品。
巨人进
胃药又不够了
不无聊，超级有意思
已经是春天了！
全体起立
冰菓yyds
11年的原 空
我很好奇
入坑作
献出心脏
参见圆神
ohhhhhh
进击的巨人‘’
永远滴神
我特喵看了4变四月
小圆yyds
四月是你的满分作文
老师！！！
中村丰
圆神nb！
上个星期三刷完 还是觉得完美
对！这段连原作者都说不知道能怎么改
此生无悔入四月 来世还做友人A
圆神圆神！
献出心脏！
村田yysd
全体起立
永远的神！！！
四月是我的壁纸
献出心脏！
四谎太棒了！
献出心脏！
圆神！
那一集我能记一辈子!!!
不喜欢女主。。。
不敢看的动漫
马来篇才是封神的开端
献出心脏
四慌永远的神！
激励了我的人生的动漫
来了来了
红烧qb
bishi表示很赞
goose house永远滴神！
冰菓！！！
全体起立
这部作品是要品的
冰菓！
全体起立！
真的泪目
最爱的番呀冰菓
小圆！
坐等撕逼
这不得献出心脏？
把我炸出来了  很少发弹幕
牛逼的是台词文艺水平
小圆神作！
琦玉老师！！
献出心脏！
其实就是很无聊
全体起立！！
QAQ
我永远喜欢宫园薰！
16年盲猜re0，虽然感觉三狮水平明显最高
冰菓！！！
敌我同源永远滴神
冰菓本命！！！！
此生无悔入四月，来世在做友人A
四月
巨人nb
的确！剧情设计很精密
此生无悔入四月，来世愿做友人A ！
评论有点东西
冰菓一点都不闷呀，每年看一次
这集我看完都凉了
简直崩了呀眼泪
冰菓！爱了！！
下次亿定
最爱的番
入宅番
我看到自闭
见封进
巨人牛逼
起立
（指刀）
见巨人进
四谎一生推
卡其脱离台
好可爱
呜呜呜千反田
此生无悔入四月，来世还做友人A
这才是真正的国家队
献出心脏
16年看了第一遍 之后每年四月都会 重温一遍
冰菓！！！
东京喰尸鬼
致两千年后的你
牌面
对对对，这集推理太棒
排面
别刀了别刀了。人都傻了
只有一季哈哈哈
冰菓，我心中永远的神作
《魔法少女》《---不起眼
冰菓yyds
冰菓！！！！！
献出心脏！
推理二字足以让我追这部动漫
四月啊啊啊啊啊啊不敢看第二遍
确实
真的好康
看见封面进来了
冰菓！
武本监督一路走好
第一次知道动画有演出就是冰菓
参见圆神
打的要来了
入坑作！！！
献出心脏！！
全体起立！
老师！！！
入梦落樱满薰香，梦醒犹记四月谎！！！！
全体起立
全体起立
封面是104期
素质没三连→_→
献出心脏
动画领域人脉比钱还重要
太空丹迪
这也能迫害团长
四谎吹爆
进击的巨人yyds!!!
大爱冰菓
可以
不敢看第二遍
听说太刀，不敢看啊，难受
见封进
冰菓催眠效果很好，比英语课还好
大爱
你管这叫小规模，当时我还没入二次元就听到巨人满天飞
巨人永远的神
冰菓
好看
最爱的动漫了
献出心脏
这是除了cl最想哭的
你要学....泛式？
全体起立
此生无悔入四月，来世在做友人A
献出心脏 全体起立
ueeee
yeeeeeeeee
四月'¡
進擊的巨人永远的神
老虚nb！新房nb！
巨人真的神
好耶！！！
最让我抑郁的
冰果
"90年代EVA,00年代钢炼"
快摁住老虚
冰果！
可惜了，这个很难有第二季
折木奉太郎！
吹爆最喜欢的作品
冰菓！
永不过时的冰菓
收藏了
只是把鼻孔都画出来了（bushi）
全体起立
耶格尔！
致郁作品…
冰菓 本命来了！
老虚，我的战士
虐傻了
是啊
杏子赛高！！！！！！
不知道为什么每次看冰菓都觉得很怀念的感觉，莫名催泪
hhhhh
老师o(^o^)o
冰果真的很好看
进击的巨人，十年代最强毫无疑问
我觉得太空丹迪也可以
9441个小伙伴 你们好啊
参见圆神！
巨人nb
全体起立
好好
假面骑士小圆，机动战士奈叶
太惊人了
来了来了，光头男
本命！
和马趴做对比，哭了
埼玉老师！
四谎！
四月
莱纳坐下
全体起立！
冰菓一生推！！！
埼玉老师
折木奉太郎！
日常推理的巅峰
泪目了
永远都不会再有这么豪华的制作阵容了，永远
冰菓！！！
圆神！！！！
吹爆冰菓！！！！！！
确实
四谎
确实
语速太快了，播放速度也是
斯巴拉西
武本老师走好
神作不少，但四谎是真正走入我心的作品。
全体起立
撕！
哭死我了
小提琴的绘画都做得很棒！弓法指法都是对的！
左上角名字打错了！！！！！！！！！！！！
参见圆神！
冰菓永远滴神
冰菓！！
我喜欢了你十年，却用整个四月编织了一个不爱你的谎言
武本。。。。。
梶浦大妈疯狂carry
柯南你听见了吗？！
四月！
所以不要停下来啊！
第一季的制作组太豪华了
巨人nb
私在文言文里表第一人称，和愚、余等一样
这篇作品很烦，也很深刻
折木千反田啊
