空间来的！
我直接反手一个三连
哇，太太这流畅度也太牛了
电影院帅疯了，太帅了杨戬
太牛了！
外敷
绝了这手书，磕了德芙
再来亿遍
我命中注定的老婆啊啊啊
巴掌脸
二郎啊啊啊啊
动画
丰神俊朗，温柔洒脱
再来一遍
出不去了
不要啊，小黑-------
守护二郎的笑容！！！
太好看了
老婆老婆老婆！！！！！！！呜呜呜呜我的老婆！！！！！！
老婆！！没有你我怎么活啊！！
承包二郎神
杨戬！！！
太牛了吧
好帅
老婆
好可爱的哥！！！！！
好牛…
好可爱！！！
帅死我啊啊啊啊啊
哇啊啊啊啊啊
太太好强！！！
我怎么今天才刷到！！！大数据怎么回事！
好绝！！！
太丝滑了
都给我去看杨戬！！！！！！！！
二哥二哥!
恭喜你发现了宝藏！
老公！
啊啊啊啊啊卡瓦
沉香，想做你舅妈
太帅了太帅了
好可爱啊！！！
卧槽好丝滑
神仙手速
好帅
好耶
恭喜你发现了宝藏！
恭喜你发现了宝藏！
！！就是尾巴这里，戬子好绝！！！
太牛了！！！卡密！！！
新概念手书
好好看
好可爱
杨戬有你了不起!
好帅
对又丧又帅又强又温柔的男人没有一点抵抗力
欢迎大家来看我老公
不喜欢还点进来找存在感，m是吧？
虎牙可爱！！）
有大头！
他对我笑了他心里有我！！
太太你是我的神！！
太牛了太牛了
好帅！！
卡酷一
6666
哇哦呜～
[置顶]大半夜这么多小伙伴，槿砂有被感动到，不过还是要早点休息呀! ​
不得不说，这丧里丧气一转阳光明媚的表情可比电影里灵动多了
好喜欢！！
可以发壁纸吗
没有戬哥我怎么活啊啊啊啊啊
太可爱了！！
太牛了呜呜呜呜
戬哥太帅了！！！！
《蓬莱逃犯》
小戬！！
啊啊啊啊啊啊啊都是心动场面！！！
最喜欢他抛口琴了！！
在现场，我是哮天
西装戬！！
二哥！
好帅————！！！！！！！
笑起来看得我心软软
帅死了！！！！！
其实还有！
好会画啊啊啊啊啊啊把那种潇洒完全画出来了
绝了
二郎笑的好灿烂好可爱！！
尾巴～
太酷了响指
欢迎点进宝藏
再来一遍
做的好棒
大圣！
好帅好喜欢！！！
喜欢
再来亿遍
这段剧情没见过！
太神仙了这也太流畅了我的天
请不要把动画投进手书区
好帅好帅好帅啊啊啊啊啊好漂亮
质量太高了吧！！
伸懒腰好可ww
可爱
他真的太帅了
我是头巾
QQ空间刷到过！！！！
老婆
胸肌呢
好帅
画的太棒了
我是舅妈我是舅妈
虎牙
果断投币
给我投
好帅
喜欢
老婆！！！！
救命好帅
呜呜呜呜，好帅好帅呜呜呜呜哇
老婆suki
是狗狗！
这段在电影院里真的涩到我了
啊啊啊啊啊啊啊真的太帅了
我超，超！
太太好牛！
出来吧那93个人
我的胸肌和腹肌嘞
好会画
太太可以问一下这是用什么做的嘛
欢迎回来
好强！！
反手一三连
好
原来是您
为什么不做成这个风格
好牛啊啊啊啊啊啊啊
原来大佬都管动漫叫手书。​
电影的建模其实我不喜欢，但是太太画的就好帅
来中二少年们看齐
手书内卷
男妈妈！！！！
老婆！！
心动了，心动了！！！
再来一遍
最后的笑，绝了
快
快！去！影！院！真！的！很！帅！
他真的好帅！！
上每周必看了耶！
我的追番键在哪！！！
老公我来了！！！
最近刚看完原电影耶！
我死了了！！被帅死了！！！！！！！！！
工具人不配有脸哈哈哈哈哈
老公！
老婆贴贴
太牛了吧我说
大家好我是哇擦机我喜欢叫哇擦
老婆
每周必看
每周必看
每周必看
每周必看
每周必看
每周必看
每周必看
这个画风好喜欢！！
蛊王
老公
老婆老婆呜呜呜
可爱(๑• . •๑)
电影的建模我最喜欢了，大大画的也好还原呜呜
电影的建模我最喜欢了，大大画的也好还原嘿嘿
！
大神啊
目不转睛
画的太棒辣！！
好可爱啊啊啊啊
弹幕好特别啊
啊啊啊这个小牙笑到我心巴上了
啊啊啊啊啊啊杨戬！！！
你币有了
老婆！！！！！
爱了爱了
圈外人感到上头的地步
省流: 神说不要省
他长的好瑟
每一个响指都打在我心巴上!!!
老婆老婆！！！
再看忆遍
再来亿遍
-----小-----黑-------
他是攻
还没看电影就已经被帅到了
老婆啊啊啊啊啊啊啊啊
朕的追番键呢！！！！
好嘞
不，是我没了！
好帅！
好帅！
好帅！
细节！小虎牙！
再来亿遍
好帅
太帅叻
太会画了呜呜呜
西装暴徒呜呜呜
太帅了
好厉害
麦外敷!
前面说原作不好的……你觉得合适吗？
帅
老婆老婆
爱死我了
看过杨戬传的，真的都哭死了
每周必看
帅的一塌糊涂
我不信！
帅帅帅帅
二郎太可爱了!
恭喜宝藏发现了你。
半夜3：39，居然还有九个睡不着的舅妈一起看。。。
舅妈来了
大大画的好好！
法天象地
老公
嗨！老公
每日一遍
他笑的好可爱
连硬币数量都是5.2万（520）
好帅
好帅！！！！！！！！
啊啊啊啊啊啊啊阿啊啊啊
啊啊啊啊啊啊啊啊啊老婆看我
萨斯给
添了
老公！
好棒啊！！！！！
！！好帅
已三连 真的帅
帅
我直接：嗨，老婆！！
朕的追番键呢！！！！
杨戬？
喜欢！
爱了
好帅  帅的浑然天成
快百万了
我糙，小虎牙
你好，结婚
！！他有虎牙！
好牛好牛好牛
太太画得也太好看了救命
救我！这个手！这个牙！！
再来亿遍
老公！
啊啊啊好可爱
老公！
真的好帅！！！
每周必看
啊啊啊啊啊啊
笑到我心巴上了呜呜呜
老婆老婆老婆
助力100w！
呜呜呜呜呜老师太会了，本来对舅舅无感的看了这个垂直入坑好吧，隔天马上飞去电影院看了
好喜欢呜呜呜
舅舅…没有你我怎么活啊…舅舅…
呜呜呜舅舅
百万
是心软的神
啊啊啊啊啊啊啊啊啊啊啊啊！！！帅死啦~
好耶！百万贺电！
老婆！！！！！！！！！！！！！！！！
我直接老公
舅舅！！！
杨戬这个表情啊啊啊
戬空戬空啊啊啊
戬空是真的！！！
戬空啊啊啊
戬空戬空啊啊啊啊啊啊啊啊
戬空真的宠，！！，！！
"[15,0,""1-1"",4.5,""三界第一美强惨！！！！！！！\n！！！！！！！！！"",0,0,0,0,500,0,1,""SimSun"",1]"
"[0,0,""1-1"",4.5,""清源妙道真君！！！！！！！！！！！！！"",0,0,15,450,500,0,1,""SimSun"",1]"
"[0,0,""0.4-0.3"",4.5,""舅舅舅舅舅舅舅舅\n舅舅舅舅舅舅舅舅\n舅舅舅舅舅舅舅舅\n舅舅舅舅舅舅舅舅"",0,0,15,150,500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
你的微笑由我来守护！
百万合影！妈咪和戬哥都值得！
嗨！老婆
老婆!爱你!太神了!
杨戬是真的帅
这个哮天犬也很可爱
舅舅没有你我可怎么活啊
你管这叫手书
有内味
哇哦
耳朵喷血那个是魔鬼吗
帅疯了
啊啊啊啊戬宝！我爱你！！！！！！！
外敷啊啊啊
杨戬帅死了！！
追番键呢？！这么大一个BUG不知道修复吗！！？
""
