谢谢UP主，一定平平安安
韩红我爱你
致敬
你币有了
泪目
借你吉言
作为四川人，怎么谢谢红都不够！
我觉得这时候没必要开蔡徐坤玩笑，他也在做好事
天使
气的想哭
中间商红十字会
韩红天下第一！
韩红不是女神，是女巨人
是aka
太善良了
韩红老师太棒了
赞韩红姐
我爱她！
为什么没有鸡你太美呀
支持！
不得不说，蔡徐坤也做到了
感谢韩红
气到心口疼
你币有了
韩红老师天使~
韩红有说，他怎么都不会把钱给红十字会的，他是直接送达医院。
希望她一辈子幸福
我一庸人，只能夸一句，在下佩服！好样的
你的币有了  武汉加油  韩红老师加油
神的救赎
韩红加油，武汉加油，中国加油。
韩红真的值得大家尊敬
武汉红十字出来挨打
韩红红火火
感谢韩红
没有中间商赚差价
我被屏蔽了
加油武汉
没有  中奸商  
好人一生平安
红十字会在我这儿信用早破产了，这辈子都不可能捐那里
以后捐献只给韩红基金会
这才是真正的慈善家
上午捐了
古天乐呢
武汉加油 中国加油 
没看过
我后悔给红十字捐了200多
韩红加油!
红十字解散吧
韩红在天天向上说过，不喜欢自己的表情包，请b站各位大佬不要鬼畜韩红了吧
星星之火 可以燎原，韩红平安喜乐！！！
姐姐别哭
天使降临人间
天使降临人间
我是一博的粉丝，今天刚给韩红基金会捐钱了
天使降临人间
好人一生平安
天使降临人间
天使降临人间
鸟之诗
天使降临人间
中奸商
bgm：鸟之诗
我真的在我们县城看见过韩红 亲自来的
天使
加油
最难的就是做慈善。
千万不要把钱捐给红十字
那我们的度呢？
感谢阿婆主，已三连
。。
中国的红十字老早没有信誉可言！
韩红后台也硬，不怕得罪人
！⭕⭕
啊啊啊啊啊啊感动
粉了
一次她出了车祸奇迹生还，相信真是好人有好报的吧
好真好厉害韩红老师
她有大爱，值得敬佩
当今社会太缺乏这样的人了
王思聪呢
鸥姐！
社会太黑暗了，我这个老百姓怕了
感谢韩红！
好人有好报
这次一定
这就有个问题了
泪目了
那么我怎么才能通过韩红捐款
那得有多少钱啊
红十字会，慈善总会都是扯淡
垃圾红十字会！
好人 好曲 好韩红
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
蔡徐坤呢
有美丽的心才能演绎动人的旋律
你掀起波澜？
致敬！
天亮了
要健康
韩红加油，武汉加油
看看
中国的红十字会散了吧，以后不会再捐一分钱
发不出来？
好的
这才是明星，中国人醒醒吧，原谅我泪目了
黑转粉
白素贞再世
韩红女神
谢谢韩老师
这才是真正的明星
信个鬼
支持
⭕哥！！！！！
艺人明白，红十字会就是信不过
天使降临人间
这不是人设，是真实的
只信韩红
感谢，以此为榜样
天使！
你嫌弃破烂。
这就是为什么明星都信韩红的原因
天使
何止气炸
好人一生平安
这才是真正的明星
这才是你们该崇拜的明星
让红姐接管红十字会
还有一堆人出来为红十字洗白
谢谢了
唉扎心
加油
钱不钱，我不知道到视频重点不是讲这个
韩红了不起
共青团出来挨打
借您吉言
致敬
…
再看看红十字简直不是人
什么叫国际巨星？
掀起波澜
天使降临人间
韩红老师辛苦了
一定有果报，好人一生平安
借你吉言
红姐必须支持！！！
垃圾红十字会
唉，停停停，兄弟啊你是来捣乱的吧
鸟之诗，你币有了
红十字会，不过是一群商人的玩物罢了
三连是你应得的
致敬~
致敬~
同意
虽然不喜欢蔡徐坤，还是要为他说句话。他这是没有捐给韩红基金会，但有另外捐。
天使韩红
红十字会没脸了
红十字会，不要脸了
红十字会没有良心
泪目
红十字会从骨子里烂透了
韩老师不哭
您声音好像蔡永强局长
这才是明星
韩红也是部队出来的
韩红老师到过我的家乡。
好的
天使啊
好人一生平安
武汉缺物资
气炸了
这是天使下凡
致敬！
武汉加油！武汉加油！
小学就被逼捐款
挺你
致敬
武汉加油
借你吉言
加油
❤️
韩红老师辛苦了
加油，致敬
菩萨也
死神：这个人劳资不收！给劳资活下去 ！
中国做慈善我只服两个人，一个是韩红，一个是古天乐
好人，好曲，好韩红！
嫌弃波澜～
加油！
红十都自己囤着当倒狗了
天使降临人间
解散红十字会
好人一生平安
爱韩红
一定要三连
给我冲！
韩红是所有艺人中我最敬佩的人
武汉加油
那个问百来个明星就捐了3000多w的，你捐了多少
好人一生平安
可以
你
此生不会给红十字捐一分钱！！！！
好人一生平安
天使降临人间
壹基金呢？
太感动了 
红十字就是个笑话
我更信韩信
红十字会是吸血鬼
各位平安
粉了
红十字会直接解散吧
德艺双馨
天使降落
红十字会真不要脸
支持支持
好人一生平安
韩红加油，武汉加油
郭美美事件以后我就觉得红十字会不星
韩红就像明星里最亮的那颗
希望党不要人们流血又流泪，也希望天灾面前国家多做出点让民心不屈的作为
千玺棒棒
漂亮
我有钱了我也要这样
我相信韩红
感谢韩红
作秀的你去捐一个啊
你币有了
好文，好曲，好韩红
好伟大
鸟之诗好评
致敬
全中国最美的胖子
太悲伤 捐了三百去红十字会
请相信红十字专业   洗钱捞钱能力！
感谢您，韩红！
漂亮的女明星千篇一律，但我的女神依然是那个在需要帮助的地方，那个胖胖的身影。
韩红老师真的很棒！！！！
一直是韩红的粉！
好人一生平安
好人一生平安
武汉加油
致敬
建议别刷韩红老师了! 别把韩红老师推到浪口风尖上，给某会给打压
那些黑韩红的还有良心吗？
红姐减肥，活就来了
韩红加油
明白人
好人一生平安
无能红十字，贪污红十字
这字幕……
这才是该追的星！！！
韩红这边已经被关闭了！！！
好的
支持韩红
感激
韩红
敬佩
韩红老师超棒的
caotm
韩红真正大明星
但是，现在韩红基金会不接受捐款了！
让韩红接管红十字会
这次一定
相信你坤哥，是不是不行？
目前韩红已经生病了，不能去现场了
红十出来挨打？
致敬
老师嫁给我吧！
红十真丢人
好人一生平安
居然有人相信红十字会？。？
这就是天使，真正的天使
这就是天使，真正的天使
敢掐央视直播，可以啊
被某会气炸，被红姐感动激励
‘
韩红姐 你以后就是我女神了。
好人一生平安
建议红十字会解散
确实生气！！！
感谢红姐！
结不结婚有问题么
黄金精神
感谢韩红
从古至今从古至今中国未曾变过
这才是真正的天使叭QAQ
韩红上辈子一定是个女大侠
感谢韩红
向天使致敬
真的好人
韩红是我心中永远的女神
天使降临了
要捐款就捐韩红爱心基金会
划算
赞
支持
加油
慈善只相信韩红
天使降临人间
菩萨心肠，好人有好报
武当捐出了大部分，总共1500万
好人一生平安
菩萨心肠，必将长命百岁身体健康
红十字会跪下
好的
一生平安
一生平安
爱你
感谢韩红
中间商在哪里
韩红真明星
前面的，鬼畜韩红也有不少喜欢韩红的，鬼畜≠黑
我在红十字会总共捐了5000多，得到的是这个结果，气死我了
你三连有了
鄂A•0260W
鄂A•0260W
祝好
❤️❤️❤️❤️❤️❤️❤️❤️❤️
兄弟，你从哪来？
不止 贵州雪灾的时候也去了 还出了车祸
借你吉言
赤子之心
泪目泪目泪目泪目泪目泪目泪目泪目泪目
泪目泪目泪目泪目泪目泪目泪目泪目泪目
好人一生平安
支持老韩
女神！！！
韩红！相信你！
截至现在已经八批了吧
致敬韩红，致敬医疗工作者
中间商只赚差价
王鸥 千玺
一定要上榜啊
天使降临人间
真正的天使
加油
建议红十字会取缔
致敬
感 谢 韩 红！！！！！！
加油
为韩红点赞！
韩红真的是一直借钱
很棒，谢谢您
来为韩红大大打call
借你吉言
韩老师加油
果然有易烊千玺哟
不管以后你听到什么，请继续相信韩红老师
韩红姐加油！！！！
红识字太差劲了 很失望 我捐了200 变成郭mm车内挂件
吴亦凡！！！！
韩红这样捐自身经济压力挺大的，很了不起
鄂A0260W
信韩红都不信红十字
好人一生平安！
加油
借您吉言
Hanh韩红加油
感谢韩红
感谢韩红
天使在人间
我的车牌照丢了
就算你是蹭热度，我也要给你三连
韩红老师加油
⭕️老师！
红十字完了
弹幕别嘴臭了
天路
cxk去哪了
韩红好人一生平安
感谢韩红真的谢谢
气死了
好人一生平安
侠之大者，为国为民
天真，你说不要我就不给吗？
感谢韩红！人间天使
捐款从不捐红十字
请一直相信韩红！！不管之后你听到什么看到什么
请一直相信韩红！！不管之后你听到什么看到什么
对红十字会很失望
鄂A0260W
加油
但行好事，莫问前程
有鹿哥！
为韩红点赞！这么好的人啊
武汉加油
真的好人！！
红十字就不能信
天路
感谢韩红 武汉加油
天使降临人间
好人一生平安
好人一生平安
鼻子忍不住酸了
从此捐款只相信韩红
波澜哥！
感谢韩红
爆哭
从此捐款只相信韩红
红姐谢谢你！
眼睛进沙漠了
所以她的天路才是天路 爱的道路
感谢韩红
鸟之诗！！
一定不要信韩老师的黑料！
韩老师真的好好
开个善慈吧 你太棒了
泪目
鸟之诗好评
一生平安
吴青峰也有捐！
再说韩红坏话，下地狱吧
韩红牛逼。
白嫖失败
韩红永远滴神
好人一生平安
不说了，我去韩红捐款了
下次一定 这次算了
我去十一会真不是人啊
粉了，韩姐
致敬
保护
泪目
鄂A0260W
好人一生平安
好人一生平安
好人一生平安
患难见真情
好人一生平安
泪目
勇气点，把武汉去掉
韩红老师真的很了不起
雅安人民表示衷心的感谢
支持
对，这个我知道
如果她被黑请相信她 说好人民是她的后盾
成立一个韩红基金会代替红十字会吧
红红加油！武汉加油！
忍不住泪目是怎么回事
好韩红
这才是明星
武汉加油
我他吗草爆红十字
感谢韩红
泪目
这样的人才是大家心中真正的明星！女英雄
08年汶川百姓积极捐款红十字会
不会真有人相信狮子会吧
谢谢
留着硬币干嘛
武汉加油，感谢韩红
我们给韩红大姐捐点吧
事在人为
致敬
加油
韩老师好人一身平安
心哀 庆幸 保佑红姐早日康复
蔡徐坤是自己捐款 没了解别瞎bb
强行让别人捐钱也是垢了，你们自己怎么不捐呢
韩红老师真的很棒
武汉加油白衣天使加油中国加油
洗牌吧
我们为这些明星加油
天使降临在你身边
承您吉言
特别棒
救灾物资，转手一卖！红十字会:真香
感谢韩红
愿你一路前行！
借你吉言
路转粉
感谢韩红
爱了爱了
支持韩红
这才是公众人物的表率
易烊千玺，我家崽子好棒
白嫖失败
韩红姐牛逼
真的好人一生平安
姐姐真的太棒了
av86160445
你说不要就不要？拿着
av86160445
值得敬佩
很值得敬佩啊
蔡徐坤炸了。
av86160445武汉红十字把央视赶出
也要照顾好自己啊.....
AKA悍匪现在成了xxxl，很real
加油！！！
韩红接下来肯定要被搞了
加油！！！
感谢
红姐最近风头太大了
BGM鸟之诗
国际红十字会才是真的
好人一生平安
天使！
我偏要给
美美
路转粉！
谭盾！！！
从小就喜欢韩红
好的
加油
天使啊！这么多钱！
谁发工资？这谁能撑得住
加油
加油
是真的
作为大学红十字会的一员，真的感觉有点伤心。
华妃娘娘真好
好人一生平安
韩红好像累病了
感谢韩红
泪目
垃圾红十字会
好人一生平安！
其实韩红什么都没做，她只是做了基金会该做的事 全靠湖北红十衬托
韩韩万岁
掀起波澜
感谢韩老师！！
我们支持你韩红
红十字去。。。
红十字会早就不是公益组织了，是企业
韩红加油
郭美美事件后再也不相信红十字会了
保佑韩红!
讲实话，我95后，追星我只追她！没有之一！
这还能说什么，杠杠的。
加油。。。支持你
我小学就喜欢韩红老师，韩红老师在慈善方面坚持很多年了，一直专心搞她的慈善
支持你。。
这时候tfboy呢 
天使
天使降临人间
感谢
好人一生平安！
大好人啊
加油
好人一生平安
韩红才是天使
老薛！！
感谢韩红，武汉加油
天亮了
我们总是要韩红劳累要韩红捐款 可在座的各位绝大多数都不愿掏一分钱
好人一生平安
真正的偶像
韩红的红才是中国红
韩姐太棒了
泪目，善良热心肠的人
鄂a
不是一直嘛
相信韩红
韩红真的是天使
锤子
鄂 A0260W
好人一生平安
那就不给了
嗯嗯加油
真的正能量
泪目
建议解散红十字，已经不干人事了
韩红老师是军人
韩红已经被停止捐款了
中国红
三连顶起来！！！！！
好人一生平安！韩红
群红十字会时不时来群里贪污灾款
群红十字会时不时来群里贪污灾款
不敢直接通达
没错
哈哈宏10中间商
请收下我的膝盖
好人一生平安
感谢！韩红老师！好人一生平安
红十字会的做法简直就和出轨差不多
天使在人间
如果善有具体的样子，那它应是韩红
最可爱的人
这辈子都不会黑韩红
感谢韩红
粉了
韩红才是真慈善，李连杰花别人的钱来做慈善，自己得名！这个买卖值！
善人有善报
善人有善报
天使降临人间！
韩红老师辛苦了
我落泪了
感谢韩红
致敬加油
好人一生平安
好人！她早已功德圆满！
感谢韩红一生平安
希望大家支持韩红！支持这种善良的人
好人一生平安
韩红女神
好人一生平安
红十字会真心把人气炸
感谢
韩红老师是真好人
武汉加油
致敬
好人一生平安
勿谈国事勿谈国事。。
韩红加油
鄂A0260W！！！
女神！！！！！！！！！！！
韩红加油！！！全国人民支持你！！！因为不会有第二个韩红了！！
好人一生平安
捐款我们只相信韩红
韩红nb
现在只能捐韩红了，基金会水也是够深的
冲bgm投币了
真好
致敬
好人一生平安
好人有好报
你币走了你币有了
别人都做不到这一点
天使一生平安
借你吉言
天亮了
敬礼
我们家一博崽崽
韩老师真好
辛苦了
好人一生平安
好人一生平安
易烊千玺！
好人一生平安
好人一生平安
感谢韩红，，武汉加油
韩红nb！
韩红老师辛苦了
、、、、、、、
好人一生平安
她落泪的画面真的太多了 慈善路上太多艰难
借你吉言
nb
好人一生平安
还好我们还有你
红姐保重身体啊
我山东的快气死了
武汉加油
进来先投币
从此捐款只相信韩红
不让我三连我偏要！
NB！！！！
韩红加油！！！！q q
下次一定
韩红阿姨，谢谢……
好人
韩红加油！
武汉加油 韩红加油
这次一定
武汉加油
做到这样就一个公民来说 真的足够了
AKA悍匪姐姐加油～(￣▽￣～)~
天亮了
天使啊
韩红老师已经开始进军说唱圈了，已经发了几首说唱单曲了！AKA XXXL skr
泪目
致敬
感谢韩红
那是一条神奇的天路
借你吉言
借你吉言
反正没给十字捐一分钱
达，则兼济天下。
希望好好整整那个鄂a牌照的和红十字会
武汉加油!
天使降临人间
谢谢您
感谢韩红
不要我偏要给
好人啊 哭了
这才是明星应该干的事！
天亮了
 偏要
韩红加油
你们还觉得范冰冰美吗？？？
一生平安
感谢韩红 武汉加油
韩红累病了
是真的当初看了快本她捐大熊猫的时候就很感人
人们，管好嘴和手和人性，世界总得毁在这三样。
鄂A0260W
威胁到某些人的蛋糕了
韩红加油
红十字的真实身份是害死三百万犹太人的十字吧
加油，韩老师
好人一生平安
气死了
查处
红十字还能存活
韩红nb
人心真可怕，这都是什么民族
skr
武汉加油 中国加油！
姚琛
小红红
感谢韩红
好人一生平安
感谢韩红姐
加油！
我就三连，怎么着吧
武汉加油
红十字会你看看
红十字会牛逼~~~~~~~~~~~~~~
蔡徐坤呢？
已三连
给它搞上去
点赞！！
气得要命
无辜的人民好可怜！捐款的人致敬 ！红十字会这种垃圾千万不能放任他们 希望你们用法律手段推翻他们联民上书
韩红加油
武汉加油，中国加油
我们应该相信一个合理的体质，而不是一个组织或是一个人！！！！
泪目
我要哭了
娱乐圈我只服韩红和古天乐老师！
天使在人间
她不是最美的女人，她是最美的女神
气炸气炸
我能不能去韩红那做志愿者
再不给黑十一分钱
必须把中国红十字会打翻在地，再踏上一万只脚叫他永远不得翻身[妙啊]
必须把中国红十字会打翻在地，再踏上一万只脚叫他永远不得翻身[妙啊]
感谢韩红
好人一生平安
今天看某音，韩红病倒了，心疼啊 
致敬！！！
qwq啊!点赞
加油
好人一生平安
好人一生平安
泪目
看见当家的名字啦
必须把中国红十字会打翻在地，再踏上一万只脚叫他永远不得翻身
bgm是key社的 鸟之诗吗
我偏要三连
好人一生平三连
一直就是个值得尊敬的人
牛啤
天使啊
天亮了
红十字真的不行
致敬
鳥の詩？
韩红是军人，韩红加油
这才是偶像
加油加油
好人一生平安
这才是真正的善人
加油
力挺韩红女神
这样才不负‘明星’这个称呼！      力顶韩红
轰炸红十字
韩红老师牛逼！！！
致敬
谢谢韩红老师
天亮了
加油
韩红的红，是中国红的红
好人一生平安
鄂A0260W
好人一生平安！
红姐，好样的
红姐威武
韩红老师我爱您！
红姐太赞了红姐好样的！
郭美美系列
红姐nb
中间商 ？？？？？
菩萨转世
泪目
这才是真的善人，比某些流量明星好太多了
额。。。
韩红牛逼
这才是最美的亚洲女性姿态
respect!
韩红老师真的很伟大
蔡徐坤捐了，真捐了，但不是给韩红
中国红十字原地解散吧
不要三连小心被删，不要捐韩红捐了就是害她
韩红加油
我个人都是比较相信韩红
红十字就不该存在
好人一生平安
相信韩红
韩红真值得佩服
人民的歌手
愿你平安
鄂a•0260w
好人一生平安
她是我这辈子最佩服的人
这是天使 是天使啊！！！！！！
致敬
红十字会当初成立的时候初衷是为了帮助所有的困难群众，现在居然成了赚钱的工具，真让人气愤
感谢支持
谢谢你们
不能骂全部的红十字吧？难道全都是只中间商吗？
好人一生平安
相比下我捐的不值一提
韩红好样的
气炸了
加油！永远支持你
能力和责任共同增长
三连，顶起。当代中国的脊梁！
气哭了
还有一张明星给韩红捐款的纸呢
真正的明星
支持韩红！
比病毒更可怕的是人内心里的恐惧 而有些人更是只为自己的官吏
韩红老师谢谢！！！
武汉加油
鞠躬
该管事的机构呢
可还行
真正善良的人值得被爱
韩红天使
泪目
感谢韩红
感谢韩红
加油
支持韩红老师
韩红老师真的很值得尊敬
鸟之诗
红十字会滚蛋
感动中国
不让韩红收钱了
韩红加油
韩红来说
好人一生平安，我红中国红
加油
怎么可以白嫖！
黄金精神
韩红nb
支持你！加油
好人一生平安
黄金精神
加油
好人一生平安
鼻子酸了
加油
感谢感谢韩红老师
没有中间商
好人一生平安
我不信红十字。我以前给红十字捐过钱。
谢谢您老师
感谢您
好人活该百岁
致敬
你可以永远信任布隆 啊不对  韩红
韩红活该红
这才是真正的公众人物
正能量艺人王一博！公益我们一直在路上！武汉加油中国加油
加油韩姐
感谢韩红
武汉加油
武汉加油！！韩红加油！！
好人一生平安
韩红666好人一生平安顺利
泪目
红姐牛逼o(￣▽￣)ｄ
谢谢
韩红真正的女神
韩红好人一生平安
一个人，不够啊，不够啊
好人一生平安
胖胖的？
真的是正能量的明星，感谢韩红老师！
我特么快气死了尼玛
红十字真是个--
好人一生平安
感谢韩红老师
好人一生平安。
谢谢韩红老师
好人一生平安
人之初  性本善
好人不易
红姐不哭，我们挺你
好人一生平安
真的感谢
明星捐不捐钱他们乐意，不用指责，更应该指责某些和珅行为
哭了
滚！
那捐款都有二姐
谢谢韩红，武汉加油
谢谢捐赠者
天亮了
好人一生平安
好人一生平安
等事情过去了会被针对的
掀  起  波  澜 
一生平安
红十字会看看人家
韩红，古校长
好人一生平安
真正的天使!
那不叫胖胖的身影，那叫守护神
加油
好人一生平安
韩红捐了快10亿了
红十字太令人寒心了
韩红好样的
加油
武汉加油！
jiayou
关红花会什么事
真的是好心疼韩红
加油！！
你现在选择相信韩红老师，不管事情结束之后，你从哪些人哪些渠道那里听到什么，看到什么，请你都要继续相信她
感谢
鹿晗！
红十字会出来挨打
加油
好人一生平安
以前只喜欢她的歌，现在更赞赏她的人品
d大爱韩红
大爱韩红
两个红十字会
这是艺人的楷模
"鄂A0260W,记住这个车牌号！"
红十字会这次真没让我失望
之前说收益捐红十字的up都被打了脸，红十字没那么靠谱
好人一生平安
韩红老师您对的起曾经的那身军装
泪目 韩红没得黑！！
这才是真正的偶像!!!!!!!!!!!!!
66
好人一生平安
两个多亿了
韩红是真的把命都献给慈善了
加油
韩红女神
武汉加油！
武汉加油！
好人都是累死的
韩红老师nb！！！
现在才知道所谓的慈善机构，
楷模啊
韩红老师是天使
好人一生平安
韩红支持您，向您致敬！爱护好自己！
韩红老师你值得更好
爱他
天亮了
这才是慈善
你币有了
好人一生平安
感谢 太感动了 好人一生平安
现在的红十字会就和中世纪的教堂一样，宣扬正义的人往往不做正义的事
谢谢
天亮了
韩红流弊
好人一生平安
韩红加油 武汉加油
蟹蟹韩红老师！
好人一生平安
韩红和蒋欣关系超级好的
@波澜哥
感谢
好人一生平安 韩老师一生平安
韩红老师加油
我不是更信韩红。红十字会现在我只信韩红
支持支持支持支持支持支持支持
加油
捧杀
好人一生平安
好人一生平安
好人一生平安
榜样
好人一生平安
可是韩红基金好像停了
别忘记星爷
好人一生平安啊！！！！！！！！！
好人一生平安
有一说一，很多慈善捐款的地方都能看到她的名字
红十字还有人偷偷拿出来卖
天使降临人间
担心害了韩红老师
好人
同样是人 差距真的大
功高震主了
奥利给
好人一生平安
我不想说好人有好报，因为在我看来她现在过得并不好，我只希望人们善待他一点，畜生们嘴下留情吧！
感谢中国还有韩红这种好人
设么牛鬼蛇神都出来了  心凉的一批
好人一生平安！
泪目
好人一生平安！
这是天使吧，
致敬xxxl
加油
还好昨天上午捐了  昨天下午5点就不能捐了
一生平安
支持红姐一辈子
韩红，一定要长命百岁啊
真棒！
韩红天使！
韩红加油
但是统拨还是某协会
天使啊
泪目
武汉加油
是的，信任韩红
我手机喇叭坏了
好人一生平安
韩红是值得信任的
感谢韩红！
天使，不因任何事改变，也许天生吧，才能做到别人不会想的事
天亮了
好人一生平安
红十字会好坑
好人一生平安
感谢韩红
好人一生平安
韩红个人演唱会，不管在哪务必到场
感谢
熟悉的锁屏
绝对是个天使！
好人一生平安
那个说政府的我求你脑子正点吧
好人一生平安
好人一生平安
韩红加油
韩红都在捐破产了
战全网买通告捐了，全网没有公告？？？打诈捐擦边球啊
好人一生平安
感谢
好人一生平安
红十字:我们要管理费
应该和古天乐联名
以后韩红就是我的偶像
我吴亦凡让你吃了？
鸟之诗？
武汉加油
武汉加油
air
韩红老师真的棒！
某会的人，这是在堵绝我武汉人的捐款啊
哭了
借您吉言
好人一生平安
女神
好人一生平安
好人一生平安
把那个最大的所谓慈善机构取消了吧！
我要这币有何用
致敬
红十字会那些还能叫做人？
好人一生平安
韩红都快捐的自己没钱了
你的三连有了
王一博默默做事
没事儿的，要问为什么的话，因为韩红来啦！
这才是公众人物的榜样
陈赫！
从来就没有所谓的能力越大责任就越大，只有越善良的人才会主动肩负起那些责任。
好人一生平安
韩红牛逼
好人一生平安！
人间活佛
红十字会别开了
鄂a0
韩红去年还来过我们这
好人一生平安
韩红不红谁红
好人一生平安
bgm鸟之诗好评
好人一生平安
好人一生平安
好人一生平安
致敬
韩红加油
红十字会给老子爬
好人一生平安
天使
所以为什么要黑她？
感恩
泪目
scp基金会已介入调查
这才是天使啊
人就是人，哪来的设定，自己故意完善自己的内心，那TM才叫“人设”
红十字会进来挨打
raprap！！
韩老师加油
好人一生平安
这个视频配二次元国歌居然这么搭……
加油加油加油，大家都加油
这才是真正的明星
我选择相信韩红
加油加油加油
很生气
加油
支持
你把我的东西放在仓库里，你就是混蛋
蔡徐坤捐了，别乱黑好吧
那么多明星一张怎么写的完
支持支持支持
感谢
支持支持支持
好人一生平安
感谢韩红老师
捐款我们只相信韩红
我5连了！武汉加油！！！
感谢韩红
那才是女神
好人一生平安
好人一生平安
加油
谢谢韩红老师！
韩红nb
看哭了，韩红姐姐真的是天使
前面的，周董捐了300w
小红红nb！
好人一生平安
好人一生平安
这是捐给韩红的，让韩红捐的
不行了我！太好哭了！
这次一定
感谢
好人一生平安
感谢韩红！
我三连了，我很健康
这才是榜样
红十字跪下
韩红是做慈善的，红十字会是吸血的！
好人一生平安
加油
一次疫情，暴露了多少人性的黑暗
好人一生平安
武汉加油
韩红老师加油，武汉加油！
支持韩红
韩红老师我爱你
蒋欣也很棒
身在武汉的四川人 不知道怎么感谢您 谢谢
加油加油
韩红老师真的好棒
好人一生平安
冲冲冲
韩红加油
王一博！！！
谢谢 好人一生平安
好人一生平安
点赞
上帝吻过的嗓子，上帝吻过的灵魂
好人一生平安
好人一生平安
好人一生平安
黄金精神
我大哥谁敢动
这才是女神
天使
红十字会跪下 你们没资格忏悔 只能仰望
鄂A026W
泪目
不是说韩红基金会没有的没有捐，不要在讨论了
韩红太惨了
bgm稍大声
好人一生平安
致敬
好人一生平安
支持慈善透明化管理！
致敬
泪目
这是真正的红字！！
红十字会这些年寒了多少人的心，每次遇到大事要捐款就会有问题
红十字会这些年寒了多少人的心，每次遇到大事要捐款就会有问题
好人一生平安
好人一生平安
BGM-折户伸治·羽根
不容易，注意安全
感谢韩红老师
就给三连
一博很棒
好人一生平安
感谢韩红，人间天使
好人一生平安
韩红太好了
真的很感动，泪目
感谢
加油！！
好人一生平安
鸟之诗好评
唉
武汉加油
好人一生平安
给我一个毁灭世界的高音
再看看红十字会
真好
好人一生平安
好人一生平安
女神韩红
感谢韩红
吴亦凡
去***红十字
鄂A0260W
**红十字，他不配
支持韩红
韩红武汉加油
韩红
好人一生平安。。
红十字给爷爬
好人一生平安
武汉条顿骑士团
感动
好人一生平安
好人一生平安
感谢韩红老师
好人一生平安
泪目
好人一生平安
好人一生平安
哭了啊啊啊啊啊！！！！！！
无论如何都要相信韩红！
好人一生平安
不要捐给红十字会 他们太黑了
垃圾红十字会
好人一生平安
好人一生平安
辛苦了
⭕️⭕️⭕️⭕️⭕️老师！
雅安人在此
好人一生平安
我可去他的某黑红十字会
好人一生平安
好人一生平安
武汉加油哦，会有英雄拯救你们的
加油
武汉加油 中国加油
韩红，是热血的红
好人一生平安，武汉红十字biss
好人一生平安
韩红加油
感谢感谢
致敬
谭盾？？！
加油
好人一生平安
曾小贤
红姐好样的
加油
好人一生平安
武汉红十字会怎么了
这是有军衔的人。致敬。感谢
韩红也来过我们这个小县城 
感谢韩红，武汉加油，中国加油！
好人一生平安
好人一生平安
好人一生平安
好人一生平安
为韩红加油！！！
我喜欢这样的艺人，这样才叫德艺双馨
感谢……看哭了
好人一生平安!!
鸟之诗好评
好人一生平安
让她多参加！但也别累着自己了qaq
天亮了
鸟之诗唉
好人一生平安
感谢韩红，武汉加油。
蔡徐坤是粉丝团组织的  和韩红大姐没瓜系啊所以没有出现在这  这种时候还黑有点不讲道理吧
好人一生平安
点赞韩红
武汉加油！好人一生平安  谢谢您  
