粉扑是？
圆脸好看
刚刚那个叫下颌骨啊
我只看出了大小脸
随便你怎么弄，唉
美术生DHA动了！！！
这么厚，我会当场去世
考研都没这么认真学
男的咋了？
拍 擦 不会卡粉吗
什么男孩子保护好自己？有你的事吗，化妆就只是给男生看的？
这次纸还好用-_-||
这脸比纸还好用
我右边的都画不出来
下颌骨
牛逼
钛白抛高光
干皮擦不了
有没有跟我一样第一眼看成MTT的
收藏了
真的眉毛下面是有阴影的
美妆博主到底有没有近距离研究过浓眉星人啊
卧槽，牛
救命，我平时画眉毛就这么画的
虽然我是一大老爷们啥也听不懂，但是不明觉厉，up讲的好专业
暗部
理工男看的很舒服，因为逻辑清晰
我也以为是素描的！
我一个男的看得非常入迷
也太麻煩了
我眉毛一直是这么画的
回归专业课
22万！！？
0.5倍速
去我的收藏夹吃灰吧
全薅掉了
"""‘了"
太牛了！
卧槽
我去 真的好牛
哇
真是门学问啊
美术生表示真的非常熟悉
我悟了！
口红色号
我感觉我又在上课
太强了太强了
我感觉我学会了！
谢谢博主
学到了！
22亏了
這個陰影畫法我之前學到的了！面部提拉效果真的很明顯的
眼睫毛這個效果真的好棒
感谢
卧槽
三连了
好牛啊
我还以为是教素描的
好家伙，看标题我还以为交素描的
哈哈哈哈实在
美术生一脸懵逼
电视机笑死hhh
一觉醒来，这谁啊这事？
我還以為是素描課
牛啊牛啊
？啊？？
先收藏了
我就是这么画的
追求极致无妆感的人，外区甚至可以不擦粉，保留痕迹
美术生DNA动了！
这就是画画啊
从空间来的
woc好漂亮
皮肤健康的可以这样搞
这个收藏量
收藏夹吃灰！
好牛啊
不给三连我都不好意思了
前面，同速写画法哈哈哈
可以直接买调色粉底调
一直都是这样画的！！！
太离谱了可我是男的不对太心动了
感觉就是素描头像
这个眉毛画的真好
我没学美术的焯
迷魂计
美术生表示我粉底一直只擦面中
爱了爱了
迷魂记
卧槽好牛
卧槽牛啊
小画家总结：明暗交界线到暗面的过渡
太强了
同款粉扑
救命电视机一样的轮廓戳中笑点了
必须一键三连
挖槽，可以开一门专业课了
抛光打磨
第一次看，第一笔下去心脏骤停
下一步是积分了吗
牛哇
美术生加一。。
我悟了！！！
画家
哇
姐姐好美啊
底子还可以
我在B站记笔记
同款眉笔
这个“骨”字幕写错了，这个错怎么做到的
荒木线
我去，这是魔法
收藏量哈哈哈哈
美术生表示真好玩
这不素描头像吗
这恐怖的收藏量
就是素描头像
卧槽
UP主666
厉害了
关注了关注了，好绝
咱就是说，居然听懂了呀
看三遍了
这，素描课
美术生表示头像就是这样学的
天啊，这个眉毛就是我修完眉的样子，巨真实
我就是这样www
美术生！！！！
已三连
我是听不懂吗？我是画不来
好厉害
好厉害
这个画眉卧槽
懂了，大概原理就是最外向中心化
太牛了啊啊啊啊啊啊啊啊
卧槽，易容术
艺术生的dna动了
亮灰暗
素描头像的五个面，正侧顶低斜
本来以为是讲绘画基础进了后我人傻了哈哈哈
总所周知学画画的学化妆都很快乐（狗头）
美术生感觉好亲切
还得动手能力
我去
果然值22w
我一个素描老师点进来干嘛doge
荒木线
我悟了
666
我一个男的看傻了
找女朋友还是找个不化妆也漂亮的吧
有没有可能，是她的脸本来就瘦
看成GMP
有没有想过粉底液有色差
确实牛
我以为是教素描的才点进来的呜呜呜
收藏回来个女朋友画doge
画画hhh
制药人的我看成了GMP。。。
惊人的收藏
专业
这不就是美术生画头像嘛，可太熟了
刚看的那张三层空间的头像，达芬奇还是荷尔拜因画的那个，真就大数据呗
国画生哭了，真就到哪儿都有线描gank呗
就我一个男的吗？
女生真麻烦
对对，我方脸打完修容就是会更方……
以为是姚梦溪
真的诶卧槽
牛哇
这不就是素描卡点吗
好么这就是没眉毛的人吗（浓眉者跷二郎腿）
三连了
虽然用不上  但是感觉好厉害
bgm好评
绝了我学会了
迷魂计
好了去收藏夹吃灰吧
现在有变成点涂粉底液了！！！
哇，感觉好有用
板绘这么画来的
腮部 下颌骨
这些22w
有点难
女人＝欺诈师？
进收藏吃灰
懂好像又不懂
为什么我一个男生在这里看这个
黑黢
我一个男生为什么刷到这样的视频？
我一个男的竟然看完了
我一男的竟然看完了
梦回高三集训画素描人头像
up嘴巴好好看！！
但是这里跟刚才对比好像贴了睫毛
可怕的收藏
我的天
可是素描中间是明暗交界线，而且暗部会越来越亮，有反光的
三视图
这是我见过最干货最慷慨的美妆视频
但是这样有点脏脏的
那你很棒耶
手好好看
投币了
我眉毛超好 不用画眉 省事了太好了
姐姐的手好漂亮
下颔线
你左手的意思我懂，右手的意思我也懂，两只手加起来我不懂
你左手的意思我懂，右手的意思我也懂，两只手加起来我不懂
你币有了
这个海苔吐司好吃吗
这不就是我平时画眉毛的方法吗！！！
厉害
真没白花
好家伙，这全部都是素描知识延展啊~~
好家伙这都是啥 
和美术没半毛钱关系
那还得买两个色号
不化妆是真普通
我一个男的居然看完了
我不是很懂那些杠精，不看划走啊搁这一边偷学一遍杠呢
我一男的都想点赞
虽然听不懂但是收藏
这恐怖的收藏
明暗交界线不就来了
明天就试试！竟然听懂了，太牛了
这个我无师自通
我觉得我懂了！
次课
哇哦
美术生一枚，给别人化妆换脸，自己确画不好自己！哭泣！
芜湖
这个才是真正的干货
这个才真正的在教人
对，我每次夹成90度又给它往下压
谢谢
我就这样夹诶
可是毛发旺盛星人眉毛天生就是这样的啊
学废了
bgm迷魂记好评
我竟然都听懂了
小错误可以理解
收藏大于点赞
明暗五调子。。中间是明暗交界线。。最黑的
素颜真没几个好看的
美术生DNA疯狂抖动
好自然啊
字体或者系统原因↑调用了台湾或者日本字形
灰在黑底下，图错了
《中指》
做美妆研究的就是这些
夹睫毛真的不会疼吗
我一男的看得津津有味
bgm是迷魂计嘛？
干货好多！
收藏也22万了
跟我们美术生画头像素描一摸一样
扯淡
收藏了
妈呀，突然素颜吓到了
刷墙？
美术生！
为什么一定要化妆。化妆只会肤质越来越差。老了就要更多的去遮。何苦呢
呀，BGM是迷魂记啊
男生 啥也不懂 看得津津有味
我用这个睫毛夹夹到过好多次眼皮子
但是、、手好稳、、可以教教怎么让手不抖嘛、、
还要啥粉啊，直接刷阴影就完了
还以为是带土
厉害！！！
小弔子找什么存在感啊 还老爷们 笑死
女的也看呆了
我发现我之前就是那么画的
然后睫毛就无辣～
满满的干货啊
亮面暗面灰面
亮面暗面灰面
好厉害!!!
道理我懂了，可是我的手不会
而且我照着化达不到这么好的效果
美术生emo了
你这没打五大面啊
这真的是我不花钱能听的吗
演点
可是up主有点大小脸
这不是画人物素描吗
啥粉底啊遮瑕力这么强
好牛逼！
一键三连了
卸妆还能看吗…
我一男的也特么看到这了
PS脸部
可是我平时的粉底就是04最黑的色号，没有更黑的了
但是这点东西怕不值得22万
这是啥牌子眉笔，感觉很好用
美术生DNA动了
四舍五入现在省了22万 
人脸素描经验＋10086
bgm是逆袭之星途闪耀！蛋总的歌！！！
bgm是逆袭之星途闪耀 蛋总的歌！！！
同款眉笔耶
从知乎搬运过来的，费老大劲找到小破站的本尊
男的也收藏了哈哈
抛光建议用金刚砂哈哈
明暗交界线
泥水匠看了直呼内行
美术生DNA动了
我的天哪 太神奇了
我的天哪
！！！！！
想当初，我最开始学素描的时候球体是我的噩梦
我TM还以为是教素描的
是素描人像没错了
JOJO荒木线
男的有啥好说的
""
