欢迎军神！！！
一根棍，一个一边
这是在“摔跤”吧
军神
切磋
举起来教练试试
goat
好帅军神
教学
太好了
简直雷谱！雷大谱！
牛逼
不要腰带？
帅啊
哈哈哈哈哈
《情商》你过了
《减退》
军神万岁！！！
哎哟哎哟
潜江人的骄傲
这肌肉也太厉害了
可恶啊，被他喂饱了
格局
没事，金牌在路上了
军神yyds
永远的神
力王
应该是小龙虾 配图错了
热知识：军嫂以前也是举重运动员
毕竟举摔柔是一家
油焖大虾?拿来吧你!
军神的老婆也是举重运动员，我们天津人。
军神算天津姑爷了
他们是打起来了吗？
卧槽
想看军神和小萝卜约练
跳水哈哈哈哈哈哈
这个拥抱像相扑
卧槽
潜江铁子集合
？？？？？？？？？？？
不止蝉联 是三连了
举重入门
哈哈哈哈哈哈
魔鬼的步伐
排面
油焖大虾好热门
拉，就硬拉
神来了！
卧槽
一次可能是我一年的训练量
卧槽
欢迎军神
欢迎欢迎
十几吨的容量
军神的湖北普通话
熟悉的口音，潜江人的骄傲！！
《  减  退  》
系统的训练教学，发力逻辑。运动都是一通百通的
好家伙这不是摔跤
战术口吃
B战全体成员向军神致敬
16年那个比不是打兴奋剂了？赶紧把奖牌补回来啊
军神！
辛苦啦
切磋切磋
牛！！！
不愧是潜江的……
军神
加油加油
你就是冠军
军嫂感觉也好强
牛
欢迎！！
666
哈哈哈哈哈哈
这个a神
措不及防一嘴狗粮
欢迎军神
辛苦了
我看到了什么
哈哈哈哈哈哈哈哈哈
《男子摔跤》
做完别卸片 我做哑铃弯举
吕小军为什么是神
军神应该是三冠王了
十米跳台
军神好
谦虚啦军神，金牌还是你滴，那个人查出兴奋剂了
好啊好啊
巜减退》
牛哇
我哈哈哈哈太牛逼了
欢迎
举高高是抓举还是挺举
那枚金牌要还给你了
哈哈哈哈哈哈哈哈哈哈哈
没事，军神三连冠
太nb
欢迎军神
减退（人类最强）
《轻敌了》
560斤
不是吃药了吗
也蝉联了啊
硬币大大的有
已经是了，而且是三连冠
军神YYDS
a神！
我看你俩是在摔跤
激动的摔起了跤
军哥太牛了
好家伙 好大一口粮
好家伙
没想到（对面磕了药）
哈哈哈哈哈哈哈哈
热知识郭姐在全运会也拿过成绩
军神牛
卧槽
哈哈哈，军神你好会
哈哈哈哈哈哈哈
《把于导拥抱了起来》
16年那个运动员都磕药了，你就是蝉联！
力拔山兮气盖世
16也是冠军！！！
三连冠！
好家伙
不说我还以为你们俩打起来了
卧槽
神来了!
辛苦了
我提前关注啦
《拥抱》
我擦，按吨算…
没有腰带
欢迎欢迎
军神肯定付出了很多努力，敬佩
哈哈哈这个鬼畜想到导师了
欢迎
腹肌像刻上去的
军嫂也是举重运动员哈
坐等军神健身教学
嫂子也好厉害哈哈哈哈哈哈哈哈
对手磕药
军神，快教我！！！！
好好好
举重摔跤双修
可以和杨倩组个队
军神的心之所念
确实上年纪了，很辛苦啊
《一些》
两个小孩举高高是真的过足了瘾
男子摔跤项目
军神A神双神合体！
摔跤戴个杠铃很正常
十米台跳水
训练日常，举重队日常
我也喜欢
没想到对手磕药
卧槽
军神
军神！！！！！！！
三冠王！
递补的金牌啥时候到
油焖大虾
军神动作不标准！一起给军神请个私教吧！（狗头保命）
不愧是我中意的男人
卧槽卧槽
摔跤吗哈哈
握草
太帅了吧这个肌肉
已经证实过了   16的冠军是个药罐子
求核心训练
《摔跤》
卧槽
实际上已经蝉联了，还是三连冠
哈哈
这狗粮我一口闷了
军神等你发视频
潜江五七油焖大虾 湖北名菜
训练视频
把于导举高高
那还是不必了
求生欲爆满
沃日  太帅咯
人类史上最传奇的抓举之一
再来一届呗。
欢迎军神！！！
神来了！！！！！
哇哇哇！
哈哈哈
？？？？您说什么
我觉得不止，军神深蹲硬拉一组差不多就1吨了…
好耶！
不是鸡汤方便面吗
连！
军神！！！！！
结果人家磕药了
两个女儿也太幸福了
《拥抱》
bgm有品位
牛逼！
看到军神第一反应是刘伯承。。。
真男人
突然的求生欲
惊人的求生欲
求训练指导
哇超人啊
军嫂是世锦赛奖牌得主！
哈哈哈哈哈哈哈哈哈哈
这是摔跤吧
我们b站网友人均能举起1.5吨
猛男都喜欢生女儿！
卧槽，牛逼牛逼牛逼牛逼
太强了
高情商
急眼了
牛哇
我看傻了
中国力量！！！！！！！！！！！！！
欢迎欢迎
yysy确实是减退了点，军神16年里约77kg级的时候比赛抓177，那时候真是巅峰
这肌肉我的天
这也太离谱了吧
6666
不敢想
训练视频
跪求bgm
欢迎军神!
军神！
哈哈哈哈 情商高
于杰！
16也是我们的
格局
军神练练我们练核心吧
夫人也是举重运动员哦
摔跤式拥抱
您谦虚
冠军菜
levels！
吨？
三届奥运冠军
我的妈
超级赛亚人
隔离宾馆 条件一般啊
十米跳台哈哈
保命答案
《求 生 欲》
亿些
我在屏幕前不由自主竖了大拇指
看见这么漂亮的家，我就放心了，运动员生活水平提高了
辛苦了!
潜江油焖大虾！
欢迎军神！！！~
神
卧槽，。。。。。。
两个举重运动员哈哈哈哈哈哈哈哈女鹅天天举高高
亿些
震惊了
不是，拿金牌那个被查出来吃药了。
绝世美人
减退：“哇今天这160kg怎么这么轻呢”
减退（破世界纪录）
三连关注
抓举还是挺举(doge)
军神:这跟没顶的一样
我想看军神跳水（
管够
《减退》
军神
这次一定
军神好！
军师
军神谦虚了，16年你就是冠军
高情商
艾！维！奇！的！歌！
有A神果断点赞
wc
军神十米台哈哈哈
呜呜，16年的就是您的！
很快啊 啪的一下我就关注了
牛逼
看军神，必出神话！
十米跳台！
哈哈哈哈哈哈哈哈
好！多做一些技术科普吧！！！
你也跟着帕梅拉做运动？
120开头
格局大了
老乡！！！
湖北省潜江市！
成系统的训练教学视频
军神牛逼！
好幸福哈哈
俩女儿啊哈哈哈
英气逼人，这才是中国人真正的风范
肌肉我想看肌肉
来了来了
不敢不敢
性感
牛逼
切磋不敢，直接切我吧，哈哈哈
多发发训练视频
来油田吃军神
“年轻小伙”其实也已经28岁了，比石智勇还大
军神YYDS
十米跳台
欢迎
嫂子太好看了吧！
哈哈哈哈哈哈哈业务熟练
《满分回答》
抓举还是挺举？
国外粉丝更多哈哈哈
别别别 我怕废了
媳妇退役了  腿有点细
这倒三角
军神 NB
这个抱哈哈哈哈哈哈
军神一定要幸福
军神:媳妇来 我把你也订头上
levels！
以后健身区教程就看军神的了哈哈哈
好耶！！！
老婆还能举啊
我愿称你为最强
那货喝药了，而且举的是个得儿
军神！
辛苦
这次一定
我二十公斤就举不动了
健身爱好者：你不要过来啊！
军哥，给大银机会吧
？
太好了
好耶
《减退》
我大E了，没有闪
军神nb！！！
不是鸡汤泡面吗
欢迎欢迎
欢迎军神！
？
军神nb
《一些》
减退
卧槽
离谱
哈哈哈，太可爱啦
《求 生 欲》
满分答案
最帅的那个男人他来了
军神！
分享下练背的视频吧，你的背肌太牛了
标准答案
《切磋》
健身健美的跟军神没法比
军神老家特产
牛逼
军神
哈哈哈哈
bgm Levels
跳台
400公斤
哈萨克那个不是检测到兴奋剂了嘛
三个一起上吧
比A爽
欢迎军哥
《亿些》
凡尔赛！
一拳能打死我
哈哈哈哈
求生欲
减退？？？？？一下举起400斤，你说减退。
十米跳台
哈哈啊哈哈
欢迎
？？？？？
肺活量的运动是什么？
哈哈。。。自己没感觉，女儿吓坏了。。
军神
Ohhhhhhhh
十米跳台
十米跳台
这咋还急眼了呢？
说十米台的都是魔鬼吧
我减退了不代表你们强了
石智勇蝉联了
路走宽了
占旭刚：？？
占旭刚惊天逆转！！
菌身来啦
那个人吃药了
哈哈哈
挖槽
卧槽！！！
欢迎
军神！
我今天关注你，希望能学到一些专业的东西
军神
军神牛逼！！！
第一人啦，三连冠
举起来，一扔~
你切了我吧
哈哈哈哈哈哈哈
！！！！！！！！
力能扛鼎
《减退》
笑死，根本没抱起来()
辛苦了
哈哈哈哈哈哈
军神！开个直播吧！
那就算了吧
？？？？？？/
哈哈哈
霸气哈哈哈
"普通人一天随随便便就能1,2t的训练量，军神还是牛逼"
欢迎
不敢不敢
举高高：抓举还是挺举？
许愿军神的心之所念
确定不是在打架嘛doge
军神给我冲！
举重变摔跤
乒乓球打马龙
去鹿家门踢馆。。。
能在这个年纪拿下冠军真的不容易
强人锁男
十米跳台
军神一手抓四个都能举起来吧
日常训练↓
湖北人的骄傲
加油
军神！！！欢迎！！
欢迎军神
这斜方肌！
军神
军神
十米跳台的杀人诛心啊
欢迎
嫂子也是举重运动员
哈哈哈哈！卧槽
潜江油焖大虾 哈哈
鬼畜素材
关注军神，训练有力量加成！
杨倩：你也爱吃油焖大虾？
说了“减退”，一定是克服了许多困难才再次夺冠的，大家不要完全想成凡尔赛之辞或者谦辞，要清晰看到运动员的状态，期望过高对于运动员的水平和心态还是会有影响的
你确定是拥抱而不是摔跤？？？
三届了还是
卧槽
把孩子举高高
没想到对方磕药了
这发达的臀腿！
减退，指破纪录
军神
欢迎军神
哈哈哈哈哈哈哈没细算 十几吨吧
对面不是药检呈阳性了吗
他能举十个女儿
想看健身内容
军神太猛了
十米跳台
十米跳台三周半
情商
人过35岁以后就在开始退化了。各方面的机能就不行了。我现在也发现自己开始有这方面的变化了。
哇哦两个女儿诶
军神太牛了
你俩搁这打架呢
福建人顶顶
我也想吃
4
16年那个冠军吃药了吧
自己尝试过力量举的，觉得这些力量举的真的是怪物！可怕的力量！
哈哈可爱
十米跳台
十米跳台
《切磋》
不知道还以为俩人摔跤呢
军神
扭打在一起
560
辛苦了
哈哈哈哈哈
37岁，奥运第三冠，奥运三连冠。军神！
军神的妻子也是举重运动员，属于中国女子举重队
不敢不敢
军神
16已经查出第一磕药了，该补回来了
十米跳台续集
哈哈哈哈哈哈
你们太会了
哈哈哈哈哈哈
幸福
一键三连
好耶
這就已經會了
太辛苦了
哈哈哈哈哈
“军”人
军神！
yyds
军神！！！！
军神，牛逼！
刚入B站，但在站内早已名声在外
力拔山河气盖世
举一举？抓举还是挺举？
。。。。
人类高质量男性！不需要雪花膏
加油！
哈哈哈哈
十米跳台
减退？？？？
军神
加油呀军哥！
两个人都想抱起对方
其实你是三连冠
减退
你这哪是拥抱啊，你是要摔跤
欢迎，我也要行动起来，积极锻炼身体！
欢迎欢迎
好的
军神
平衡木
？？
军神！
欢迎军神
哈哈
对面兴奋剂
欢迎欢迎欢迎欢迎欢迎欢迎欢迎欢迎欢迎欢迎欢迎欢迎
没想到这个b吃了药
三连冠  ！！！
十米跳台
能不能把苏神也叫来b站doge
冠军必备，油焖大虾
热烈欢迎您！
鬼畜区出来干活！
太开心了吧！
撒狗粮撒狗粮
核心
绝世美人
把老婆背起来都没问题
帅 军神帅
这明显就是在读稿子了！！！
军神
和我同岁的军神
军神不容易啊太棒了！
欢迎军神
280公斤！
跳水
卧槽
卧槽！
十米跳台
兴奋剂达到这样的水平
不容易啊！
？
高情商
哇
迟早事你的
军神：你们娘三一起举
十米跳台
卧槽
想学健身
高情商
欢迎欢迎
卧槽，这腰力
军神军神！
卧槽
这次一定
求生欲
hahahahha拥抱还是摔跤
帅帅帅！！！
那人磕兴奋剂了 冠军还是军神
NB
军神出征
欢迎军神
噗
恭喜军神蝉联三届冠军
两个神
拥抱 （摔跤跤）
油焖大虾图片不对
别切磋啊，你这属于炸鱼塘不是？
十几吨绝对说少了 你们自己算一下就知道
十米跳台
欢迎
经典油焖大虾
不了不了
@短腿小萝卜
情商
@鹿晨辉
咳咳咳咳咳咳
欢迎
nbnbnb
十米跳台
想看小萝卜约练军神
十米跳台
那哥们金要没了吧
军神yyds
？
中国的骄傲
背阔肌！
这…………………………
不知道的还以为是摔跤决赛
《求生欲》
大意了，没想到对方磕药了
哈哈哈哈
哇。   
沃日
吓尿
军神！！！！！！！！！
前面的说话不腰疼，再来一届太辛苦了
牛逼
对手磕药了
这都是用吨来算得吗
十米跳台
奥运会保留节目  男子摔跤
16年的冠军磕药了
于谦的父亲王老爷子
帅的一！
。。。。。
期待！
马上三连
把媳妇加上也能举高高
别的男人领子立起来是油腻，你是可爱
杨倩：油焖大虾？同道中人
肌肉肌肉！
肌肉军神（doge）
《满满的求生欲》
欢迎
十米跳台
我教练
大意了，他居然开挂
欢迎大佬！！
哈哈哈哈哈哈哈哈哈哈哈哈
这都以吨为计量单位了？！！！
我两个币就是来看你撒狗粮的？（doge）
厉害厉害
高情商
Yyds 
杨倩：我也想
军神
十米跳台
卧槽
欢迎
WOCAO
被秀了
来感受一下b站粉丝的热情吧！
牛逼
军神yyds！
军神
入乡随俗
想看裸体
满分
起立！
单手举地球
A神与军神！
单手举地球
哈哈哈哈
粮来的猝不及防
中国的奥运健儿！
军身牛逼
nb
卧槽
十米跳台
哈哈哈
十米跳台！！！
牛逼
十米台
在?怎样练成奥运冠军的身材
帅
想看十米跳台！跳板也可以！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
???
女儿被你说得跟杠铃似的
好好好
潜江人前来报到
十米跳台
军神
卧槽卧槽
欢迎欢迎
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
！
哈哈哈哈哈哈哈哈哈哈
军神
姿势不对啊
说凡尔赛的别学到个新词到处刷
＼军神／＼军神／＼军神／＼军神／
哈萨不是吃药了吗，药哥
军神
军神
欢迎
YYDS
这才是我们该崇拜的哥哥，而不是那堆流量奶油人妖
levels
《在 减 退》
占神也是牛
这些年训练是怎么保养嗓子的
别下一次一定了
军神的心之所念
自律的人每天24点举着房子跑500km
十米跳台
这是什么词，我有电迷糊
减退……
高情商
老婆都能举高高
这么说来还得感谢这个药王
哈哈哈哈哈哈哈哈哈哈哈
十米跳台
卧槽
想看训练
军神好！
摔跤名场面
神！
哈哈哈
《凡尔赛之减退》
太强了……
想要军神举我
从统治变减退成了稳赢
卧槽
年纪越大越帅，真过分
偶像，军神yyds
我去
《举重吧！爸爸》
好耶
下次一定
好好好 太棒啦
也就？？？？
专业
是想把教练举起来吧
四十岁再来一块金牌……完美
哈哈哈哈哈哈哈太强了
十米跳台
别了别了 我怕死
感觉变帅了
好夸张的背阔肌
去虐萝卜！！！！！
还练啊，不放过自己
举高高：军神：女儿你是要指抓举还是挺举？
求生欲
军神！！！
？？？？？
军神A神！我都爱！
训练日常 
军神
花样游泳，体操
需要亿些爆发力
我的个乖乖
十米跳台
十米跳台
嘎，嘎子？
Nb
高情商
Nb
跳水！
求生欲极强
没事，那货吃药了，冠军就是你的
跳水
卧槽
？？？
就说补的那个金牌啥时候到吧。
辛苦了
犹豫了
军神来点干货
不说了，我馋他！
巅峰
军神！
十米跳台
可能我一辈子都没有到10t吧
健身教程
举柔摔一场比赛全走了
冠军们对虾的执着
爱你
减退，然后又拿了冠军
卧槽
加油
一些
不一样的地方是等级，举重属于力量界顶级运动了
加油
酸了
容量就是这样算的
军神
十米跳台
再来五个(狗头)
牛逼
酸了
潜江普通话 可太对味了 还好
军神的心之所念
辛苦了
……
强人锁男
吓尿了
牛逼
这个油焖大虾是潜江的油焖大虾
离谱
恐怖啊军神
大佬牛批
十米台
军神你好
安排
军神
我一个挺举
军神
军神
？？？？、
哈哈哈哈哈十米跳台
军神，永远尊敬你，向你致敬！！！！！！了不起的中华男儿！！！！
十米跳台
欢迎
排面
军神
欢迎
卧槽
平衡木
减退
求生欲溢出
一些
那人磕了药的
全体起立
十米跳台
欢迎军神
抱就抱，你俩互相下绊子干啥哈哈哈哈哈哈
恭候军神！
减退？？？？
真扛起一个家
哎呦卧槽？
这就是摔跤选手吕小军吗？
帅爆镜
高情商
哈哈哈
军神
你俩不是摔跤么
还能这样玩？
《拥抱》
哇塞
哈哈哈哈哈哈
快40的人了
啊?????
等你哟
军神湖北潜江人
能扛起全家的男人
你俩这不是摔跤？
肌肉掉完了(狗头)
◢ ◤
军神！！！
想看训练
560斤什么概念啊我的天
十米跳台
亿些
军神！！
增强力量的训练方法
？？？
情商
高情商
军神
狗粮走一波
军神金牌是你滴，军神三冠王稳稳的！
卧槽
ohhhhhhh
不慌，对手用药，递补金牌要来了三连冠
欢迎欢迎
16年迟早是你的
牛批
隔离房间太破了，墙纸都烂了
卧推一吨
A神
卧槽卧槽卧槽
腰背腿训练
牌面
也要注意安全
硬拉突破
嫂子那深蹲不标准啊，军哥也不教一教
背肌  训练
要打起来了
占旭刚更是位重量级
《巅峰》
军神
我大意了啊，没有闪（无恶意哈）
难道不是泡面吗(doge)
占迅刚是真的王者
400斤
军神牛逼
军神nbbb！
抓举还是挺举？
腹肌
刷求生欲的格局小了嗷，人家就正常夸奖
没想到对手都不敢正面对抗
三连冠了已经
就是蝉联
明显师徒二人想表演摔跤的
不愧是军神！厉害！
军神发的都想看。嘿嘿
一个挺举 一个抓举？
请多多分享
军神
减退？
卧槽
三连走一波
奥运冠军都爱老婆
卧槽，军！
哈哈哈好有爱
十米跳台
按吨算好家伙
帅！
卡车是吧
入门教学视频
我去 这重量 视觉上都可怕
力拔山兮气盖世
十米跳台
？？？、
哈哈哈哈哈哈哈哈哈哈
欢迎军神
十米跳台
《减退》
军神可以举我吗？
哈哈哈哈哈哈哈
十米台
高情商
军神排面
全家都不够一个人抗的
《减退》
吕冠军
虾：怎么都和我杠上了。
一人练，全场没片
？
再用力点于导就没了
我直接一个关注
????
老乡嘿嘿
吨
健身教程求求了！！
哥，讲点狂话，什么场面你没见过？！
十米跳台过分了
军神
来羡慕一下
像是打架，哈哈哈
冷冷的狗粮在脸上胡乱的拍
鬼，三，懂
军神我爱你
十米跳台
十米跳台
军神
太厉害了！
大佬讲的肯定听啊
潜江老乡，油焖大虾放错图了
请问普通健身者需要练大重量硬拉吗？
十米跳台
拿了
卧槽十几吨，这要是去搬砖不是发财了
军神
军神一只手能把我甩飞
这什么语音啊。，。。
十米跳台！！
腹肌开瓶盖！
我也想举高高
一根手指头的事
背夹a4纸
生物技术达到了这样一个水平
天生神力占大叔
致敬
感觉你要摔他
羡慕嫂子
乒乓球
亲切的湖北话
高情商
好
军神！！！！
军神！
卧槽
热烈欢迎
十米跳台
《神之减退》
一些
占旭刚我衢州开化老乡
大意了，居然开挂
没有想到对手居然磕药
>?>?????
就这？
为什么能保持这么低体脂还有这么大力量呢
军神
军神
骑在最强人家的身上
十几吨少了吧
十米跳台
yyds
油焖大虾永远的神
高情商不用跪搓衣板
哈哈哈哈哈哈哈哈
宁上辈子是卡车吧doge
我去？
这也太牛逼啦
卧槽
力拔山兮气盖世
满分回答
这就学起来
军神是湖北潜江人
牛逼
军神
军神牛逼！
军神
牛逼！！
军神yyds
连续三金
按吨算啊？
哥！
强者的世界啊
没想到他竟然开挂并买通关系了
太费铁了
十米跳台
军神的心之所念
哈哈真的像打架，好怕教练会被倒
那可是千“斤”啊
全体起立
各位想要举高高的可以找PU主
卧槽。
哈哈哈
牛！！
太帅了
中间与右边的差不多一致了
哈哈哈哈哈好家伙
辛苦了
卧槽
摔跤是吧
膜拜大佬
十米跳台
？？？？
军神
高兴的摔跤？
十米跳台！
+
卧槽
高情商
松手，松手，松手啊你！
厚度
跳水
现场摔跤
秒进！先关注在看视频
军神
一家人都好厉害
国外四百万播放  兄弟们怎么说    咱们还能比国外差么
挖槽
方头大脸
最强岳父哈哈哈哈
神
欢迎欢迎
太厉害了，先点赞投币再看
你们不会是接了油焖大虾的代言吧 哈哈
好好好
卧槽
抱女儿跟抱教练有点类似哈哈哈哈
一米跳台
b站可都是一群损友哦一定非常开心哈哈哈哈
欢迎
十米跳台
教练也被举高高了
哈哈哈哈哈哈哈哈哈哈
老辈占神
我就没见过身材这么好的举重运动员
求生欲极强
再来一届的。。哎很蓝的啦
拜见军神
哈哈哈哈十几吨刚开始我都没听明白
哈哈哈哈哈都想把对方抱起来
emmm
好家伙
好家伙嫂子也是啊
措不及防
举高高!
军神
发一个维持训练的视频，比如核心和心肺，最好是无器械的
军神
哈哈哈哈
三连冠历史第一人
粉丝破十万了  给力
十米跳台
怎么跟摔跤一样
求生欲
本来还想说，但是这该死的求生欲
啊
知识点：16里约举重冠军可能服用兴奋剂，所以有望追回
击剑
100米跳台
很man
军神！！！！！！！！！！
溜了溜了 不敢不敢
闺女：爸爸是世界上最壮的。没毛病
军神来了，这不就成健身区的天花板了……
欢迎
还真一点不夸张
亿些
哈哈哈哈这俩闺女乐得
军神老婆也是举重运动员
军神
军神GOAT
好看的
自我鬼畜……
军神！
我可太喜欢看您训练的视频了！请务必多发亿点！
16年冠军吃药了
