欢迎鸭 激动
蛋蛋一凉
刷到了什么？？？！！！
我有剪过你的混剪！
尼古拉斯凯奇
我科！！！！！
她好好看啊！！！！
卧槽？！
啊啊啊啊
爱你
我去 真来b站了？
公鸡大鱼怪
欢迎欢迎
welcome
吸血鬼认识的
我女神
love you
啊啊啊啊啊啊
？？？？？？？？？？
"wow, excited!"
女神
6666666
还不赶紧出第三部
哈哈格叽格叽干杯
戴夫呢
wow!!!
我惊了，女神啊！！！！！！
我好喜欢
嗯
女神
魔女嘉莉啊
电影 ite me in  认识她的
炫酷
卧槽
略略略
6666
Welcome 
？？？？？？
这声性感bilibili
"hey,why are you here?"
omg
好喜欢她！！！
love u
我恨自己不是贝克汉姆得儿子
Holle
美！！！！！！！！！！！！！
我可以!!!
啊啊啊啊啊啊妈呀！！简直喜出望外！
111
眼睛小了
海扁王
弹幕真是bullet scream吗，不是机翻
！？
love you
love you soooooooo much
卧槽女神
小贝儿媳妇
Chloe！
啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊我的妈呀！！！我死了！！！！
awsl
哦吼
海扁球
awesome
Awesome
双截棍，孙某人想和你比划比划
我老婆来了
111111111111111111111111111111111111111111
好想截图当我的手机屏幕啊
啊啊啊啊科洛
必须关注啊
上来就打蛋蛋
好美啊
我的天啊他好漂亮
awsl￼
女神
wow
真好
生人勿近！！！
哇塞
卧槽……
最喜欢他们的就是这个性格啊！！好可爱
nice to have you here
小时候真帅
？？？？？
love u babe
决战吧！！！！！！这个是我老婆！！！！！！！！！！
笔芯
合影
爱你
声音好苏
kick ass
卧槽
B站真实越来越国际化了
牛啤酒熬
我的发科
海扁王的时候真的漂亮……
OMG
哇哇哇
真特么漂漂
I LOVE  YOU
短短几小时就十万粉了，厉害厉害
你就是公鸡大鱼怪？
爱你
5小时9.9万粉丝，我看你们但是住在毕站啊！
卧槽 好看 果断关注
合影
可爱
长大了
好美！！！
Godness
海扁王我看了五遍啊！！！女神！！！
wat
咋回事小老妹
o 买噶
声音好听啊
amazing hair
童年啊啊啊啊啊啊啊啊啊啊
真盲打
啊啊啊啊啊啊啊啊啊啊啊啊啊啊  
beautiful girl
最美的女孩
女神！
很厉害，英文说得真6，佩服
l love you！！！！
老婆
！！！
粉了粉了
女神我爱你啊啊啊啊啊啊啊啊啊啊啊啊啊！！！
啊啊啊啊啊啊啊啊啊啊啊
我的马鸭！！！！！
爱你
主播主播，什么是超杀啊？
爱你
果然毛妹本体 变了
I love you so much
I love you so much
omg！看过你超多的戏 生人勿近！！！
I love you so much
我的天！竟然在B站见到了科洛！
哇哦(・◇・)
哇
金龟子你好啊
谁做的中国推广啊 好厉害
什么是超杀
公鸡大鱼怪的血量
天啊啊啊啊啊啊啊啊
嘟嘟嘴，好可爱。
好漂亮
她有段时间胖的吓人哈哈哈
，
这是赫敏吗？
哇哇哇
来了
diekgirl
kick ass！！！
女神！！！！！！！！！！！！！！
love u
哇！！！！！！
will you come to China？
美国杨幂
老婆！！！
爱你，爱你
好看，可爱
Omg
能有幸看到女友出场吗？
！！！！！！！！
素质三连走起
哈哈
女神！
瘦了
有大佬知道她懂中文不？
秀
love you
哇
老婆老婆陪老婆
！！！！！！！！
Hitgirl！
啊啊啊啊啊啊啊啊！！！！！！
卧槽卧槽卧槽卧槽
love you
Love you!!
卧槽卧槽卧槽卧槽
颜值回来了？
有幸与你在同一时期一起长大
我的天！
然而我是看卡梅伦错误教育认识的
Jesus! 
hitgirl
so beautiful
厉害了
can't wait to see your next video!!!
真女神
666
666
雨果
哈哈哈
中文能看懂吗？
超杀女卧槽
啦啦啦
沃草！！！女神！！！！love you so much 
现在作品不多啊
you're incredible
啊啊啊啊啊我老婆
OMG
这破站账号升值了
海扁王1超级好看
什么鬼
老婆你怎么会在这。。。
我喜欢看好莱坞电影就是因为她。。。。
WELCOME！
老婆
Elina
哇哦～
我来了
喜欢Chloe了快十年
法令纹瞩目
so we may speak english
666
我有一个大胆的想法
?!
公鸡大鱼怪女!
居然瘦了
一晚上12粉丝！！！！！
小姐姐真好看
老婆大人！！
啊啊啊啊
血色入侵美版
啊啊啊啊啊啊
啊 哈哈哈
一大早就碰见这么令人激动的事情！
公鸡大鱼怪就是超杀
小可爱
666666
还演过   阴风阵阵
hi~gays
必定关注
OMG
Cute
超沙批
女巫嘉莉
wow
女神
哈哈，从艾玛哪来的
郑爽吧
6666666
6666666
我科美如画
6666
公鸡大鱼怪
就声音还能听出来
昨天晚上才一万多粉丝，今天就十几万了，厉害
我不管，我就喜欢
woc！！！！！！！！！！！！！！！！
爱了爱了
我将展示我毕生所学
瘦下来了？
个子没长
I love you
战术攻鸡
老婆来了
6666
啊太酷了叭！
捕捉
oh my godis here。
女神。女神
公鸡大鱼怪
6666666666
欢迎
我天！声音好好听！！！好听到哭
好可爱呀
超杀真的是初恋啊啊啊
啊啊啊啊啊啊啊啊超杀女！！！
"how are you ?fine,thank you,and you"
你又不会中文…
现在已经13万了
我的天呐
66666
为什么？我都结婚了你才来？为什么？！
哔哩哔哩干杯
什么是超杀啊？
我科终于来了
乡下人我也看啦
不不不，我是在你用双刀时候认识的
I wonder if you can read Chinese message 
蝴蝶刀
If i stay
哇！！激动！！女神来了！！
声音好甜啊！
老婆！！！！！！
女神
AAAAAAAAAAAAAAA
啊啊啊啊啊啊啊啊啊啊啊啊啊啊
欢迎欢迎
瘦了+1
什么是超杀
haoxi
我要抽搐
你爸爸又离婚了
欢迎欢迎
跟小贝儿子分了没?
这是我老婆
超杀，伤害溢出获得额外效果
kick ass会有第三部嘛
女神啊
隔着屏幕都疼。。？
hugo
什么是国际巨星
啊啊啊啊啊啊啊啊
应该减肥了～
awsl
love you
原来弹幕叫bullet screen！
超帅啊
李小龙
女神啊！
你还是那个嘉丽怀特
爱里
我的女神٩(๑òωó๑)۶
啊啊啊啊啊我的童年女神（现在也是[害羞]
啊啊啊啊啊啊啊啊
哇！！！！
哇   
6666
干杯！
超杀就是公鸡大鱼怪
么么么么么么么
科洛越来越好看了
王子文，王子文
不胖什么都好说
哇！
爱你啊
666
卧槽
cute
我看过！
人生中第一个女神！！
啊啊啊啊啊啊我疯了
老婆，你咋跑这来了，赶紧跟我回家呀
啊！小时候美的一必
a 我死了~
OMFG
❤️
魔女嘉莉超漂亮！！！
So beautiful！
好可爱啊！
瘦了
hi~gays
魔女？
看海扁王的时候特别喜欢她
他跟我同岁，
厉害厉害
关注关注！！！
我的妈还是这么软555
发量好
我爱你
超杀 召唤一只5-5的魔暴龙
啊啊啊，超杀女！！
ohhhhhhhhhhhh！
awsl
不，是雨果
凯奇老大呢…
女神来了！！！
女神来了！！！
你肯定读不过来
welcome to BILIBILI！
奈斯
I love you!
超杀就是你的攻击大于敌人血量（滑稽）
老婆你声音好好听！
哇！女神！我可以！
眼睛真好看。
@蔡徐坤
hello
宝贝我来了！！！
公鸡大鱼怪的血量就是超杀
来来来来来来
更早前
越长越漂亮了啊。
啊啊啊啊啊啊啊啊啊Chloe我爱你啊啊啊啊啊啊啊！！！！！
Chloe！！！！！！！！
I love you！！！！！！！！！
hello
美女你好！
瘦了太棒了
女神！！！
话说你来站干嘛
❤️U
啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！！！！！
科科！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！！！！！！！！！
牛皮的样子
1
嗨喽
女神啊
哇，女神
啊啊啊啊啊啊啊
加油！
公鸡大鱼怪！
oh my god，i love u
这是美音啊前面的
美美美
现在是如此的----雄！壮！
海扁王！
奥妹
奥妹
哦耶
超爱你小科awsl
oh 期待已久
好漂亮 可以带女票一起出镜吗 哈哈
卧槽
羡慕这样的嘴唇啊啊啊啊啊啊啊！
又瘦回来了
hhh
天啊
瘦了
我没有看错吧
一视频17万粉，帅气！
啊啊啊啊！
啊啊啊啊啊
bia哩bia哩
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
Welcome
哦豁
哇！
我爱你！
好美好美啊
嗷嗷嗷
长得太像我们高中的英语老师了
一天100万播放量左右
awsl
小美人～～～～～!!!!
Love u
蝴蝶刀！！
emmmmmm长残了，稍微
女神！我lp
e
啊啊啊啊啊啊啊
克洛我爱你啊
宝贝我爱你！！！！！！
好喜欢你
beautiful mouth
完了我弯了
我要双截棍
Love U
西卡
老婆好
welcome！！！！
I love you！！！！!
外国杨幂？
老婆？？？你在这里干嘛，快跟我回去
魔女嘉丽
老婆你来辣
胖子你来啦？
爱你哟！！！
没看过……
女神，爱你
Hit girl
太美了！
emmm谁？
你看的懂吗
Biu li biu li
我记得她长残了呀，怎么还这么好看
啊啊啊啊！！小科！！！！
you are so beautiful
welcome to bilibili
江油酬酢人疲懈
You’re so gorgeous! Love u!
You’re so gorgeous! love u!!
真好看
卧槽
？？？
哇~~~~~~~！！！！！！！！！！！！！！！
惊了!!!啊我好爱你啊!!!
❤❤❤❤
减肥了？
804人？？？
什么是超杀
大爱！你可知道为了你，我看了多少遍海扁王
女神
海扁王呢？
cool
见 证 历 史
对我来说真的是活久见啊……欢迎小仙女~
妈耶！！！！
我找到了什么宝贝
哇哇哇
女神
？？？？！！！！！
luv u so much！！
hi。。。。。
女特工里边的那个特工嘛
我爱你
呀啊啊啊啊
我的天，歪果仁都来b站了
喜欢她
啊啊啊女神！
生人勿进！！！！！
伸冤人炒鸡好看！！！！！！！
想
好好看
英语听力来袭
~~
蝴蝶刀
！！！！
糟了，是心动的感觉
胖
！！！！
不知道为什么看她有点像轩墨
啊啊啊啊越来越漂亮了
我在现场！！！！
哔哩哔哩，肛败
hi！
太美了吧！
mua
_(:з」∠)_
我老婆
excited !!!!
公鸡大鱼怪的血量就是超杀
女神啊
can u speak zhongwen？
当时就在现场
当时就在现场
魔女莉莉
you are gorgeous
我的女神
还看过魔女嘉莉
女神啊
她拿鼻孔瞪我
。。。。
女神女神女神
这不是我老婆吗
承包舔嘴
哇哇哇！！！！！
女神！！！！！！！啊啊啊啊啊啊啊啊啊啊啊啊啊啊
留名！
海扁王吗
ops
love you~loveyou ~loveyou❤
我来了
啊哈？
好帅
喔！
卧槽
给我康康
好帅好美呀！～
啊啊啊啊我来了
刚看完海扁王两部，更爱了女神
来啦
love you٩(๑òωó๑)۶
长得好看声音又好听 简直完美
怎么就一个，快更啊
见证历史
啊啊啊啊啊啊啊啊啊啊啊！！
666
woooo!!
主播，什么是超杀啊
So hot and so cool
啊啊啊啊啊啊我要见证历史!!!!!!!
哟 这小姑娘懂中文？？？
啊啊啊
这声音好听好听的
你们懂 ➟  ⅵ×¡　•　čf我来了！
啊啊啊啊啊
好可爱
觉得她声音很性感
aaaaaaaaaaaaa
其实你可以
见证历史
B站欢迎你 欢迎欢迎
老婆
。。。。。。。
我认识你是从雨果和第五波啊啊啊
老婆我来啦(๑•ั็ω•็ั๑)
历史
疯狂吸粉
那我就是亡语男喽
嗨，我是爱写日记的小屁孩
蝴蝶刀可以吗
bilibili要逆天啊
漂亮。。。
承包我女神
承包我女神
好漂亮呜呜呜
好漂亮呜呜呜
我是从魔女嘉丽
美
妈耶好漂亮呀
"Omg, look what i found. Welcome to bilibili."
oh my god 我刷到了什么
等你好久了
不，这不是我要的瑞兹，我要的是蓝紫色的光头
声音好好听
干杯
嘿！欢迎你！
我来了！！！
女神啊，啊啊啊啊啊啊
老婆我爱你
hi，gays
爱你么么哒
我好喜欢她啊  我就海扁王上从此爱上她  爱死了
啊啊啊
超杀女电影的击杀部分看了好多遍，那时候刚刚初一。。。
小姐姐加油啊！！！
难以置信啊
美～～
女神啊！ 下一个 斯嘉丽约翰逊
杜卡迪认识的你啊啊啊
so pretty！
雨果！
我的妈！！
我喜欢这张嘴
激动啊激动\(≧▽≦)/
你们不要对我老婆YY了
我就是为了她才开始学蝴蝶刀的！
女神
超杀女
好玩的东东
雨果里面的女主？
别说了  我爱你
啊啊啊
有点像洛基呀
这是2了 第一部小孩更反差萌
声音好好听啊
这就是让全世界的男人等长大的少女啊
awsl
啊啊啊啊刚刚看了魔女嘉莉，演技太棒了
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
？？？？
魔女嘉莉
啊啊啊啊！！！见证历史
老婆你来啦
童年女神
+1
我是从魔女嘉莉上认识的
不，我是从《生人勿进》认识你的
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
棒棒棒！！！！！！！！！god！！！！！！！！！
是的
小屁孩日记认识的
Welcome!!!
声音好好听
超杀女！！！
哇哦！超杀女！
hello
已经分手了
老婆！
猫和老鼠来的
很黄很暴力
有点像杨幂
今天才知道
嘴巴是大了点，不过吧，挡不住长得好啊
""
