这肝疼的bgm
因为方舟属于架空但不脱离现实的存在吧，挺有意思
额，英国皇家空勤队?
飙是品牌名
《女 性》
船长，黑珍珠号已经准备好启航了
这个...这个皮肤好是好在背景吧？
好小子真有你的
好小子，真有你的！
其实工业用松紧带就是高对比度的带子。只是他们把它用在了时装上
因为举枪时枪管会碰到帽子
这是索降带
这种束带还要看上半身怎么配了，可以在腋下配手枪套，或者一些其他的刀之类的冷兵器（弹药袋反倒不需要这么装）
确实，西方葬礼连伞都是黑色的
笑死
阿尔诺芬尼夫妇像
好耶！是平圆方中！！！
为啥要致敬英国胖子
芜湖 平圆方中
西装区扛把子来了！
平圆方中！！！
双厨狂喜
可能是变温材料?(毕竟那边的科技差离谱)
好专业
太对了
肯定不是啦谁探险还穿裙子
这个我当了好久的看板娘
姑妈姑妈姑妈
讲究 确实是皇家紫的设计主题
本来也没多高（）
美丽的姑妈！
紫袍，皇帝的裹尸布
原来帝政是这个概念
国美的主创团队，可不是什么三流美术工作室
巴宝莉好像有什么黑料
哈哈哈哈哈正好美见老师的人体画风会突出大腿上的肉（我超喜欢）
上面的你够了
这皮肤啥时候出的我咋没印象呜呜
up今天的眉毛好奇怪
哈哈哈哈
你说是吧，幻想黑兔？
off white
这个不是叫幽谷奏鸣吗
还真有啧啧啧
姑母单推人
三个火枪手！
泳装上也这么说（）
猎空
参考丝袜，高跟鞋
艾吉奥奥迪托雷！
老太太
专业，专业，还是tmd专业！
好耶
老太太，哈哈哈
弹药：指用拳打人
侧脸像林更新
刺客信条triple kill
ezio！
黑的厚礼表示不屑
但是显孕
傀影肉鸽满目乳法
决胜服（）
唯:对
好美
不愧是你！
突然发现暴雨的大腿那里有点透视
早露杰作不就是帝政裙吗
拿破仑：是啊是啊
这里仅仅讲解衣服，并不讨论角色本身性别希望上面的弹幕搞清楚
二次元是这样的
这个就叫专业
《好像是位女性》
版权费给了没（）
专业
杀了他，巴萨卡！
然并卵
扣起来也不好看吧
枭雄可还行
男装 好像是位女性？？？？
意义不明
别问，问就是致敬
好耶
虽然但是在二次分区里他这么一分析感觉专业又生草www
确实是高卢地区的吧
傀影本来就参考的是歌剧魅影，魅影故事背景就是巴黎歌剧院
我甚至觉得这外面是一层雨衣
确实
快进到一拾山，立绘和实物差距不大，但是穿上去并不是很理想
她，她是谁？（警觉）
老太太
雅各布
ultra violet?合起来是极暴力居然，好有意思
可是，她是个拳卫啊
姑妈还很年轻，叫女生也行
方舟设计师：你说的对，但它好看
决斗的人
“一个”
6000+人出来吧
啊？手榴弹？
瘦成一米八的感觉
老色鬼E叔！
上流设会的语调
皮裤放屁会鼓包吗
？？？一个？
哈哈哈哈
《好像》
总结皮裤（腿精的主场秀）
高定
干员id有些事姓名有些是代号
姑妈!
看进度条，姑妈和蒂蒂咋恁长
a字裙or伞裙
the  little  black dress  一首很好听的歌
凉鞋
架空的看股过太多了审美疲劳，舟游这种偏写实的时尚风挺对我胃口的
好家伙一模一样
后面的图是查拉图斯特拉如是说的封面
傀影的剧团好像跟高卢有点关系来着（肉鸽里面有很多高卢有关的元素）
能不能顺便分析下左手的衣服
泰拉人的体质比普通人类强很多
确实
基佬紫？
罗德岛科技，你值得拥有
@邓紫棋
烟中恶龟 法兰西剑圣 亚诺
母老虎不服气
刺客信条吗？
这可是礼服
这应该是山的皮肤（doge）
背后那副画，6666
《铁T衣橱》
《女生》
off两眼一亮
特 种 作 战
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
感觉应该是索降用的？看职业的话
丰满（高情商）
哪个人画画不找参考呢？
语调确实很上流
《老太太
学原画的时候老师第一个教的就是学会参考(･･;)
高情商
有道理
问题角真的做了服装品牌
又是你，路易十四！
双厨狂喜
加大力度 粥厨狂喜
老太太(警觉)
傀影的家乡在法国。后来没了（x）
这个小人特别好看，我特后悔没买
幽谷奏鸣
魔幻一点
那我不天天在他面前扣扣子
拳皇的弹药
汪峰邓紫棋大怒
前面俩女的都不是美，。。
香奈儿的一个爱人，那她有多少个啊
舟游设定挺现代化的，而且服装款式也便写实，奇幻类型的少了去了
画师：那我参考什么？？
达达尼昂帽
艾叔年轻时
神奇的联动增加了！！！
有点y2k的感觉？
（移开视线）可是yj就是想要创造一个真实的世界
生于紫室
朝陇山
确实是克莱布拉松
拉 普 兰 袍
的 一 个
还是那个时尚教父 吗
我理解是可以勒住裤子，行动能更加便捷
12点还有7000＋，你们不睡觉吗
？梦幻联动
卧槽石棉盾这么大？？
这不就是飙车的飙吗
意义不明的带子✓
傀影就是法国人
高水平
哇塞！好讲究啊
9费（doge）
没有做早露那套太可惜了！
老太太2333
丝袜最早也是给男士用的
帅爆
老太太
拜占庭紫（
我也扣不上
这个带子是伞兵固定降落伞用的，包括飞行员都会用这个
不是应该显出来么？
评 原 方 中
飙是服装的系列的名字，不是这一套的名字
女性在社会里面有一定地位时是会被称作sir的 
三个火枪手
姑妈！
拜占庭
细啊
小羽毛球
说的很对
然而并没有 只是方舟传统意义不明的带子
方舟想塑造一个较完善的世界观，不找参考那可太难了
垂降用的 我经常玩这些一看DNA就动了 
打穿古堡挖出来的高定戏服（（
Jyp的姐妹笑死我了hhhhhhhh
象腿小人绷不住了
冲着好看，当时就冲了！
美见yyds
暴雨!
哈哈哈哈
反向致敬
应该就是参考歌剧魅影的戏服的吧
好多刺客信条的素材
《好像》
二次元无论高矮，身体比例都是完美的（
傀猫猫快来和我击剑
高情商：丰满 低情商：肥
他情商真的很高
听成大碧兜了……
好耶！在以前视频里听过好多次这个点我都会背了（？）
一本正经的正直
主题是我们的鹰角好像确实进军了服装业
打拳干员为什么要带弹药啊（恼
富婆姑妈
@汪峰
有很多和品牌联名的服装啊
不不不我腿长
我觉得这就是明日方舟在认真做游戏的点
生于紫室（
这不上万圣节皮肤?
但是方舟的背景就是现代的啊
确实很努力的在说了
确实是法国
没玩过游戏，说话留一线，讲个可能是，有什么问题？
jyp不是透明塑料裤吗
《传说》=品牌营销
勃艮第紫）
因为设计衣服也是有门槛的，很多画手只能现实品牌参考
不是哪一任国王吗
lo娘要素察觉
老婆好帅
老公老公
《现代男装》
高质量男性
哈哈哈
毕竟不是专业服装设计师
姑妈是因为腿受伤了吧，游戏设定
棉棉！
看看紫菜的？
e叔
鞋子上这是未拆的标扣吗……
但是人家是黑帮/
老公！！
而且皮裤放屁会憋起来，脱裤子贼臭
好专业
可维多利亚不是游戏里的国家名吗。。。
亚诺？
鹰角:可我们确实在做衣服
艾吉奥！
蒂蒂收尾[doge]
哈哈哈哈哈
马娘的决胜服
别问，问就是源石技艺（手动狗头）
傀影
老公
violet是靛色 不是暴力
对对对
难道不是给猫耳留位置嘛hhhh
像是索降用的
确实（
《女生》
这三套真的很漂亮…
街歪劈我真的会笑死……
以及意义不明的皮带
飙是服装系列名称啦。。
哈哈哈哈
对就是这感觉！荣耀）
哈哈哈哈
高情商:丰满
高卢雀食就是法国
老 太 太
嘶哈嘶哈
老色鬼
可是他真的打算做出来
就是丫丁喜欢的意义不明的带子哈哈哈
克莱不拉松确实是高卢旧地
哈哈哈哈重温知识点
双厨狂喜
老太太
但是角真的想把它们做出来
高情商：丰满
哈哈哈哈女生表示赞同
没有啊，没玩过游戏的观众也可以学到很多
好喜欢这件！要不是她嘴臭我就天天放看板
关键是参考了容易收到律师函吧hh
八神庵
不是说不能参考，而是最好不要把某个品牌非常明显的特征照搬进游戏吧
戏服不太可能一下出来吧
细节
学到了！
因为这胖子是国王
懂了，全员恶人
别问问就是高科技面料
猫猫！！！
不愧是博士
他们真的做了…………
还真是法国
喜欢帝政裙，就是现在好少而且穿不好像睡衣
好好看啊这条
coser:恨不得能有拆分图
不光看身高，还看比例，比如腿长占比
是因为泰拉人体质好吧应该
是罗马，罗马！
感觉要再做设计太难了，这是额外的价格.jpg
不能做出来让cos怎么办？
up说的很好呀～
罗马紫
我记得lo裙有个分类就是帝政裙吧
虽然很好看，但是我更喜欢他的精二造型
是想做出真实性吧
skade！永远滴神！
顶胯
偏戏服
决斗的人! 贼好看!
“一个爱人”
女帅哥怎么了
《一个》
感觉up长得好像林更新诶
涨知识了
skade！我的一款老公制造机！！！！
涨知识了！
啊我的爱丽丝！！！！！！
確實
。
比如原神或者战双那种？
应该是方舟的皮肤系列部分是设定成这个世界观下的某名牌
生于紫室
但直接用了标志性设计，粉色标签还好？腰带就是在危险边缘试探了
草
我以为会方便活动（）
W
不玩这个游戏确实不知道叫什么，比如我也不知道这些服装的名
快感谢二次元
吊环没摘就穿上了
画师：确实是有点考验我了
我开始怀疑鹰jio的设计师，真的会服装设计了
草
没办法，很难设计的和大牌那样时尚，总会借鉴一些
trenchcoat
经典粥味穿搭
可以掩盖画师画出来的缺陷（）
魔救小绿
这个紫色驾驭的是真的棒
三角帽衣
暴雨太美了
可能是给coser活路吧doge
小科普：维多利亚同时是英国的女王名，维多利亚时期一般指19世纪中期至20世纪早期
他说的不是那种参考吧，说白了就是不用画现实品牌的特色
哟，这不法棍吗
单推人先别喜，也不看看前面都是个啥
不是意义不明的绑带，是索降时候需要用到的
石棉老婆！
克莱因蓝？
居然不是因为涩（）
我右耳失聪了？
这构图有种说不出美感
还是有很多意义不明的绑带
确实
西方品牌经典遍故事
挺难的，毕竟不是专业服装设计师。尤其是偏现代一点的服装
就是前段时间的
细细细
画师私货属于是
紫色很亮眼
架空部分依然有体现，但是加入现实小元素可以增加亲近感
确实好看 我知道我用不上 但我买了
雾海上的旅人
紫色很有韵味～
发现蒂蒂的那一段好长）
我有他家衣服
注意了，石棉155cm
这有什么关系？
作为开服玩家觉得这样的联动很有趣，讲的也很中肯，希望有些粉丝不要应激，就当作以另一个角度去学习了
傀影去的古堡在高卢，高卢的原型是法国，每日乳法
一个
哇这样分析我好爱
确实
哈哈哈哈哈哈
方舟传统，不露几根带子浑身难受
老色鬼
原皮架空 皮肤基本都是梗
哦哦原来如此，我以为是用来把衣服挂在什么地方！
笑死
小香风？
放p会鼓包
这种裤子穿起来方便活动吗
Van♂的皮裤(有端)
威斯敏斯特公爵?
怎么又是刺客信条！
第三次刺客信条
感觉画的好黑坨坨…
当然只要你足够高就不用管皮带（）
巨好看，第一次给完全不用的干员买皮肤
但是方舟是半架空的设定啊
为难画师了
cos人，你说的很对，但是我们还是希望现实点的
问就是源石技艺
你说对吧，油咖喱
啊？这么来的？
邓紫棋！别穿了！
肉鸽打疯了
哈哈哈哈哈哈哈
额。。。。。
好耶
这里up的意思应该是如果参考辨识度很高的大牌服装特点，会有侵权的可能，特别是鹰角自己也有现实品牌
角色啥都要做太难了吧
荷尔拜因
ezio！
这很刺客信条
有没有可能此维多利亚非彼维多利亚
石棉这个角色本身身高不高
遇到专业的了
看破不说破
他真的很认真再说
锐评
荷叶边。。男士。。
人体太奇怪了，画师你搭着萌妹脸画御姐身材？
不怕，暴雨有隐匿
帅t
上衣斜方设计腰带斜方设计两个撞在一起不奇怪吗
专业
e叔
之前没细看这腿
ezio
雷神工业，美国第一大军火公司
好专业
没有早露的皮肤我不是很认可
因陀罗是女生23333
邓紫棋哈哈哈哈哈
问题就在于方舟真是做出来...
专业
没想到居然看到的我老婆暴雨！
我还以为是方便坐下
海猫要买周边的
狱寺隼人
求生欲拉满
真理的也好看
因为画师想象力不足
罗马紫
游戏有很多依附产业啊，cos，cos服制造，还是多少要考虑一点现实因素的的
喜欢这个
问题是我们也看不出来呀，好看就完事了。
美见老师 我滴超人
我一个拳皇，随身带点手榴弹不是很正常吗
violent才是暴力的
艾吉奥
三个火枪手
德国爱人被苏军打死了
崩坏三的衣服怎么穿都是个问题，但确实好看
哈哈哈哈哈哈哈
说实话不太行，凭想象画是非常非常难的。
可爱的姑妈
暴雨！
我的老婆
《男装》
姑奶奶！
你说对吧，小雏菊项链唯艾特达不溜
这衣服是常驻活动送的
老色鬼！
猫！！我的猫！！！啊！！猫！！
高定是吧
护甲感觉很低的衣服呢
这期怎么这么哈哈哈哈哈哈
这期有点考验平圆方中了哈哈哈哈哈
看到现在发现还真的就是PPT，这个PPT做的也太粗糙了，这是官方给的吗？
意义不明
哈哈哈
高情商:大腿比较丰满
哈哈哈哈
“泰拉人”
懂了，石棉是吸血鬼（doge）
对我也想到这个
不愧是刺客信条，贴合历史，甚至将讲服饰都能用
达达尼奥
关键是有自己的潮牌啊
啊这
源石技艺和身体素质也是有关的
基佬紫（
多夸多夸
呜呜呜傀影我的傀影
Dio？
《老太太》
其实讲真，方舟的时装本质就是好看，只不过就是鹰角加了亿点点细节而已。
紫色好像是贵族才能用的
因陀罗我老公
可爱最重要
不会又被告侵权吧。。。
jyp哈哈哈哈哈哈哈哈
铁t
刺客信条枭雄！
这个香奈儿够渣的
飙是牌子啦
北京服装学院路过
对不起我串戏了，但是我在想到大袍子和大帽子第一时间想到的是猫和老鼠
跨国抓捕警告
如何制作粥味服装.jpg
《弹药》《拳卫》
高情商
啊我还以为是商标
这腿是假的吧
船长！
为什么150cm多的身高在这里显这么高
不是所有人都玩过明日方舟 认真看科普吧好吗
懂了，彪
石棉偷华法琳衣服.JPG
我也喜欢这一套
姑妈是老太太.JPG
但是玩家不懂阿，，人体偏一毫米都出警 他们就喜欢真实的
只是为了装饰（）
？
草
飙是牌子啊这套叫幽谷奏鸣！
女帅哥万岁
←是幽谷奏鸣啦
可能是挂的刀什么的
紫色老太太？
因为鹰角真的卖衣服啊
怎么就意义不明了，拓展带呗，往上面挂些东西很方便的
《一个爱人》
双厨狂喜
彪哥
一拾山：是的，你是对的（doge）
爱丽丝！我的爱丽丝呜呜呜
原来是因为这个吗？！
《老太太》
你好 我是明日方舟（幻听
jyp你懂了吗？
原来是这样
懂了暴雨腿部有缺陷！
王嘉尔新歌确实帅
的一个
说个笑话鹰角不是游戏公司
闪耀姑妈
但是此维多利亚非彼维多利亚
666
八神庵
这是皮吊带啊，和腰带一个作用
雷神工业是军工复合体啊，有搞服装的部门也不奇怪
但是石棉可以！！！
非专业完全看不来的细节啊
一拾山：汪汪汪
舟味绑带
这么说来左手骑士品味不错（）
这个腿真的不觉得有点过长了吗
这不是亚诺吗
《男装》
4000多人陪我看（9:33
笑死
至今最爱的皮肤！！
六到八周（指刷肉鸽等级
肺癌预订
杀马特（
主要up是担心yj被告侵权吧。。？也是为了yj好
暴龙振翅飞翔！！
老太太哈哈哈
船长!
这是拿来索降的扣带吧，能挂住支撑身体
紫色老太，，
高卢猫猫
因陀罗是拳卫
很酷吧哈哈哈哈
但她是近卫
崩飞
不是挂弹药的，是垂降鞍座，个人认为可能是致敬SAS
滂贵
哈哈哈哈哈哈哈哈哈
Jacob
好耶
毕竟大多画手不是服装设计师hhh没有那么厉害啦
不过舟整体风格一直都是偏现实的，还有自己衣服品牌
她是骑士哦
老婆!
是我老公
紫气东来
老鹰振翅飞翔！（有端）
keith!
mhy ：这我熟 晴去内衣加点装饰
老色鬼
想怎么穿都可以啊
高情商:丰满
艾吉奥！
画潮牌和设计服装就不一样了
《好像是位女性》
可是我没灵感啊（恼）
辅助还会射箭呢，近卫不能会打枪啊
《意义不明的带子》
這裡應該是胸口部分的問題(滑稽)
然而YJ真的把它们做出来了
哈哈哈
姑奶奶！
Ezio！
问就是源石技艺
作为一个在职的服装设计师来看，这位老师是动真格的。
我赞同
拴我的
5000个兄弟来打个招呼
加了d32钢（doge）
枭雄！！
这个豹子太帅了吧
精罗狂喜
刺客信条芜湖
孝服风（
别问，问就是源石技艺（狗头）
草 二代！
我也觉得这衣服好帅
我一直以为这个字是飒（sa）
问就是源石技艺
所以就可以随便套牌子偷懒啊，你说是吧？小雏菊？
喋喋不休的小基佬.jpg
像极了语文考试做阅读理解的你
不愧是紫色老太婆
右下角是山嘛
那不是老虎吗
探索者怎么会穿丝袜和裙子呢
救命，感觉要被吐槽得很狠
进来之前没想到这么专业
用不上的知识增加了。。
英国也是抄袭罗马紫的
饥饿营销草
不愧是姑妈
姑妈！
好耶！！
法式衬衫的特点
你得知道现在架空的东西做起来也费事费力啊（dog）
哈哈哈，这套确实好看
血魔
太厚了
不，yj是真的会做
长得好像reviewbrah
紫袍沿袭自东罗马帝国，罗马人的皇帝会身披紫袍，
老婆！
确实
一下就看出来了
老色鬼！
哈哈哈哈哈
方舟老传统了，意义不明的皮带jpg.
哈哈哈萨维尔街
up主另外一层意思是这样可能会侵权
但脸有点怪
龙崎老师厉害
《老太太》
因陀罗确实挺男子气的
有一说一，穿西装特种作战，生草
长春人狂喜
紫衣贵族
trench coat
这个字是品牌啊
专业
姑妈！！！
音乐届的半壁？
裙子最开始也是设计给男性的
和傀影击♂剑
？？？？？
(⊙o⊙)哇  好帅
5000+？
草 石棉其实很矮的233
问题是这些衣服有相当一部分是会实际做出来卖的
减少肌肉抖动  避免过早疲劳吧
《三个火枪手》
5000人在同时观看
绶带用来披吧
姑妈！
赛马娘即视感
姑妈
大美女爱丽丝！！
刺客信条三杀
别问，问就是放屁鼓包
←嘴角微微上扬
浊心：我也觉得（掏出升华）
姑妈妈
这些绷带是来戳人xp的，这个白色带子就是凸显腰细，，，
背景和光影特别棒
这也并不是明日方舟的特色，你能在很多日式游戏里面看到。。
确实好看
基佬紫
纸片人个个都是完美比例
高卢长袍（
是那个德国佬么
他们给钱了
雅各布
确实是古堡
赞赞赞
高质量男性？
我第一时间想到穿靴子的猫
一个爱人
别看见背头就高质量……
最关键是不用在意他是怎么穿进去的设计起来会很灵活怎么好看怎么来
八…八神庵？
古代紫色，皇室专属
帅疯了
怎么不评价一下爱丽丝
这个真帅
讲究啊
猫猫。。吸吸
热带雨林气候，这么薄很正常吧
因陀罗铁t实锤
PPT——指没有l2d（
这个原来不是为了勾引我吗！【bushi
老太太紫
都是互抄
侠睡老师狂喜
决胜服并感（
什么洛可可，浮夸巅峰应该是巴洛克
《拳卫》
但是这是拳卫啊
高情商：丰满
帝皇之子军团猛男色
刺客信条枭雄！
主要
这个属于是正式服装了吧？
关键手办yeban
确实是贵族
这个真的超级好看
高卢雀氏是neta法国
violent才是暴力，好好学习吧
是你吗林更新
懂了，因陀罗大肚子（）
吸血鬼(X)流口水(√)
这是
这是女士
甲方：我给钱了我就想提这个需求我乐意
后面的画是敦刻尔克吗—?
参加葬礼才会扣的
这些服装设计都是学国外的？
挨揍！
5656
意义不明的带子1/1
（其实它什么用都没有）
高质量男性
丰满
真的好看
，
《老太太》
其实是他种族的原因 他是蝾螈 光溜溜的
非常赞同，可能是设计师偷懒了
当然是好看第一
这套皮肤如果把攻击特效改成蓝色就特别棒了
舟游的魅力就在于它创造了一个壁真到服装品牌的真实世界
小乌鸦！
传说中的孕妇装
发现方舟服装真的好多莫名其妙的腰带hhh
这可是肉鸽中最想要的奖励啊，九十五级才有
确实帅，傀影也帅
我也觉得好帅！！
那为什么要设计这个扣子hhh
@汪峰 @邓紫棋
前面的其实根本没说到点上体质好和这衣服没用是没关系的
文明抛弃的，大自然会收养
彪子
嘎嘎
羊腿袖衬衣吧 
7千+
已经有卖了
女帅哥
可是他们真的打算出呀
传下去，海猫喜欢皮带
现在8千多人陪我看
凯亚。。
她是女的啊喂
因陀罗是女生，但这套衣服确实也是男装，有什么好奇怪的
很喜欢姑妈，但是这个脸不喜欢
姑妈好诶
致敬（）
末日铁拳的手炮不需要换弹吗？（恼）
鼓包警告
本身这些角色也不是炎国的啊，学国外的服装怎么了？
意义不明的装饰和带子
年轻的老色鬼
酱爆？？？
女生……
我也认不出来啊
东北人：怎么骂人泥！
买家秀
确实高情商
高情商:丰满
因陀罗需要弹药吗
skade蝶永远滴神！
刺客信条专场吗
传下去 石棉偷ff0衣服
方舟是后启示录，不算纯架空
紫薯精
双厨狂喜
《寄》
可以任何都不无法抗拒傀影的皮肤
被帅到所以买了！
明明是罗马紫
感觉很中肯
龙崎一yyds
雅各布！
全 员 恶 人
皮带方舟
泰拉神奇的材料学
原来如此
姑妈真是太好看了
《 一 个 爱 人 》
刷男装的，难道这套衣服不是男装吗？
最绝的是光影
彪
我的猫猫！
方舟特色，意义不明的带子
好看!
哈哈哈哈哈哈哈哈
毕竟是高卢古堡（）
意义不明统称xp（）
长春人：？
老婆！
ezio！
好看，去跑有马纪念
 还有浮空的帽子（
姑妈这个撩头发是真的好可爱啊啊啊啊啊！！
我好像买这一条裙子
吃S吧你（电音
这个可以出实体吧
忒斯特收藏所有衣服都这样
可以显得胸很大
是因为要尊重胖的人吧，不然可能会因为攀比强行扣扣子，还不舒服
我觉得方舟的设计都很meta，所以打破第四面墙是经典操作了
老鲤有皮肤？
就因为这个皮肤练了暴雨！
草，难道不是公司文化（
腰带很高（
打破次元壁
古堡是高卢贵族修建，位于原高卢境内，高卢原型是法国
粥味角色:不必要的带子 （指白皮带下面的带子）
确实是法国的，克莱布拉松是高卢的
林更新卧槽
意义不明的皮带
不是没拆，这就是装饰品
挑身材
黑的皮裤
石棉原型是蝾螈，湿润皮肤+反光皮裤还是挺搭的
最花里胡哨的（
可鹰角是真的有在买衣服
笑死了，某些人应激了是吧哈哈哈哈
爱马仕
会显孕
意义不明的皮带
指虎就离谱
coser：我觉得你在为难我
机能风
傻瓜才会延续这种习惯呢
头好小，看着不合比例的小
看假日威龙
飙
专业啊啊
吊带腿环
哈哈哈哈哈
亚诺
但是画师也不是学服装设计的hh只能去借鉴了
画师:没想这么多只是为了孩子好看就画了
张伟？
老太太
音符老师讲究
姑妈真的好美
我瘦我就扣
呜呜呜，没有买，好爱，血亏
虽然但是画师多少是要考虑和参考这些的不然就很灾难
严谨
同意
20
为神和花而献上剑
画师和设计师的眼光
身上绑几个舰长(doge）
舟游特色，意义不明的装饰
一直好话太难了，方舟何必为难方中
www确实，但很好看
反正就是很适合石棉就对了
但是不参考，太吃画师设计审美了
明明是沈楠
老师不了解泰拉世界的材料工程发达程度，很正常
我虽然玩方舟，但大部分皮肤我确实不觉得有用，当然好看是肯定的
泰拉世界观里，拿特种服装面料做常服款式情况很多
看起来是连衣裙，其实能防弹。。。
精罗狂喜
傀影是维多利亚猫，问就是猜猜乐玩多了
咏春 飙问
其实方舟的画师，设计师都画的挺有含义的，所以没必要说尬
哈哈哈哈老太太
搜查官系列的皮裤都很好看
雀氏
《一个爱人》
xp暴露了（
我穿牛仔裤也不系扣子
喜欢成熟的？
石棉！！麦外敷！
问题在于一拾山的衣服很拉胯啊
我妈可以
老太太
大比兜子
高卢差不多就是法国了
高质量男性
意义不明的带子
他穿这这衣服把我打了一顿，手段极其残忍
我的妈呀
《意义不明的绑带》
姑妈！！！
腰带上字体都几乎一样，肯定是致敬了
这算是投放广告吧
彪！
同意
汪峰（
这个衣服真的很帅！！！
哈哈哈哈哈哈
说难听点就是抄袭，说好听的就是致敬
小老虎
好家伙，双厨狂喜
但是他们是真的想卖衣服的（）
挂雷用的
男装
老婆啊啊
Dio是个吸血鬼
《如何画出有舟味的立绘》
林更新。请
索菲娜
说出来怕你不信，只是为了好看
基佬紫
我也觉得，我买了这套
火 柴 人
好家伙，我早上看才几千个币，晚上咋就2万币了呢？？？
小卢！我的小卢！
3%
什么叫专业
文本都是游戏里面的，前面说不了解的是不是在云
草
但也有了点写实感，符合方舟的故事设定
高卢三角帽
这不算抄袭吗
老太太哈哈哈哈哈哈哈哈哈
八爷的蓝色皮裤……/无端
啊啊啊啊啊，老公！！！
傀猫猫出身地雀食对应现实的法国
决胜服的老爱马仕了
寄
其实她完全用的是拳头
双厨狂喜
？前面说画师参考什么，人家不能自己画吗？
这个就涉及到泰拉材料学的知识了，我们地球人都不太懂的
《丰满》
一上来就看铁蹄？【doge
石棉胸前的那玩意能用来观测BT吗
可是她说
2333
男装
粥味角色每日一带（1/1）
卡西米尔纪念决胜服（确信）
偷懒呗
中肯！
高卢古堡，没毛病
高卢的，没毛病
老公好帅好帅好帅好帅好帅好帅好帅好帅
暴雨这套好看！
刺客信条！
紫发老太婆
狱寺隼人哈哈哈哈哈哈哈哈哈
有道理
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这BGM，我steam动了
昂撒独占了“现代”的定义权
炎客大长腿
天下缟素（
我也觉得
这是女士哦豁姑妈！！！
太对了
这是什么电影啊？想看、！！
云海边的漫步者，之前没发现
visual studio(幻视）
刺客信条二杀
刺客信条三杀
然后加一些意义不明的带子
小羽毛球
《文艺复兴》
你彪吗？（不是）
《文艺复兴》
我也喜欢女帅哥
呜呜呜呜美见老师画的太神
因为这就是在歌剧院的傀影啊
