太太画的好棒！！！！
首页通知书
好强......
火钳刘明
我又行了
太强了
八爷生日快乐
很有意思的手书
赞
好帅
八爷赛高
首页通知书
火钳刘明
orion！
牛啊
才发现这里都是歌名画出来的
好棒
老师是卡密！！
劳斯太强了
超帅！！
=\]
熊猫人ssk？
好强
细节好多啊
莫名的动漫感，热血
yankee！
首页通知书！
超级棒的手书！！！
《超级烂》
生日快乐！
八爷生日快乐！
八爷生日快乐
这不比博人传燃？
这是什么神仙
三连了
生日快乐
好厉害！
八爷
好棒！
斯国一
八爷的头发好有个性
很有神韵
印花集？
好强！！！
!!!
火钳刘明
哇塞 好听
哇哇哇，太牛了
火钳刘明
好绝
八爷生日快乐
八爷生日快乐
太绝了
八爷生日快乐
大佬牛批！！！！！！
这画风好好看！
他是个怪物，在房间里，在舞台上，他都觉得自己是个怪物，但是他是让我们信仰的怪物
好吧wwww
♡爱八爷♡
生日快乐
开头梦回成龙历险记
上首页！
生日快乐
奇迹小八
柠檬对应《Lemon》
红辣椒对应《パプリカ》
生日快乐
喜欢
火烈鸟对应《Flamingo》
卡密撒嘛!!!!
芜湖
牛
1
太牛了！
生日快乐！！！！！
一如既往日复一日 这种日子再难忍受
八爷生日快乐
火钳刘明
诶 苏打
生日快乐
幽灵船！！！！！
上首页了
imaloser
好棒！
这里是各单曲的封面
八爷再骂我一次
生日快乐
这里是各专辑封面。
卡点
八爷生日快乐！ 来晚了
劳斯您火了
真的好细节
帅死了啊啊啊
天津律师生日快乐
厉害
hhhhh医学狗温馨提示脊椎画多啦（颈椎7，胸椎12，腰椎5）
奇 迹 八 爷
火钳刘明
CNM 燃起来了
RESOL[书手 | 师玄津米]
前进吧！！！
幽靈船yyds！
爱八爷
八爷happy birthday！
八爷生快！！！！
生日快乐
卡密
好强
八爷生快
好可爱！！
太强了
生日快乐呀八爷
生日快乐
喜欢
好强
好好好看
好强
好好好好好好康
牛
强强强
太强了吧
八爷快生！
卡密！！！
八爷生快!
nb
.......................
好神！！！
火烈鸟～
牛的
迟来的祝福！祝生快！
八爷生日快乐！！！
ohhhhhh
喜欢。
八爷生日快乐
s
生日快乐
啊啊啊啊啊啊啊这也太棒了啊啊啊
喜欢！
有甜甜圈内味儿了。
劳斯太强了！！！
做得好棒！
米津玄师生日快乐！！
米津玄师生日快乐
八爷生日快乐！！
好喜欢呀
好棒！！！！
强啊
生日快乐！
脊椎变成蛋白石！
看到萤石了！！超喜欢这个
牛
感谢字幕菌
冲冲冲！！！！
有flower wall MV的衣服！！
神降临了
火钳刘明
生日快乐
谢谢两位翻译君
牛
火钳刘明
火钳刘明呜呜呜
生日快乐
圣母玛利亚！
圣母玛利亚！入坑曲！
生日快乐
感谢翻译菌！！！
啊啊啊！好用心！
米津玄师生日快乐
八爷！八爷！
生日快乐
迟到的……生日快乐！
米津玄师生日快乐！！！！！
太神了啊啊！！！
好强
好耶
初音！
劳斯yyds
术人痛哭
马鹿！
幽灵船！
迟了好几天的生日快乐!八爷~
八爷生快！！！
祝米津宝贝生日快乐
miku！
生日快乐，来迟了呜呜呜呜
支持，好看！
好喜欢老师yyds
火钳刘明
鹿头对应《马与鹿》
感谢底部字幕君
米津玄师生日快乐
地主家的傻儿子
这翻译有点错误
我唱过，原本歌词不是这样的
首页通知书
啊啊啊啊啊啊啊啊啊啊啊啊啊
八爷生快！
八爷生日快乐＼(^▽^)／！
好会画
好棒！
开始了开始了
生日快乐!(^O^)y
八爷生日快乐
全体起立
感谢字幕君
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
生日快乐
迟到的生日祝福，八爷生日快乐！
好强
这里所有的衣服对应着八爷的所有歌！
生日快乐，可能有点迟了
每一帧都是壁纸
感电！
好棒ヾ ^_^♪
xx'
生日快乐哦
生日快乐！
首页通知！
火钳刘明
希望大家认真看完
希望大家认真看完
希望大家认真看完
谢谢大家认真看完！
八爷生日快乐
@米津玄师
?????
www太会了
津
这个是康帕内拉还是啥的mv！好看耶
哇哦
牛逼
生日快乐
谁有哪啦
生日快乐八爷
卡密……
生日快乐
米津玄师生日快乐！！！！！！！
神仙下凡辛苦啦！！！！
您是神！！！太厉害了！！
生日快乐！
牛啊牛啊
迟来祝生快
生日快乐！
这是真粉丝！
八爷
棒！
八爷生日快乐！
生日快乐
八爷生日快乐
生日快乐
生日快乐
生日快乐
好耶(✪▽✪)
八爷生日快乐！
八爷生快
看见毛玉了！
生日快乐
生燃快乐
生日快乐
生日快乐
迟来的生日快乐
八爷生日快乐！
米津玄师生日快乐！
啊啊啊啊太绝了我直接哭泣！！！！
祝米津宝贝生日快乐
八爷生日快乐！虽然迟了
八爷生日快乐！！！！！
orion的灯泡！
生快
生日快乐！
八爷生日快乐！
八爺生日快樂
绝了绝了
好强！
好听
いつもどおりの通り独り こんな日々もはや懲り懲り
牛炸了
救命呜呜呜
歩き回ってやっとついた ここはどうだ楽園か？ 今となっちゃもうわからない
生日快乐
青い顔のスーパースターがお腹すかしては待ってる
アイムアルーザー どうせだったら遠吠えだっていいだろう
もう一回もう一回行こうぜ 僕らの声
绝了绝了绝了绝了！
アイムアルーザー ずっと前から聞こえてた
生日快乐
いつかポケットに隠した声が
ああだのこうだの知ったもんか 幸先の空は悪天候
ほら窓から覗いた摩天楼 からすりゃ塵のよう
イアンもカートも昔の人よ 中指立ててもしょうがないの
今勝ち上がるためのお勉強 朗らかな表情
踊る阿呆に見る阿呆 我らそれを端から笑う阿呆
デカイ自意識抱え込んではもう 
磨耗 すり減って残る酸っぱい葡萄，
咯
红辣椒对应《红辣椒》
ほら長い前髪で前が見えねえ
八爷生日快乐
笑っちまうねパッと沸き立って 
 フワッと消えちゃえるこんな輪廻
太太nb！头！
愛されたいならそう言おうぜ 
 思ってるだけじゃ伝わらないね
永遠の淑女もそっぽ向いて 
ああわかってるって 
 深く転がる 
俺は負け犬
ただどこでもいいから遠くへ行きたいんだ 
それだけなんだ
再来亿遍
響きだした音を逃すな 呼吸を整えて
いつかは出会えるはずの 
 黄金の色したアイオライトを  きっと掴んで離すな
アイムアルーザー なんもないならどうなったっていいだろう
折棒
うだうだしてフラフラしていちゃ今に 
看成折棒+1
アイムアルーザー きっといつかって願うまま
進め ロスタイムのそのまた奥へ行け
愛されたいならそう言おうぜ 
 思ってるだけじゃ伝わらないね
永遠の淑女もそっぽ向いて 
ここいらでひとつ踊ってみようぜ 
 夜が明けるまで転がっていこうぜ
聞こえてんなら声出していこうぜ
迟到的生日快乐
アイムアルーザー どうせだったら遠吠えだっていいだろう
もう一回もう一回行こうぜ 僕らの声
アイムアルーザー ずっと前から聞こえてた
いつかポケットに隠した声が
生日快乐
ここいらでひとつ踊ってみようぜ 
生日快乐！
 夜が明けるまで転がっていこうぜ
聞こえてんなら声出していこうぜ
八爷生日快乐
好厉害的画风啊！
八爷生快
开头见！
迟到的生日快乐！八爷生日快乐！
生日快乐
生日快乐八爷
太棒了
劳斯太神了太神了
八爷宝贝生快！！！永远爱你内！
米米生日快乐！
"八爷,生日快乐！"
火鉗劉明
好牛！！！
喜欢
酷
迟到的生快！！
八爷，生日快乐
生日快乐
呜呜呜呜呜呜呜太棒了
八爷！！！
ここはどうだ楽園か？ 
 今となっちゃもうわからない
收藏夹里等着，明天有币了给你投
 磨耗 すり減って残る酸っぱい葡萄
膝抱えてもなんもねえ 
币给了  俩个
夢見ておやすみ
また踊り踊り出す明日に 
棒啊
握草牛壁
给爷火
迟来的生日快乐!八爷生日快乐！
生日快乐
很好
卧槽
八爷生日快乐哦耶
好活
劳斯太神了！！！
太牛了！！！神仙啊
我爱你
太太NB
呜呜X﹏X
NB
八爷生快
生快！
米津玄师生日快乐
火钳刘明
网页版首页通知书
生快八爷
翻译君也辛苦啦!!!!!
)，
牛
米津生日快乐！！
迟到了三天的生日祝福
牛皮
牛皮
好绝！！！！
这段好爱！！
热泪盈眶！！！！！！！
生日快乐
康帕瑞拉
orion的灯泡
这个是甜甜圈洞的同款分镜
啊 这个动作 他live超喜欢这样
吵架了看到
生日快乐
八爷永远的神！！
生日快乐
生日快乐
起飞
你币有了
うだうだしてフラフラしていちゃ今に 
好棒啊！！！！！
 天国は遠く向こうのほうへ
生日快乐
火钳刘明！
八爷生日快乐
八爷生快
八爷 生日快乐啊啊啊
うだうだしてフラフラしていちゃ今に 
米津玄师生日快乐
八爷生日快乐！
牛啊
八爷生日快乐！我比八爷早一天嘿嘿
好棒！
天津律师生日快乐
生日快乐
八爷生日快乐
八爷生日快乐！
Lemer 红辣椒 马与鹿
生日快乐
哦哦哦哦不愧是大佬
生快
生日快乐
米津玄师生日快乐！
真的很棒啊！
生日快乐八爷
罪过罪过，我都不知道，八爷生日快乐
老公老公我爱你
八爷生日快乐！！！
八爷，生日快乐
八爷生日快乐
生日快乐
米津玄师生日快乐！
米津玄师生日快乐
啊啊啊啊啊
首页通知书
重新定义超级烂
八爷生日快乐！！！！
火钳刘明
生日快乐！
八爷生日快乐
八爷生日快乐
生日快乐
米泽玄师生日快乐！
太强了
看到好多限定八爷！
生日快乐
爱了爱了
我投俩币！
米津玄师生日快乐！！
生日快乐
高能
八爷，生日快乐!
八爷生日快乐
八爷生快！（虽迟但到））
怎么只能投两个币
生日快乐
八爷 ，生日快乐 !
左:PANDA HERO  中:砂之惑星  右:俄罗斯套娃
米米生日快乐！
米津桑什么时候来中国参加演唱会
呜呜呜流弊啊
高中时期的米！
马鹿！
wcwc
生日快乐！
生日快乐！
生日快乐
哇哇哇
迟到的生日祝福
八爷生日快乐
好看
感谢下方字幕君
谢谢款待
翻译君辛苦啦
八爷生日快乐
太好看啦！！！好用心
八爷生日快乐
miku！
八爷生rt
迟到的神日快乐
生日快乐
好强！！
生日快乐
八爷生日快乐
迟到的生日快乐！！
首页来的！
生日快乐
生日快乐！
好耶！
生日快乐
波平电容器？
萤石
这个是无神论者吗
这个是什吗
活死人·青春
WOODEN  DOLL
呜呜太厉害啦
生日快乐！！！
你币有了
迟来的祝福，生日快乐！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
首页通知书，以及，迟到的八爷生日快乐
八爷生日快乐！
生日快樂！！
八爷帅我一脸
生日快乐
八爷生日快乐
努力成为八爷
我直接夸爆!
这些好像都是八爷的歌诶
我超喜欢火烈鸟！
八爷生日快乐
劳斯棒棒哒
康帕瑞拉
厉害
l厉害
太厉害了吧！
生日快乐
好喜欢
来一个迟到的生日快乐，我最爱的米津玄师，生日快乐啊
up牛批！
八爷生日快乐
生日快乐八爷
太牛了...
你币有了
迟到几天的祝福 八爷生日快乐！
迟到的生日快乐
八爷生日快乐！
生日快乐
好棒的手书
八爷，生日快乐
八爷生快！！！
米津玄师yyds！！
米津玄师生快！！
八爷yyds！！
迟到的生日快乐
米！！！啊啊啊！！！生日快乐！！！！
我的神啊！
生日快乐！！！！！！
迟到的生日快乐
神作
牛的
生日快乐！1
太牛了
双面作战？
八爷生日快乐！
牛逼
suki
八爷生日快乐
八爷生日快乐！
超棒的
155511辛苦了 太棒了
生日快乐
太细节了呜呜呜呜
八爷生日快乐！
八爷生日快乐
米米生日快乐！
迟来的生日快乐！！
再来亿遍
八爷！！！
八爷生日快乐
生日快乐
迟来的生日快乐
首页通知书
太赞了！！！！！！！！！1
生日快乐
生日快乐
生日快乐！
生日快乐！
迟到了八好意思！生日快乐！
过于牛逼了些
奥呜呜呜
太赞了！
简直不要太赞了！
牛逼！！！！！！！！
太牛了呜呜呜呜呜果然应该跪着看
再来亿遍！！！
三连了太赞了呜呜呜
再来亿遍
八爷生日快乐!(^O^)y
太强了
八爷生日快乐
生日快乐
生日快乐！！
加油
生日快乐
给三连了
绝了
迟来的生日快乐！
您是神仙吧！！！！！！！！！
生日快乐
生日快乐，刚从学校出来
太强了
生日快乐！
生日快乐呀
好棒!!喜欢
八爷生日快乐
生日快了米津玄师
八爷生快！
生日快乐
生日快乐
迟到的生日快乐！
生日快乐！
哇偶八爷生日快乐！
生日快乐
来啦
生日快乐
八爷生日快乐！！！
太帅了
生日快乐
甚至震撼到我！！！
迟来的生日快乐
八爷生快
生日快乐！！！！！！！
罪过罪过，迟来的生日快乐
画风绝了呜呜呜
八爷生日快乐
诞生日快乐！！
八爷生日快乐
全体起立
ハッピーバースデー!
米桑生日快乐
芜湖
太强了
好牛
好神
卡密萨嘛～
首页通知书
八爷生快
甜甜圈！
八爷生日快乐
迟来的生日快乐！
太太nb米津玄师生快
恭喜你发现宝藏
首页通知书！
八爷生日快乐！
八爷生日快乐！
生日快乐
表白字幕君啊
从左到右分别是VIVI，萤石（怪兽图鉴的毛玉）幽灵船和无神论者（怪兽图鉴里的狼人君～）
pc端首页！
tql
好棒
太太好厉害
我好爱
生日快乐！
太太太神了
。。
生日快乐！
生快
。。
我支棱起来了！
生日快乐
画得好棒！！！！
好棒啊​
迟来的快乐！祝福
迟来的快乐！！祝福
生日快乐
暂
八爷生日快乐！！
八爷！！
八爷生日快乐！
压裂压裂
米津玄师生日快乐！
八爷！！
有点晚，但是，生日快乐八爷
八爷生日快乐
砂の惑星   俄罗斯套娃！！！
八爷生日快乐
是苏打和野甜甜！
生日快乐八爷
八爷生日快乐
神……神明吗——
生日快乐ohhhhhhhhhhhhhhhh
八爷生快
好棒!
生日快乐八爷
妈咪太强了
八爷生日快乐！
好看不火
生日快乐
棒
生日快乐
米津生快！！！
迟来的生日快乐啊
生日快乐！！
抱住翻译君！辛苦啦
八爷生日快乐！
太强了呜呜
生日快乐！！！！
生日快乐！！
牛牛牛
这么多衣服属实肝
失败者
八爷生日快乐
迟来的生日快乐!
太太好强啊啊啊啊啊啊
大大太厉害了！！
生日快乐！
八爷生日快乐
gogo幽灵船！！
八爷！生日快乐！
生日快乐
感电！！
八爷生快
米津玄师生日快乐！！！！！
生日快乐！
好帅
八爷生日快乐TT
八爷生日快乐
太绝了
生日快乐
好帅啊
爱惜大楼
某一都某一都
生日快乐
我尊敬的艺术家
吧¥
表白字幕
生日快乐
太顶了太牛了！
米津玄师生日快乐
给爷火
来晚了，八爷生日快乐
生日快乐
你做得超棒的！
243个人
太强啦啊啊啊啊
全体起立
神仙大大！
祝八爷永远不死，早生贵子
太强了
八爷生日快乐！
八爷生日快乐!!!!!!
nbnbnb
无敌
太强了吧
看见神仙了
大师命
八爷生日快乐！
简介是人？
太强了
看了亿遍
感谢字幕君祝八爷生日快乐
生日快乐
世界名画《哭泣的绒绒》
截图选老公
棒棒棒
棒棒棒
燃起来了
八爷生日快乐丫，
八爷生日快乐
八爷，生日快乐
八爷爱了
八爷生日快乐！！！
八爷快生
八爷快生！！！
米津生快
听的loser入坑
这里笑得好可爱不愧是我米
生日快乐
。
我受死忘记了她的生日 晚了四天！！生日快乐
八爷生日快乐！！
首页通知书
生日快乐
生日快乐呀
生日快乐！！！！！！
八爷生日快乐
火钳刘明
生日快乐
【Lemon】
《金丝雀》
《春雷》
《Teenage Roit》
《无神论者》
《感电》
《V字手势》
《海之幽灵》
《康帕内拉》
《马与鹿》
《Stray Sheep》
《Orion》
《Lemon》
（Teenage Riot）
《Lemon》
《Teenage Riot》
《火烈鸟》
《海之幽灵》
《金丝雀》
"《Stray,Sheep》"
《Lemon》
《马与鹿》
《红辣椒》
《GoGo幽灵船》
生日快乐啦啦啦啦啦啦啦啦啦啦
从左到右： 《 Panda Hero》 《砂の惑星》 《俄罗斯套娃》
日历是米津玄师的生日
【此处为orion的MV】
【无神论者】
【NO.NINE】
《Orion》
【Lemon】
【Flamingo】
【Teenage Riot】
【海之幽灵】
【红辣椒】
【马与鹿】
左：菅田将晖 右：野田洋次郎
【米津玄师2019上海巡演：当脊柱化作蛋白石】
画的好棒啊
生日快乐！
生日快乐wwwwww
八爷生日快乐！
八爷生日快乐！！
神仙
上面黄字到底在翻译啥
八爺生快！！
八爷生快
帅死了帅死了
生日快乐
八爷生日快乐！
妈咪太强了155551！
火钳刘明
八爷生日快乐
八爷生日快乐！
又让我想起一次性舞步
生日快乐
《MAD HEAD LOVE》
好强！
八爷生日快乐
火钳刘明
好强！
生日快乐
生日快乐
米津玄师生日快乐！
八爷快乐
666
生日快乐
好牛
八爷生日快乐
卧槽卧槽卧槽
卧槽卧槽
卧槽卧槽
八爷生日快乐
kksk
生日快乐！
生日快乐
。
米津玄师生日快乐
生日快乐八爷
左    右    护    法
当脊柱化作蛋白石！！
八爷生日快乐啊
生日快乐
生日快乐米津玄师
火钳刘明
生日快乐
八爷生日快乐
八爷，生日快乐
太强了
八爷生日快乐
牛b
生日快乐呀！！
生日快乐
八爷生日快乐
八爷生日快乐
幽灵船！！！！
火钳刘明
LLL
八爷生日快乐！
米津玄师生日快乐
八爷生日快乐
迟来的祝福，八爷生日快乐！
神仙吧！
火钳刘明！！！
八爷！！！
太太好棒
orion！！！
八爷生日快乐
八爷生日快乐
八爷生日快乐
生日快乐
晚了很久的生快
生日快乐，米津玄师
做得好
好好看
生日快乐！
生日快乐！
生日快乐
生日快乐
专辑封面！！太棒了！！！
反复观看
再来亿遍
怎么办，突然感觉八爷有点可爱！
啊啊啊八爷生快！
八爷生日快乐
八爷生日快乐
好！
生日快乐
生日快乐
首页通知书
可可可
米津！！！！！
好好看~~~@！！！
dna动了
生日快乐
快乐
生日快乐！
康帕内拉！！！
生日快乐
八爷生日快乐
八爷生日快乐
米津玄师生曰快乐
生日快乐
八爷生日快乐（虽然迟了很多）
生日快乐八爷！！
八爷生日快乐
八爷生快！！！
好看
好强
生日快乐
八爷大神仙
八爷生日快乐
米老师NB
米津玄师生日快乐！
生日快乐！
做得真好啊
生日快乐
迟到的生日快乐——
八爷生日快乐
生日快乐
节拍器
八爷生日快乐！
生日快乐
八爷！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
八爷生日快乐
简介里的《超级烂》
NBNB啊！好看
八爷，生日快乐
首页通知书！
八爷生日快乐！
八爷生快
八爷生快
迟来的生日快乐！
再来亿遍
生快！
爱了
り
八爷生快！
迟到的生日快乐
八爷生快
迟来的生快啊啊啊
生日快乐
生日快乐
八爷冲冲冲
啊啊啊啊啊！！！八爷我爱你啊啊啊啊！！！
好厉害
UPnb
八爷生日快乐！
生日快乐
生日快乐
米津玄师生日快乐！
米津玄师生日快乐
八爷生日快乐
八爷生日快乐
555
米津玄师生日快乐
uy
迟来的祝福
生日快乐
生日快乐
八爷生日快乐
八爷生日快乐
三连了
学穿搭
八爷生日快乐
米津玄师生日快乐
生快
神仙超棒！
好啊
太太好棒
生日快乐八爷！
！！生日快乐
太帅了吧
好棒！
生日快乐
srkl
。
生日快乐
火钳刘明
八爷生日快乐
迟来的生快！
我就喜欢黄色
生日快乐
八爷生日快乐!!
八爷生日快乐！
生日快乐
生日快乐
这里画的是八爷的感电mv
生日快乐
生日快乐
生日快乐！
八爷生日快乐！
生日快乐
生日快乐
生日快乐
米津玄师生日快乐
vivi和幽灵船！！
康贝瑞拉！！
八爷生日快乐！
好强！
火烈鸟！
生日快乐
tql
八爷生日快乐
qqq
八爷生日快乐！
妈咪好强！
生快
火钳刘明
八爷生日快乐
迟来的生日快乐啊啊啊！！！
生日快乐
八爷和我同一天生日诶！！！
生日快乐
生日快乐
米津玄师生日快乐
orion! 
他始终是我爱着的米津玄师啊
谢谢太太
八爷生日快乐
八爷生日快乐
生日快乐
生日快乐
生快
生日快乐八爷！！！
生日快乐阿
首页通知书¥
八爷生日快乐！
八爷生日快乐
v字手势
求求你，一直做下去
真的太爱了
真的绝
厉害
八爷：傻了吧，没人能从这首歌赚走一分钱！
米津玄师生日快乐
首页通知书
表白字幕君
八爷生日快乐！！！（迟来）
生日快乐
生日快乐！
生日快乐
八爷永远的神！
八爷生快
迟到的生日快乐
生日快乐
ohhhhh！康贝瑞拉
生日快乐！！
神仙！
生日快乐啊
生日快乐
八爷生日快乐
八爷生快
八爷生日快乐！
迟到了十几天的生日快乐，我是假粉吧呜呜呜
