十年了啊
卧槽，我跟你一样
？？？？
硬核？
???????
？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？
光明计划
666666
我还以为我自己的进度条动了
牛逼
罗兰太草了
？？？？？？？？？？？？？？？？？？？？？？？？？？
这个牛逼，不是技术、创意。经验有多牛逼。而是他坚持做出来了
卧了个大槽
前面那个说我的世界不能比的你去做个游戏OK不，不能就别bb只会用嘴
中本聪看来都直呼内行
场景ui动作特效呢
看的我好方啊
虽然我看不懂 但是觉得牛B就对了
观看人数比弹幕多系列
《基础太差》
这啥？？
？？？十项全能？
？？？？？？？？？？？？？？？？
大佬
哪有什么大佬，有点只是一个为梦付出的男人
excel VB
这踏马是人
付出了十年
?????????????
你只是写了个模板而不是语言
？？？
？？？？？？
大佬牛批
你也太尼玛离谱了
？？？？？？？？？？？？？？？？？？？？？？？？？
卧槽？？？？？？？
woc
A大
？？？？？？？？？？？？？？？？？？？？？？？？？？
这就是大佬吗？？？？？？？
首页通知书
好的死丢丢
太pro了
这不就是配置文件么。。。
巨佬
javascript是网页脚本语言
？？？？？？？？
六边形……不对，已经是多边形战士了
????????????????????????????
吾辈楷模
离谱
加忆点细节
我人都傻了
???????????????????????????
上一个全能的不能生孩子
你不要太谦虚了
太 差 了
全A面板
三连，必须三连，爱了
这就是配置
场景还是3d的
摸两根弦
nb
？？？？？
tql
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
是不是有哪里不对？？？？？？？
你这基础就吊打绝大部分人
666666
这个办法好
NB!
全能型选手
什么后浪，别带节奏
吓我一跳，还好就是脚本，不然自闭了
勇者十年磨一剑，其中艰辛无人知
快去把上帝叫醒
？？？
？？？？？？？？？？？？？？？？？？？？？
？？？？
.
首页通知书
感觉有被冒犯到
卧槽  哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
?????
可怕
我一看到就懂（feng）了
？？？？？？？？
????????
这是什么神仙啊
太强了！！！！！！！！！！！
？？？？？？
？？？？？？？
？？？？？
编译原理是个大工程
一个人做游戏吗？？NB
nb
？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
六边形战士
？？？？？？？？？
731钉钉？
六边形战士强无敌了
什么鬼啊
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
我明白了，我这就去退学。。。。
？？？？？？？？？？？？？？？？？？？
啥玩意儿？自学？
对不起，我天赋全点在了生存上
？？？？？？
全能大佬
这。。。。我的妈呀，太厉害了
这是人吗
？？？
首页通知书
？？
??????????
nb
恐怖如斯
？？
我傻了卧槽太nb了神仙吧
脑A好~
卧槽up你是真的神仙吧
？？？？？？
草
轮子
？？？？？？？？？？魔鬼
太强了
卧槽？！
？？？？
百姬百姬！居然还有人知道    我6眼泪了
瑙a
太厉害了吧
十年磨一剑 给大佬点赞
暂停成功
？？？
全才
np
恐怖如斯
？？？？？？？？？？？？？？？？？
牛批
??????????????????????????
大佬
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
民科吧，。。。。。
这就离谱了
这？？？？
兴趣真她妈最好的老师
加上了一点点细节
真的就一人全役呗
这不对劲
等一下？你这就离谱了哈
这就是大佬的世界吗???
？？？？
卧槽
？？？？？？？？
？？？？？？
他是怪物吧
?????????????????????????
???
我傻了
？？？？？？？？
不管怎么说，手绘真的杀我
？？？？？？？？
？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
哇~
？？？？？？？？？？？？？？？？
甘蔗
于是开始学英语，到国外发展
？？？？？？？？？？？？
？？？？
？？？？？？？？？？？？？
？？？？？？？？？？
努力的天才
？！？！？！？！？！？！！？？
太硬核了
??????????????????
加了亿点点细节
出大问题
？
首页通知
我醉了
卧槽
？
人言否
是人否
blender
？？？？？？？？？？？
咱们天赋
这才是真正的多边形战士，膜拜大佬
想     多      了
牛逼
??
？？？？？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？
？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
强啊
？？？？？？？
着实强大
？？？？？？
？？？？？？？？？这
???????
给大佬跪下
？？？？？？？？
？？？
？？？？？？？？？、
您今年高寿啊！
？？？？？？？？？？？
一眼看出不是人系列
？？？？？？？？？？？？？？？
这这这这这这
？？？
大佬留条活路......
大威天龙
膝盖好痛
我一眼就看出你不是人
感动
牛逼
人言否？
up不是普通人
gb
哦
这个只是配置表吧，跟自创语言还差很多的吧
爷服了
up真的太强了……
太强了
我高中同学也叫老A
大学白上了
太强了
划重点 基础不行
？？？？？？？？？
OHHHHHHHHH
？？？？？
这不是数据库吗，这TM叫编程语言？？？
？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
相当于直接建立一个模板库了
啊这？？
没什么钱
66666666
????
？？？？？
？？？？？
？！
？？？？？
魔能方碑之巫！！！
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
当代牛顿
提前牛皮
多边形战士！
小火鸡你不对劲
??????????????????????
？？？？？？？？
？？？
这不叫编程语言吧
请收下我的膝盖
666666
这？
？？？？？？？？？？？？、
什么鬼
握草
脑A
？？？
赛博朋克!
??????????
lua？
人家说了是10年，10年只要自己足够努力无论如何都会有起色的吧，up继续加油！！
脑a
外行可能觉得很牛逼，但同行看来，那是巨TM牛逼
本码农服了，膜拜
？？？？？？？？？？？？？？？？？？？？？？？
这不是自创一门编程语言，顶多是包装成一些接口，方便弄成表格形式去更新游戏内容
感觉有点过分了
我就随便加了亿点细节
？？？？
强啊
死丢丢
！！！！太强了
等等你自创了个啥？
牛逼
?？？？？？
这TM开局全场最佳
steam出了么 想买
我辈楷模
人才你绝对没去过人才市场
??????
太强了
仰望星空
纳尼
你叫别人怎么活啊
等等 你自创了什么？？？
？？？
自创了啥？
自创一门语言
这就是全栈吗，ilil
零 基 础
巧爷
妈问跪
NB啊
？？？
！！！！！
脑Anb
php才是最好的语言
这叫人？
？？？人否
小问号们准备好吧
兴趣这东西力量真大
牛逼
一人顶一个团队
我特别特别想知道，大神你还有头发吗，怎么保养的，少了多少
真的是亿点点
我去，还让我们活吗？？？？？？？？？？？？？
给大佬跪了
等等，创了什么
上课只睡了一分钟的我
那些嘲讽说不是编程语言的是有多厉害？
你学废了吗？
哈哈，fc游戏那味
??.??
您
这不就是什么都会，什么都不强的典型吗？？？……
？？？？？？？？
首页通知书
???????????????
???????????????
神了
？？？？？？？？？？？？？？？？？？？？？？？？？？？？
你好，脑A
。。。。
基础太差？你把我当残疾人了？
大佬，带我起飞！
首 页 通 知 书
原石计划steam上已经有了哇
重要是免费
ohhhh
5000人正在看
首页通知书
??????????????????
太厉害了
？
。。。。。。也比我画的好
老A啊，咱的3A重担就靠你了呀
？
你是真的牛逼
。。。。。。太强了
。。。。。。。。。。
我TM直接疑惑
vscode
这一路走来
巨佬
?
?
给了我希望
感觉就是个配表吧。编译原理好像并不是这么简单的
十天半个月????
啥？？？
瓦特发
你太强了
？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？
黑岩！
？？？？？？？？？？
？？？？
5008人正在看可还行
厉害啊
真*零基础
我用鼠标画，有点怀疑人生
见鬼了....
一人成军
有点杀戮尖塔的味道了
？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
faiz？
即使天才，也很努力，我跪了
这就是传说中的六边形战士么
？？？？？？？？？？？？？？？？？？
奈何本人没文化 一句卧槽行天下
自创语言???
这水平做不来3A的，不明白，十年为什么不专门做一项做精啊，有这毅力，，，
Nb
库乐队
牛逼
？？？？？？？！！！！！！！！！！
？？？？？？？？？？？
那叫特性  不叫bug
6666
吾辈楷模
？？？？？？？？？？？、、
？？？？？？
游戏评论全是好评
初二的快去写作业吧
？？？？
？？？？？？？？？
牛逼
！！！！！！！！！！！！
绘画基础不行？？？
见鬼
？？？？？？？？？？？？？？？？？？？
乱弹？？？
这就是最高的一朵后浪
太强了
！！！！！！！！
震惊
随便画画？？？？
感情这是10变形战士啊
？？？？？
WTF？？？？？
真神仙
厚涂基础要好
还好我是程序员，差点信了你的邪
？？？？？？？
兄弟们！记住这需要学霸的头脑……
这个可以看作是一个DSL，也算作语言，只不过这种语言能干的事情非常单一，只服务于某个特定的目的。
我居然拿地球人的标准衡量你
b站始终提醒我别忘了自己是个fw
？？？？？
后浪啊
？？？？
？？？？？
撒谎
？？？？？？？？？？？？？】
？？？？？？？？？？？？？？？？？？
祝你的游戏越来越好
？？？？？？？、
...
再来亿遍
厉害
一句卧槽走天下
LH
.
？？？
12
123
，，，，，
1234
弹幕君们都炸了
121
123421
323
？？？？？？？？？？？？？？
1231131
必须三连，我先给了
113113
??????????????????????????????
？？？？？？？？？？？？？
135631
？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？
？？？？？？？？？？？？？？？？？
卧槽这个nb
???????????????????????????????????????????????????????????????????
2315
？？？？？？？？？？？
NP
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？
这是魔鬼吗？
黑岩射手
??????????????????????????????????????????????????????????????
好的，死丢丢
？？？？？？？？？？？？？
？？？？？？？？
太差了可还行
不愧是六边形战士
不对劲了
脑A
天才 真的
一个人再牛逼也没用。做不出什么。牛逼的团队才是真牛逼
别人动十年，我的十年
uo主牛皮
???
？？？？？？？？？？？？/
？？？？？
秃儿
我的下巴掉了
太强了吧
？？？？？
《太 差 了？》
这太强了
励志！感谢
？？？？？？？？？
多边形战士
？？？？
首页通知书！！！
方舟就很nice
？？？？？
太强了
太强了
兴趣才是最大的动力 我的天 真的强
太强了
草？？？？？？？？？？？
这个编程语言叫成表格解析器更准确些
我一眼就看出你不是人
还是要合作才能实现更牛比的 大作！单打独斗精力能力有限……像暴雪最初沙丘抄过来
？？？？？？
大胆妖孽。。。
牛批
脑A
头皮发麻
p/
《编译原理》？？？？？？？？？？？？？？？？？？？
脚本吧
语言也太夸张了
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
......
国家需要你这样的人才
堪称学神，学了多少啊
nb
蒙恬是你吗
语言有点夸张
卧槽。。
告辞
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
加了个接口
????
？？？？？？？？？
？？？
挺好的呀
DSL吧
更新了
？？？？？？？？？？？？
nb
？？？？？？
剩下的4680人你们好啊
？？？？？？？？？？？？？？？
？？？？？？
好的脑a
？？？？？？？？？？？？？？？？？？？？？？？？？？？
666666
全活啊
有趣
你说你自创了啥？
??????
就是语法糖而已
？？？？？？
nb
真的牛皮！
大佬大佬
？？？
太厉害啊，我要是能掌握其中一种就好了
？？？？？
？？？？？？？、
我们所有人给你跪下了
？？？？？？？？？？？？？？？？？？？？？？？？
源石？
星际牌面！！！！！！！！！！！！！！！！
??这就是大佬吗
？？？？
白嫖失败
NB
？？？？？？
好奇那时候多大
 草ableton
都是在线弹幕吗？
？？？？
看到东方了。。。
？？？？？？
？？？？？？？？？？？？？？
？？？？？
全能型玩家
这叫太差了，我自觉剁手
？？？？？？？？？？？？？？？？？
？？？？
大佬
？？？？？？？？？？
？？？？？？？
恕我直言这不真是编程语言
大神成长日记
太差了~
？？？？？？？？？？？？？？？？
FK
我不配做游戏~
？？？？？？？？？？
这叫脚本
这个并不是自创的编程语言
我现在是4444个人
？？？？？？？？？？？？？？？？
吾辈楷模，6666666
?????
强的离谱！
S
B
我人傻了
？？？？？
多大了？
啊是你!
圆形战士
????????????????????????????/
《基础功底太差了》
妈问跪系列
tql
太强了
这一开始就比我强了不知道多少倍
绝活
人族强者竟恐怖如斯！
？？？
。。。。。。。。。。。。。。
你币有了
哈哈哈
这熟悉的processing界面
？？？？？？？？？？
? ? ? ? ? ? ? ??
？？？？？？？？？、
嘶
牛逼
DSL吧
我要这币有何用
牛啊
奔30了吧
这还是人吗
脑A
这个调色已经很强了aaa
王德发？？？？？？？
太强了
真正的强者
被逼出来的大佬
6666
？？？？
好的  脑A
我想拜师
？？？？？？？什么？？？？？？？？？？
这是人吗
图大杀猫  时代的眼泪
？？？？
西    瓜
？？？？？？？？？？？卧槽
》？？？？？
斗皇强者，恐怖如斯
????????????
？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？、、、
？？？？？？？？？？？？？？
？？？？？？？？？？？？
、？？？？？？？？？？？？？
？？？？
/???????????????????????????????????
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
??????????
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
？
我的基础太差了
？？？？
我零基础
脑A
？？？？？？？
？？？？？？？？
？？？？？？
自创！
？？？？？
我不当人了
支持了
？？？？？？？？？？？？
？？？？？？
？？？？？0？
这tm叫不行
？？？？？？？？？？？？？
问号文化
666
？？？？？
？？？
？？？？？？？？？？
？？？？？？？？？？？？
头皮发麻
？？？？？？？？？？？？
？？？？？？？？
六啊
伤脑
卡牌游戏几十种代玛淘宝有售
439项瞩目（钉钉）
这叫基础差？
太 差 了
这是什么人啊？？？
你你你自创了个啥？
火了我的妈
？？？？
？？？？
？？？？
4003人
nbnb
???
这已经比大多3a打坐好太多了
全是一个人？
？？？？？？
？？？？
强啊
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
这叫编程语言？是可配置信息吧
就这
？？？？？
??????
我自己编
这就真的不是人了
？？？？
我不信
你在画葫芦
自我感觉良好
握草？独立研发吗
？？？？？
又是到人间凑数的一天
这不是编程语言吧
首页通知书
其他4081个在看的朋友们你们好
？？？？？
live
？？？？？？
nb自创编程语言
杀猫：数据量太大导致脆弱的调制解调器运行缓慢等各种问题
啊？？？
？？？？？
？？？自创了个啥？
这是现已弃用的UnityScript，与JavaScript有本质上的不同（大概）
？？
？？？？
？？？？？？？
????????????????????????????????????
大佬请收下我膝盖
？？？
牛逼
太强了
???????
人 能做的事情你一点都不沾边.jpg
??????????
全才
y
?????
??????
5.5
？？？？？？？？？？？？
膜拜大佬
？？？？？？？？？？？？？？？？？？？？？
王得发
????
自创编程语言？？
？、、
牛批
？？？？？？？
牛逼、
？？？？？？
NBBBBBBBBBBB!!!!!!!!!!!!
？
其他的我不知道，自创一门编程语言这确实有点恐怖
？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？
灵基础的啊哈哈哈哈哈哈
60边型战士
封号斗罗
我2015年看的UP主修成正果了，真心高兴
老伯里曼了
3922个人的别跑
谁是3944正在看
你不对劲
？？？？？？？？？？？？？
好活当赏
你还好意思说自己是一个人？
真正的六边形战士
？？？？？？
？？？？？？？？
这种巨佬去公司月薪起码五万
也太强了吧
太    差     了
我还有机会吗
植物大战僵尸都有？投币！
啥？
嗨？？？？？？？
死丢丢
？？？？？？
woc
？？？？？？？？？？？
亿   点   细   节
自创语言？
？？？？？？？？？？？
111
强强
算框架吧，方便调用
????????????
可以 很赛博
牛皮啊！卧槽
？？？？？？？
你牛，反正我没那毅力学不来 学不来
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
脑a
嗯？你不对劲
？？？您高寿啊
十年把一个玩透都不错了
圆形战术，满屏的那种
斗宗强者，恐怖如斯
是开始吹牛了吗？我错过了什么？
？？？？？？？？？？？？？？？？？？？
这就是基础太差吗 我哭了
你不对劲
????????????????????//
？？？？？？？？？
？？？？？？？
好家伙，大佬
?????????????
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
wk
白嫖玩家的力量！！！
三连了三连了
六边形角色
这些能自学？？？？
鸡皮疙瘩起来了   大佬
我辈楷模
？地表最全能战士是你吗
我辈楷模么
恐怖如斯！！！
？？？？？？？？？？
如果你真是零基础，能做到这种地步，这种人不是疯子就是天才
？？？？？？
收徒弟吗？
我可以发弹幕喽
????????
？？？？？？？？？？？？？？？？？？？？？？？？？
？？？
握草
圆形战士
斗宗强者 瑟瑟发抖中
？？？？
？？？？？？？？
这真的是热爱啊
加油
woc
兴趣是最好的老师
音乐也自己搞nb
？？？？？
成长    A
ohhhhhhhhh
？？？？？？？？？？？
？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
这叫太差。。。
首页通知书到了
太抢了
起飞！
你的头发还好吗
？？？？？？？？？？？？？？？？？？？？
其实这并不算语言...
？？？？？？？？？？？？？？？？？
Fl Studio 20用户哭了
此时三连
这位巨佬让我想起了达芬奇
这就是为什么3A大作都要一个团队花好几年才能做出来了
？？？？？？？？
《差》
你在开玩笑吗
？？？？？？？？
？？？？？？
????
？？？自创啥
献上问号？
太厉害了
我的基础点可能是负的
这么草率吗
这？？
太牛逼了
说实话你不是人
？？？？？？？？？？？？？？？？？？？？？？？？？？？？
我不配当人啦
我也曾经想过，但是没有走下去。。希望up一直走下去，做出好游戏
一股魂斗罗的味
 过分了哥
把这个弄成我的起床音乐
大神啊
太太太他吗6了
