来自星爷的肯定点头
这BGM听得人头晕。。
心境多么豁达
前面的，王宝强存在的意义就是让你不要随便狗眼看人低
这个经历背景就是一个很好的剧本
没经历过苦当不好演员
几十万的群众演员就出王宝强这一个
甄子丹可打不过王宝强
好励志的
说实话以前很喜欢王宝强，现在的搞笑路线把他毁了
BGM好乱不看了
厉害
成功了都是至理名言，背后没成功的还有千千万。
敬佩
好样的
盲井好看
牛逼
音乐太吵
可惜这么多年就出了一个王宝强
陈钰琪之前也是群众演员来的
说得好
树先生这个一直不敢看
南无阿弥陀佛
贴脸都要被喷？？？
我不如他
这演技不比所谓又高又好看的小鲜肉真实
海贼王我当定了
我悟了
464
星爷拍的角色都是宝强这样的人
他很棒
成龙大哥一开始也被人这么说
那就1000次
树先生封神了
这段话是真的
一线演员直面这个奖项
最初的时候也是非常自卑的
第一次可能没有
王宝强值得
前面的 道理都是你上学出来的？那不得走入社会啊
树先生那演技真封神
bgm是真的吵
他可以的
槽 结果最后钱都被马蓉弄去了
子欲养而亲不待
周星驰也是同样的经历，不过周星驰天才，能力太强
好样的
双重bgm
树先生真的 戏好
佟大为老师
？？？？？？
甄子丹打不过王宝强给我整乐了
前面的这是甄子丹自己说的
为什么当时没发现?
仗义疏财也要得分，智慧的行为也要得分，讲话也要得分，信也要得分，总而言之，作人做事，要晓得自己的本分，要晓得适可而止，这才算成熟了
厉害了，成龙都要叫一声强哥
敬佩
这无疑是值得尊敬的
文化和学历无关
成功的路上充满苦难
坚持努力有天赋不服输的人在哪个领域都能成功
他成功根本不是逆袭，是苦尽甘来
树先生封神
这才是演员
哈喽啊 树哥
宝强说的这些鸡汤不是从书里读来的，全是他自己的生活，他所经历的告诉他这么做这么想是对的。​
星爷应该会和他共情吧
妈妈看着很面善。是个老实人
Hello树先生
能成功人家也是有真功夫的
莫欺少年
我以为我开了两个视频 你这bgm在这叠buff呢
他好真诚啊
老实人就该被枪指着？！
戏剧学院现在选的都是帅的 美的，有才艺的，没有多元的不一样的学生了，所以他们毕业没戏拍
bgm
bgm好乱啊
要是当时放弃了，也就真的放弃了
大闹天竺挺好的呀只是没有人去电影院看而已
宝哥的宣传不到位
这个就是圈子和人脉的力量，有些老板也是这样的垃圾，门缝里看人，总觉得自己牛逼很狂，比如丹阳仅一老板，还有的老板就是一个阴毒，比如无锡的福建人丹尼克尔，整个公司都是阴毒，拉帮结派，员工也有他妈狂妄自大。
树先生真的是巅峰了。
你是幸运的还有很多人没那么幸运
多好
少林武僧
至少他来了他愿意面对
挺实在的
真诚面对自己的人起码对得起自己
没人说坚持一定成功，但努力肯定比躺平成功概率高啊
星星也是8年龙套啊
"拜托,星爷是TVB科班出身！跟好多一线天王都是同学,不知道前面的你在说什么"
宝宝加油
宝强，一直支持你！
伯乐不常有
宝贝(♡˙宝宝是被离婚洗礼过的人，人品没得问题
呜呜呜呜竟然看哭了
现在中国多少的电影电视剧根本就是在侮辱自己
生活欺负好人
谁还记得王宝强是跑男的
少林俗家弟子不是武僧
矮大紧
他戏路很宽的 希望能选些好片子来演 而不是一味去挣快钱迎合观众
成功了说什么都对
宝强还是实在人
封于修真的帅炸
前面的，那两个品质确实是很好的，但是不一定会成功
尊重电影的人也应该被尊重
他赢的起也输得起
唉 宝强妈妈去世了
水滴石穿
成名后人品怎么就不行了，人都有缺点，宝强算不错了。
你尽管努力能赢算我输
像曾医生
贴面礼，不至于吧
树先生封神
星爷宝强好多了，那会无线科班和梁朝伟关系也好，长得也帅
平顶山 小刘
唉，子欲养而亲不待
拍电影要那么好看的人干嘛，又不是爱豆，电影是演员演员！！
我从来不会让别人把我限制住了
BGM太吵了
真实，喜欢他
宝强是越来越自信了
这是有经历的演员，演出了好的作品
有点像三木
++++++++++++++++++
内心真的好强大
既分高下，也决生死
1000+
最近面试怕了给我推了这个，泪目
最早的是天下无贼
输得起，宝强真男人
永远相信自己的力量，而不是被别人三言两语限制住
真男人
我真的打不开了
贴面礼而已 
jkiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
宝强才是娱乐圈的一股清流
bgm让我觉得很奇怪
树先生真好看
其实他也没说错 宝强有几个
有道理
勇敢的真。
贾樟柯
这么感人的么
天赋异禀好嘛
盲井
至少宝强对待演戏是踏实肯吃苦的
因为他社会历练太多了，不一定非要受高等教育
挡刀子 得机会
那就102次
坚持是最难的
宝强是一个好演员!
星爷感同身受
运气也很重要，那么多人天天努力，天天卷，也不是谁都行的
普通话越来越好了
找那个媳妇儿真是坑人啊
树先生，演技巅峰
励志
bgm配的挺好，下次别配了（doge
太棒了宝强
我又可以了  感谢宝强
泪目了
三木
很厉害
现实里大部分这样的 没几个能走出去 这都是“幸存者”
右边的那位是许知远诶
真的强
决心
这断句吓我一跳
好帅哦！
一线的
宝强还是很朴实的
我要加油写小说我也一定会成功的
树先生演的绝了
光头这个画面这个眼神。绝了。完全像变了个人。。这个状态有点帅。
演那个反派。让我惊讶他的演技。。超级喜欢。。。希望多几个王宝强。
其实看跑男之后。没有那么喜欢宝强。。忘了他是演员。。现在回顾才发现。他是好演员啊。
我真的渴望社会上多一些王宝强。少一些资本上位。
最早的不应该是盲山？！
星爷各方面条件还是比宝器好的
真艺术家
厉害
宝强我是认得
确实拍不了
对
敢上台领奖就很了不起。
兄弟们把尊重打在公屏上
尊重
就冲这个态度，好！
真男人
少林寺教人学道理
699个在看
没事呀，我们大年初一去的，就图一乐呵嘛
盲井
为什么在宾馆接受面试……细思极恐
树先生牛逼
和考研一样，坚持
那就102次啊
别说他运气好，不去看他的努力
实在人
什么天赋，人家是努力加坚持
离婚那时他没流动资金，借钱首先去缴税，对比薇娅，唏嘘不已
树先生足够证明实力了
卧槽，真踢！
演员不是光漂亮个子高就行，生活是多彩的，不是光有美女帅哥。
不要全信 他有天赋 他有机遇 但不是所有人都有 放弃也是需要勇气的
说得好
量变引起质变
好妈妈好儿子
冲！
哈哈哈哈
经历的多了，就懂了
有几个王宝强啊。
配的什么鬼乐
树先生，内地演技巅峰
想起桑婆那年奥斯卡和金酸梅
搞这么多bgm
宝强真男人
普外科曾医生。
普外科曾医生。
亲人在乎的不是你回不回馈，而是你过的快不快乐
这是我唯一认可的现代偶像
备注：明星演员中的↑
我爱钱
像佟大为
双重buff
这才是生活的朴实啊
喜剧之王
莫向外求
封于修前来讨教
宝强很真实
听说宝强现在学开飞机驾照呢，厉害啊
我把我自己锁上了
宝强是个好演员 也是好人
树先生无敌
树哥
演员 本来应该各种样子，又不是选美明星
佩服这样的人，普通人的努力跟他的努力不一回事
少林寺待过好久吧
你好，树先生
树哥，封于修，许三多，都太经典了
大数据
王宝强真的很牛逼！！！！
杉
.
是个强人
什么乱七八糟的BGM
宝强这个有点帅呢
？？？？太过分了
树先生演的真好。
别忘了宝强是真的少林弟子
人成功得到尊重是承认自己所有，对的错的
悟 就是一把钥匙
男人
十年？二十年也出不了。
我觉得大闹天竺挺好看的呀
树先生
一个坚持不懈还被命运选中的人
当幸福来敲门
我佩服你
宝强其实很有天赋
真想知道这个导演现在心里啥样子
这里神似梁朝伟
神似梁朝伟
任何时候不要看不起任何人
hhhhh
树先生演技炸裂好吧
树先生
最早的是暗算阿炳
封   神
好家伙你放了几个bgm
封于修！
啥！？啥！？这是啥！？
洋气呀最讲究礼仪的国家学起贴面礼
河北实在人
王宝强跟释小龙一块练的武
实在人
宝强真男人
这个BGM在干嘛
电影还行啊
一个人的
电影还行
演技其实还是真的可以的，人物塑造对的都没毛病
封于修表示要切磋一下……
你所看到的天赋，都是人家背后付出了多少努力
树先生确实封神
一千个人里也出不来一个
宝强牛逼
这bgm牛啊
当时看的时候就希望封于修能干掉甑子丹
最近在干嘛呢  好久不出来了
king
你可以永远相信宝强
还得恰当好处，过分相信自己也会搞砸事情
尊重
BGM有毒
感觉王宝强现在比以前帅很多
和他一样的有几个可以出来啊
想想有多少一辈子没起来的。。。
然后唐探三又欠一次
不开心你就来sool
很励志，但现实是努力了也不一定有人家背景好的强，普通人真的很难
王宝强这样的毕竟少数，现实很残酷
马容赶紧死
树先生
哈喽啊！树哥
那导演格局小了
bgm好乱好吵！
尊重个毛线，自己拍出个什么东西自己没点逼数吗，主演是有钱收就行！
唐探三他不是导演…是陈思诚好吗？
盲井
爷们
高成说许三多是心理上的侏儒，现实中的王宝强却是心理上的巨人
好家伙，成龙大哥给足面子了
记得还，下次我来看
灰太狼
盲井
宝强你武术了得啊
戏路越来越宽了
对对对
宝强哥 这一段说的真棒
这不就是喜剧之王吗
他们才是最真实的
许三多yyds！
平民演员
树先生，吸烟，，，yyds
背景音乐打架了
这音乐笑死了
王妈妈去世了
金扫帚奖 呵呵了…哗众取宠
后来才发现，说后来才发现的这个标题真的能骗人
特别真诚
树先生，封神
一个老婆一个经纪人愣是没有扒出黑料，这还不说吗王宝强的真实吗？
喜欢宝强
有点东哥的声音
星爷能理解
不管是谁能红都需要时间，张国荣都十年才红，星爷八年龙套
男人
那个导演现在应该不知道去了哪里了吧？
勤奋坚持不一定能富有，但不勤奋不坚持一定穷
宝强好执着
确实真诚
王宝强的老婆和经纪人居然都没有他的黑料，这个厉害
这真的是跟别人不一样的地方
北漂还有无数个王宝强没成，就一个幸运的
一个人的武林
妈妈被马蓉气死了。。。唉
盲井
强哥
要说娱乐圈全是渣男渣女，只有一个好男人，我投宝强一票。
欣赏
穷怕了
我觉得挺好玩
我觉得挺好看的，挺热闹
hello啊，树哥！
内心纯净的人才敢面对
马蓉出来挨打！欺负老实人
马蓉就是个垃圾
树先生
士兵突击超好看
了不起
封于修都敢欺负，活太久了是吧
不，你有天赋
挺喜欢的这样的演员的
封于修
找马云，他钱不重要
币有了
国产货玩点子洋活
虽然我不喜欢他，但是我尊重他
树先生封神
你这bgm什么玩意
@肖战
贾乃亮也是好男人吧
好家伙法老
真爷们
所以王宝强才成了难得的好演员
宝强士兵突击真的时候困难的时候精神寄托
bgm是真的吵
努力是最好的天赋
封于修的演技真的很到位…
就凭他认真的态度，我期待他作为导演的其他作品
也就只有这样的人才能演我们啊
封于修！！！
棒！
真诚
双BGM好难受
天赋型演员
在宾馆其实很正常呀，面试有的就可能就是在酒店宾馆，不要想的歪
有的剧组就面一些群面确实就是租个宾馆房间啊也没多少钱
星爷感觉能认真听下去。
盲井
盲井现在是禁片，国内的影视界就是个笑话
树先生不错
但是路人甲们呢
找老婆要擦亮眼
树先生
好编
帅
现在很难出草根明星了
盲井
这个电影还可以啊我觉得
bgm真TM恶心
说得好！
不用还了
盲井
就是许三多本多了
很多都在宾馆面试
龙叔都要叫声哥？！！！
离婚了 没爆黑料
大闹天竺真挺好玩的
宝强是个实在人！
不是煎饼侠嘛
听说过叠水印的这还有叠BGM的
不知道为什么，每次看到王宝强的自述就感觉其实，世界上没有什么做不了的职业，只有不坚定的决心
今年他有什么电影？？
尊重
这哥们精着呢
马蓉该死！狗女人
许三多本尊
去年买了个包
宝强编制了多少横漂的梦
龙叔都喊声哥？
真诚
希望他以后不忘初心，方得始终
现在总算明白星爷为什么找宝强当主演了 其他人都不太干净！
双重bgm
三重奏
大闹天竺感觉还好，但现在遍地烂片
眉毛他！！
没茅台！！
人善被人欺啊
贴郭敬明容易受到律师函
为了梦想就别怕残酷
枕边人都没法黑的人
他好真诚
尊重拍成那样？
某导演:因为有烂观众才有烂电影
谢谢你的尊重，你真的很厉害
树先生看得我有阴影了
我要做未来最棒的主持人，我要和他站在同一个舞台上
大闹天竺我有看
树先生真的牛
周星驰早期也是这经历
宝强好电影电视剧挺多
牛
喜欢树先生
真诚无敌好吧
王宝强yysd！！
感觉以前宝强演戏的风格适合他，现在感觉不太行
一个人的武林特别好看
喜剧之王的情节
当初嘲笑王宝强 其实都不如王宝强
这是十三邀，主持人不是矮大紧
一个轮的五菱
一个人的武林
被生活练出来的
一个轮的五菱
这个 bgm真是无语
故余虽愚，卒获有所闻。
秘技 双重bgm
尊重
输得起
我感觉封神的是一个人的武林
这背景音乐好像有两个
王宝强的成功让无数普通却怀有演员梦的人浪费了最好的年华在横店，在北影门口，最后只能两手空空，一无所有
努力勤奋的p用，要不是被导演看上，这辈子也不过是个搬砖的人
比逐梦演艺圈好看多了
王宝强算一线把
感觉他好真实，活的好真诚，通透
王宝强绝对是个汉子
树哥
就像是苏炳添说的。永远不要给自己设限。
账号解锁封于修
太牛了！
22考研结束了，23加油！等着我的一百零一次！
王宝强和甄子丹拍的那部电影不错
求关注平顶山刘玉锟
这是电影里的
肖战敢来？
不要说这是别人的天赋，没有努力啥都不是
枕边人和经纪人都抖不出黑料的演员，你说牛不牛？
他很能吃苦而且很有想法
背景音乐太吵了，up这二次加工
宝强加油
音乐是配重叠了么？
“悟 ”确实 我现在终于懂了 说得太好了
bgm特别优雅的打成了一团
实至名归
我觉得宝强很好很好
老了
低配版喻恩泰
许三多
树先生
马蓉垃圾
真诚
王宝强妈妈本来能活挺久的 结果被马蓉气得住院 无效死亡 你说娶这样的女人家门不幸啊
王宝强妈妈被马蓉气的住院抢救无效死亡 本来能活挺久 
但是你已经很幸运了
bgm吵死我了
虽然被绿，最起码你也是个富翁
哈哈哈哈嗝
他第一次当导演，很正常，继续努力就好。
可爱的人
人肉，看看哪个副导演这么牛
很勇敢啊，比经不住批评的人强
大闹天竺挺好看的
希望肖土豆可以学学
宝强可以的，加油，
1.5线，1线是肖战
小谢！！！
封于修！老牛逼了！
百万播放还多重bgm折磨耳朵，槽了
我整死你！
宝强yyds
可惜妈妈走了，子欲养而亲不待啊
真的能出来确实不容易
正直的男人
加油
盲井
bgm太烦了
什么神仙背景音……
武功是杀人技
做有意义的事
大闹天竺确实太尬了
周星驰也是这样
唐探三可不怨他
他当然是一线啊
想哭
请各位有空移步刘玉坤事件，别让热度下来
一个人的武林
什么双bgm
能停止演奏吗
音乐声小了点，差点听到王宝强说话了
反而要顶
郑恺你是死在女人手里的
这是喜剧之王的观点
光头挺帅的
挺牛的
挺励志的
这BGM赶客的吗？
王宝强不是一线你是？
王宝强太真实了。
在下封于修
我觉得还行啊
有郭晓东和涂们老爷子哎！！
敞亮
内心强大的人啊
你是奇迹
是个有想法的人 内心极度丰富
突然感觉这个男人蛮帅的，WC这是心理作用吗
你就是真演员，比现在大部分所谓的演员好太多太多了
既决高下，也决生死
一线演员，不是一线明星，明星那个一线你说的是流量吧
和史泰龙一样
格局
我们村里的我很骄傲
宝强确实可以。
333个腹部绕杠
注意这个是电影。。。
我被背景音乐劝退了！太乱了！神经受不了了
宝强这波其实是高阶操作
这世界有太多烂人喜欢对别人指手划脚了
可惜老婆是个人渣
树先生封神
哈哈
知耻而后勇
君子也
宝强导演确实一般哈哈哈
雄狮少年
雄狮少年道歉了吗
曾经我的简历也一样被丢到垃圾桶里，后来我就哭了，哭过之后，继续找工作
帅的，红就那么一阵，实力才是永存
何仙姑，把你的花瓣给我一片吧
什么鬼bgm
双bgm意思是嫌捣的不够乱吗
要是现在的选角导演有这操守就好了
老实人吃亏
好吵！
确实要自己去悟
哭死了啊啊啊啊啊啊
你好样的
坚持不懈就是胜利
好像原话是史泰龙的？
宝宝有格局
多重bgm直接升天
实在人
金扫帚有xz哥哥那年，这个奖和汪海林都被冲烂了
穷哈
能出来确实不容易
他能证明，努力能成功
现在这个流量社会，不会再有王宝强了
唐探3，你对得起观众吗？！RNM，退钱！
当初离婚，一个老婆一个经纪人都想弄死他，愣是一点黑料都编不出来，你就知道他多好了
树先生封神
平顶山！！！
有句话好，以前让你难受的事，最后都会毫无波澜的说出来
士兵突击啊！
看封面以为药水哥
喜欢taq
天下无贼
宝强有点像灰太狼
顶级演员不代表就能做顶级导演
说的好啊
我推荐宝强主演凡人修仙传
我心目中的凡人修仙传韩立
盲井
树先生真的演得好
长相根本不是一个演员的硬性标准，是一个爱豆的标准
宝宝是个实诚人呜呜呜
到处都在刷平顶山，还看到有人刷PTSH，这刷评论的弯弯能不能用点儿心
目前，我还不如宝强
武痴于修
导演在宾馆哈哈
大闹天竺是真的不行
宝强毕竟还是极少数
哈喽啊，树哥。
为了王宝强我们全家去电影院看的大闹天竺，空气都尬住了
真的棒
hello mr.tree
盲井
对他一直有许三多滤镜
道理不是上学能懂的，道理都是一步一步走出来的
妈妈已经走了。好心疼宝宝。
佟大为
群演的梦，幻想着努力能成王宝强，现实是现在根本不可能
绿帽王
佩服
有了经历说话也越来越利索了
十三邀是很不错的书，推荐
我不装了，我是龌龊的渣男​
我不装了，我是龌龊的渣男​
其实这个副导演说的不算错，普通话是最基本的
真男人
有这态度，何愁观众不尊重你
马蓉把宝强妈气死了
被遗弃的勇气
妙法莲华
树先生封神
101次不行就102次
妙法莲华
你是俺们村儿的骄傲！
唉，宝强都老了
马蓉确实配不上他
继续走喜剧的路反而走窄了，应该继续封于修
宝强NB
他真的太好了，不忘初心，一个前妻+前经纪人处心积虑黑都找不到黑点的人。
真的很不错一个人
真心很喜欢他
一直喜欢王宝强
真男人
封于修绝了
我从来不会让别人把我限制住了。
尊重
李亚鹏
“你看那个人，他好像条狗啊”
树先生真的演得好
这BGM是几重啊。。。难受死了
几个音乐？
无人能及的树先生
2021了，你没个学历看看
树先生我认为是王宝强演技巅峰之作
有些傻缺总喜欢拿别人的伤疤当玩笑
以前演员好多都是生活所迫去演戏唱歌，实打实的有能力，现在少了
树先生可以拿所有华语电影节影帝!
这就是大大方方的，这就是正派，这就是勇敢
宝强是千里马，以前无伯乐
加油宝强！
很喜欢 树先生
天赋型演员
树哥！！！
树先生演的真的好
士兵突击！一个人的武林！树先生！！王宝强的最棒的三部作品
宝强确实励志
期待更棒的作品
他很真实
喜欢宝宝
王宝强励志，努力也确实有天赋
但是世上又有几个王宝强，都是大猛子
这个时候的宝强很老相啊...
尊重就拍了个这？
阿星和小宝强有相同的经历
成功了怎么说都行
天呐
封于修 既分高下 也决生死
胡说八道，拍电影，最不需要的就是导演，懂的不多
skkz
没有人的成功是随随便便得来的
树先生
我那个时候看大闹天竺，我感觉挺好看
不活在别人的嘴里
瓦岗寨李密
可惜被仙女坑了
刮目相看
是个好演员
王宝强肯定是一线啊 准一线
王宝强  完爆  肖战之流！！！！！
哈喽树先生，我看过这个电影
全红婵
肖战是什么？
悟就是一把钥匙
本色许三多
汉子，喜欢你
演员有各种各样的
宝强这人行，能处
能说欠观众这种话的人，心态就已经摆的很好了
没有人能随随便便成功
没什么说的:《担当》
我觉得很帅啊！
喜欢他的真诚，不装
他是真的拼
马蓉真的是不配做人
是个男人！
树先生
牛
导演面演员一般都是在宾馆的，不论男女
我觉着不错
敢于面对自己的错误
缘分，不是命运，说命运不仅是在侮辱别人还在贬低你自己
演员≠明星
现在流量明星就这个长相这样的演技，到底凭什么做演员
大闹天竺不错啊
然后宝强再也没拍过电影
王宝强人品没问题，演技没问题，但目前来看导演是真不行
1000+
一个hello，树先生打破了所有人对他说他不能拍电影的评价
respect
哈哈
哈哈，强哥
这tm是戏里的一段啊，肯定定的台词
这是电影片段啊别瞎激动
乱配bgm司马
一看到王妈妈就想到那个垃圾
真的好励志
连前妻都挖不出黑料的人
马思唯
这背景音乐有毛病吧
王宝强母亲太可惜了
我记得大闹天竺还可以呀
当代吕蒙，加油！
用朴实更好，现在老实已经成了贬义词了
我不如他，我在追赶他
好像龙神
这里！龙弟弟！！！
宝强真男人
宝强练出来的是智慧，智慧和学历没有任何关系
马蓉真是作丢了宝藏
这话说得太大气了
、、
这电影还可以
好，输得起
我觉得大闹天竺还好，烂的多了去了
打破藩篱，切不可心门紧锁，画地为牢！艰难困苦，玉汝于成
他真的很真实
树先生演技真的炸裂
除了被绿了，其他都还好
爱是一道光，绿帽你发慌
马蓉毁了你
盲井，树先生，天注定，新喜剧之王，都特别喜欢
102次
内心强大的人才会不忌讳说自己的出身。
能平静的说出来我觉得很牛逼
从三多起就一直喜欢他
拍不好不是过错，发律师函才是。
娱乐圈这么真实的人太少了
王宝强没得黑，努力上进，当初前妻和前经纪人这种都挖不出黑料来
王宝强被唐人街探案坑惨了
一个人的武林演的太狠了
别说了，甄子丹现在谁都打不过了，键盘侠牛逼
这BGM，币没了
树哥演的就很啊
泰囧也很好啊
哈喽啊！树哥
顺溜，树哥，好看，
就是遇到了坏人，本来未来该很好，其实现在也挺好的，加油。
BGM太大声了
我要做你的粉丝
好学，那为什么不多上的学
《宝强哥》
那个电影确实很难看。唯一买了票没有看完走人的电影
BGM是二重奏？
宝强真的很有明星像
这个背景音太杂了
还玩个贴面礼
说树先生的，封于修了解一下。
星爷前期也跑了好几年龙套，他能懂
哆啦A梦，我悟了
这种精神成功只是早晚的事
互斥
说话还是这么朴实
有几个人能碰到刘德华，刘若英来帮你？
傻根演的真的很好好极了
树先生
坚韧，自强不息
封于修那会儿看的时候感觉已经不是王宝强了，而是真正的另一个人
Hello，树先生
天啊
一个很有人格魅力的人
营销号非得要加一个BGM 何必呢 掩耳盗铃
我感觉大闹天竺还行，有可能是之前看的淡了。
佩服
真的帅！
不出众的皮相都盖不住的风华
可惜没个好媳妇
树先生，演技无敌
大气
树封神
他真的好真诚 和其它明星不一样
士兵突击我可喜欢看了
加油
演的还行，导的确实不行
说的没错啊
被成龙喊强哥？？？
最起码连经纪人和自己的老婆都黑不了的人，你说他有黑点吗？
0032.00
包贝尔
唐人街探案yyds
这就是现实
别放了电影了哭了
这副导演现在要喊你一声强哥了吧
都是在宾馆见面的群演
直面可还行，这破奖每年都是蹭最热的商业片
宝强哥这里好像灰太狼啊！
你尊重观众就拍个这个垃圾出来？
封于修
好帅呀这个时候
那咋了，现在演员别说普通话，人话都不说，后期配音
马蓉垃圾
树先生封神
是谁呢
考研人开悟了
好样的
宝强真厉害
人生导师宝强
跟马蓉离婚都没什么黑料的人，人品还是值得信任的
BGM什么？
想知道BGM
佩服
大闹天竺是真滴垃
宝强哥可以的
一个人的武林
树先生
树先生封神
牛
宝强是我的动力!
这菜好绿
bgm好吵
勇敢
呵呵娱乐圈里哪个离婚出轨不是互相泼脏水?但是当初马蓉那事爆出来有人给王宝强泼脏水吗??因为根本没法泼
好喜欢宝强
树先生是真的好
看看现在的流量明星
加油加油
以前当演员太难，现在当演员太简单
看到宝强就想哭●﹏●
这个视频不愧能上热门
树先生yyds
宝强可以！
感觉这套说辞好多人用
意识的主观能动性
他是天赋型选手
人的品行和。学历无关
佟大为？
树先生好看
一千多个兄弟，你们好
遇到马蓉这种女人真是倒霉
看不起人
这个是真的牛
邓刚
这才是演员啊   他配得上高薪
哥是尊称，说明他够格，不是从年龄来讲的
树先生
真烂
大闹天竺真的烂
去宾馆谈剧本
只有一个王宝强
我觉得这个还不错啊……
封于修，颜值巅峰
音乐好乱
音乐太乱了
态度对，就对了
说话很实在
