永久免费！？！？
是不是安工程
投币啦
感谢
为up主疯狂点赞！！
吃灰
牛啊
太TM残暴了，牛B啊
你值得三连。
滚去我的收藏夹吧
谢谢大哥
收藏夹吃灰吧
三连了
西工大材科基的王老师
罗振宇：有被冒犯到~
感谢各位大佬~
八达通送来666
辛苦了UP
进我收藏夹吃灰吧
有日语学习的么？？
做个共创的论文平台吧，干翻知网
我一个文科生学了临床医学
神仙idea
学习的天堂
文科生学临床的，太泪了
我在痘印上见过光头哥的课程
三连了
先进收藏夹
收藏支持
怎么收藏来着？
怎么获取呢
收藏为啥不点赞
维基论文
我一个文科生学了护理，想要学好还是有点难度的！
必须投币
法外狂徒张三
感谢
学到了不传授出去 那就毫无价值了
支持
三连了！
卧槽，沈逸大佬？
小心知网律师函你
我才发现，我当时应该去学考古
UP主真是我的亲大哥！
好耶收藏夹吃灰
我在b站上大学！
没有那么多时间啊
美术强推中下游公开课
说得好
up太nb了！！！！
开源之子
白嫖谁不爱？
压箱底加一
一个点赞，就是助力
我对张三很感兴趣
蟹蟹
好耶
共同拆解知识付费伪命题
加油
帅爆了，帮助没有上一辈资源的年轻人
去我收藏家吃灰吧
去我收藏家吃灰吧
对，我就是不知道自己喜欢什么。。。。。
吃土吧你
..........
怎么领取
收藏夹吃灰吧
233333
可敬的人
谢谢楼主，好人一生平安
学完这几百个文档里面的所有内容，30年够不够
必须点赞
收藏夹吃灰
CY//互联网亚历山大图书馆
互联网的创立就是分享
感谢！
法学！我也是！
感谢各位大佬们！
感谢(*^_^*)
感谢up
免费分享，这才是互联网的初衷
谢谢
众筹众筹
mooc
侵权起诉在路上
这个编剧课我加了
文科生学了工科...
收藏夹吃灰
收藏夹吃灰
滚去收藏夹吃灰
感谢up以及所有愿意分享这些课程的人，万分感谢！！
同为法学生
这种三观干净，简单明快不玩梗的视频真的是b站的一股清流，这才是让人心甘情愿给币的视频
bilibili大学
不错 朋友推荐做线上的速营社，我现在一天也有一两百了吧
牛的牛的
吃灰归吃灰，这必须三连
支持一下
知识就是财富的含义从不代表知识是要付费获取的。
感谢分享
这是安工程？
太棒了 我也有这个想法 却不知道怎么做 三连给你
6啊
真实
是否愿意让更多人看到选择权在于版权所有者
信息对称开始了
前面的，文档在评论
谢谢
三连奉上
互联网的初衷啊
知网流泪
优秀up主
文档不存在
文档不存在
文档不存在文档不存在
文档不存在
文档不存在
文档不存在
文档不存在
文档不存在
文档不存在
MOoC
慕课是个好东西，及时选课
吃灰
有没有工程专业的
知网是啥东西
我反对用别人的知识收费的人
文档呢？？？
感谢up主
红楼梦！
元文档
B站大学
只是共享，一起创造未来吧
牛
好梦幻，太感动了
是的
收藏点赞
已三连 小意思
高中有吗
有高中课程吗，日后拜托更新！
吃灰去吧
我在B站上大学
啊
凭实力刷到
我一个理科生迷迷糊糊就选了文学
俺也一样
俺也一样
夹吃灰
超级文本，
学不学先三连为敬了
好厉害
一直在洗脑，过犹不及
啊，
大学生们手拉着手
心连着心
我物理不及格学了电气
前提是自己愿意学，有一定自学能力，最重要守住自律
我姐也迷糊的进了法大，今年年中去德国读博了
想起满分bt不禁唏嘘
好慕课、讲解中高考课程的内容下架了，响应双减
12月新增的内容没有跳转链接，有的搜不到欸
太卡了，用不了
感谢
知识应该共享
我也是理科生结果上了法学专业
罗老师~~
爱你爱你
良心打在公平上
评论里有，进不了就点搜索到得第一个很全面
原来你也玩明日方舟
6
厉害了
2022年第一个三连给你了
感谢引路人
这种up必须三连！
慕课
不是不值钱，是无价
三连送上，以表敬意
好的，去攒灰
看不看 先三连为敬
感谢
"文档有重复,建议筛选"
好东西，支持一下！
别忘了三连
大格局
无产者暴打资本垄断
cooooooool
一键三连，感谢up主
yyds
进我收藏夹吃灰吧
三联了奥
感谢！
人人收藏夹吃灰
怎么一股针味
知个毛线，知网动不动就是钱
太棒了吧！感谢UP主
进我的收藏夹吃灰吧
进收藏夹吃灰去
感恩
激动流泪了
他发视频了，大家投币有收入也会有版权争议，所以大家不要投币
。
爱了爱了
查理
必须吃灰
收藏夹吃灰去吧
这才是互联网精神的体现
感谢
打不开了
B大
这好棒呀！
我一个文科生学了地理科学
‘
yyds
辛苦了
进
赞
我一眼就看出来这是安工程啊
为什么只可以投两个币，我也不想白嫖鸭
感谢各位大佬
好人啊
哈哈哈培养兴趣
b站——学习网站
好好好
哈哈，我好像填了查理的编剧课
好的大学没有围墙—>三峡大学
以后有人问那个大学毕业的就说b站大学
我们联合！
真心感谢
新闻学学生感谢你的喜欢
顶了，马上去看
越看越眼熟，然后卧槽，这不是我学校吗？
我们联合
科技树
好厉害
会成下一个知网吗？
宋浩老师牛逼
g
王嘉尔总站排面
《超体》电影有个理念：生命的意义在于知识的分享和传承
温铁军！必看！
谢谢已经三连
太厉害了吧
这也太牛逼了
1
文档不存在呀
谢谢
我也是 哈哈哈哈 纯属被自己坑了
收藏从未停止行动从未开始
感谢每一个人，up主也是功不可没，是你“开创先河”
感谢UP主
太牛逼了
良心 up主
辛苦了！
当代孔子
查理老师哈哈哈哈哈
我们意念合一
投币了，当我的学费
三连了
宝藏up主  必须点赞
已三连
宋浩
在哪里呢
Love Share
感谢感谢
会分享出去让大家都看到
我也是法学
任何技能都能通过训练得到（除非你不像得到）任何企图阻止你此过程的人完全可以认为他们图谋不轨
妈妈再也不用担心我的收藏了
希望能找到心理学课程
真不错
我要去看
感谢感谢，太感谢了
谢谢
！法
非常感谢好心人。。。。呜呜呜呜
好活儿
真是宝藏！
怎么获取
牛逼
哇咔咔
吃灰
你是说法外狂徒张三吗？？（手动狗头））
格局打开
先赞，再投币。再看。虽然我用不到！！！
感谢分享
《迅 速》
迅速？你太高估我了
白嫖YYDS
太好啦
领域内的妹妹
收藏！
谢谢大家
开源
收藏夹吃灰去
谢谢啦
为了看而看
收藏收藏
进我收藏夹吃灰~
这要被人整的吧
支持
牛蛙
关注了
知网呢
文档呢
收藏吃灰+1
谢谢谢谢。
无论用不用，up有心了
三连，吃灰！
谢谢
不投币都不好意思了
互联网精神！
永乐大典
收藏夹吃灰吧
感谢您
三连
知网老总的初衷大概也像你一样，挤掉对手后就开始收割
ll
先赞为敬
宋浩？山财？
成年人也喜欢的
我一个理工直女学了英专
一键三连，退出，就当学了
旧奶瓶
有学普通话考级的吗
吼吼吼
量子力学！
学不动了
C++从入门到入土
混入其中
一键三连
我爱死你了
谢谢你们
感谢
吃灰去吧
打卡，加热度
感恩！
进收藏夹吃灰吧！
DAO（doge）
哇哦
有声乐么？
伟大！
互联网优秀共享精神！致敬！
文档在哪
收藏夹吃灰
物理考八分选电子怎么想的，泪目
张三驾到
感谢
""
