有帮助
QQ截图还能识别文字
一堆鸡肋
鲁大师！360！腾讯电脑管家！酷我捆绑系列！2345@%！
没有listary吗
马
真忽悠小白
好，进我收藏夹吃灰吧
3d mark
这个有orc文字识别么？
富强软件
QQ截图永远的神
我360全家桶一套搞定
阿香婆牛逼
火绒
QQ截图挺好用的
小白不要安装！！！ 360广告可以关闭
N卡截屏不香吗
2345
欢迎来到收藏夹吃灰系列
大家一起中病毒
CClear值得推荐
加油
直接一个IDEA全部搞定
进我收藏吃灰吧
惊现本命！
电脑截图，系统自带
确定？
os退出
在用
这收藏量离谱
geek收费
geek
360安全卫士（doge）
火绒了解一下
windir呢？
sql server表示不服
金山毒霸
360永远的神
2345
收藏 再见！
360
QQ无敌
eclipse
360
qq截图不香嘛
visual studio
360
QQ截图
这个真的好用
这个会误删，不如iobit
给你一键一连
360
223332
收藏比点赞多系列
2345
真实的收藏量
DEV C++
LOL
360的我
QQ截图我认为最好用，一键识别文字和翻译
electron开发
pycharm codeblock OD CE 
qq
360全家桶
那可不  要钱
鲁大师，360，金山毒霸，腾讯电脑管家，2345安全卫士
不装非必须的国产软件，控制面板就可以了
去我收藏夹里吃灰吧
吃灰
无脑黑360？C盘满了跟360有什么关系？
360软件管家卸载很彻底很干净，谢谢
第四款相信我，真的没用
不知道那些非要装C盘的人怎么想的...
我竟然口嗨了一整期视频，因为的确没什么用
购买电脑，必须先买电脑配件
spacesniffer
xbox手柄截图
2345全家桶表示你说啥？
我选择火绒，还是符合国产环境
360
6666
我用qq的，反正截图就要发出去
360可别逗我了
这个牛逼
360
不能长截图，还是要用QQ的长截图
Ansys2021
qq截图
QQ截图好用啊
惊现金秀贤！
华为matebook14 直接触控截屏
360
电脑不是有自带的截图吗
idea
C盘满了正确做法不是买个1T的M2固态装上?
cleamypc全方面电脑文件垃圾清理
这个我装了
装软件？那也要有电脑撒
360
火绒可还行？
不需要
都不需要
这第一款装完 根本打不开 
火绒
都是英文的呵呵
没钱买cleanmypc呀呀呀呀
吃灰去吧
下完了，捆绑一堆软件，不断给我弹小广告
IntelliJ IDEA
qq
这是收费软件啊
看看收藏比例吧
idea
mac溜了溜了
先收藏，几年以后能用到
qq截图
收藏夹吃灰系列
这个是神器
看了这个视频半夜起床把360卸了。
。
TGP
这个我下了
有壁纸吗
cs go
git
Chrome
Vscode
360
360
这不先把360下载？
vs的笑死了哈哈哈哈哈哈哈
这个有
当年我用这个软件把室友电脑里好几十G的《学习资料》分析出来了
QQ截图好用
一个电脑管家就够了
vc++
吃灰去吧
sublam
vs code
mysql
吃灰！
吃灰吧
这截图软件今天刚下载，好用的一批
cleanmypc是要花钱的，哪来的免费？
换个硬盘不就行了吗
装Arch Linux(操作系统也算软件呀)
求求大家试试snipaste吧！！真的相见恨晚啊 
这个是真的良心
！！！，这个是真的可以
600块钱
我360用十年了，很好用=、=
360
火绒你值得拥有
为啥我装的是俄语。。
控制面板
这个有
VScode必装啊
QQ截图+1
360 2345 金山毒霸
火绒
火绒yyds
火绒yyds
火绒yyds
360！！！！！
2345全家桶（doge）
360安全卫士系列（手动狗头
vs code
全是要钱的也是醉啦
我选择win+shift+r
肯定是QQ截图
360
2345
qq
cleanmypc不是收费的吗
电脑截图哪家强，还得看我饶罗翔。
Visual Studio
感谢
VScode
噔噔噔噔
FolderSizes 推荐这个 比较实用
360
iobit香
这个我有
这个超好用
2345全家桶
360
银轴?
快进我的收藏夹
但是 这个一直开着打游戏会卡
这个有
steam
呵呵
"CLion,VS2019,VScode,IDEA,pycharm（doge）"
utools真的吹爆，插件很实用，打开软件也不用回到桌面，还内置everything搜索
Python那个你想干嘛
进我收藏夹里吃灰吧
在哪下载
CCleaner
wise program uninstaller
QQ混蛋，草泥马
2345表示不服
我的学习资料也被看见了
我选择火绒
vim，nano，spacevim
360(doge)
还黑360？
steam
给我去吃灰
去我的收藏夹吃灰吧
Quartus！！！！！！！
2345
火绒
火绒
火绒
qq截图就是扒的别人的源码
vscode
php天下第一！！！
matlab
DEV C++
win10自带 截屏 录屏 视频剪辑
geek有
好咯，终于可以发弹幕了
收藏
你们不用QQ吗？？？
太棒了
pickpick
qq
丢~哪个是免费的啊？
 Qi
要钱阿
360：你直接念我身份证得了！
QQ截图最强
火绒，永远滴神
电脑眼
必安：PyCharm，Eclipse，Android Studio，VS Code
还有一个很重要的你忘了，DiskGenius[滑稽]
clean my pc怎么成免费软件了？
360是你们不会用吧？啥大佬啊，非显得自己专业黑360
对呀，cleanmypc是收费的啊
到收藏夹里面吃灰去吧
这个也不干净
火绒
盖茨给你的截图不够用？
360“你再骂”
滚到我收藏夹吃灰去吧
Steam
那啥我润玉仙？
鲁大师（不是
VS code
攒钱买电脑40/10000
进收藏夹吃灰吧
免费？
geek贼好用
docker
anaconda
去我收藏夹吃灰吧
VSCode不是编程用的吗
Qq啊
360我用了10年了
360啊
正版 永久版  500多RMB
360
2345
32万收藏就离谱
火绒不服
夹吃灰
vs
2345
2345  哈哈哈
一向不建议随便清理
吃灰去吧！
360
收藏是赞的两倍系列
一激动手机飞出去了
快压
360
欢迎来到压过年系列
2345
2345
去我收藏里吃灰
裸奔才是最好的选择
steam()
QQ
cieanmypc
收藏夹里待着去吧
不都是360卸所有再卸自己么？
vs2019
火绒
确实
qq截图
刚买的电脑跟新的一样
手机拍照
360浏览器
收藏夹吃灰吧
谢谢我没电脑
收藏夹里吃灰吧
Git 
cy
我用网易邮箱大师截图。。。
360yyds
真真假假
QQ截图真比不上这个
免费？？
pycharm
键盘printscreen键（doge
谁下软件下V盘里啊
谁把软件下C盘里啊
这就去下载
o
2345
吃灰吧
所以为什么是mac？
360
steam
clean my Mac 同款？
火绒yyds
android studio
jvm
360:你再骂
火绒！！！
居然有软件敢在中国和QQ争夺第一截图软件的地位？
到我的收藏吃灰吧
这收藏量就离谱
全都是垃圾软件……
shio
收藏数就离谱
推荐大家使用老黑牌电脑配件……
QQ了解下
我电脑怎么没有C盘？？？因为是苹果
就这软件，用完电脑就重装了
推荐 TOTAL UNINSTALL 用过的都说好
ShareX笑而不语
WizTree笑而不语
建议直接买苹果
能卸载我的电脑吗doge
这个收藏量好绝
华为管家截图
Windows自带的卸载软件卸载不干净的咩？
IDEA
到我的收藏夹吃灰去吧。
火绒呢
会员
火绒yyds
？
CAD
360
steam
但我电脑呢
2345病毒卫士报道
这是啥
大哥这软件将近200块钱
N卡自带
后两款都有。前面是三个没有
鲁大师
QQ截图哈哈哈
2345（doge）
爱了
360：你干脆抱我身份证得了
vs code python
printscreen
360啊
？
会员
steam 截图也可
360  金山毒霸  电脑管家
cleanmymac
360：你在骂！
这几个的功能windows都自带啊
有可以修改银行账户余额的软件吗？
没有长截图
360，鲁大师
影音先锋
没内存怎么下
360
收费的
惊现长胡子小崔？
必装2345（doge）
吃回去吧
爱了爱了
电脑截图唯一指定侵权
注册表也能删吗
FSCapture
上边的，你忘了2345这个硬件了
QQ
你说的360永远滴神
吃灰去
这款软件是收费的..
超赞软件
决定了，去我收藏夹里待着吧
没卵用系列
是不是要安装学习资料
这个好
2345（doge)
火绒+Dism++路过
看不懂
做前端用来提取颜色挺好用
360浏览器
为什么我没有C盘
第二款:2345（doge）
便当键帽？
Visual Studio2019
"obs,Python,C4D,live 2d "
怎么还有C盘
idea必装
360
必装2345
就想问下怎么下载
ieda
wegeam
QQ截图
Tree不好吗？
就凭这个夜神润玉给你三连了
用的QQ拼音截图，一个2用，还是挺好的
360
截图这个我在用
idea
不懂就问，能不能把2345删了
快截图
金山毒霸
geek我也在用
UC永远的神
这歌太好听了
这个太好用了，好评
太好用了
dism++
咋还要600大洋
2345
2345
win+shift+s
夸克
"？,d,"
你这还一个一个记，一个一个下，我一个360都有了
越变越大是因为搜索指引
免费？
收藏比比点赞多
系统自带的挺好用的
0.
都是外国软件，优秀民族的软件呢？？
steam
win+G最强
能快速建模吗  能快速绘图吗 能快速编程吗
能卸极速输入法么
收藏里吃灰去吧
那他喵叫geek uninstall
360。2345 P2P  .快压。
wiz
这波封面说的免费是开玩笑的吗？
360
360
prt
这个软件真的无敌
比qq这个强多了
steam
刚买的电脑，下一秒就看见了
powershell
steam
那当然是鲁大师了（doge）
多亏只用苹果
360
要钱吗
火绒可以吗？拦截广告的
jdk
巫妖王360
我就常用Steam
Dev-C＋＋
第一个这也不是免费的啊
everything不香吗
有没有好用的文件搜索软件？
360:说谁呢
eda
MATLAB
五十w收藏，25w点赞就离谱
好家伙我用搜狗输入法截图
进我收藏夹吃灰吧
50万收藏就离谱。比点赞多两倍。
截图还是QQ
Win10自带不香吗？
Win+shift+s截图
geek
鲁大师算啥？360必装！！！！！
妙
妙
"但凡用过其他的卸载软件,都不会用geek吧"
指360
看见badlion了
QQ
火绒
wallpaper e......（狗头）
360yyds
、、、、、、
360全家桶
都不是免费！up在放屁！
都不是免费！up在放屁！
都不是免费！up在放屁！直接举报！
都不是免费！up在放屁！直接举报！
举报了
怎么都是英文名字
QQ截图
这款终身580rmb左右
话说你买得起电脑吗？
老铁们，你们买得起电脑
dism++了解一下
放屁
告辞
360
金山毒霸
免费？
2345
p2p下崽器
没有滚动截屏，对需要做图的不友好
进我的收藏夹吃灰去吧
1tssd欢迎你
收藏夹吃灰
quicker插件比较多
鲁大师，360，2345，腾讯管家
geek不仅删的干净甚至删完还把自己也一起删了，绝了
VScode
idea
已经截图
直接1：:08截图【不谢】
基金持仓
QQ截图
uturns
收藏量感人
360:你直接念我身份证号得了
还带内网穿透
那个老哥搁着养蛊呢
我觉得360挺好的
Xbox不行吗？
Steam呀
没用
我看到评论有一半是黑360的，我想问问这世界怎么了，另外一半是没有键盘吗
免费？都得几百块好吗
？
好压
geek的确免费
ss
p
收藏了
我的电脑只有游戏
一种都不懂
2345yyds
火绒啊
看具体
不用
这个行
中国腾讯找QQ
Win+G截屏
对不起我用的是liunx deepin系统
都是没有用的
电脑白痴准备下了
自带不就好了
有这钱360不香吗
免费的2345一个就够了
dism++！。。。。。
为什么不用360强力粉碎机呢
vs
VS
收藏夹吃灰去
电脑配件
VScode CLion Pycharm Everything 
2345
clean one 也很赞
cleaner one也很赞还是免费的
卸载一下毒霸试试
dism++
我先来，夹吃灰
没一个同款
删了但是没完全删
免pi200多刀
这个我有
火绒
stem必装
哈哈哈哈哈哈哈哈
clean my mac
。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
这软件比qq截图早了不知道多少年
约满越要装，越装越满
吃灰去吧
就是看看能不能发弹幕
steam
snippingtool永远的神
好家伙我一个都没有
win自带截图不香吗
这个收藏量就离谱
不用360不是中国人
win  shift   s    完全不需要任何工具
F1
眼
这个真的好用
微软自带的比你这好的多
geek是收费的，别吹了
java idea postman
mark
360、2345、XX管家、毒霸、flash
QQ截图不香吗
360
vc6++
《 免 费 软 件 》
36 0你值得拥有
那如果。如果我下了。我就可以好好管理我的模组了。 太好啦。
第一款是免费软件？？？
只用360
所以我选择火绒
超好用！
2345   360  金山毒霸 全家桶{doge}
2345全家桶
CleanMyPC 不是免费的哦
NPC有破解版的
win10自带截图不香吗？
哪里有免费版的下载动不动几百块钱
这是免费的吗动不动几百块
我靠这个太贵了是真的贵别人用得起吗
别的回电话
powertoys表示无语
-+
360就是垃圾
2345就离谱
说实话一般般
。
要钱啊
9
重装系统不香
iobit 卸载太慢了
一个360就搞定了
这个号
这个不错
说好的免费呢
《免费》
真的好用！
火绒
360=流氓
360 鲁大师 迈克菲 金山毒霸 2345
168买激活码
免费你个der
火绒yyds
必装Anlink啊，手机投屏到电脑，可以用鼠标操作手机@
Anlink
电脑废了
火绒就是垃圾
居然是收费的
utool不好用
我有
润玉！！！！惊现！
360
注意：他没说投币昂
不免费，别bb了
win+alt=prtsc
能截图网飞才算墙
ildiildi
bilibili
感觉电脑越来越不知道该干啥了
火绒还是算了吧，杀毒能力形同虚设
下次一定
360全家桶
2345全家桶
不能长截图
2345然后重装系统了
华为了解一下
win10截屏也是不错的
360：我是流氓我怕谁
你的软件是盗版看到海盗旗了啊
这款不推荐，可以说完全没用
要钱呢
一键三连
qq截图
2022
Dism++，同意的点个赞
Dism++，同意的点个赞
Dism++，同意的点个赞
Dism++，同意的点个赞
Dism++，同意的点个赞
看不太清
23452345
360安全卫士必须安排上！
卸载极域
IOdit
火绒
这个确实牛皮
有人用过吗
1.cleanmypc
Windows系统不是自带截屏吗
拉倒吧。这个
请问有激活码吗？
这个好评!
""
